time,Portland,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. R. Lopez (D. Nowitzki gains possession),,,,Jump ball: T. Chandler vs. R. Lopez (D. Nowitzki gains possession)
11:41.0,,,0-0,,M. Ellis misses 3-pt shot from 23 ft
11:40.0,Defensive rebound by D. Lillard,,0-0,,
11:31.0,D. Lillard misses 2-pt shot from 3 ft,,0-0,,
11:30.0,Offensive rebound by R. Lopez,,0-0,,
11:26.0,L. Aldridge misses 3-pt shot from 25 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by J. Barea
11:18.0,,,0-0,,Turnover by J. Barea (lost ball; steal by W. Matthews)
11:13.0,W. Matthews makes 2-pt shot from 2 ft,2,2-0,,
10:56.0,,,2-0,,T. Chandler misses 2-pt shot from 15 ft
10:54.0,Defensive rebound by L. Aldridge,,2-0,,
10:44.0,N. Batum misses 3-pt shot from 24 ft,,2-0,,
10:43.0,Offensive rebound by R. Lopez,,2-0,,
10:40.0,Turnover by R. Lopez (bad pass; steal by M. Ellis),,2-0,,
10:36.0,,,2-2,2,M. Ellis makes 2-pt shot from 1 ft
10:19.0,R. Lopez misses 2-pt shot from 8 ft,,2-2,,
10:18.0,,,2-2,,Defensive rebound by D. Nowitzki
10:10.0,,,2-4,2,C. Parsons makes 2-pt shot from 1 ft
9:47.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Lillard),3,5-4,,
9:22.0,,,5-6,2,T. Chandler makes 2-pt shot at rim (assist by J. Barea)
8:57.0,L. Aldridge makes 2-pt shot from 6 ft,2,7-6,,
8:38.0,,,7-6,,C. Parsons misses 2-pt shot from 3 ft
8:36.0,,,7-6,,Offensive rebound by T. Chandler
8:36.0,,,7-8,2,T. Chandler makes 2-pt shot at rim
8:13.0,L. Aldridge misses 2-pt shot from 9 ft,,7-8,,
8:09.0,Offensive rebound by R. Lopez,,7-8,,
8:09.0,R. Lopez misses 2-pt shot from 2 ft,,7-8,,
8:08.0,Offensive rebound by R. Lopez,,7-8,,
8:05.0,N. Batum misses 3-pt shot from 24 ft,,7-8,,
8:04.0,,,7-8,,Defensive rebound by T. Chandler
7:57.0,,,7-8,,D. Nowitzki misses 3-pt shot from 24 ft
7:56.0,Defensive rebound by L. Aldridge,,7-8,,
7:47.0,W. Matthews misses 3-pt shot from 24 ft (block by M. Ellis),,7-8,,
7:47.0,Offensive rebound by W. Matthews,,7-8,,
7:47.0,,,7-8,,Personal foul by T. Chandler (drawn by W. Matthews)
7:47.0,,,7-8,,A. Aminu enters the game for T. Chandler
7:38.0,R. Lopez makes 2-pt shot at rim (assist by D. Lillard),2,9-8,,
7:21.0,,,9-8,,J. Barea misses 3-pt shot from 24 ft
7:19.0,,,9-8,,Offensive rebound by D. Nowitzki
7:14.0,,,9-8,,Shooting foul by R. Lopez (drawn by C. Parsons)
7:14.0,,,9-10,2,C. Parsons makes 2-pt shot from 8 ft
7:14.0,,,9-10,,C. Parsons misses free throw 1 of 1
7:12.0,Defensive rebound by N. Batum,,9-10,,
7:05.0,Turnover by R. Lopez (traveling),,9-10,,
6:57.0,,,9-13,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea)
6:37.0,R. Lopez makes 2-pt shot from 2 ft (assist by W. Matthews),2,11-13,,
6:19.0,Personal block foul by D. Lillard (drawn by D. Nowitzki),,11-13,,
6:19.0,,,11-13,,T. Chandler enters the game for D. Nowitzki
6:14.0,,,11-13,,M. Ellis misses 2-pt shot from 18 ft
6:13.0,,,11-13,,Offensive rebound by C. Parsons
5:50.0,,,11-16,3,C. Parsons makes 3-pt shot from 22 ft (assist by J. Barea)
5:36.0,D. Lillard makes 2-pt shot at rim,2,13-16,,
5:23.0,,,13-16,,Turnover by J. Barea (bad pass; steal by D. Lillard)
5:19.0,,,13-16,,Personal foul by A. Aminu (drawn by W. Matthews)
5:19.0,,,13-16,,Dallas full timeout
5:19.0,,,13-16,,D. Harris enters the game for J. Barea
5:19.0,S. Blake enters the game for R. Lopez,,13-16,,
5:19.0,C. Kaman enters the game for W. Matthews,,13-16,,
5:06.0,N. Batum misses 3-pt shot from 23 ft,,13-16,,
5:05.0,Offensive rebound by L. Aldridge,,13-16,,
4:57.0,L. Aldridge misses 2-pt shot from 10 ft,,13-16,,
4:54.0,Offensive rebound by C. Kaman,,13-16,,
4:50.0,Turnover by D. Lillard (bad pass; steal by M. Ellis),,13-16,,
4:45.0,,,13-18,2,A. Aminu makes 2-pt shot at rim
4:25.0,C. Kaman misses 2-pt shot from 16 ft,,13-18,,
4:23.0,,,13-18,,Defensive rebound by D. Harris
4:07.0,,,13-18,,D. Harris misses 2-pt shot from 16 ft
4:06.0,Defensive rebound by S. Blake,,13-18,,
3:46.0,C. Kaman misses 2-pt shot from 9 ft,,13-18,,
3:45.0,,,13-18,,Defensive rebound by M. Ellis
3:29.0,,,13-18,,C. Parsons misses 2-pt shot from 15 ft
3:28.0,Defensive rebound by D. Lillard,,13-18,,
3:14.0,S. Blake misses 3-pt shot from 24 ft,,13-18,,
3:13.0,,,13-18,,Defensive rebound by D. Harris
3:06.0,,,13-18,,M. Ellis misses 3-pt shot from 23 ft
3:05.0,,,13-18,,Offensive rebound by Team
2:56.0,,,13-18,,D. Harris misses 2-pt shot from 15 ft (block by D. Lillard)
2:54.0,Defensive rebound by L. Aldridge,,13-18,,
2:45.0,Turnover by D. Lillard (bad pass; steal by C. Parsons),,13-18,,
2:40.0,,,13-18,,A. Aminu misses 2-pt shot at rim
2:36.0,Defensive rebound by L. Aldridge,,13-18,,
2:33.0,C. Kaman makes 2-pt shot from 2 ft (assist by S. Blake),2,15-18,,
2:33.0,Technical foul by C. Kaman,,15-18,,
2:33.0,Portland full timeout,,15-18,,
2:33.0,C. McCollum enters the game for N. Batum,,15-18,,
2:33.0,W. Matthews enters the game for D. Lillard,,15-18,,
2:33.0,,,15-18,,M. Ellis misses technical free throw
2:33.0,,,15-18,,Offensive rebound by Team
2:11.0,,,15-20,2,T. Chandler makes 2-pt shot at rim (assist by C. Parsons)
1:47.0,L. Aldridge makes 2-pt shot from 1 ft (assist by S. Blake),2,17-20,,
1:39.0,,,17-22,2,M. Ellis makes 2-pt shot at rim
1:32.0,,,17-22,,Personal block foul by C. Parsons (drawn by S. Blake)
1:32.0,,,17-22,,J. Barea enters the game for C. Parsons
1:32.0,,,17-22,,D. Nowitzki enters the game for M. Ellis
1:32.0,,,17-22,,C. Villanueva enters the game for A. Aminu
1:27.0,C. McCollum makes 3-pt shot from 25 ft,3,20-22,,
1:06.0,,,20-22,,D. Harris misses 3-pt shot from 23 ft
1:05.0,Defensive rebound by W. Matthews,,20-22,,
0:50.0,C. Kaman makes 2-pt shot from 4 ft (assist by W. Matthews),2,22-22,,
0:33.0,,,22-22,,Shooting foul by W. Matthews (drawn by J. Barea)
0:33.0,,,22-23,1,J. Barea makes free throw 1 of 2
0:33.0,,,22-23,,A. Aminu enters the game for C. Villanueva
0:33.0,,,22-24,1,J. Barea makes free throw 2 of 2
0:16.0,C. McCollum makes 3-pt shot from 24 ft (assist by S. Blake),3,25-24,,
0:00.0,,,25-24,,D. Nowitzki misses 2-pt shot from 11 ft
0:00.0,Defensive rebound by C. Kaman,,25-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Offensive foul by M. Leonard,,25-24,,
11:49.0,Turnover by M. Leonard (offensive foul),,25-24,,
11:26.0,,,25-24,,D. Nowitzki misses 2-pt shot from 13 ft
11:25.0,,,25-24,,Offensive rebound by Team
11:25.0,,,25-24,,Turnover by Team (shot clock)
11:09.0,W. Matthews makes 2-pt shot from 12 ft (assist by S. Blake),2,27-24,,
10:57.0,,,27-24,,J. Barea misses 2-pt shot from 1 ft
10:55.0,Defensive rebound by W. Matthews,,27-24,,
10:37.0,C. Kaman misses 2-pt shot from 2 ft,,27-24,,
10:35.0,,,27-24,,Defensive rebound by C. Villanueva
10:26.0,,,27-27,3,C. Villanueva makes 3-pt shot from 24 ft (assist by D. Harris)
10:09.0,Offensive foul by C. Kaman,,27-27,,
10:09.0,Turnover by C. Kaman (offensive foul),,27-27,,
10:09.0,R. Lopez enters the game for C. Kaman,,27-27,,
9:52.0,,,27-27,,A. Aminu misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by C. McCollum,,27-27,,
9:44.0,C. McCollum misses 2-pt shot from 1 ft (block by A. Aminu),,27-27,,
9:43.0,,,27-27,,Defensive rebound by A. Aminu
9:38.0,,,27-30,3,D. Harris makes 3-pt shot from 24 ft (assist by A. Aminu)
9:23.0,C. McCollum misses 3-pt shot from 24 ft (block by D. Harris),,27-30,,
9:21.0,,,27-30,,Defensive rebound by C. Villanueva
9:15.0,,,27-30,,J. Barea misses 2-pt shot at rim
9:11.0,,,27-30,,Offensive rebound by J. Barea
9:11.0,,,27-30,,Shooting foul by M. Leonard (drawn by A. Aminu)
9:11.0,,,27-30,,A. Aminu misses free throw 1 of 2
9:11.0,,,27-30,,Offensive rebound by Team
9:11.0,,,27-31,1,A. Aminu makes free throw 2 of 2
