time,Toronto,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. C. Zeller (A. Jefferson gains possession),,,,Jump ball: J. Valanciunas vs. C. Zeller (A. Jefferson gains possession)
11:45.0,,,0-0,,C. Zeller misses 2-pt shot from 1 ft (block by J. Valanciunas)
11:43.0,Defensive rebound by A. Johnson,,0-0,,
11:36.0,K. Lowry misses 2-pt shot from 2 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by M. Kidd-Gilchrist
11:28.0,Violation by T. Ross (kicked ball),,0-0,,
11:22.0,,,0-0,,C. Zeller misses 2-pt shot from 1 ft
11:20.0,Defensive rebound by J. Valanciunas,,0-0,,
11:05.0,D. DeRozan misses 2-pt shot from 20 ft,,0-0,,
11:04.0,,,0-0,,Defensive rebound by M. Williams
10:58.0,,,0-3,3,M. Williams makes 3-pt shot from 25 ft
10:33.0,T. Ross misses 3-pt shot from 26 ft,,0-3,,
10:32.0,,,0-3,,Defensive rebound by A. Jefferson
10:24.0,,,0-3,,Turnover by M. Williams (lost ball)
10:15.0,D. DeRozan makes 2-pt shot from 17 ft (assist by T. Ross),2,2-3,,
9:57.0,,,2-5,2,G. Henderson makes 2-pt shot from 15 ft (assist by M. Kidd-Gilchrist)
9:42.0,D. DeRozan misses 2-pt shot from 16 ft,,2-5,,
9:41.0,,,2-5,,Defensive rebound by G. Henderson
9:29.0,,,2-5,,A. Jefferson misses 2-pt shot from 3 ft
9:28.0,Defensive rebound by K. Lowry,,2-5,,
9:23.0,K. Lowry misses 3-pt shot from 25 ft,,2-5,,
9:21.0,,,2-5,,Defensive rebound by G. Henderson
9:15.0,,,2-5,,Turnover by G. Henderson (bad pass)
8:56.0,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry),2,4-5,,
8:35.0,,,4-7,2,G. Henderson makes 2-pt shot from 19 ft (assist by M. Kidd-Gilchrist)
8:14.0,D. DeRozan misses 2-pt shot from 6 ft (block by C. Zeller),,4-7,,
8:12.0,,,4-7,,Defensive rebound by C. Zeller
8:01.0,,,4-7,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
8:00.0,Defensive rebound by D. DeRozan,,4-7,,
7:52.0,D. DeRozan misses 2-pt shot from 9 ft,,4-7,,
7:51.0,,,4-7,,Defensive rebound by C. Zeller
7:43.0,,,4-10,3,M. Williams makes 3-pt shot from 28 ft
7:25.0,T. Ross misses 2-pt shot from 9 ft,,4-10,,
7:25.0,Offensive rebound by J. Valanciunas,,4-10,,
7:25.0,Shooting foul by C. Zeller (drawn by J. Valanciunas),,4-10,,
7:25.0,J. Valanciunas makes free throw 1 of 2,1,5-10,,
7:25.0,J. Valanciunas makes free throw 2 of 2,1,6-10,,
7:11.0,,,6-12,2,A. Jefferson makes 2-pt shot from 7 ft
6:49.0,K. Lowry misses 2-pt shot from 15 ft (block by M. Williams),,6-12,,
6:48.0,,,6-12,,Defensive rebound by A. Jefferson
6:41.0,Personal foul by A. Johnson (drawn by M. Kidd-Gilchrist),,6-12,,
6:37.0,,,6-12,,Shooting foul by J. Valanciunas (drawn by C. Zeller)
6:37.0,,,6-13,1,C. Zeller makes free throw 1 of 2
6:37.0,,,6-14,1,C. Zeller makes free throw 2 of 2
6:26.0,,,6-14,,Personal foul by G. Henderson (drawn by J. Valanciunas)
6:18.0,D. DeRozan makes 2-pt shot from 20 ft (assist by K. Lowry),2,8-14,,
6:07.0,,,8-14,,A. Jefferson misses 2-pt shot from 3 ft
6:06.0,,,8-14,,Offensive rebound by M. Kidd-Gilchrist
6:06.0,,,8-16,2,M. Kidd-Gilchrist makes 2-pt shot at rim
5:54.0,A. Johnson misses 2-pt shot from 5 ft,,8-16,,
