time,Indiana,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. Z. Pachulia (G. Antetokounmpo gains possession),,,,Jump ball: R. Hibbert vs. Z. Pachulia (G. Antetokounmpo gains possession)
11:43.0,,,0-0,,K. Middleton misses 3-pt shot from 25 ft
11:42.0,,,0-0,,Offensive rebound by Z. Pachulia
11:30.0,,,0-0,,J. O'Bryant misses 2-pt shot from 16 ft
11:29.0,Defensive rebound by R. Hibbert,,0-0,,
11:05.0,R. Stuckey misses 3-pt shot from 25 ft,,0-0,,
11:04.0,,,0-0,,Defensive rebound by B. Knight
10:58.0,,,0-0,,B. Knight misses 2-pt shot at rim
10:56.0,Defensive rebound by Team,,0-0,,
10:43.0,R. Stuckey misses 2-pt shot from 10 ft,,0-0,,
10:42.0,,,0-0,,Defensive rebound by Z. Pachulia
10:29.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 16 ft
10:28.0,Defensive rebound by R. Stuckey,,0-0,,
10:20.0,S. Hill misses 2-pt shot from 6 ft (block by G. Antetokounmpo),,0-0,,
10:18.0,,,0-0,,Defensive rebound by Z. Pachulia
9:58.0,,,0-0,,B. Knight misses 3-pt shot from 25 ft
9:57.0,Defensive rebound by S. Hill,,0-0,,
9:38.0,R. Stuckey misses 2-pt shot at rim,,0-0,,
9:36.0,Offensive rebound by D. West,,0-0,,
9:21.0,R. Hibbert makes 2-pt shot from 9 ft (assist by D. West),2,2-0,,
8:59.0,,,2-0,,Z. Pachulia misses 2-pt shot from 17 ft
8:58.0,Defensive rebound by S. Hill,,2-0,,
8:51.0,Turnover by D. West (bad pass; steal by K. Middleton),,2-0,,
8:38.0,,,2-0,,G. Antetokounmpo misses 3-pt shot from 23 ft
8:37.0,Defensive rebound by D. West,,2-0,,
8:34.0,S. Hill misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,2-0,,
8:32.0,,,2-0,,Defensive rebound by Z. Pachulia
8:28.0,,,2-0,,Turnover by G. Antetokounmpo (lost ball)
8:10.0,Turnover by D. West (bad pass; steal by K. Middleton),,2-0,,
8:00.0,,,2-3,3,K. Middleton makes 3-pt shot from 25 ft (assist by B. Knight)
7:37.0,D. West misses 2-pt shot from 13 ft,,2-3,,
7:36.0,,,2-3,,Defensive rebound by Z. Pachulia
7:29.0,,,2-5,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by J. O'Bryant)
7:14.0,,,2-5,,Shooting block foul by G. Antetokounmpo (drawn by R. Hibbert)
7:14.0,R. Hibbert makes free throw 1 of 2,1,3-5,,
7:14.0,C. Miles enters the game for R. Stuckey,,3-5,,
7:14.0,R. Hibbert makes free throw 2 of 2,1,4-5,,
7:02.0,,,4-5,,J. O'Bryant misses 2-pt shot from 14 ft
7:02.0,,,4-5,,Offensive rebound by Team
6:59.0,,,4-5,,B. Knight misses 2-pt shot from 3 ft
6:58.0,Defensive rebound by R. Hibbert,,4-5,,
6:47.0,R. Hibbert makes 2-pt shot from 3 ft (assist by D. West),2,6-5,,
6:38.0,,,6-5,,Z. Pachulia misses 2-pt shot from 15 ft
6:37.0,,,6-5,,Offensive rebound by Team
6:35.0,,,6-7,2,Z. Pachulia makes 2-pt shot from 11 ft (assist by K. Middleton)
6:15.0,D. Sloan makes 3-pt shot from 26 ft (assist by C. Miles),3,9-7,,
5:58.0,,,9-10,3,B. Knight makes 3-pt shot from 26 ft (assist by K. Middleton)
5:42.0,C. Miles makes 3-pt shot from 26 ft (assist by S. Hill),3,12-10,,
5:26.0,,,12-10,,B. Knight misses 2-pt shot from 10 ft
5:25.0,Defensive rebound by D. West,,12-10,,
5:10.0,D. West misses 2-pt shot from 6 ft,,12-10,,
5:09.0,,,12-10,,Defensive rebound by G. Antetokounmpo
4:58.0,,,12-10,,K. Middleton misses 2-pt shot from 16 ft
4:56.0,Defensive rebound by R. Hibbert,,12-10,,
4:42.0,D. West makes 2-pt shot from 17 ft (assist by D. Sloan),2,14-10,,
4:41.0,,,14-10,,Milwaukee full timeout
4:41.0,L. Allen enters the game for R. Hibbert,,14-10,,
4:41.0,,,14-10,,J. Dudley enters the game for J. O'Bryant
4:27.0,,,14-12,2,B. Knight makes 2-pt shot from 18 ft (assist by J. Dudley)
4:03.0,S. Hill misses 3-pt shot from 23 ft,,14-12,,
4:02.0,,,14-12,,Defensive rebound by Z. Pachulia
