time,Chicago,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. R. Hibbert (T. Snell gains possession),,,,Jump ball: P. Gasol vs. R. Hibbert (T. Snell gains possession)
11:34.0,A. Brooks misses 3-pt shot from 26 ft,,0-0,,
11:34.0,Offensive rebound by Team,,0-0,,
11:34.0,Turnover by Team (shot clock),,0-0,,
11:17.0,,,0-0,,R. Hibbert misses 2-pt shot from 9 ft (block by P. Gasol)
11:15.0,Defensive rebound by Team,,0-0,,
10:58.0,P. Gasol makes 2-pt shot from 20 ft (assist by J. Noah),2,2-0,,
10:33.0,,,2-2,2,S. Hill makes 2-pt shot from 6 ft (assist by D. West)
10:09.0,M. Dunleavy misses 2-pt shot from 20 ft,,2-2,,
10:08.0,,,2-2,,Defensive rebound by D. West
9:50.0,,,2-4,2,G. Hill makes 2-pt shot from 12 ft
9:37.0,T. Snell misses 2-pt shot from 6 ft,,2-4,,
9:36.0,,,2-4,,Defensive rebound by D. West
9:23.0,,,2-6,2,R. Hibbert makes 2-pt shot at rim (assist by D. West)
9:01.0,J. Noah misses 2-pt shot from 21 ft,,2-6,,
8:59.0,Offensive rebound by J. Noah,,2-6,,
8:51.0,P. Gasol makes 2-pt shot from 14 ft,2,4-6,,
8:34.0,,,4-6,,Shooting foul by T. Snell (drawn by S. Hill)
8:34.0,,,4-7,1,S. Hill makes free throw 1 of 2
8:34.0,,,4-8,1,S. Hill makes free throw 2 of 2
8:16.0,Turnover by P. Gasol (lost ball; steal by G. Hill),,4-8,,
8:08.0,,,4-11,3,S. Hill makes 3-pt shot from 24 ft (assist by G. Hill)
8:02.0,P. Gasol misses 2-pt shot from 1 ft (block by S. Hill),,4-11,,
8:00.0,,,4-11,,Defensive rebound by S. Hill
7:57.0,Personal block foul by M. Dunleavy (drawn by C. Miles),,4-11,,
7:53.0,,,4-13,2,C. Miles makes 2-pt shot from 1 ft (assist by D. West)
7:46.0,Chicago full timeout,,4-13,,
7:36.0,T. Snell misses 2-pt shot from 8 ft (block by R. Hibbert),,4-13,,
7:35.0,Offensive rebound by Team,,4-13,,
7:30.0,P. Gasol makes 2-pt shot from 18 ft (assist by M. Dunleavy),2,6-13,,
7:13.0,,,6-13,,C. Miles misses 3-pt shot from 24 ft
7:13.0,Defensive rebound by Team,,6-13,,
7:13.0,,,6-13,,Loose ball foul by D. West (drawn by P. Gasol)
7:01.0,P. Gasol misses 2-pt shot from 19 ft,,6-13,,
6:59.0,,,6-13,,Defensive rebound by C. Miles
6:49.0,,,6-13,,Shooting foul by J. Noah (drawn by R. Hibbert)
6:49.0,,,6-14,1,R. Hibbert makes free throw 1 of 2
6:49.0,,,6-15,1,R. Hibbert makes free throw 2 of 2
6:36.0,P. Gasol misses 2-pt shot from 1 ft,,6-15,,
6:34.0,,,6-15,,Defensive rebound by D. West
6:29.0,,,6-18,3,C. Miles makes 3-pt shot from 23 ft (assist by G. Hill)
6:07.0,M. Dunleavy misses 3-pt shot from 25 ft,,6-18,,
6:06.0,Offensive rebound by P. Gasol,,6-18,,
6:02.0,P. Gasol misses 2-pt shot from 3 ft,,6-18,,
6:01.0,Offensive rebound by P. Gasol,,6-18,,
6:00.0,P. Gasol misses 2-pt shot at rim,,6-18,,
5:58.0,Offensive rebound by P. Gasol,,6-18,,
5:58.0,P. Gasol misses 2-pt shot at rim,,6-18,,
5:56.0,,,6-18,,Defensive rebound by D. West
5:52.0,,,6-18,,D. West misses 2-pt shot from 19 ft
5:50.0,,,6-18,,Offensive rebound by G. Hill
5:38.0,,,6-18,,R. Hibbert misses 2-pt shot from 9 ft
5:37.0,Defensive rebound by M. Dunleavy,,6-18,,
5:26.0,T. Snell makes 3-pt shot from 24 ft (assist by J. Noah),3,9-18,,
5:04.0,,,9-18,,D. West misses 2-pt shot from 21 ft
5:03.0,Defensive rebound by P. Gasol,,9-18,,
4:55.0,,,9-18,,Personal foul by G. Hill (drawn by J. Noah)
4:55.0,N. Mirotic enters the game for J. Noah,,9-18,,
4:55.0,,,9-18,,R. Stuckey enters the game for C. Miles
4:55.0,,,9-18,,I. Mahinmi enters the game for R. Hibbert
4:41.0,Shooting foul by I. Mahinmi (drawn by P. Gasol),,9-18,,
4:41.0,P. Gasol makes free throw 1 of 2,1,10-18,,
4:41.0,K. Hinrich enters the game for A. Brooks,,10-18,,
4:41.0,P. Gasol makes free throw 2 of 2,1,11-18,,
4:27.0,,,11-18,,G. Hill misses 2-pt shot from 5 ft
4:25.0,Defensive rebound by T. Snell,,11-18,,
4:20.0,Turnover by N. Mirotic (bad pass; steal by S. Hill),,11-18,,
4:16.0,,,11-18,,Indiana full timeout
4:16.0,E. Moore enters the game for T. Snell,,11-18,,
4:02.0,,,11-18,,R. Stuckey misses 3-pt shot from 25 ft
4:01.0,Defensive rebound by M. Dunleavy,,11-18,,
3:53.0,N. Mirotic misses 3-pt shot from 25 ft,,11-18,,
3:51.0,,,11-18,,Defensive rebound by I. Mahinmi
3:38.0,,,11-18,,Shooting foul by P. Gasol (drawn by I. Mahinmi)
3:38.0,,,11-18,,I. Mahinmi misses free throw 1 of 2
3:38.0,,,11-18,,Offensive rebound by Team
3:38.0,,,11-19,1,I. Mahinmi makes free throw 2 of 2
3:24.0,E. Moore makes 2-pt shot from 8 ft,2,13-19,,
3:13.0,,,13-19,,Offensive foul by D. West
3:13.0,,,13-19,,Turnover by D. West (offensive foul)
3:13.0,,,13-19,,L. Scola enters the game for D. West
2:56.0,P. Gasol misses 2-pt shot from 16 ft,,13-19,,
2:55.0,,,13-19,,Defensive rebound by S. Hill
2:38.0,,,13-19,,G. Hill misses 2-pt shot from 5 ft
2:37.0,Defensive rebound by E. Moore,,13-19,,
2:32.0,E. Moore misses 2-pt shot from 4 ft,,13-19,,
2:31.0,Offensive rebound by N. Mirotic,,13-19,,
2:31.0,N. Mirotic makes 2-pt shot from 1 ft,2,15-19,,
2:31.0,Shooting foul by G. Hill (drawn by N. Mirotic),,15-19,,
2:31.0,,,15-19,,C. Watson enters the game for G. Hill
2:31.0,N. Mirotic makes free throw 1 of 1,1,16-19,,
2:10.0,,,16-19,,S. Hill misses 2-pt shot from 13 ft
2:08.0,Defensive rebound by P. Gasol,,16-19,,
1:49.0,N. Mirotic misses 2-pt shot from 6 ft,,16-19,,
1:47.0,Offensive rebound by M. Dunleavy,,16-19,,
1:47.0,M. Dunleavy makes 2-pt shot at rim,2,18-19,,
1:35.0,,,18-19,,R. Stuckey misses 2-pt shot from 16 ft
1:34.0,Defensive rebound by P. Gasol,,18-19,,
1:18.0,Turnover by P. Gasol (bad pass; steal by I. Mahinmi),,18-19,,
1:10.0,,,18-21,2,S. Hill makes 2-pt shot from 4 ft
0:56.0,N. Mirotic misses 3-pt shot from 25 ft,,18-21,,
0:55.0,,,18-21,,Defensive rebound by C. Watson
0:46.0,,,18-23,2,C. Watson makes 2-pt shot from 1 ft (assist by L. Scola)
0:22.0,N. Mirotic misses 2-pt shot from 18 ft,,18-23,,
0:21.0,Offensive rebound by M. Dunleavy,,18-23,,
0:21.0,M. Dunleavy makes 2-pt shot from 1 ft,2,20-23,,
0:03.0,,,20-23,,S. Hill misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by N. Mirotic,,20-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Personal foul by K. Hinrich (drawn by R. Stuckey),,20-23,,
11:31.0,,,20-23,,Turnover by I. Mahinmi (offensive foul)
11:31.0,,,20-23,,Offensive charge foul by I. Mahinmi
11:17.0,D. McDermott misses 2-pt shot from 4 ft,,20-23,,
11:16.0,,,20-23,,Defensive rebound by L. Scola
11:08.0,,,20-25,2,D. Rudez makes 2-pt shot from 19 ft (assist by C. Watson)
10:53.0,D. McDermott makes 2-pt shot from 1 ft (assist by K. Hinrich),2,22-25,,
10:42.0,,,22-25,,R. Stuckey misses 2-pt shot at rim
10:41.0,Defensive rebound by J. Noah,,22-25,,
10:33.0,K. Hinrich misses 3-pt shot from 22 ft,,22-25,,
10:32.0,,,22-25,,Defensive rebound by I. Mahinmi
10:20.0,,,22-25,,D. Rudez misses 2-pt shot from 19 ft
10:19.0,,,22-25,,Offensive rebound by I. Mahinmi
10:13.0,Def 3 sec tech foul by J. Noah,,22-25,,
10:13.0,,,22-26,1,C. Watson makes technical free throw
9:57.0,,,22-28,2,L. Scola makes 2-pt shot from 3 ft
9:40.0,D. McDermott makes 2-pt shot from 16 ft (assist by J. Noah),2,24-28,,
9:24.0,,,24-28,,R. Stuckey misses 2-pt shot from 4 ft (block by E. Moore)
9:23.0,,,24-28,,Offensive rebound by R. Stuckey
9:20.0,Personal foul by N. Mirotic (drawn by I. Mahinmi),,24-28,,
9:09.0,,,24-30,2,I. Mahinmi makes 2-pt shot at rim (assist by R. Stuckey)
8:55.0,K. Hinrich makes 2-pt shot from 20 ft,2,26-30,,
8:43.0,Personal block foul by D. McDermott (drawn by C. Watson),,26-30,,
8:43.0,Official timeout,,26-30,,
8:35.0,,,26-32,2,R. Stuckey makes 2-pt shot from 10 ft
8:20.0,D. McDermott makes 2-pt shot from 2 ft (assist by J. Noah),2,28-32,,
8:02.0,,,28-32,,Turnover by C. Watson (bad pass)
7:51.0,D. McDermott makes 2-pt shot from 1 ft (assist by J. Noah),2,30-32,,
7:51.0,,,30-32,,Indiana full timeout
7:51.0,,,30-32,,C. Miles enters the game for D. Rudez
7:32.0,,,30-32,,C. Watson misses 2-pt shot from 1 ft
7:31.0,Defensive rebound by K. Hinrich,,30-32,,
7:17.0,D. McDermott misses 2-pt shot from 19 ft,,30-32,,
7:15.0,,,30-32,,Defensive rebound by R. Stuckey
7:02.0,,,30-32,,Turnover by L. Scola (lost ball; steal by J. Noah)
7:02.0,,,30-32,,Personal foul by L. Scola (drawn by J. Noah)
6:47.0,D. McDermott misses 2-pt shot from 2 ft,,30-32,,
6:46.0,Offensive rebound by D. McDermott,,30-32,,
6:44.0,D. McDermott makes 2-pt shot from 1 ft,2,32-32,,
6:21.0,,,32-32,,C. Miles misses 3-pt shot from 24 ft
6:20.0,Defensive rebound by N. Mirotic,,32-32,,
6:03.0,J. Noah makes 2-pt shot from 20 ft (assist by D. McDermott),2,34-32,,
5:49.0,,,34-32,,Shooting foul by E. Moore (drawn by R. Stuckey)
5:49.0,,,34-33,1,R. Stuckey makes free throw 1 of 2
5:49.0,,,34-33,,R. Hibbert enters the game for I. Mahinmi
5:49.0,,,34-33,,R. Stuckey misses free throw 2 of 2
5:48.0,Defensive rebound by N. Mirotic,,34-33,,
5:37.0,N. Mirotic misses 2-pt shot from 1 ft,,34-33,,
5:36.0,,,34-33,,Defensive rebound by L. Scola
5:32.0,Shooting block foul by D. McDermott (drawn by C. Watson),,34-33,,
5:32.0,,,34-34,1,C. Watson makes free throw 1 of 2
5:32.0,,,34-35,1,C. Watson makes free throw 2 of 2
5:22.0,D. McDermott makes 2-pt shot from 23 ft (assist by K. Hinrich),2,36-35,,
5:07.0,,,36-35,,L. Scola misses 2-pt shot from 3 ft
5:06.0,Defensive rebound by N. Mirotic,,36-35,,
5:02.0,Turnover by N. Mirotic (discontinued dribble),,36-35,,
5:02.0,P. Gasol enters the game for J. Noah,,36-35,,
4:46.0,,,36-35,,R. Hibbert misses 2-pt shot from 9 ft
4:43.0,,,36-35,,Offensive rebound by L. Scola
4:43.0,,,36-35,,L. Scola misses 2-pt shot at rim
4:41.0,Defensive rebound by D. McDermott,,36-35,,
4:34.0,,,36-35,,Personal foul by R. Hibbert (drawn by P. Gasol)
4:34.0,,,36-35,,D. West enters the game for L. Scola
4:34.0,,,36-35,,G. Hill enters the game for C. Watson
4:34.0,A. Brooks enters the game for K. Hinrich,,36-35,,
4:26.0,Shooting foul by R. Hibbert (drawn by N. Mirotic),,36-35,,
4:26.0,N. Mirotic makes free throw 1 of 2,1,37-35,,
4:26.0,N. Mirotic misses free throw 2 of 2,,37-35,,
4:26.0,,,37-35,,Defensive rebound by R. Hibbert
4:04.0,,,37-37,2,D. West makes 2-pt shot from 16 ft (assist by R. Stuckey)
3:56.0,Chicago full timeout,,37-37,,
3:44.0,D. McDermott misses 2-pt shot from 10 ft,,37-37,,
3:43.0,,,37-37,,Defensive rebound by R. Hibbert
3:29.0,,,37-37,,Offensive foul by D. West
3:29.0,,,37-37,,Turnover by D. West (offensive foul)
3:29.0,,,37-37,,L. Scola enters the game for D. West
3:29.0,M. Dunleavy enters the game for D. McDermott,,37-37,,
3:20.0,A. Brooks makes 2-pt shot from 1 ft,2,39-37,,
3:05.0,,,39-37,,G. Hill misses 2-pt shot from 3 ft (block by A. Brooks)
3:04.0,Defensive rebound by Team,,39-37,,
2:52.0,A. Brooks misses 2-pt shot from 8 ft (block by G. Hill),,39-37,,
2:52.0,,,39-37,,Defensive rebound by Team
2:40.0,,,39-37,,G. Hill misses 2-pt shot at rim
2:40.0,,,39-37,,Offensive rebound by L. Scola
2:40.0,Loose ball foul by N. Mirotic (drawn by L. Scola),,39-37,,
2:40.0,,,39-38,1,L. Scola makes free throw 1 of 2
