time,Utah,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. M. Gortat (P. Pierce gains possession),,,,Jump ball: R. Gobert vs. M. Gortat (P. Pierce gains possession)
11:40.0,Personal foul by G. Hayward (drawn by P. Pierce),,0-0,,
11:35.0,,,0-0,,Turnover by M. Gortat (lost ball)
11:10.0,T. Burke makes 2-pt shot from 6 ft,2,2-0,,
10:49.0,,,2-0,,M. Gortat misses 2-pt shot from 10 ft
10:48.0,,,2-0,,Offensive rebound by J. Wall
10:47.0,,,2-0,,Turnover by B. Beal (step out of bounds)
10:23.0,E. Kanter misses 2-pt shot from 18 ft,,2-0,,
10:21.0,Offensive rebound by Team,,2-0,,
10:13.0,Shooting foul by M. Gortat (drawn by R. Gobert),,2-0,,
10:13.0,R. Gobert misses free throw 1 of 2,,2-0,,
10:13.0,Offensive rebound by Team,,2-0,,
10:13.0,R. Gobert makes free throw 2 of 2,1,3-0,,
9:57.0,,,3-0,,P. Pierce misses 2-pt shot from 17 ft (block by G. Hayward)
9:56.0,Defensive rebound by G. Hayward,,3-0,,
9:56.0,,,3-0,,Personal foul by P. Pierce (drawn by G. Hayward)
9:41.0,E. Kanter misses 2-pt shot from 10 ft (block by J. Wall),,3-0,,
9:41.0,,,3-0,,Defensive rebound by J. Wall
9:41.0,,,3-0,,Turnover by J. Wall (discontinued dribble)
9:26.0,T. Burke makes 3-pt shot from 25 ft (assist by G. Hayward),3,6-0,,
9:02.0,,,6-0,,Shooting foul by A. Burks (drawn by B. Beal)
9:02.0,,,6-1,1,B. Beal makes free throw 1 of 2
9:02.0,,,6-2,1,B. Beal makes free throw 2 of 2
8:48.0,T. Burke misses 2-pt shot from 2 ft (block by J. Wall),,6-2,,
8:48.0,Offensive rebound by Team,,6-2,,
8:38.0,A. Burks misses 3-pt shot from 28 ft,,6-2,,
8:38.0,,,6-2,,Defensive rebound by Team
8:27.0,,,6-2,,P. Pierce misses 3-pt shot from 23 ft
8:26.0,Defensive rebound by T. Burke,,6-2,,
8:21.0,Turnover by G. Hayward (bad pass; steal by P. Pierce),,6-2,,
8:14.0,,,6-4,2,P. Pierce makes 2-pt shot at rim
8:02.0,Turnover by A. Burks (bad pass; steal by J. Wall),,6-4,,
