time,Memphis,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. S. Ibaka (K. Perkins gains possession),,,,Jump ball: M. Gasol vs. S. Ibaka (K. Perkins gains possession)
11:45.0,,,0-0,,R. Westbrook misses 2-pt shot from 8 ft
11:44.0,,,0-0,,Offensive rebound by K. Perkins
11:39.0,,,0-2,2,K. Durant makes 2-pt shot from 16 ft (assist by A. Roberson)
11:08.0,Z. Randolph makes 2-pt shot from 18 ft,2,2-2,,
10:47.0,,,2-4,2,K. Perkins makes 2-pt shot from 11 ft (assist by R. Westbrook)
10:31.0,M. Gasol misses 2-pt shot from 17 ft,,2-4,,
10:30.0,,,2-4,,Defensive rebound by R. Westbrook
10:22.0,,,2-7,3,K. Durant makes 3-pt shot from 25 ft (assist by A. Roberson)
10:09.0,M. Conley misses 3-pt shot from 25 ft,,2-7,,
10:08.0,,,2-7,,Defensive rebound by K. Durant
9:59.0,,,2-9,2,K. Durant makes 2-pt shot from 1 ft
9:38.0,Z. Randolph makes 2-pt shot from 7 ft,2,4-9,,
9:19.0,,,4-9,,Shooting foul by M. Conley (drawn by K. Durant)
9:19.0,,,4-10,1,K. Durant makes free throw 1 of 2
9:19.0,,,4-11,1,K. Durant makes free throw 2 of 2
9:06.0,J. Green misses 2-pt shot from 18 ft,,4-11,,
9:05.0,Offensive rebound by M. Gasol,,4-11,,
8:51.0,M. Gasol makes 2-pt shot from 4 ft,2,6-11,,
8:36.0,,,6-13,2,S. Ibaka makes 2-pt shot from 5 ft (assist by K. Durant)
8:23.0,M. Conley makes 2-pt shot from 19 ft,2,8-13,,
8:10.0,,,8-13,,Turnover by R. Westbrook (bad pass; steal by M. Conley)
8:00.0,,,8-13,,Personal foul by K. Perkins (drawn by M. Gasol)
7:54.0,M. Conley misses 3-pt shot from 24 ft,,8-13,,
7:53.0,,,8-13,,Defensive rebound by R. Westbrook
7:48.0,,,8-13,,Shooting foul by M. Conley (drawn by R. Westbrook)
7:48.0,,,8-14,1,R. Westbrook makes free throw 1 of 2
7:48.0,,,8-15,1,R. Westbrook makes free throw 2 of 2
7:25.0,M. Gasol makes 2-pt shot from 19 ft (assist by Z. Randolph),2,10-15,,
7:07.0,,,10-15,,S. Ibaka misses 2-pt shot from 17 ft
7:06.0,Defensive rebound by M. Gasol,,10-15,,
6:47.0,C. Lee misses 3-pt shot from 23 ft,,10-15,,
6:46.0,,,10-15,,Defensive rebound by S. Ibaka
6:39.0,,,10-15,,Shooting foul by C. Lee (drawn by R. Westbrook)
6:39.0,,,10-16,1,R. Westbrook makes free throw 1 of 2
6:39.0,,,10-16,,D. Waiters enters the game for A. Roberson
6:39.0,,,10-17,1,R. Westbrook makes free throw 2 of 2
6:28.0,J. Green makes 2-pt shot from 1 ft (assist by Z. Randolph),2,12-17,,
6:11.0,,,12-17,,D. Waiters misses 2-pt shot from 1 ft
6:10.0,Defensive rebound by Z. Randolph,,12-17,,
5:56.0,M. Gasol misses 2-pt shot from 1 ft (block by K. Perkins),,12-17,,
5:55.0,,,12-17,,Defensive rebound by K. Durant
5:41.0,,,12-20,3,D. Waiters makes 3-pt shot from 23 ft (assist by S. Ibaka)
5:33.0,Memphis full timeout,,12-20,,
5:33.0,N. Calathes enters the game for M. Conley,,12-20,,
5:20.0,C. Lee misses 2-pt shot from 14 ft,,12-20,,
