time,Denver,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. T. Mozgov (T. Lawson gains possession),,,,Jump ball: G. Dieng vs. T. Mozgov (T. Lawson gains possession)
11:42.0,T. Lawson misses 2-pt shot from 8 ft (block by G. Dieng),,0-0,,
11:39.0,,,0-0,,Defensive rebound by T. Young
11:26.0,,,0-2,2,T. Young makes 2-pt shot from 4 ft (assist by M. Williams)
11:11.0,K. Faried misses 2-pt shot from 3 ft (block by G. Dieng),,0-2,,
11:09.0,,,0-2,,Defensive rebound by A. Wiggins
11:02.0,,,0-4,2,G. Dieng makes 2-pt shot from 2 ft (assist by A. Wiggins)
11:02.0,,,0-4,,Shooting foul by T. Mozgov (drawn by G. Dieng)
11:02.0,,,0-5,1,G. Dieng makes free throw 1 of 1
10:45.0,,,0-5,,Personal foul by M. Williams (drawn by K. Faried)
10:41.0,Turnover by K. Faried (bad pass; steal by G. Dieng),,0-5,,
10:34.0,,,0-5,,Turnover by M. Williams (bad pass; steal by T. Lawson)
10:27.0,K. Faried misses 2-pt shot from 1 ft,,0-5,,
10:26.0,,,0-5,,Defensive rebound by G. Dieng
10:15.0,,,0-7,2,M. Williams makes 2-pt shot from 17 ft
10:00.0,W. Chandler misses 2-pt shot from 3 ft,,0-7,,
9:59.0,Offensive rebound by K. Faried,,0-7,,
9:59.0,K. Faried makes 2-pt shot from 1 ft,2,2-7,,
9:39.0,,,2-9,2,S. Muhammad makes 2-pt shot from 19 ft (assist by M. Williams)
9:23.0,A. Afflalo misses 2-pt shot from 20 ft,,2-9,,
9:23.0,Offensive rebound by Team,,2-9,,
9:23.0,,,2-9,,Loose ball foul by G. Dieng (drawn by K. Faried)
9:18.0,A. Afflalo makes 2-pt shot from 19 ft (assist by T. Lawson),2,4-9,,
9:04.0,Personal foul by T. Mozgov (drawn by G. Dieng),,4-9,,
9:04.0,J. Nurkic enters the game for T. Mozgov,,4-9,,
8:55.0,,,4-9,,A. Wiggins misses 2-pt shot from 7 ft
