time,Miami,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. Z. Pachulia (J. Parker gains possession),,,,Jump ball: C. Bosh vs. Z. Pachulia (J. Parker gains possession)
11:44.0,,,0-2,2,J. Parker makes 2-pt shot at rim (assist by Z. Pachulia)
11:27.0,Turnover by D. Granger (step out of bounds),,0-2,,
11:18.0,,,0-4,2,B. Knight makes 2-pt shot from 15 ft
11:05.0,D. Wade misses 2-pt shot from 17 ft,,0-4,,
11:04.0,,,0-4,,Defensive rebound by G. Antetokounmpo
10:53.0,,,0-4,,Turnover by B. Knight (bad pass; steal by M. Chalmers)
10:50.0,M. Chalmers makes 2-pt shot at rim,2,2-4,,
10:32.0,,,2-6,2,Z. Pachulia makes 2-pt shot from 4 ft
10:19.0,D. Wade misses 2-pt shot from 14 ft,,2-6,,
10:18.0,Offensive rebound by C. Bosh,,2-6,,
10:14.0,C. Bosh misses 3-pt shot from 23 ft,,2-6,,
10:12.0,Offensive rebound by D. Wade,,2-6,,
10:10.0,D. Wade makes 2-pt shot at rim,2,4-6,,
10:04.0,,,4-6,,B. Knight misses 2-pt shot from 1 ft
10:02.0,Defensive rebound by M. Chalmers,,4-6,,
9:57.0,M. Chalmers misses 2-pt shot at rim,,4-6,,
9:53.0,,,4-6,,Defensive rebound by Z. Pachulia
9:51.0,,,4-6,,Turnover by B. Knight (lost ball; steal by M. Chalmers)
9:50.0,,,4-6,,Personal foul by B. Knight (drawn by M. Chalmers)
9:37.0,Turnover by D. Granger (lost ball),,4-6,,
9:37.0,Jump ball: D. Granger vs. Z. Pachulia (J. Parker gains possession),,,,Jump ball: D. Granger vs. Z. Pachulia (J. Parker gains possession)
9:23.0,,,4-6,,J. Parker misses 2-pt shot from 5 ft
9:21.0,,,4-6,,Offensive rebound by Z. Pachulia
9:14.0,,,4-6,,O. Mayo misses 3-pt shot from 26 ft
9:12.0,Defensive rebound by C. Bosh,,4-6,,
9:03.0,Turnover by C. Bosh (lost ball; steal by Z. Pachulia),,4-6,,
9:03.0,Personal foul by D. Granger (drawn by O. Mayo),,4-6,,
8:59.0,,,4-6,,Turnover by Z. Pachulia (bad pass; steal by M. Chalmers)
8:55.0,D. Wade makes 2-pt shot at rim (assist by M. Chalmers),2,6-6,,
8:41.0,,,6-6,,G. Antetokounmpo misses 2-pt shot from 18 ft
8:41.0,Defensive rebound by Team,,6-6,,
8:23.0,C. Bosh makes 2-pt shot from 15 ft (assist by M. Chalmers),2,8-6,,
8:06.0,,,8-6,,B. Knight misses 3-pt shot from 27 ft
8:04.0,,,8-6,,Offensive rebound by J. Parker
8:04.0,,,8-8,2,J. Parker makes 2-pt shot at rim
7:46.0,Turnover by J. McRoberts (bad pass; steal by J. Parker),,8-8,,
7:42.0,,,8-10,2,J. Parker makes 2-pt shot at rim
7:33.0,,,8-10,,Personal foul by O. Mayo (drawn by D. Wade)
7:33.0,S. Napier enters the game for M. Chalmers,,8-10,,
7:19.0,C. Bosh misses 2-pt shot at rim (block by G. Antetokounmpo),,8-10,,
7:19.0,Offensive rebound by Team,,8-10,,
7:15.0,D. Wade makes 2-pt shot from 8 ft (assist by S. Napier),2,10-10,,
6:58.0,,,10-10,,B. Knight misses 2-pt shot from 18 ft
6:57.0,Defensive rebound by J. McRoberts,,10-10,,
6:47.0,C. Bosh makes 2-pt shot from 10 ft (assist by D. Wade),2,12-10,,
6:35.0,,,12-10,,L. Sanders enters the game for Z. Pachulia
6:35.0,J. Hamilton enters the game for C. Bosh,,12-10,,
6:30.0,,,12-12,2,G. Antetokounmpo makes 2-pt shot at rim (assist by O. Mayo)
6:17.0,,,12-12,,Shooting block foul by O. Mayo (drawn by D. Wade)
6:17.0,D. Wade makes free throw 1 of 2,1,13-12,,
6:17.0,,,13-12,,J. Bayless enters the game for O. Mayo
6:17.0,D. Wade makes free throw 2 of 2,1,14-12,,
5:59.0,,,14-12,,Turnover by L. Sanders (3 sec)
5:59.0,,,14-12,,Milwaukee full timeout
5:49.0,D. Wade makes 2-pt shot from 4 ft (assist by J. Hamilton),2,16-12,,
5:29.0,,,16-12,,G. Antetokounmpo misses 2-pt shot from 18 ft
5:28.0,,,16-12,,Offensive rebound by J. Parker
5:24.0,,,16-12,,J. Parker misses 2-pt shot at rim (block by D. Granger)
5:22.0,,,16-12,,Offensive rebound by J. Parker
5:22.0,,,16-14,2,J. Parker makes 2-pt shot at rim
4:56.0,S. Napier makes 3-pt shot from 25 ft (assist by D. Wade),3,19-14,,
4:41.0,,,19-14,,Turnover by B. Knight (bad pass; steal by S. Napier)
4:41.0,,,19-14,,Loose ball foul by B. Knight (drawn by S. Napier)
4:41.0,,,19-14,,K. Marshall enters the game for B. Knight
4:34.0,,,19-14,,Personal foul by J. Bayless (drawn by D. Wade)
4:34.0,D. Wade misses free throw 1 of 2,,19-14,,
4:34.0,Offensive rebound by Team,,19-14,,
4:34.0,D. Wade makes free throw 2 of 2,1,20-14,,
4:25.0,Def 3 sec tech foul by D. Granger,,20-14,,
4:25.0,,,20-15,1,J. Bayless makes technical free throw
4:10.0,,,20-18,3,K. Marshall makes 3-pt shot from 26 ft (assist by J. Bayless)
3:55.0,Miami full timeout,,20-18,,
3:55.0,C. Bosh enters the game for D. Wade,,20-18,,
