time,Charlotte,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Thompson vs. C. Zeller (R. McCallum gains possession),,,,Jump ball: J. Thompson vs. C. Zeller (R. McCallum gains possession)
11:44.0,,,0-3,3,R. Gay makes 3-pt shot from 24 ft
11:31.0,G. Henderson makes 2-pt shot at rim,2,2-3,,
11:08.0,,,2-5,2,J. Thompson makes 2-pt shot from 8 ft (assist by R. Gay)
10:57.0,Shooting foul by R. Gay (drawn by G. Henderson),,2-5,,
10:57.0,G. Henderson misses free throw 1 of 2,,2-5,,
10:57.0,Offensive rebound by Team,,2-5,,
10:57.0,G. Henderson makes free throw 2 of 2,1,3-5,,
10:47.0,,,3-5,,Turnover by J. Thompson (bad pass)
10:29.0,G. Henderson misses 2-pt shot from 15 ft,,3-5,,
10:28.0,,,3-5,,Defensive rebound by Team
10:22.0,,,3-8,3,B. McLemore makes 3-pt shot from 23 ft (assist by R. Gay)
10:08.0,A. Jefferson makes 2-pt shot from 7 ft,2,5-8,,
9:57.0,,,5-11,3,O. Casspi makes 3-pt shot from 22 ft (assist by J. Thompson)
9:41.0,G. Henderson misses 2-pt shot from 21 ft,,5-11,,
9:41.0,,,5-11,,Defensive rebound by J. Thompson
9:35.0,,,5-11,,B. McLemore misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by C. Zeller,,5-11,,
9:21.0,,,5-11,,Personal foul by B. McLemore (drawn by G. Henderson)
9:12.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by C. Zeller),2,7-11,,
9:00.0,,,7-11,,Turnover by O. Casspi (lost ball)
8:44.0,A. Jefferson misses 2-pt shot from 17 ft,,7-11,,
8:44.0,,,7-11,,Defensive rebound by O. Casspi
8:40.0,,,7-11,,Offensive charge foul by R. McCallum
8:40.0,,,7-11,,Turnover by R. McCallum (offensive foul)
8:28.0,K. Walker makes 2-pt shot from 20 ft,2,9-11,,
8:18.0,,,9-11,,Turnover by J. Thompson (lost ball; steal by A. Jefferson)
8:12.0,Turnover by G. Henderson (traveling),,9-11,,
7:56.0,,,9-13,2,R. McCallum makes 2-pt shot from 16 ft
7:36.0,A. Jefferson misses 2-pt shot from 14 ft,,9-13,,
7:35.0,Offensive rebound by Team,,9-13,,
7:28.0,A. Jefferson makes 2-pt shot from 19 ft (assist by C. Zeller),2,11-13,,
7:16.0,,,11-13,,J. Thompson misses 2-pt shot from 3 ft
7:15.0,Defensive rebound by M. Kidd-Gilchrist,,11-13,,
7:01.0,C. Zeller misses 2-pt shot from 5 ft,,11-13,,
7:00.0,,,11-13,,Defensive rebound by J. Thompson
6:54.0,,,11-13,,B. McLemore misses 2-pt shot from 3 ft
6:52.0,,,11-13,,Offensive rebound by R. Gay
6:52.0,,,11-15,2,R. Gay makes 2-pt shot at rim
6:29.0,A. Jefferson makes 2-pt shot from 17 ft (assist by K. Walker),2,13-15,,
6:14.0,,,13-15,,R. Gay misses 2-pt shot from 6 ft
6:12.0,Defensive rebound by K. Walker,,13-15,,
5:53.0,C. Zeller misses 2-pt shot from 21 ft,,13-15,,
5:51.0,,,13-15,,Defensive rebound by R. McCallum
5:44.0,Personal foul by C. Zeller (drawn by R. McCallum),,13-15,,
5:44.0,,,13-15,,Sacramento full timeout
5:44.0,M. Williams enters the game for C. Zeller,,13-15,,
5:26.0,,,13-17,2,R. Gay makes 2-pt shot from 18 ft
5:08.0,A. Jefferson makes 2-pt shot from 3 ft,2,15-17,,
4:55.0,,,15-17,,Turnover by R. McCallum (lost ball)
4:55.0,M. Williams enters the game for G. Henderson,,15-17,,
4:55.0,,,15-17,,D. Williams enters the game for O. Casspi
4:55.0,,,15-17,,N. Stauskas enters the game for B. McLemore
4:41.0,A. Jefferson misses 2-pt shot from 16 ft,,15-17,,
4:41.0,,,15-17,,Defensive rebound by J. Thompson
4:31.0,,,15-19,2,R. McCallum makes 2-pt shot from 2 ft (assist by D. Williams)
4:18.0,M. Williams misses 2-pt shot from 17 ft,,15-19,,
4:15.0,Offensive rebound by M. Kidd-Gilchrist,,15-19,,
3:59.0,A. Jefferson makes 2-pt shot from 7 ft,2,17-19,,
3:59.0,Shooting foul by J. Thompson (drawn by A. Jefferson),,17-19,,
3:59.0,,,17-19,,R. Evans enters the game for J. Thompson
3:59.0,A. Jefferson makes free throw 1 of 1,1,18-19,,
3:44.0,,,18-21,2,R. Gay makes 2-pt shot from 9 ft
3:28.0,A. Jefferson misses 2-pt shot from 9 ft,,18-21,,
3:26.0,,,18-21,,Defensive rebound by R. Evans
3:16.0,,,18-21,,Offensive foul by R. Evans
3:16.0,,,18-21,,Turnover by R. Evans (offensive foul)
3:16.0,,,18-21,,A. Miller enters the game for R. McCallum
3:16.0,B. Biyombo enters the game for A. Jefferson,,18-21,,
3:06.0,K. Walker misses 2-pt shot from 17 ft,,18-21,,
3:05.0,,,18-21,,Defensive rebound by R. Evans
2:57.0,,,18-21,,Turnover by N. Stauskas (lost ball; steal by K. Walker)
2:54.0,Shooting foul by N. Stauskas (drawn by K. Walker),,18-21,,
2:54.0,Charlotte full timeout,,18-21,,
2:54.0,K. Walker makes free throw 1 of 2,1,19-21,,
2:54.0,K. Walker makes free throw 2 of 2,1,20-21,,
2:43.0,,,20-21,,Turnover by R. Gay (lost ball)
2:30.0,Turnover by M. Williams (bad pass; steal by N. Stauskas),,20-21,,
2:10.0,,,20-23,2,R. Gay makes 2-pt shot from 14 ft (assist by D. Williams)
1:46.0,M. Williams misses 3-pt shot from 24 ft,,20-23,,
1:46.0,Offensive rebound by Team,,20-23,,
1:46.0,,,20-23,,C. Landry enters the game for R. Gay
1:46.0,L. Stephenson enters the game for K. Walker,,20-23,,
1:43.0,M. Williams misses 2-pt shot from 16 ft,,20-23,,
1:42.0,,,20-23,,Defensive rebound by A. Miller
1:34.0,,,20-26,3,N. Stauskas makes 3-pt shot from 25 ft (assist by A. Miller)
1:19.0,M. Williams misses 2-pt shot from 7 ft,,20-26,,
1:19.0,,,20-26,,Defensive rebound by N. Stauskas
1:08.0,,,20-26,,R. Evans misses 2-pt shot from 2 ft
1:08.0,,,20-26,,Offensive rebound by R. Evans
1:04.0,,,20-26,,R. Evans misses 2-pt shot from 4 ft
1:04.0,Defensive rebound by Team,,20-26,,
1:04.0,,,20-26,,Loose ball foul by C. Landry (drawn by M. Kidd-Gilchrist)
1:04.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,21-26,,
1:04.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,22-26,,
0:48.0,,,22-26,,C. Landry misses 2-pt shot from 21 ft
0:47.0,Defensive rebound by L. Stephenson,,22-26,,
0:34.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,22-26,,
0:33.0,,,22-26,,Defensive rebound by R. Evans
0:11.0,,,22-29,3,N. Stauskas makes 3-pt shot from 25 ft (assist by R. Evans)
0:00.0,M. Williams misses 3-pt shot from 25 ft,,22-29,,
0:00.0,Offensive rebound by Team,,22-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,M. Williams makes 3-pt shot from 24 ft (assist by L. Stephenson),3,25-29,,
11:17.0,,,25-29,,A. Miller misses 2-pt shot from 15 ft
11:16.0,Defensive rebound by M. Williams,,25-29,,
11:10.0,G. Henderson makes 2-pt shot from 18 ft,2,27-29,,
10:50.0,,,27-32,3,D. Williams makes 3-pt shot from 23 ft (assist by R. Evans)
10:25.0,L. Stephenson misses 2-pt shot from 19 ft,,27-32,,
10:24.0,,,27-32,,Defensive rebound by R. Evans
10:02.0,,,27-35,3,A. Miller makes 3-pt shot from 23 ft
9:46.0,M. Williams makes 3-pt shot from 23 ft (assist by M. Williams),3,30-35,,
9:35.0,,,30-35,,Shooting foul by M. Williams (drawn by C. Landry)
9:35.0,,,30-35,,C. Landry misses free throw 1 of 2
9:35.0,,,30-35,,Offensive rebound by Team
9:35.0,,,30-36,1,C. Landry makes free throw 2 of 2
9:22.0,G. Henderson misses 2-pt shot from 20 ft,,30-36,,
9:22.0,,,30-36,,Defensive rebound by R. Evans
9:08.0,,,30-36,,C. Landry misses 2-pt shot from 4 ft
9:06.0,,,30-36,,Offensive rebound by A. Miller
9:01.0,,,30-36,,D. Williams misses 3-pt shot from 22 ft
9:01.0,Defensive rebound by B. Biyombo,,30-36,,
8:56.0,G. Henderson makes 2-pt shot from 2 ft (assist by L. Stephenson),2,32-36,,
8:44.0,,,32-36,,Shooting foul by M. Williams (drawn by N. Stauskas)
8:44.0,Official timeout,,32-36,,
8:44.0,,,32-36,,O. Casspi enters the game for D. Williams
8:44.0,C. Zeller enters the game for M. Williams,,32-36,,
8:44.0,,,32-37,1,N. Stauskas makes free throw 1 of 2
8:44.0,,,32-38,1,N. Stauskas makes free throw 2 of 2
8:29.0,M. Williams misses 2-pt shot from 17 ft,,32-38,,
8:29.0,,,32-38,,Defensive rebound by R. Evans
8:18.0,,,32-40,2,R. Evans makes 2-pt shot from 2 ft (assist by A. Miller)
8:01.0,G. Henderson makes 2-pt shot from 16 ft,2,34-40,,
7:45.0,,,34-40,,C. Landry misses 2-pt shot from 18 ft
7:45.0,Defensive rebound by B. Biyombo,,34-40,,
7:33.0,B. Biyombo makes 2-pt shot from 1 ft (assist by C. Zeller),2,36-40,,
7:13.0,,,36-40,,R. Evans misses 2-pt shot from 3 ft (block by B. Biyombo)
7:13.0,Defensive rebound by Team,,36-40,,
7:13.0,A. Jefferson enters the game for B. Biyombo,,36-40,,
7:13.0,,,36-40,,R. Gay enters the game for N. Stauskas
7:13.0,,,36-40,,R. McCallum enters the game for A. Miller
7:13.0,,,36-40,,B. McLemore enters the game for C. Landry
6:59.0,Turnover by G. Henderson (lost ball; steal by B. McLemore),,36-40,,
6:50.0,,,36-43,3,R. Gay makes 3-pt shot from 25 ft
6:27.0,A. Jefferson makes 2-pt shot from 11 ft,2,38-43,,
6:17.0,,,38-45,2,R. McCallum makes 2-pt shot from 8 ft
6:07.0,A. Jefferson misses 2-pt shot from 7 ft,,38-45,,
6:06.0,,,38-45,,Defensive rebound by R. McCallum
6:00.0,,,38-45,,R. McCallum misses 2-pt shot from 13 ft
6:00.0,Defensive rebound by Team,,38-45,,
6:00.0,,,38-45,,Loose ball foul by B. McLemore (drawn by G. Henderson)
6:00.0,K. Walker enters the game for M. Williams,,38-45,,
6:00.0,,,38-45,,J. Thompson enters the game for R. Evans
5:46.0,G. Henderson makes 2-pt shot from 15 ft (assist by L. Stephenson),2,40-45,,
5:37.0,,,40-47,2,O. Casspi makes 2-pt shot from 2 ft
5:20.0,Turnover by G. Henderson (step out of bounds),,40-47,,
5:20.0,,,40-47,,Sacramento full timeout
5:20.0,M. Williams enters the game for C. Zeller,,40-47,,
5:08.0,,,40-47,,R. Gay misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by K. Walker,,40-47,,
4:54.0,K. Walker misses 2-pt shot from 9 ft (block by J. Thompson),,40-47,,
4:53.0,Offensive rebound by G. Henderson,,40-47,,
4:44.0,G. Henderson misses 2-pt shot from 15 ft,,40-47,,
4:44.0,,,40-47,,Defensive rebound by O. Casspi
4:35.0,,,40-49,2,O. Casspi makes 2-pt shot from 6 ft
4:19.0,Turnover by L. Stephenson (bad pass),,40-49,,
4:19.0,M. Kidd-Gilchrist enters the game for M. Williams,,40-49,,
4:03.0,,,40-51,2,R. Gay makes 2-pt shot at rim (assist by B. McLemore)
3:44.0,K. Walker makes 2-pt shot from 18 ft,2,42-51,,
3:29.0,,,42-51,,R. McCallum misses 2-pt shot from 11 ft
3:28.0,Defensive rebound by M. Kidd-Gilchrist,,42-51,,
3:18.0,K. Walker misses 3-pt shot from 25 ft,,42-51,,
3:17.0,,,42-51,,Defensive rebound by Team
3:17.0,M. Williams enters the game for L. Stephenson,,42-51,,
3:05.0,,,42-53,2,O. Casspi makes 2-pt shot from 2 ft
3:05.0,,,42-53,,Shooting foul by A. Jefferson (drawn by O. Casspi)
3:05.0,,,42-53,,O. Casspi misses free throw 1 of 1
3:04.0,Defensive rebound by A. Jefferson,,42-53,,
2:41.0,,,42-53,,Personal foul by R. Gay (drawn by G. Henderson)
2:41.0,Charlotte full timeout,,42-53,,
2:33.0,M. Williams misses 3-pt shot from 25 ft,,42-53,,
2:32.0,Offensive rebound by G. Henderson,,42-53,,
2:22.0,K. Walker misses 2-pt shot from 10 ft,,42-53,,
2:21.0,,,42-53,,Defensive rebound by J. Thompson
2:18.0,,,42-53,,Turnover by B. McLemore (bad pass; steal by G. Henderson)
2:10.0,G. Henderson misses 2-pt shot from 11 ft,,42-53,,
2:09.0,,,42-53,,Defensive rebound by J. Thompson
1:51.0,,,42-53,,Turnover by R. McCallum (bad pass)
1:50.0,,,42-53,,Loose ball foul by J. Thompson (drawn by A. Jefferson)
1:28.0,K. Walker makes 2-pt shot from 3 ft (assist by A. Jefferson),2,44-53,,
1:11.0,,,44-55,2,R. McCallum makes 2-pt shot from 16 ft
0:58.0,M. Williams misses 2-pt shot from 14 ft,,44-55,,
0:57.0,,,44-55,,Defensive rebound by R. Gay
0:49.0,,,44-55,,R. Gay misses 2-pt shot from 4 ft
0:47.0,Defensive rebound by K. Walker,,44-55,,
0:43.0,K. Walker makes 2-pt shot from 3 ft,2,46-55,,
0:35.0,,,46-55,,R. McCallum misses 2-pt shot from 3 ft (block by M. Kidd-Gilchrist)
0:33.0,,,46-55,,Offensive rebound by R. McCallum
0:20.0,,,46-57,2,R. Gay makes 2-pt shot from 15 ft
0:01.0,K. Walker misses 2-pt shot from 9 ft,,46-57,,
0:00.0,,,46-57,,Defensive rebound by R. Gay
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by A. Jefferson),2,48-57,,
11:22.0,,,48-57,,R. McCallum misses 3-pt shot from 24 ft
11:21.0,Defensive rebound by A. Jefferson,,48-57,,
11:04.0,A. Jefferson makes 2-pt shot from 4 ft,2,50-57,,
10:44.0,,,50-57,,B. McLemore misses 2-pt shot from 6 ft
10:43.0,Defensive rebound by A. Jefferson,,50-57,,
10:35.0,K. Walker misses 2-pt shot from 6 ft (block by J. Thompson),,50-57,,
10:35.0,Offensive rebound by Team,,50-57,,
10:20.0,G. Henderson makes 2-pt shot from 3 ft,2,52-57,,
10:06.0,,,52-57,,Shooting foul by M. Kidd-Gilchrist (drawn by R. Gay)
10:06.0,,,52-58,1,R. Gay makes free throw 1 of 2
