time,Washington,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Dalembert vs. M. Gortat (J. Calderon gains possession),,,,Jump ball: S. Dalembert vs. M. Gortat (J. Calderon gains possession)
11:37.0,,,0-0,,A. Stoudemire misses 2-pt shot at rim
11:36.0,Defensive rebound by J. Wall,,0-0,,
11:19.0,M. Gortat makes 2-pt shot from 1 ft (assist by P. Pierce),2,2-0,,
11:04.0,,,2-2,2,A. Stoudemire makes 2-pt shot from 19 ft (assist by T. Hardaway)
10:43.0,N. Hilario makes 2-pt shot from 1 ft,2,4-2,,
10:43.0,Shooting foul by S. Dalembert (drawn by N. Hilario),,4-2,,
10:43.0,N. Hilario misses free throw 1 of 1,,4-2,,
10:43.0,,,4-2,,Defensive rebound by A. Stoudemire
10:21.0,,,4-2,,T. Hardaway misses 2-pt shot from 21 ft
10:20.0,Defensive rebound by P. Pierce,,4-2,,
10:12.0,J. Wall makes 2-pt shot from 1 ft,2,6-2,,
9:54.0,,,6-2,,C. Anthony misses 3-pt shot from 23 ft
9:53.0,Defensive rebound by M. Gortat,,6-2,,
9:45.0,P. Pierce makes 3-pt shot from 24 ft (assist by J. Wall),3,9-2,,
9:44.0,,,9-2,,New York full timeout
9:29.0,,,9-2,,Turnover by C. Anthony (bad pass; steal by M. Gortat)
9:13.0,M. Gortat misses 2-pt shot from 14 ft,,9-2,,
9:12.0,,,9-2,,Defensive rebound by S. Dalembert
8:52.0,,,9-2,,S. Dalembert misses 2-pt shot from 11 ft
8:51.0,Defensive rebound by M. Gortat,,9-2,,
8:36.0,J. Wall makes 2-pt shot from 4 ft,2,11-2,,
8:25.0,,,11-4,2,S. Dalembert makes 2-pt shot from 7 ft (assist by J. Calderon)
8:14.0,B. Beal misses 2-pt shot from 5 ft (block by T. Hardaway),,11-4,,
8:13.0,Offensive rebound by B. Beal,,11-4,,
8:12.0,B. Beal misses 2-pt shot from 1 ft,,11-4,,
8:11.0,,,11-4,,Defensive rebound by S. Dalembert
7:59.0,Personal foul by B. Beal (drawn by A. Stoudemire),,11-4,,
7:59.0,,,11-4,,P. Prigioni enters the game for T. Hardaway
7:59.0,,,11-4,,J. Smith enters the game for A. Stoudemire
7:56.0,,,11-4,,Shooting foul by N. Hilario (drawn by J. Calderon)
7:56.0,,,11-5,1,J. Calderon makes free throw 1 of 2
7:56.0,,,11-6,1,J. Calderon makes free throw 2 of 2
7:37.0,N. Hilario makes 2-pt shot from 1 ft,2,13-6,,
7:28.0,,,13-6,,C. Anthony misses 2-pt shot from 19 ft
