time,Minnesota,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. M. Speights (D. Green gains possession),,,,Jump ball: G. Dieng vs. M. Speights (D. Green gains possession)
11:47.0,,,0-2,2,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry)
11:35.0,A. Wiggins makes 2-pt shot at rim (assist by Z. LaVine),2,2-2,,
11:16.0,,,2-4,2,M. Speights makes 2-pt shot from 17 ft (assist by K. Thompson)
10:52.0,S. Muhammad makes 3-pt shot from 25 ft (assist by T. Young),3,5-4,,
10:42.0,,,5-4,,M. Speights misses 2-pt shot from 18 ft
10:41.0,Defensive rebound by T. Young,,5-4,,
10:30.0,T. Young makes 2-pt shot from 17 ft (assist by Z. LaVine),2,7-4,,
10:16.0,,,7-4,,K. Thompson misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by T. Young,,7-4,,
10:11.0,Turnover by T. Young (lost ball),,7-4,,
9:58.0,,,7-6,2,M. Speights makes 2-pt shot at rim (assist by K. Thompson)
9:41.0,A. Wiggins misses 3-pt shot from 26 ft,,7-6,,
9:40.0,,,7-6,,Defensive rebound by S. Curry
9:37.0,Violation by A. Wiggins (kicked ball),,7-6,,
9:26.0,,,7-8,2,K. Thompson makes 2-pt shot from 19 ft (assist by M. Speights)
9:10.0,Jump ball: S. Curry vs. A. Wiggins (M. Speights gains possession),,,,Jump ball: S. Curry vs. A. Wiggins (M. Speights gains possession)
9:10.0,Turnover by A. Wiggins (lost ball; steal by S. Curry),,7-8,,
9:05.0,,,7-8,,K. Thompson misses 3-pt shot from 26 ft
9:02.0,Defensive rebound by S. Muhammad,,7-8,,
8:49.0,A. Wiggins makes 2-pt shot from 10 ft (assist by Z. LaVine),2,9-8,,
8:39.0,,,9-8,,S. Curry misses 3-pt shot from 26 ft
8:39.0,Defensive rebound by S. Muhammad,,9-8,,
8:29.0,Turnover by G. Dieng (lost ball; steal by H. Barnes),,9-8,,
8:21.0,,,9-10,2,M. Speights makes 2-pt shot from 5 ft (assist by S. Curry)
8:00.0,G. Dieng makes 2-pt shot from 13 ft (assist by A. Wiggins),2,11-10,,
7:51.0,,,11-10,,S. Curry misses 2-pt shot from 16 ft
7:50.0,Defensive rebound by S. Muhammad,,11-10,,
7:42.0,G. Dieng makes 2-pt shot from 15 ft (assist by Z. LaVine),2,13-10,,
7:23.0,,,13-10,,Turnover by D. Green (bad pass; steal by T. Young)
7:14.0,Z. LaVine misses 3-pt shot from 23 ft,,13-10,,
7:13.0,,,13-10,,Defensive rebound by K. Thompson
7:11.0,,,13-10,,Turnover by K. Thompson (traveling)
7:03.0,T. Young makes 2-pt shot from 7 ft (assist by Z. LaVine),2,15-10,,
6:45.0,,,15-13,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
6:26.0,Z. LaVine misses 2-pt shot from 1 ft,,15-13,,
6:25.0,Offensive rebound by G. Dieng,,15-13,,
6:24.0,Turnover by G. Dieng (bad pass; steal by K. Thompson),,15-13,,
6:19.0,,,15-13,,K. Thompson misses 2-pt shot from 3 ft (block by T. Young)
6:18.0,,,15-13,,Offensive rebound by M. Speights
6:18.0,,,15-15,2,M. Speights makes 2-pt shot at rim
6:18.0,Minnesota full timeout,,15-15,,
6:18.0,,,15-15,,D. Lee enters the game for H. Barnes
6:18.0,,,15-15,,A. Iguodala enters the game for M. Speights
6:07.0,Turnover by Z. LaVine (bad pass; steal by A. Iguodala),,15-15,,
5:50.0,,,15-17,2,D. Lee makes 2-pt shot from 1 ft (assist by D. Green)
5:32.0,Shooting foul by K. Thompson (drawn by A. Wiggins),,15-17,,
5:32.0,A. Wiggins makes free throw 1 of 2,1,16-17,,
5:32.0,M. Williams enters the game for Z. LaVine,,16-17,,
5:32.0,A. Wiggins misses free throw 2 of 2,,16-17,,
5:31.0,,,16-17,,Defensive rebound by D. Green
5:19.0,,,16-19,2,D. Lee makes 2-pt shot at rim (assist by S. Curry)
4:58.0,Shooting foul by D. Lee (drawn by G. Dieng),,16-19,,
4:58.0,G. Dieng misses free throw 1 of 2,,16-19,,
4:58.0,Offensive rebound by Team,,16-19,,
4:58.0,G. Dieng makes free throw 2 of 2,1,17-19,,
4:42.0,,,17-19,,K. Thompson misses 3-pt shot from 25 ft
4:41.0,Defensive rebound by G. Dieng,,17-19,,
4:31.0,M. Williams makes 2-pt shot from 19 ft,2,19-19,,
4:18.0,,,19-19,,D. Green misses 2-pt shot from 3 ft (block by G. Dieng)
4:17.0,,,19-19,,Offensive rebound by D. Lee
4:17.0,,,19-19,,Shooting foul by T. Young (drawn by D. Lee)
4:17.0,,,19-20,1,D. Lee makes free throw 1 of 2
4:17.0,,,19-20,,S. Livingston enters the game for K. Thompson
4:17.0,Violation by G. Dieng (lane),,19-20,,
4:17.0,,,19-21,1,D. Lee makes free throw 2 of 2
4:03.0,Turnover by S. Muhammad (bad pass; steal by D. Green),,19-21,,
3:57.0,,,19-23,2,S. Curry makes 2-pt shot from 1 ft (assist by D. Green)
