time,Chicago,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. T. Mozgov (T. Lawson gains possession),,,,Jump ball: P. Gasol vs. T. Mozgov (T. Lawson gains possession)
11:42.0,,,0-2,2,T. Mozgov makes 2-pt shot from 1 ft (assist by T. Lawson)
11:28.0,P. Gasol makes 2-pt shot from 4 ft (assist by D. Rose),2,2-2,,
11:13.0,,,2-2,,W. Chandler misses 2-pt shot from 4 ft
11:11.0,Defensive rebound by P. Gasol,,2-2,,
11:04.0,D. Rose misses 3-pt shot from 25 ft (block by T. Lawson),,2-2,,
11:01.0,,,2-2,,Defensive rebound by T. Lawson
10:57.0,,,2-4,2,T. Lawson makes 2-pt shot at rim
10:38.0,P. Gasol misses 2-pt shot from 17 ft,,2-4,,
10:36.0,,,2-4,,Defensive rebound by K. Faried
10:25.0,,,2-7,3,W. Chandler makes 3-pt shot from 23 ft (assist by T. Lawson)
10:08.0,J. Butler makes 2-pt shot from 18 ft (assist by D. Rose),2,4-7,,
9:51.0,,,4-9,2,K. Faried makes 2-pt shot from 15 ft (assist by T. Lawson)
9:34.0,J. Butler makes 2-pt shot from 18 ft (assist by D. Rose),2,6-9,,
9:20.0,,,6-11,2,T. Mozgov makes 2-pt shot from 16 ft (assist by T. Lawson)
8:53.0,P. Gasol makes 2-pt shot from 11 ft,2,8-11,,
8:28.0,,,8-11,,T. Lawson misses 2-pt shot from 14 ft
8:26.0,Defensive rebound by M. Dunleavy,,8-11,,
8:17.0,D. Rose misses 3-pt shot from 25 ft,,8-11,,
8:16.0,,,8-11,,Defensive rebound by A. Afflalo
8:13.0,,,8-13,2,W. Chandler makes 2-pt shot at rim (assist by A. Afflalo)
7:50.0,P. Gasol misses 2-pt shot from 8 ft,,8-13,,
7:49.0,,,8-13,,Defensive rebound by T. Mozgov
7:45.0,Personal foul by C. Bairstow (drawn by K. Faried),,8-13,,
7:39.0,,,8-13,,T. Mozgov misses 2-pt shot from 14 ft
7:37.0,,,8-13,,Offensive rebound by W. Chandler
7:24.0,,,8-16,3,A. Afflalo makes 3-pt shot from 23 ft (assist by T. Lawson)
7:12.0,Shooting foul by T. Mozgov (drawn by J. Butler),,8-16,,
7:12.0,J. Butler makes free throw 1 of 2,1,9-16,,
7:12.0,J. Butler makes free throw 2 of 2,1,10-16,,
6:56.0,,,10-16,,K. Faried misses 2-pt shot from 5 ft
6:54.0,Defensive rebound by J. Butler,,10-16,,
6:46.0,M. Dunleavy misses 3-pt shot from 25 ft,,10-16,,
6:45.0,,,10-16,,Defensive rebound by T. Mozgov
6:42.0,,,10-16,,Turnover by T. Mozgov (lost ball)
6:14.0,D. Rose makes 2-pt shot from 4 ft,2,12-16,,
6:07.0,,,12-18,2,K. Faried makes 2-pt shot from 1 ft (assist by T. Lawson)
6:07.0,,,12-18,,Shooting foul by J. Butler (drawn by K. Faried)
6:07.0,,,12-18,,D. Gallinari enters the game for W. Chandler
6:07.0,,,12-19,1,K. Faried makes free throw 1 of 1
5:52.0,P. Gasol makes 2-pt shot from 1 ft,2,14-19,,
5:47.0,Personal foul by D. Rose (drawn by T. Lawson),,14-19,,
5:47.0,,,14-19,,Denver full timeout
5:47.0,K. Hinrich enters the game for D. Rose,,14-19,,
5:27.0,,,14-21,2,K. Faried makes 2-pt shot from 18 ft (assist by D. Gallinari)
5:20.0,Turnover by K. Hinrich (step out of bounds),,14-21,,
5:12.0,,,14-21,,T. Lawson misses 2-pt shot from 2 ft
5:11.0,,,14-21,,Offensive rebound by A. Afflalo
5:08.0,,,14-24,3,A. Afflalo makes 3-pt shot from 22 ft
4:49.0,M. Dunleavy makes 2-pt shot from 1 ft (assist by P. Gasol),2,16-24,,
4:31.0,,,16-26,2,D. Gallinari makes 2-pt shot from 12 ft
4:16.0,Shooting foul by A. Afflalo (drawn by J. Butler),,16-26,,
4:16.0,J. Butler makes free throw 1 of 2,1,17-26,,
4:16.0,J. Butler makes free throw 2 of 2,1,18-26,,
3:53.0,,,18-26,,D. Gallinari misses 2-pt shot from 2 ft
3:52.0,Defensive rebound by P. Gasol,,18-26,,
3:35.0,Shooting foul by T. Mozgov (drawn by M. Dunleavy),,18-26,,
3:35.0,M. Dunleavy makes free throw 1 of 2,1,19-26,,
3:35.0,,,19-26,,J. Hickson enters the game for T. Mozgov
3:35.0,M. Dunleavy misses free throw 2 of 2,,19-26,,
3:31.0,,,19-26,,Defensive rebound by A. Afflalo
3:15.0,,,19-26,,K. Faried misses 2-pt shot from 14 ft
3:14.0,Defensive rebound by J. Butler,,19-26,,
3:02.0,C. Bairstow misses 2-pt shot from 18 ft,,19-26,,
3:01.0,,,19-26,,Defensive rebound by K. Faried
2:57.0,,,19-28,2,K. Faried makes 2-pt shot at rim (assist by J. Hickson)
2:32.0,K. Hinrich misses 3-pt shot from 24 ft,,19-28,,
2:32.0,,,19-28,,Defensive rebound by Team
2:32.0,Chicago full timeout,,19-28,,
2:32.0,N. Mohammed enters the game for P. Gasol,,19-28,,
2:32.0,N. Mirotic enters the game for C. Bairstow,,19-28,,
2:18.0,,,19-28,,A. Afflalo misses 2-pt shot from 15 ft
2:17.0,,,19-28,,Offensive rebound by K. Faried
2:12.0,,,19-28,,K. Faried misses 2-pt shot from 16 ft
2:10.0,Defensive rebound by N. Mirotic,,19-28,,
1:52.0,J. Butler misses 2-pt shot from 19 ft,,19-28,,
1:52.0,,,19-28,,Defensive rebound by Team
1:52.0,,,19-28,,D. Arthur enters the game for K. Faried
1:52.0,D. McDermott enters the game for M. Dunleavy,,19-28,,
1:35.0,,,19-30,2,D. Gallinari makes 2-pt shot from 19 ft (assist by T. Lawson)
1:20.0,J. Butler misses 2-pt shot from 18 ft,,19-30,,
1:18.0,,,19-30,,Defensive rebound by D. Arthur
1:13.0,,,19-30,,Offensive foul by J. Hickson
1:13.0,,,19-30,,Turnover by J. Hickson (offensive foul)
1:03.0,K. Hinrich misses 2-pt shot from 6 ft,,19-30,,
1:00.0,,,19-30,,Defensive rebound by A. Afflalo
0:54.0,,,19-30,,A. Afflalo misses 2-pt shot from 19 ft
0:53.0,Defensive rebound by N. Mirotic,,19-30,,
0:53.0,,,19-30,,Loose ball foul by T. Lawson (drawn by N. Mirotic)
0:46.0,K. Hinrich misses 2-pt shot from 20 ft,,19-30,,
0:45.0,,,19-30,,Defensive rebound by T. Lawson
0:39.0,,,19-30,,Shooting foul by N. Mohammed (drawn by J. Hickson)
0:39.0,,,19-30,,J. Hickson misses free throw 1 of 2
0:39.0,,,19-30,,Offensive rebound by Team
0:39.0,,,19-31,1,J. Hickson makes free throw 2 of 2
0:24.0,J. Butler misses 2-pt shot from 2 ft (block by D. Arthur),,19-31,,
0:23.0,Offensive rebound by Team,,19-31,,
0:21.0,,,19-31,,Violation by J. Hickson (def goaltending)
0:21.0,J. Butler makes 2-pt shot from 1 ft (assist by K. Hinrich),2,21-31,,
0:03.0,,,21-31,,D. Gallinari misses 2-pt shot from 22 ft
0:02.0,Defensive rebound by N. Mirotic,,21-31,,
0:01.0,N. Mirotic misses 3-pt shot from 48 ft,,21-31,,
0:00.0,Offensive rebound by Team,,21-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:55.0,Turnover by K. Hinrich (bad pass; steal by G. Harris),,21-31,,
11:36.0,,,21-33,2,J. Hickson makes 2-pt shot from 4 ft
11:19.0,Turnover by A. Brooks (step out of bounds),,21-33,,
11:07.0,,,21-33,,N. Robinson misses 2-pt shot from 5 ft
11:04.0,Defensive rebound by N. Mohammed,,21-33,,
10:42.0,N. Mohammed makes 2-pt shot from 16 ft (assist by K. Hinrich),2,23-33,,
10:27.0,,,23-33,,D. Arthur misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by N. Mohammed,,23-33,,
10:10.0,A. Brooks makes 2-pt shot from 13 ft,2,25-33,,
9:52.0,,,25-35,2,D. Gallinari makes 2-pt shot at rim (assist by N. Robinson)
