time,Minnesota,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hamilton vs. R. Lopez (A. Afflalo gains possession),,,,Jump ball: J. Hamilton vs. R. Lopez (A. Afflalo gains possession)
11:45.0,,,0-0,,L. Aldridge misses 2-pt shot from 19 ft
11:44.0,,,0-0,,Offensive rebound by R. Lopez
11:40.0,,,0-2,2,A. Afflalo makes 2-pt shot from 9 ft (assist by R. Lopez)
11:21.0,K. Martin misses 2-pt shot from 14 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by A. Afflalo
11:12.0,,,0-2,,Shooting foul by K. Martin (drawn by A. Afflalo)
11:12.0,,,0-3,1,A. Afflalo makes free throw 1 of 2
11:12.0,,,0-4,1,A. Afflalo makes free throw 2 of 2
10:59.0,A. Wiggins misses 2-pt shot from 16 ft,,0-4,,
10:58.0,Offensive rebound by Team,,0-4,,
10:52.0,,,0-4,,Personal foul by A. Afflalo (drawn by K. Martin)
10:46.0,Turnover by A. Payne (traveling),,0-4,,
10:32.0,,,0-4,,Turnover by R. Lopez (3 sec)
10:19.0,Shooting foul by D. Lillard (drawn by A. Wiggins),,0-4,,
10:19.0,A. Wiggins misses free throw 1 of 2,,0-4,,
10:19.0,Offensive rebound by Team,,0-4,,
10:19.0,A. Wiggins makes free throw 2 of 2,1,1-4,,
10:00.0,,,1-4,,L. Aldridge misses 3-pt shot from 23 ft
9:59.0,Defensive rebound by A. Wiggins,,1-4,,
9:51.0,Z. LaVine misses 2-pt shot from 13 ft,,1-4,,
9:50.0,,,1-4,,Defensive rebound by N. Batum
9:29.0,,,1-7,3,D. Lillard makes 3-pt shot from 26 ft (assist by R. Lopez)
9:13.0,K. Martin makes 2-pt shot from 7 ft (assist by Z. LaVine),2,3-7,,
8:59.0,,,3-9,2,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Lillard)
8:45.0,K. Martin misses 2-pt shot from 21 ft,,3-9,,
8:44.0,,,3-9,,Defensive rebound by L. Aldridge
8:36.0,,,3-12,3,N. Batum makes 3-pt shot from 25 ft (assist by D. Lillard)
8:36.0,Minnesota full timeout,,3-12,,
8:24.0,A. Wiggins misses 2-pt shot from 4 ft,,3-12,,
8:23.0,,,3-12,,Defensive rebound by R. Lopez
8:16.0,,,3-12,,D. Lillard misses 3-pt shot from 25 ft
8:14.0,Defensive rebound by A. Wiggins,,3-12,,
7:59.0,J. Hamilton misses 2-pt shot from 1 ft,,3-12,,
7:58.0,,,3-12,,Defensive rebound by L. Aldridge
7:49.0,,,3-12,,Turnover by N. Batum (bad pass; steal by Z. LaVine)
7:45.0,Z. LaVine makes 2-pt shot from 1 ft,2,5-12,,
7:25.0,,,5-12,,N. Batum misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by Z. LaVine,,5-12,,
7:10.0,A. Wiggins makes 2-pt shot from 11 ft (assist by A. Payne),2,7-12,,
6:54.0,,,7-12,,Turnover by N. Batum (bad pass; steal by J. Hamilton)
6:49.0,A. Wiggins makes 2-pt shot at rim (assist by Z. LaVine),2,9-12,,
6:29.0,,,9-14,2,N. Batum makes 2-pt shot from 11 ft
6:20.0,A. Payne makes 2-pt shot from 5 ft (assist by K. Martin),2,11-14,,
6:03.0,Personal foul by A. Payne (drawn by L. Aldridge),,11-14,,
6:03.0,,,11-14,,C. Kaman enters the game for R. Lopez
6:03.0,,,11-14,,C. McCollum enters the game for A. Afflalo
5:51.0,,,11-16,2,L. Aldridge makes 2-pt shot from 17 ft
5:29.0,J. Hamilton makes 2-pt shot from 2 ft (assist by K. Martin),2,13-16,,
5:13.0,,,13-16,,C. McCollum misses 3-pt shot from 23 ft
5:12.0,,,13-16,,Offensive rebound by C. Kaman
5:06.0,,,13-19,3,L. Aldridge makes 3-pt shot from 25 ft (assist by N. Batum)
4:50.0,A. Payne misses 2-pt shot from 18 ft,,13-19,,
4:47.0,,,13-19,,Defensive rebound by C. Kaman
4:38.0,,,13-21,2,C. Kaman makes 2-pt shot from 18 ft (assist by D. Lillard)
4:22.0,K. Martin misses 2-pt shot from 18 ft,,13-21,,
4:21.0,,,13-21,,Defensive rebound by L. Aldridge
4:15.0,,,13-21,,L. Aldridge misses 2-pt shot at rim (block by A. Payne)
4:13.0,Defensive rebound by J. Hamilton,,13-21,,
4:04.0,A. Payne misses 2-pt shot from 1 ft,,13-21,,
4:03.0,,,13-21,,Defensive rebound by L. Aldridge
3:57.0,,,13-23,2,L. Aldridge makes 2-pt shot at rim (assist by D. Lillard)
3:32.0,A. Wiggins makes 2-pt shot from 12 ft,2,15-23,,
3:32.0,Shooting foul by N. Batum (drawn by A. Wiggins),,15-23,,
3:32.0,C. Budinger enters the game for A. Payne,,15-23,,
3:32.0,A. Wiggins makes free throw 1 of 1,1,16-23,,
3:13.0,,,16-23,,C. McCollum misses 2-pt shot from 18 ft
3:11.0,Defensive rebound by K. Martin,,16-23,,
3:07.0,Turnover by K. Martin (bad pass; steal by C. McCollum),,16-23,,
3:01.0,,,16-25,2,L. Aldridge makes 2-pt shot from 1 ft (assist by N. Batum)
2:40.0,Z. LaVine misses 3-pt shot from 25 ft,,16-25,,
2:39.0,,,16-25,,Defensive rebound by L. Aldridge
2:27.0,,,16-25,,Offensive foul by C. Kaman
2:27.0,,,16-25,,Turnover by C. Kaman (offensive foul)
2:27.0,,,16-25,,Portland full timeout
2:27.0,A. Onuaku enters the game for J. Hamilton,,16-25,,
2:27.0,,,16-25,,S. Blake enters the game for N. Batum
2:27.0,,,16-25,,A. Afflalo enters the game for D. Lillard
2:07.0,Z. LaVine misses 2-pt shot from 6 ft,,16-25,,
2:05.0,,,16-25,,Defensive rebound by L. Aldridge
1:52.0,,,16-27,2,L. Aldridge makes 2-pt shot from 5 ft
1:32.0,A. Wiggins misses 3-pt shot from 25 ft,,16-27,,
1:31.0,,,16-27,,Defensive rebound by C. Kaman
1:13.0,,,16-27,,A. Afflalo misses 3-pt shot from 23 ft
1:11.0,,,16-27,,Offensive rebound by L. Aldridge
1:11.0,,,16-29,2,L. Aldridge makes 2-pt shot at rim
0:48.0,A. Wiggins makes 2-pt shot from 14 ft,2,18-29,,
0:48.0,Shooting foul by A. Afflalo (drawn by A. Wiggins),,18-29,,
0:48.0,L. Brown enters the game for Z. LaVine,,18-29,,
0:48.0,A. Wiggins makes free throw 1 of 1,1,19-29,,
