time,Golden State,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Gasol (T. Allen gains possession),,,,Jump ball: A. Bogut vs. M. Gasol (T. Allen gains possession)
11:37.0,,,0-0,,Turnover by Z. Randolph (lost ball; steal by A. Bogut)
11:28.0,K. Thompson misses 2-pt shot from 22 ft,,0-0,,
11:26.0,Offensive rebound by Team,,0-0,,
11:24.0,H. Barnes misses 2-pt shot from 1 ft (block by T. Allen),,0-0,,
11:22.0,,,0-0,,Defensive rebound by C. Lee
11:06.0,,,0-2,2,M. Conley makes 2-pt shot from 15 ft
10:43.0,H. Barnes makes 3-pt shot from 22 ft (assist by S. Curry),3,3-2,,
10:21.0,,,3-5,3,M. Conley makes 3-pt shot from 25 ft (assist by Z. Randolph)
10:11.0,K. Thompson makes 2-pt shot from 6 ft (assist by S. Curry),2,5-5,,
9:56.0,,,5-5,,C. Lee misses 2-pt shot from 21 ft
9:55.0,Defensive rebound by K. Thompson,,5-5,,
9:40.0,D. Green misses 3-pt shot from 25 ft,,5-5,,
9:39.0,,,5-5,,Defensive rebound by T. Allen
9:36.0,Personal foul by D. Green (drawn by Z. Randolph),,5-5,,
9:26.0,,,5-5,,Z. Randolph misses 2-pt shot from 16 ft
9:25.0,Defensive rebound by A. Bogut,,5-5,,
9:11.0,D. Green makes 2-pt shot at rim,2,7-5,,
9:11.0,Shooting foul by Z. Randolph (drawn by D. Green),,7-5,,
9:11.0,D. Green misses free throw 1 of 1,,7-5,,
9:10.0,,,7-5,,Defensive rebound by M. Gasol
8:50.0,,,7-7,2,M. Conley makes 2-pt shot from 16 ft
8:41.0,D. Green makes 2-pt shot from 1 ft (assist by S. Curry),2,9-7,,
8:25.0,,,9-7,,T. Allen misses 2-pt shot from 18 ft
8:24.0,,,9-7,,Offensive rebound by M. Gasol
8:21.0,,,9-7,,M. Conley misses 3-pt shot from 25 ft
8:20.0,,,9-7,,Offensive rebound by T. Allen
8:01.0,,,9-7,,Z. Randolph misses 2-pt shot from 5 ft
7:59.0,Defensive rebound by H. Barnes,,9-7,,
7:51.0,S. Curry makes 2-pt shot from 21 ft (assist by H. Barnes),2,11-7,,
7:41.0,Personal foul by D. Green (drawn by M. Gasol),,11-7,,
7:41.0,D. Lee enters the game for D. Green,,11-7,,
7:30.0,,,11-9,2,Z. Randolph makes 2-pt shot from 16 ft (assist by M. Conley)
7:12.0,Turnover by D. Lee (bad pass; steal by M. Conley),,11-9,,
7:09.0,,,11-9,,Shooting foul by K. Thompson (drawn by C. Lee)
7:09.0,,,11-10,1,C. Lee makes free throw 1 of 2
7:09.0,,,11-11,1,C. Lee makes free throw 2 of 2
7:00.0,K. Thompson makes 2-pt shot from 13 ft (assist by S. Curry),2,13-11,,
6:49.0,,,13-13,2,M. Conley makes 2-pt shot from 15 ft
6:38.0,Turnover by S. Curry (step out of bounds),,13-13,,
6:26.0,,,13-13,,Turnover by M. Conley (bad pass; steal by H. Barnes)
6:20.0,S. Curry misses 3-pt shot from 26 ft,,13-13,,
6:19.0,Offensive rebound by H. Barnes,,13-13,,
6:07.0,K. Thompson makes 3-pt shot from 25 ft (assist by A. Bogut),3,16-13,,
5:47.0,,,16-13,,Memphis full timeout
5:47.0,A. Iguodala enters the game for H. Barnes,,16-13,,
5:47.0,,,16-13,,Turnover by M. Gasol (lost ball)
5:47.0,Jump ball: M. Gasol vs. K. Thompson (S. Curry gains possession),,,,Jump ball: M. Gasol vs. K. Thompson (S. Curry gains possession)
5:30.0,K. Thompson makes 2-pt shot from 23 ft (assist by D. Lee),2,18-13,,
5:10.0,,,18-16,3,M. Conley makes 3-pt shot from 22 ft (assist by Z. Randolph)
4:54.0,A. Iguodala misses 2-pt shot from 16 ft,,18-16,,
4:52.0,,,18-16,,Defensive rebound by M. Conley
4:49.0,,,18-16,,Turnover by M. Conley (lost ball; steal by S. Curry)
4:49.0,,,18-16,,Personal take foul by T. Allen (drawn by A. Iguodala)
4:49.0,,,18-16,,J. Green enters the game for C. Lee
