time,LA Lakers,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. R. Sacre (D. Favors gains possession),,,,Jump ball: R. Gobert vs. R. Sacre (D. Favors gains possession)
11:42.0,,,0-2,2,R. Gobert makes 2-pt shot at rim (assist by D. Exum)
11:17.0,W. Ellington misses 2-pt shot from 8 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by R. Gobert
11:09.0,,,0-2,,G. Hayward misses 2-pt shot from 3 ft
11:08.0,Defensive rebound by R. Kelly,,0-2,,
10:59.0,R. Sacre makes 2-pt shot from 17 ft (assist by J. Clarkson),2,2-2,,
10:41.0,,,2-2,,J. Ingles misses 2-pt shot from 20 ft
10:40.0,,,2-2,,Offensive rebound by D. Favors
10:37.0,Personal foul by R. Kelly (drawn by R. Gobert),,2-2,,
10:28.0,,,2-4,2,G. Hayward makes 2-pt shot at rim
10:11.0,J. Clarkson makes 2-pt shot from 20 ft,2,4-4,,
9:53.0,,,4-4,,Turnover by D. Exum (lost ball)
9:37.0,J. Clarkson misses 3-pt shot from 24 ft,,4-4,,
9:35.0,,,4-4,,Defensive rebound by D. Favors
9:24.0,,,4-7,3,D. Exum makes 3-pt shot from 24 ft (assist by J. Ingles)
9:12.0,Shooting foul by J. Ingles (drawn by R. Sacre),,4-7,,
9:12.0,R. Sacre makes free throw 1 of 2,1,5-7,,
9:12.0,R. Sacre makes free throw 2 of 2,1,6-7,,
9:06.0,Personal foul by R. Kelly (drawn by G. Hayward),,6-7,,
9:06.0,W. Johnson enters the game for R. Kelly,,6-7,,
8:54.0,,,6-9,2,G. Hayward makes 2-pt shot from 8 ft
8:37.0,W. Johnson makes 2-pt shot from 17 ft (assist by R. Sacre),2,8-9,,
8:22.0,,,8-9,,Shooting foul by W. Johnson (drawn by G. Hayward)
8:22.0,,,8-10,1,G. Hayward makes free throw 1 of 2
8:22.0,,,8-11,1,G. Hayward makes free throw 2 of 2
7:59.0,C. Boozer misses 2-pt shot from 19 ft,,8-11,,
7:58.0,Offensive rebound by W. Johnson,,8-11,,
7:55.0,W. Johnson misses 2-pt shot from 2 ft,,8-11,,
7:55.0,,,8-11,,Defensive rebound by Team
7:39.0,,,8-13,2,G. Hayward makes 2-pt shot from 17 ft
7:27.0,J. Clarkson makes 2-pt shot from 19 ft,2,10-13,,
7:03.0,,,10-13,,G. Hayward misses 2-pt shot from 15 ft
7:00.0,Defensive rebound by C. Boozer,,10-13,,
6:55.0,Offensive charge foul by J. Clarkson,,10-13,,
6:55.0,Turnover by J. Clarkson (offensive foul),,10-13,,
6:36.0,,,10-13,,D. Favors misses 2-pt shot from 5 ft
6:36.0,,,10-13,,Offensive rebound by R. Gobert
6:36.0,,,10-13,,R. Gobert misses 2-pt shot from 1 ft
6:36.0,,,10-13,,Offensive rebound by Team
6:31.0,,,10-13,,Turnover by R. Gobert (bad pass)
6:22.0,,,10-13,,Personal foul by J. Ingles (drawn by C. Boozer)
6:22.0,,,10-13,,E. Millsap enters the game for J. Ingles
6:17.0,W. Johnson misses 3-pt shot from 23 ft,,10-13,,
6:16.0,,,10-13,,Defensive rebound by D. Favors
6:01.0,,,10-13,,D. Exum misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by W. Ellington,,10-13,,
5:43.0,J. Clarkson makes 2-pt shot from 16 ft,2,12-13,,
5:27.0,,,12-15,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
5:09.0,,,12-15,,Shooting block foul by D. Exum (drawn by C. Boozer)
5:09.0,,,12-15,,Utah full timeout
5:09.0,,,12-15,,T. Burke enters the game for D. Exum
5:09.0,C. Boozer makes free throw 1 of 2,1,13-15,,
5:09.0,C. Boozer makes free throw 2 of 2,1,14-15,,
5:00.0,,,14-15,,T. Burke misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by W. Ellington,,14-15,,
4:50.0,Shooting foul by D. Favors (drawn by C. Boozer),,14-15,,
4:50.0,C. Boozer misses free throw 1 of 2,,14-15,,
4:50.0,Offensive rebound by Team,,14-15,,
4:50.0,C. Boozer misses free throw 2 of 2,,14-15,,
4:49.0,,,14-15,,Defensive rebound by R. Gobert
4:29.0,,,14-17,2,G. Hayward makes 2-pt shot from 3 ft
4:15.0,C. Boozer misses 2-pt shot from 13 ft,,14-17,,
4:13.0,Offensive rebound by J. Clarkson,,14-17,,
4:13.0,J. Clarkson misses 2-pt shot from 1 ft,,14-17,,
4:11.0,,,14-17,,Defensive rebound by T. Burke
4:11.0,J. Hill enters the game for C. Boozer,,14-17,,
4:11.0,J. Lin enters the game for R. Sacre,,14-17,,
4:11.0,E. Davis enters the game for J. Clarkson,,14-17,,
3:59.0,,,14-19,2,D. Favors makes 2-pt shot from 9 ft
3:47.0,W. Ellington misses 2-pt shot from 3 ft (block by R. Gobert),,14-19,,
3:45.0,,,14-19,,Defensive rebound by T. Burke
3:42.0,,,14-21,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
3:19.0,,,14-21,,R. Hood enters the game for G. Hayward
3:19.0,,,14-21,,T. Booker enters the game for D. Favors
3:12.0,J. Lin misses 3-pt shot from 24 ft,,14-21,,
3:11.0,,,14-21,,Defensive rebound by T. Booker
2:57.0,,,14-23,2,R. Gobert makes 2-pt shot at rim (assist by T. Burke)
2:57.0,,,14-23,,Shooting foul by W. Johnson (drawn by R. Gobert)
2:57.0,LA Lakers full timeout,,14-23,,
2:57.0,,,14-24,1,R. Gobert makes free throw 1 of 1
2:41.0,J. Lin misses 3-pt shot from 25 ft,,14-24,,
2:39.0,,,14-24,,Defensive rebound by R. Hood
2:18.0,,,14-24,,T. Booker misses 2-pt shot from 4 ft (block by E. Davis)
2:17.0,Defensive rebound by W. Ellington,,14-24,,
2:01.0,J. Hill misses 2-pt shot from 8 ft,,14-24,,
1:59.0,Offensive rebound by E. Davis,,14-24,,
1:59.0,E. Davis makes 2-pt shot from 3 ft,2,16-24,,
1:50.0,,,16-24,,Turnover by E. Millsap (bad pass; steal by E. Davis)
1:48.0,,,16-24,,Violation by T. Burke (kicked ball)
1:43.0,,,16-24,,Personal foul by T. Burke (drawn by W. Ellington)
1:43.0,W. Ellington makes free throw 1 of 2,1,17-24,,
1:43.0,,,17-24,,J. Evans enters the game for R. Gobert
1:43.0,W. Ellington makes free throw 2 of 2,1,18-24,,
1:32.0,,,18-26,2,J. Evans makes 2-pt shot from 2 ft (assist by T. Burke)
1:10.0,W. Johnson makes 3-pt shot from 24 ft (assist by J. Lin),3,21-26,,
0:51.0,,,21-28,2,E. Millsap makes 2-pt shot from 2 ft
0:36.0,J. Lin misses 2-pt shot from 3 ft,,21-28,,
0:35.0,,,21-28,,Defensive rebound by T. Booker
0:31.0,,,21-28,,T. Booker misses 2-pt shot from 4 ft (block by W. Johnson)
0:31.0,,,21-28,,Offensive rebound by Team
0:25.0,,,21-28,,Shooting foul by J. Hill (drawn by T. Booker)
0:25.0,,,21-29,1,T. Booker makes free throw 1 of 2
0:25.0,,,21-29,,T. Booker misses free throw 2 of 2
0:25.0,Defensive rebound by W. Johnson,,21-29,,
0:02.0,J. Hill misses 2-pt shot from 20 ft,,21-29,,
0:00.0,,,21-29,,Defensive rebound by E. Millsap
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,W. Ellington makes 2-pt shot from 17 ft (assist by J. Lin),2,23-29,,
11:14.0,,,23-31,2,T. Booker makes 2-pt shot from 1 ft (assist by J. Evans)
10:53.0,W. Ellington misses 2-pt shot from 17 ft,,23-31,,
10:51.0,Offensive rebound by J. Lin,,23-31,,
10:49.0,J. Lin makes 2-pt shot from 14 ft,2,25-31,,
10:37.0,,,25-31,,T. Burke misses 2-pt shot from 6 ft (block by J. Lin)
10:35.0,,,25-31,,Offensive rebound by T. Burke
10:26.0,,,25-31,,T. Booker misses 2-pt shot from 13 ft (block by W. Johnson)
10:22.0,Defensive rebound by W. Ellington,,25-31,,
10:14.0,E. Davis makes 2-pt shot from 1 ft (assist by J. Lin),2,27-31,,
9:52.0,,,27-34,3,R. Hood makes 3-pt shot from 23 ft (assist by E. Millsap)
9:31.0,W. Johnson misses 2-pt shot from 17 ft,,27-34,,
9:27.0,Offensive rebound by E. Davis,,27-34,,
9:24.0,J. Hill misses 2-pt shot from 18 ft,,27-34,,
9:24.0,Offensive rebound by Team,,27-34,,
9:24.0,,,27-34,,Personal foul by R. Hood (drawn by W. Johnson)
9:24.0,,,27-34,,D. Favors enters the game for J. Evans
9:24.0,J. Clarkson enters the game for W. Ellington,,27-34,,
9:07.0,W. Johnson misses 2-pt shot from 12 ft,,27-34,,
9:05.0,,,27-34,,Defensive rebound by T. Booker
8:50.0,,,27-34,,Shooting foul by E. Davis (drawn by E. Millsap)
8:50.0,Official timeout,,27-34,,
8:50.0,,,27-34,,D. Exum enters the game for T. Burke
8:50.0,,,27-34,,E. Millsap misses free throw 1 of 2
8:50.0,,,27-34,,Offensive rebound by Team
8:50.0,,,27-35,1,E. Millsap makes free throw 2 of 2
8:31.0,,,27-35,,Personal foul by D. Exum (drawn by J. Lin)
