time,Houston,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Howard (J. Terry gains possession),,,,Jump ball: A. Bogut vs. D. Howard (J. Terry gains possession)
11:47.0,J. Harden makes 2-pt shot from 14 ft (assist by D. Howard),2,2-0,,
11:47.0,Shooting foul by K. Thompson (drawn by J. Harden),,2-0,,
11:47.0,J. Harden makes free throw 1 of 1,1,3-0,,
11:32.0,,,3-0,,K. Thompson misses 3-pt shot from 24 ft
11:31.0,Defensive rebound by D. Howard,,3-0,,
11:25.0,T. Ariza misses 3-pt shot from 26 ft,,3-0,,
11:24.0,,,3-0,,Defensive rebound by S. Curry
11:16.0,,,3-2,2,S. Curry makes 2-pt shot from 5 ft
11:01.0,J. Smith misses 2-pt shot from 7 ft,,3-2,,
11:00.0,,,3-2,,Defensive rebound by D. Green
10:55.0,,,3-2,,Turnover by K. Thompson (lost ball; steal by J. Harden)
10:49.0,J. Smith makes 2-pt shot from 2 ft (assist by T. Ariza),2,5-2,,
10:31.0,,,5-2,,S. Curry misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by J. Harden,,5-2,,
10:24.0,J. Harden misses 3-pt shot from 24 ft,,5-2,,
10:23.0,,,5-2,,Defensive rebound by K. Thompson
10:18.0,Personal foul by J. Terry (drawn by H. Barnes),,5-2,,
10:09.0,,,5-5,3,D. Green makes 3-pt shot from 24 ft (assist by H. Barnes)
9:49.0,J. Smith misses 2-pt shot from 6 ft (block by A. Bogut),,5-5,,
9:48.0,Offensive rebound by D. Howard,,5-5,,
9:48.0,D. Howard misses 2-pt shot from 4 ft,,5-5,,
9:46.0,,,5-5,,Defensive rebound by A. Bogut
9:45.0,,,5-5,,Turnover by A. Bogut (bad pass; steal by J. Smith)
9:37.0,J. Smith misses 2-pt shot from 5 ft,,5-5,,
9:36.0,,,5-5,,Defensive rebound by H. Barnes
9:26.0,,,5-5,,S. Curry misses 3-pt shot from 28 ft
9:25.0,Defensive rebound by T. Ariza,,5-5,,
9:18.0,Turnover by J. Harden (bad pass; steal by D. Green),,5-5,,
9:13.0,Personal foul by D. Howard (drawn by A. Bogut),,5-5,,
9:09.0,,,5-7,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
8:58.0,Offensive foul by T. Ariza,,5-7,,
8:58.0,Turnover by T. Ariza (offensive foul),,5-7,,
8:50.0,,,5-7,,Turnover by D. Green (bad pass; steal by D. Howard)
8:40.0,J. Smith makes 2-pt shot from 9 ft,2,7-7,,
8:21.0,,,7-9,2,H. Barnes makes 2-pt shot from 3 ft (assist by D. Green)
8:06.0,J. Smith misses 2-pt shot from 10 ft,,7-9,,
8:05.0,,,7-9,,Defensive rebound by D. Green
7:54.0,,,7-9,,Turnover by A. Bogut (bad pass; steal by T. Ariza)
7:45.0,J. Terry makes 3-pt shot from 25 ft (assist by J. Smith),3,10-9,,
7:44.0,,,10-9,,Golden State full timeout
7:21.0,,,10-11,2,A. Bogut makes 2-pt shot at rim (assist by D. Green)
7:07.0,J. Smith misses 2-pt shot from 3 ft,,10-11,,
7:06.0,,,10-11,,Defensive rebound by A. Bogut
7:02.0,,,10-11,,S. Curry misses 2-pt shot from 2 ft
7:01.0,Defensive rebound by T. Ariza,,10-11,,
6:55.0,C. Capela enters the game for D. Howard,,10-11,,
6:41.0,J. Smith misses 2-pt shot from 10 ft,,10-11,,
6:40.0,,,10-11,,Defensive rebound by D. Green
6:24.0,,,10-13,2,K. Thompson makes 2-pt shot from 14 ft (assist by A. Bogut)
6:08.0,J. Terry misses 2-pt shot from 11 ft,,10-13,,
6:07.0,,,10-13,,Defensive rebound by D. Green
5:54.0,T. Jones enters the game for J. Smith,,10-13,,
5:54.0,,,10-13,,A. Iguodala enters the game for H. Barnes
5:49.0,,,10-15,2,K. Thompson makes 2-pt shot from 18 ft (assist by A. Bogut)
5:30.0,T. Jones makes 2-pt shot from 8 ft,2,12-15,,
5:20.0,,,12-17,2,A. Bogut makes 2-pt shot from 8 ft (assist by S. Curry)
5:04.0,T. Jones makes 2-pt shot from 4 ft (assist by J. Harden),2,14-17,,
4:54.0,Def 3 sec tech foul by C. Capela,,14-17,,
4:54.0,,,14-18,1,S. Curry makes technical free throw
4:54.0,P. Prigioni enters the game for J. Terry,,14-18,,
4:54.0,,,14-18,,L. Barbosa enters the game for K. Thompson
4:42.0,,,14-18,,Turnover by A. Bogut (bad pass; steal by T. Ariza)
4:37.0,J. Harden misses 2-pt shot from 3 ft (block by A. Bogut),,14-18,,
4:35.0,Offensive rebound by T. Jones,,14-18,,
4:34.0,Turnover by T. Jones (lost ball; steal by A. Iguodala),,14-18,,
4:33.0,Personal foul by P. Prigioni (drawn by S. Curry),,14-18,,
4:33.0,C. Brewer enters the game for T. Ariza,,14-18,,
4:33.0,D. Howard enters the game for C. Capela,,14-18,,
4:16.0,,,14-18,,Turnover by S. Curry (bad pass; steal by P. Prigioni)
4:07.0,C. Brewer misses 2-pt shot from 5 ft,,14-18,,
4:05.0,Offensive rebound by D. Howard,,14-18,,
4:05.0,D. Howard makes 2-pt shot from 1 ft,2,16-18,,
3:51.0,,,16-21,3,S. Curry makes 3-pt shot from 28 ft (assist by D. Green)
3:40.0,Shooting foul by A. Bogut (drawn by C. Brewer),,16-21,,
3:40.0,C. Brewer makes free throw 1 of 2,1,17-21,,
3:40.0,,,17-21,,F. Ezeli enters the game for A. Bogut
3:40.0,C. Brewer misses free throw 2 of 2,,17-21,,
3:38.0,,,17-21,,Defensive rebound by F. Ezeli
3:29.0,,,17-21,,Turnover by S. Curry (bad pass; steal by T. Jones)
3:25.0,C. Brewer makes 2-pt shot at rim (assist by P. Prigioni),2,19-21,,
3:01.0,,,19-24,3,S. Curry makes 3-pt shot from 23 ft (assist by A. Iguodala)
2:50.0,Shooting foul by F. Ezeli (drawn by J. Harden),,19-24,,
2:50.0,Houston full timeout,,19-24,,
2:50.0,J. Harden makes free throw 1 of 2,1,20-24,,
2:50.0,J. Harden makes free throw 2 of 2,1,21-24,,
2:31.0,,,21-27,3,S. Curry makes 3-pt shot from 24 ft (assist by A. Iguodala)
2:14.0,D. Howard makes 2-pt shot from 3 ft,2,23-27,,
2:14.0,Shooting foul by S. Curry (drawn by D. Howard),,23-27,,
2:14.0,D. Howard makes free throw 1 of 1,1,24-27,,
2:01.0,,,24-27,,L. Barbosa misses 2-pt shot from 2 ft
2:00.0,Defensive rebound by D. Howard,,24-27,,
1:54.0,T. Jones makes 2-pt shot at rim (assist by J. Harden),2,26-27,,
1:34.0,,,26-27,,D. Green misses 2-pt shot from 1 ft
1:33.0,,,26-27,,Offensive rebound by F. Ezeli
1:33.0,,,26-29,2,F. Ezeli makes 2-pt shot from 2 ft
1:21.0,T. Jones misses 3-pt shot from 26 ft,,26-29,,
1:20.0,,,26-29,,Defensive rebound by A. Iguodala
1:10.0,,,26-32,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
0:55.0,J. Harden makes 2-pt shot from 19 ft,2,28-32,,
0:48.0,,,28-32,,S. Curry misses 3-pt shot from 26 ft
0:46.0,,,28-32,,Offensive rebound by F. Ezeli
0:46.0,,,28-32,,F. Ezeli misses 2-pt shot at rim (block by T. Jones)
0:44.0,Defensive rebound by D. Howard,,28-32,,
0:33.0,Turnover by T. Jones (lost ball; steal by A. Iguodala),,28-32,,
0:28.0,,,28-32,,Shooting foul by C. Brewer (drawn by A. Iguodala)
0:28.0,,,28-33,1,A. Iguodala makes free throw 1 of 2
0:28.0,T. Ariza enters the game for T. Jones,,28-33,,
0:28.0,,,28-33,,S. Livingston enters the game for S. Curry
0:28.0,,,28-34,1,A. Iguodala makes free throw 2 of 2
0:08.0,T. Ariza misses 2-pt shot from 4 ft,,28-34,,
0:07.0,Offensive rebound by D. Howard,,28-34,,
0:05.0,D. Howard misses 2-pt shot from 3 ft (block by D. Green),,28-34,,
0:04.0,,,28-34,,Defensive rebound by F. Ezeli
0:01.0,,,28-36,2,L. Barbosa makes 2-pt shot from 2 ft (assist by A. Iguodala)
0:00.0,P. Prigioni misses 3-pt shot from 41 ft,,28-36,,
0:00.0,Offensive rebound by Team,,28-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,28-36,,L. Barbosa misses 2-pt shot from 20 ft
11:33.0,Defensive rebound by T. Ariza,,28-36,,
11:17.0,,,28-36,,Personal foul by F. Ezeli (drawn by T. Ariza)
11:17.0,,,28-36,,A. Bogut enters the game for F. Ezeli
11:08.0,,,28-36,,Personal foul by A. Bogut (drawn by D. Howard)
11:00.0,J. Smith misses 3-pt shot from 26 ft,,28-36,,
10:59.0,,,28-36,,Defensive rebound by S. Livingston
10:41.0,,,28-38,2,S. Livingston makes 2-pt shot from 10 ft (assist by H. Barnes)
10:36.0,Turnover by D. Howard (bad pass; steal by L. Barbosa),,28-38,,
10:32.0,,,28-40,2,A. Iguodala makes 2-pt shot at rim (assist by A. Bogut)
10:13.0,Turnover by D. Howard (step out of bounds),,28-40,,
