time,Washington,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. M. Gortat (J. Noah gains possession),,,,Jump ball: P. Gasol vs. M. Gortat (J. Noah gains possession)
11:38.0,,,0-0,,P. Gasol misses 2-pt shot from 2 ft
11:37.0,Defensive rebound by N. Hilario,,0-0,,
11:27.0,N. Hilario misses 2-pt shot from 21 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by Team
11:11.0,,,0-0,,T. Snell misses 3-pt shot from 24 ft
11:09.0,,,0-0,,Offensive rebound by P. Gasol
11:09.0,,,0-2,2,P. Gasol makes 2-pt shot from 4 ft
10:52.0,B. Beal misses 2-pt shot from 20 ft,,0-2,,
10:51.0,,,0-2,,Defensive rebound by A. Brooks
10:39.0,,,0-4,2,J. Noah makes 2-pt shot from 1 ft (assist by M. Dunleavy)
10:18.0,J. Wall misses 3-pt shot from 25 ft,,0-4,,
10:17.0,,,0-4,,Defensive rebound by M. Dunleavy
10:08.0,,,0-4,,Turnover by P. Gasol (bad pass; steal by B. Beal)
10:02.0,M. Gortat misses 2-pt shot from 2 ft,,0-4,,
10:00.0,,,0-4,,Defensive rebound by T. Snell
9:48.0,,,0-7,3,T. Snell makes 3-pt shot from 25 ft (assist by J. Noah)
9:35.0,B. Beal misses 2-pt shot from 12 ft,,0-7,,
9:34.0,Offensive rebound by M. Gortat,,0-7,,
9:34.0,M. Gortat makes 2-pt shot from 1 ft,2,2-7,,
9:18.0,,,2-7,,J. Noah misses 2-pt shot from 10 ft
9:17.0,Defensive rebound by M. Gortat,,2-7,,
9:10.0,N. Hilario misses 2-pt shot from 3 ft,,2-7,,
9:10.0,,,2-7,,Defensive rebound by Team
8:54.0,,,2-7,,A. Brooks misses 2-pt shot from 13 ft (block by M. Gortat)
8:52.0,Defensive rebound by P. Pierce,,2-7,,
8:47.0,J. Wall misses 3-pt shot from 26 ft,,2-7,,
8:46.0,,,2-7,,Defensive rebound by M. Dunleavy
8:39.0,Violation by M. Gortat (kicked ball),,2-7,,
8:35.0,,,2-7,,A. Brooks misses 3-pt shot from 24 ft
8:34.0,Defensive rebound by N. Hilario,,2-7,,
8:25.0,J. Wall misses 2-pt shot from 20 ft,,2-7,,
8:24.0,,,2-7,,Defensive rebound by J. Noah
8:16.0,,,2-9,2,M. Dunleavy makes 2-pt shot from 1 ft
8:07.0,Washington full timeout,,2-9,,
7:53.0,P. Pierce makes 2-pt shot from 17 ft,2,4-9,,
7:24.0,,,4-9,,A. Brooks misses 2-pt shot from 15 ft
7:23.0,Defensive rebound by M. Gortat,,4-9,,
7:20.0,J. Wall makes 2-pt shot from 1 ft (assist by M. Gortat),2,6-9,,
7:20.0,Shooting foul by T. Snell (drawn by J. Wall),,6-9,,
7:20.0,J. Wall makes free throw 1 of 1,1,7-9,,
7:08.0,,,7-9,,Shooting foul by N. Hilario (drawn by P. Gasol)
7:08.0,,,7-10,1,P. Gasol makes free throw 1 of 2
