time,Boston,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. T. Zeller (D. Rose gains possession),,,,Jump ball: P. Gasol vs. T. Zeller (D. Rose gains possession)
11:47.0,,,0-2,2,D. Rose makes 2-pt shot from 6 ft
11:30.0,J. Green misses 2-pt shot from 20 ft,,0-2,,
11:29.0,,,0-2,,Defensive rebound by P. Gasol
11:20.0,,,0-2,,P. Gasol misses 2-pt shot from 20 ft
11:19.0,Defensive rebound by J. Green,,0-2,,
11:11.0,J. Sullinger misses 3-pt shot from 25 ft,,0-2,,
11:10.0,,,0-2,,Defensive rebound by N. Mirotic
10:54.0,,,0-2,,J. Noah misses 2-pt shot from 6 ft (block by J. Sullinger)
10:52.0,Defensive rebound by J. Sullinger,,0-2,,
10:48.0,T. Zeller misses 2-pt shot from 2 ft,,0-2,,
10:47.0,,,0-2,,Defensive rebound by P. Gasol
10:32.0,,,0-2,,D. Rose misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by J. Green,,0-2,,
10:26.0,A. Bradley makes 2-pt shot from 1 ft (assist by J. Green),2,2-2,,
10:05.0,,,2-2,,Shooting foul by T. Zeller (drawn by J. Noah)
10:05.0,,,2-2,,J. Noah misses free throw 1 of 2
10:05.0,,,2-2,,Offensive rebound by Team
10:05.0,,,2-3,1,J. Noah makes free throw 2 of 2
9:50.0,J. Green makes 2-pt shot from 16 ft (assist by J. Sullinger),2,4-3,,
9:33.0,,,4-3,,Turnover by P. Gasol (lost ball; steal by T. Zeller)
9:29.0,Turnover by J. Green (lost ball; steal by J. Noah),,4-3,,
9:25.0,,,4-3,,Turnover by J. Noah (bad pass)
9:11.0,J. Sullinger misses 2-pt shot from 22 ft,,4-3,,
9:10.0,,,4-3,,Defensive rebound by J. Noah
9:04.0,,,4-3,,Shooting foul by T. Zeller (drawn by P. Gasol)
9:04.0,,,4-4,1,P. Gasol makes free throw 1 of 2
9:04.0,B. Wright enters the game for T. Zeller,,4-4,,
9:04.0,,,4-5,1,P. Gasol makes free throw 2 of 2
8:54.0,A. Bradley makes 2-pt shot from 18 ft (assist by B. Wright),2,6-5,,
8:49.0,,,6-5,,Turnover by D. Rose (bad pass)
8:38.0,Turnover by A. Bradley (bad pass),,6-5,,
8:25.0,,,6-5,,J. Noah misses 2-pt shot from 19 ft
8:24.0,Defensive rebound by J. Sullinger,,6-5,,
8:12.0,Turnover by E. Turner (bad pass; steal by J. Noah),,6-5,,
8:03.0,,,6-5,,N. Mirotic misses 3-pt shot from 26 ft
8:01.0,Defensive rebound by J. Sullinger,,6-5,,
7:58.0,J. Green makes 2-pt shot from 5 ft,2,8-5,,
7:58.0,Shooting foul by N. Mirotic (drawn by J. Green),,8-5,,
7:58.0,J. Green makes free throw 1 of 1,1,9-5,,
7:36.0,,,9-5,,Turnover by P. Gasol (lost ball; steal by J. Sullinger)
7:34.0,Turnover by J. Green (traveling),,9-5,,
