time,Charlotte,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. A. Jefferson (D. Favors gains possession),,,,Jump ball: R. Gobert vs. A. Jefferson (D. Favors gains possession)
11:39.0,,,0-0,,Shooting foul by M. Williams (drawn by G. Hayward)
11:39.0,,,0-1,1,G. Hayward makes free throw 1 of 2
11:39.0,,,0-2,1,G. Hayward makes free throw 2 of 2
11:23.0,A. Jefferson makes 2-pt shot from 18 ft (assist by M. Williams),2,2-2,,
10:58.0,,,2-2,,D. Exum misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by G. Henderson,,2-2,,
10:44.0,Turnover by A. Jefferson (lost ball; steal by R. Hood),,2-2,,
10:30.0,,,2-4,2,D. Favors makes 2-pt shot from 19 ft (assist by R. Hood)
10:17.0,,,2-4,,Personal foul by R. Hood (drawn by A. Jefferson)
10:14.0,,,2-4,,Personal foul by R. Hood (drawn by G. Henderson)
10:14.0,,,2-4,,J. Ingles enters the game for R. Hood
10:00.0,M. Williams misses 2-pt shot from 6 ft,,2-4,,
9:59.0,,,2-4,,Defensive rebound by R. Gobert
9:42.0,,,2-4,,G. Hayward misses 2-pt shot from 19 ft
9:39.0,,,2-4,,Offensive rebound by R. Gobert
9:29.0,,,2-4,,D. Favors misses 2-pt shot from 7 ft
9:28.0,Defensive rebound by A. Jefferson,,2-4,,
9:14.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,2-4,,
9:13.0,,,2-4,,Defensive rebound by R. Gobert
9:03.0,,,2-6,2,R. Gobert makes 2-pt shot from 4 ft (assist by G. Hayward)
8:48.0,M. Williams makes 2-pt shot from 18 ft,2,4-6,,
8:34.0,,,4-6,,Turnover by D. Favors (bad pass)
8:14.0,M. Kidd-Gilchrist makes 2-pt shot from 9 ft,2,6-6,,
7:57.0,,,6-9,3,D. Exum makes 3-pt shot from 24 ft (assist by G. Hayward)
7:45.0,M. Williams makes 2-pt shot from 18 ft,2,8-9,,
7:20.0,,,8-12,3,D. Exum makes 3-pt shot from 24 ft (assist by R. Gobert)
7:13.0,Charlotte full timeout,,8-12,,
7:07.0,M. Williams misses 3-pt shot from 25 ft,,8-12,,
7:05.0,,,8-12,,Defensive rebound by D. Favors
6:48.0,,,8-15,3,G. Hayward makes 3-pt shot from 24 ft (assist by D. Favors)
6:28.0,A. Jefferson makes 2-pt shot from 3 ft (assist by M. Williams),2,10-15,,
6:14.0,,,10-15,,G. Hayward misses 2-pt shot from 9 ft
6:13.0,,,10-15,,Offensive rebound by R. Gobert
5:56.0,,,10-18,3,G. Hayward makes 3-pt shot from 23 ft (assist by J. Ingles)
5:32.0,M. Williams misses 3-pt shot from 24 ft,,10-18,,
5:31.0,,,10-18,,Defensive rebound by R. Gobert
5:31.0,,,10-18,,R. Gobert misses 2-pt shot from 3 ft
5:10.0,Defensive rebound by M. Williams,,10-18,,
5:03.0,Shooting foul by D. Favors (drawn by M. Kidd-Gilchrist),,10-18,,
5:03.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,11-18,,
5:03.0,,,11-18,,E. Millsap enters the game for J. Ingles
5:03.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,12-18,,
4:51.0,,,12-18,,Turnover by R. Gobert (bad pass; steal by A. Jefferson)
4:47.0,,,12-18,,Shooting block foul by D. Exum (drawn by M. Kidd-Gilchrist)
4:47.0,M. Kidd-Gilchrist misses free throw 1 of 2,,12-18,,
4:47.0,Offensive rebound by Team,,12-18,,
4:47.0,K. Walker enters the game for G. Henderson,,12-18,,
4:47.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,13-18,,
4:38.0,,,13-18,,D. Exum misses 2-pt shot from 12 ft
4:37.0,Defensive rebound by A. Jefferson,,13-18,,
4:18.0,M. Williams misses 3-pt shot from 26 ft,,13-18,,
4:16.0,,,13-18,,Defensive rebound by Team
4:02.0,Violation by M. Williams (kicked ball),,13-18,,
4:02.0,B. Biyombo enters the game for A. Jefferson,,13-18,,
3:51.0,,,13-18,,Turnover by D. Favors (lost ball; steal by M. Williams)
3:46.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by G. Hayward),,13-18,,
3:46.0,Offensive rebound by Team,,13-18,,
3:46.0,,,13-18,,T. Burke enters the game for D. Exum
3:46.0,,,13-18,,T. Booker enters the game for D. Favors
3:35.0,K. Walker misses 2-pt shot from 2 ft,,13-18,,
3:34.0,,,13-18,,Defensive rebound by T. Burke
3:21.0,,,13-21,3,G. Hayward makes 3-pt shot from 25 ft
3:03.0,M. Kidd-Gilchrist misses 2-pt shot from 7 ft,,13-21,,
3:02.0,,,13-21,,Defensive rebound by T. Burke
2:54.0,,,13-24,3,T. Burke makes 3-pt shot from 23 ft (assist by E. Millsap)
2:47.0,Charlotte full timeout,,13-24,,
2:47.0,,,13-24,,Utah full timeout
2:47.0,J. Maxiell enters the game for M. Williams,,13-24,,
2:47.0,,,13-24,,D. Exum enters the game for G. Hayward
2:27.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,16-24,,
2:02.0,,,16-27,3,D. Exum makes 3-pt shot from 25 ft (assist by T. Burke)
1:40.0,M. Williams misses 3-pt shot from 23 ft,,16-27,,
1:39.0,,,16-27,,Defensive rebound by R. Gobert
1:32.0,,,16-27,,T. Burke misses 2-pt shot from 16 ft
1:31.0,Defensive rebound by K. Walker,,16-27,,
1:25.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by E. Millsap),,16-27,,
1:22.0,Offensive rebound by M. Kidd-Gilchrist,,16-27,,
1:19.0,L. Stephenson enters the game for M. Williams,,16-27,,
1:19.0,Turnover by K. Walker (bad pass),,16-27,,
0:55.0,,,16-27,,T. Booker misses 2-pt shot from 4 ft
0:54.0,Defensive rebound by J. Maxiell,,16-27,,
0:41.0,L. Stephenson misses 3-pt shot from 25 ft,,16-27,,
0:39.0,Offensive rebound by B. Biyombo,,16-27,,
0:29.0,J. Maxiell misses 2-pt shot from 18 ft,,16-27,,
0:28.0,,,16-27,,Defensive rebound by R. Gobert
0:06.0,,,16-30,3,E. Millsap makes 3-pt shot from 25 ft (assist by T. Burke)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,L. Stephenson misses 2-pt shot from 16 ft,,16-30,,
11:45.0,,,16-30,,Defensive rebound by D. Favors
11:30.0,,,16-33,3,T. Burke makes 3-pt shot from 24 ft (assist by R. Hood)
11:10.0,G. Henderson misses 2-pt shot from 16 ft,,16-33,,
11:09.0,,,16-33,,Defensive rebound by T. Booker
10:57.0,,,16-35,2,R. Hood makes 2-pt shot from 7 ft
10:46.0,Shooting foul by T. Booker (drawn by B. Biyombo),,16-35,,
10:46.0,B. Biyombo misses free throw 1 of 2,,16-35,,
10:46.0,Offensive rebound by Team,,16-35,,
10:46.0,B. Biyombo makes free throw 2 of 2,1,17-35,,
10:33.0,,,17-35,,T. Booker misses 2-pt shot from 18 ft
10:31.0,Defensive rebound by J. Maxiell,,17-35,,
10:25.0,Shooting foul by E. Millsap (drawn by G. Henderson),,17-35,,
10:25.0,G. Henderson makes free throw 1 of 2,1,18-35,,
10:25.0,G. Henderson makes free throw 2 of 2,1,19-35,,
10:12.0,,,19-38,3,R. Hood makes 3-pt shot from 25 ft
10:02.0,Turnover by J. Maxiell (bad pass),,19-38,,
9:52.0,,,19-40,2,E. Millsap makes 2-pt shot from 4 ft
9:47.0,,,19-40,,Personal foul by T. Burke (drawn by K. Walker)
9:41.0,K. Walker misses 2-pt shot from 16 ft,,19-40,,
9:39.0,,,19-40,,Defensive rebound by R. Hood
9:24.0,,,19-40,,T. Burke misses 2-pt shot from 15 ft
9:22.0,,,19-40,,Offensive rebound by T. Booker
9:07.0,,,19-43,3,R. Hood makes 3-pt shot from 24 ft
8:58.0,Charlotte full timeout,,19-43,,
8:58.0,,,19-43,,J. Ingles enters the game for E. Millsap
8:48.0,L. Stephenson misses 2-pt shot from 12 ft,,19-43,,
8:47.0,,,19-43,,Defensive rebound by D. Favors
8:28.0,,,19-43,,D. Favors misses 2-pt shot from 2 ft
8:27.0,,,19-43,,Offensive rebound by T. Booker
8:27.0,,,19-43,,Shooting foul by B. Biyombo (drawn by T. Booker)
8:27.0,,,19-43,,T. Booker misses free throw 1 of 2
8:27.0,,,19-43,,Offensive rebound by Team
8:27.0,,,19-43,,T. Booker misses free throw 2 of 2
8:25.0,,,19-43,,Offensive rebound by J. Ingles
8:09.0,,,19-45,2,J. Ingles makes 2-pt shot from 21 ft (assist by T. Burke)
7:54.0,L. Stephenson misses 2-pt shot from 15 ft,,19-45,,
7:53.0,,,19-45,,Defensive rebound by R. Hood
7:46.0,,,19-45,,Offensive foul by D. Favors
7:46.0,,,19-45,,Turnover by D. Favors (offensive foul)
7:46.0,M. Williams enters the game for J. Maxiell,,19-45,,
7:46.0,,,19-45,,R. Gobert enters the game for D. Favors
7:32.0,G. Henderson misses 2-pt shot from 19 ft,,19-45,,
7:31.0,,,19-45,,Defensive rebound by T. Booker
7:22.0,,,19-45,,T. Burke misses 2-pt shot from 9 ft
7:22.0,,,19-45,,Offensive rebound by Team
7:22.0,Personal foul by B. Biyombo (drawn by T. Booker),,19-45,,
7:22.0,A. Jefferson enters the game for B. Biyombo,,19-45,,
7:22.0,,,19-45,,G. Hayward enters the game for T. Booker
7:05.0,,,19-45,,Shooting foul by A. Jefferson (drawn by R. Gobert)
7:05.0,,,19-46,1,R. Gobert makes free throw 1 of 2
7:05.0,,,19-47,1,R. Gobert makes free throw 2 of 2
6:55.0,K. Walker misses 2-pt shot from 16 ft (block by T. Burke),,19-47,,
6:49.0,,,19-47,,Defensive rebound by T. Burke
6:43.0,,,19-47,,G. Hayward misses 3-pt shot from 23 ft
6:42.0,,,19-47,,Offensive rebound by R. Gobert
6:30.0,,,19-47,,T. Burke misses 2-pt shot from 1 ft
6:28.0,,,19-47,,Offensive rebound by T. Burke
6:28.0,,,19-47,,T. Burke misses 2-pt shot from 2 ft
6:26.0,,,19-47,,Offensive rebound by R. Gobert
6:26.0,,,19-49,2,T. Burke makes 2-pt shot from 1 ft
6:07.0,G. Henderson misses 2-pt shot from 3 ft,,19-49,,
6:06.0,,,19-49,,Defensive rebound by R. Gobert
6:04.0,,,19-49,,Turnover by R. Gobert (bad pass; steal by K. Walker)
6:04.0,Shooting foul by T. Burke (drawn by K. Walker),,19-49,,
6:04.0,K. Walker makes free throw 1 of 2,1,20-49,,
6:04.0,,,20-49,,D. Exum enters the game for T. Burke
6:04.0,M. Kidd-Gilchrist enters the game for G. Henderson,,20-49,,
6:04.0,K. Walker makes free throw 2 of 2,1,21-49,,
5:48.0,,,21-51,2,R. Gobert makes 2-pt shot at rim (assist by D. Exum)
5:34.0,Turnover by K. Walker (lost ball),,21-51,,
5:34.0,Official timeout,,21-51,,
5:34.0,M. Williams enters the game for K. Walker,,21-51,,
5:18.0,,,21-51,,G. Hayward misses 3-pt shot from 24 ft
5:16.0,,,21-51,,Offensive rebound by R. Gobert
5:16.0,,,21-51,,R. Gobert misses 2-pt shot from 3 ft
5:13.0,Defensive rebound by M. Williams,,21-51,,
5:07.0,,,21-51,,Personal foul by R. Hood (drawn by L. Stephenson)
5:07.0,L. Stephenson makes free throw 1 of 2,1,22-51,,
5:07.0,,,22-51,,T. Burke enters the game for R. Hood
5:07.0,,,22-51,,D. Favors enters the game for R. Gobert
5:07.0,L. Stephenson makes free throw 2 of 2,1,23-51,,
5:02.0,,,23-51,,Turnover by J. Ingles (offensive foul)
5:02.0,,,23-51,,Offensive foul by J. Ingles
4:49.0,A. Jefferson misses 2-pt shot from 7 ft,,23-51,,
4:48.0,,,23-51,,Defensive rebound by G. Hayward
4:29.0,,,23-51,,T. Burke misses 2-pt shot from 15 ft
4:27.0,Defensive rebound by M. Williams,,23-51,,
4:13.0,A. Jefferson misses 2-pt shot from 6 ft,,23-51,,
4:10.0,Offensive rebound by A. Jefferson,,23-51,,
4:08.0,A. Jefferson makes 2-pt shot from 2 ft,2,25-51,,
4:07.0,,,25-51,,Utah full timeout
4:07.0,,,25-51,,J. Cooley enters the game for D. Favors
3:55.0,,,25-51,,G. Hayward misses 2-pt shot from 7 ft
3:54.0,Defensive rebound by A. Jefferson,,25-51,,
3:43.0,L. Stephenson makes 2-pt shot from 6 ft,2,27-51,,
3:43.0,Shooting foul by J. Ingles (drawn by L. Stephenson),,27-51,,
3:43.0,,,27-51,,E. Millsap enters the game for T. Burke
3:43.0,L. Stephenson makes free throw 1 of 1,1,28-51,,
3:29.0,,,28-51,,J. Cooley misses 2-pt shot from 2 ft
3:28.0,,,28-51,,Offensive rebound by G. Hayward
3:22.0,,,28-54,3,J. Ingles makes 3-pt shot from 25 ft (assist by G. Hayward)
3:08.0,Turnover by L. Stephenson (lost ball),,28-54,,
2:54.0,,,28-56,2,G. Hayward makes 2-pt shot from 10 ft
2:35.0,A. Jefferson misses 2-pt shot from 13 ft,,28-56,,
2:33.0,,,28-56,,Defensive rebound by J. Cooley
2:17.0,,,28-56,,Shooting foul by M. Kidd-Gilchrist (drawn by G. Hayward)
2:17.0,,,28-57,1,G. Hayward makes free throw 1 of 2
2:17.0,G. Henderson enters the game for M. Williams,,28-57,,
2:17.0,,,28-57,,G. Hayward misses free throw 2 of 2
2:16.0,Defensive rebound by A. Jefferson,,28-57,,
1:59.0,M. Williams misses 3-pt shot from 26 ft,,28-57,,
1:58.0,,,28-57,,Defensive rebound by E. Millsap
1:47.0,,,28-57,,Offensive charge foul by G. Hayward
1:47.0,,,28-57,,Turnover by G. Hayward (offensive foul)
1:47.0,,,28-57,,T. Booker enters the game for J. Ingles
1:24.0,Turnover by L. Stephenson (bad pass; steal by J. Cooley),,28-57,,
1:20.0,,,28-57,,E. Millsap misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist)
1:20.0,,,28-57,,Offensive rebound by G. Hayward
1:19.0,Personal foul by M. Williams (drawn by G. Hayward),,28-57,,
1:19.0,,,28-58,1,G. Hayward makes free throw 1 of 2
1:19.0,,,28-59,1,G. Hayward makes free throw 2 of 2
1:00.0,M. Williams misses 3-pt shot from 25 ft,,28-59,,
0:59.0,,,28-59,,Defensive rebound by G. Hayward
0:53.0,,,28-59,,Turnover by T. Booker (bad pass; steal by A. Jefferson)
0:36.0,A. Jefferson makes 2-pt shot from 3 ft (assist by G. Henderson),2,30-59,,
0:17.0,,,30-61,2,J. Cooley makes 2-pt shot from 19 ft (assist by E. Millsap)
0:03.0,M. Williams misses 3-pt shot from 24 ft,,30-61,,
0:01.0,,,30-61,,Defensive rebound by E. Millsap
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,G. Henderson misses 2-pt shot from 17 ft,,30-61,,
11:42.0,,,30-61,,Defensive rebound by R. Gobert
11:19.0,,,30-61,,D. Exum misses 2-pt shot from 16 ft
11:17.0,Defensive rebound by M. Williams,,30-61,,
10:58.0,A. Jefferson misses 2-pt shot from 2 ft,,30-61,,
10:57.0,,,30-61,,Defensive rebound by D. Favors
10:39.0,,,30-61,,D. Exum misses 3-pt shot from 24 ft
10:38.0,Defensive rebound by M. Williams,,30-61,,
10:24.0,M. Williams misses 2-pt shot from 3 ft,,30-61,,
10:22.0,,,30-61,,Defensive rebound by D. Exum
10:18.0,,,30-61,,G. Hayward misses 2-pt shot from 3 ft
10:16.0,Defensive rebound by M. Williams,,30-61,,
10:09.0,A. Jefferson misses 2-pt shot at rim,,30-61,,
10:08.0,,,30-61,,Defensive rebound by G. Hayward
9:49.0,,,30-64,3,R. Hood makes 3-pt shot from 24 ft (assist by D. Exum)
9:47.0,Charlotte full timeout,,30-64,,
9:25.0,M. Kidd-Gilchrist misses 2-pt shot from 17 ft,,30-64,,
9:23.0,,,30-64,,Defensive rebound by R. Gobert
9:05.0,,,30-66,2,D. Favors makes 2-pt shot at rim (assist by R. Gobert)
8:47.0,A. Jefferson makes 2-pt shot from 11 ft (assist by M. Williams),2,32-66,,
8:23.0,,,32-68,2,G. Hayward makes 2-pt shot from 18 ft
8:06.0,G. Henderson makes 2-pt shot from 19 ft,2,34-68,,
7:52.0,,,34-68,,G. Hayward misses 2-pt shot from 14 ft
7:49.0,,,34-68,,Offensive rebound by R. Gobert
