time,Brooklyn,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,,,0-0,,T. Ross misses 2-pt shot from 10 ft
12:00.0,Jump ball: M. Plumlee vs. J. Valanciunas (A. Johnson gains possession),,,,Jump ball: M. Plumlee vs. J. Valanciunas (A. Johnson gains possession)
11:40.0,Defensive rebound by J. Johnson,,0-0,,
11:25.0,D. Williams makes 3-pt shot from 27 ft (assist by M. Teletovic),3,3-0,,
11:10.0,,,3-0,,J. Valanciunas misses 2-pt shot from 5 ft (block by M. Plumlee)
11:10.0,,,3-0,,Offensive rebound by J. Valanciunas
11:10.0,Jump ball: M. Plumlee vs. J. Valanciunas (T. Ross gains possession),,,,Jump ball: M. Plumlee vs. J. Valanciunas (T. Ross gains possession)
11:05.0,,,3-0,,Shooting foul by D. Williams (drawn by K. Lowry)
11:05.0,,,3-1,1,K. Lowry makes free throw 1 of 2
11:05.0,,,3-2,1,K. Lowry makes free throw 2 of 2
10:53.0,Turnover by M. Teletovic (bad pass; steal by L. Fields),,3-2,,
10:43.0,,,3-2,,T. Ross misses 2-pt shot from 13 ft
10:41.0,Defensive rebound by M. Teletovic,,3-2,,
10:31.0,J. Johnson misses 2-pt shot from 17 ft,,3-2,,
10:30.0,,,3-2,,Defensive rebound by T. Ross
10:21.0,,,3-4,2,A. Johnson makes 2-pt shot from 2 ft (assist by K. Lowry)
9:59.0,M. Teletovic misses 3-pt shot from 26 ft,,3-4,,
9:58.0,,,3-4,,Defensive rebound by J. Valanciunas
9:49.0,,,3-4,,T. Ross misses 3-pt shot from 23 ft
9:48.0,Defensive rebound by M. Teletovic,,3-4,,
9:41.0,M. Plumlee makes 2-pt shot from 1 ft (assist by M. Teletovic),2,5-4,,
9:22.0,,,5-6,2,L. Fields makes 2-pt shot from 10 ft (assist by K. Lowry)
9:01.0,M. Teletovic makes 3-pt shot from 26 ft (assist by D. Williams),3,8-6,,
8:42.0,,,8-6,,Turnover by J. Valanciunas (lost ball; steal by J. Johnson)
8:37.0,M. Plumlee makes 2-pt shot at rim (assist by D. Williams),2,10-6,,
8:23.0,,,10-6,,K. Lowry misses 2-pt shot from 19 ft
8:22.0,Defensive rebound by J. Johnson,,10-6,,
8:15.0,J. Johnson makes 2-pt shot from 9 ft,2,12-6,,
8:06.0,,,12-6,,Toronto full timeout
7:56.0,,,12-8,2,A. Johnson makes 2-pt shot from 2 ft (assist by K. Lowry)
7:37.0,,,12-8,,Violation by T. Ross (kicked ball)
7:30.0,A. Anderson misses 3-pt shot from 25 ft,,12-8,,
7:29.0,,,12-8,,Defensive rebound by J. Valanciunas
7:17.0,,,12-8,,A. Johnson misses 2-pt shot from 3 ft (block by M. Plumlee)
7:16.0,Defensive rebound by A. Anderson,,12-8,,
7:10.0,D. Williams misses 2-pt shot from 6 ft,,12-8,,
7:09.0,,,12-8,,Defensive rebound by J. Valanciunas
6:59.0,,,12-8,,Turnover by J. Valanciunas (traveling)
6:49.0,M. Plumlee makes 2-pt shot from 4 ft,2,14-8,,
6:36.0,,,14-8,,Turnover by K. Lowry (bad pass)
6:27.0,,,14-8,,Personal foul by K. Lowry (drawn by D. Williams)
6:17.0,M. Teletovic makes 2-pt shot from 4 ft (assist by D. Williams),2,16-8,,
6:08.0,,,16-8,,Shooting foul by D. Williams (drawn by K. Lowry)
6:08.0,,,16-9,1,K. Lowry makes free throw 1 of 2
6:08.0,J. Jack enters the game for D. Williams,,16-9,,
6:08.0,,,16-9,,P. Patterson enters the game for A. Johnson
6:08.0,,,16-9,,L. Williams enters the game for T. Ross
6:08.0,,,16-10,1,K. Lowry makes free throw 2 of 2
5:52.0,J. Johnson misses 2-pt shot from 4 ft,,16-10,,
5:51.0,,,16-10,,Defensive rebound by J. Valanciunas
5:30.0,,,16-12,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
5:05.0,J. Jack makes 2-pt shot from 6 ft (assist by J. Johnson),2,18-12,,
4:49.0,,,18-12,,P. Patterson misses 2-pt shot from 10 ft
4:48.0,Defensive rebound by J. Johnson,,18-12,,
4:39.0,J. Johnson makes 2-pt shot from 4 ft,2,20-12,,
4:20.0,,,20-14,2,L. Williams makes 2-pt shot from 18 ft
4:01.0,J. Johnson misses 2-pt shot from 3 ft,,20-14,,
4:00.0,,,20-14,,Defensive rebound by J. Valanciunas
3:47.0,,,20-17,3,K. Lowry makes 3-pt shot from 23 ft (assist by L. Fields)
3:39.0,Brooklyn full timeout,,20-17,,
3:39.0,,,20-17,,T. Hansbrough enters the game for J. Valanciunas
3:22.0,A. Anderson makes 3-pt shot from 23 ft,3,23-17,,
2:48.0,,,23-17,,L. Fields misses 3-pt shot from 22 ft
2:48.0,,,23-17,,Offensive rebound by Team
2:48.0,,,23-17,,Turnover by Team (shot clock)
2:34.0,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Johnson),2,25-17,,
2:09.0,,,25-17,,P. Patterson misses 2-pt shot from 14 ft
2:08.0,Defensive rebound by M. Plumlee,,25-17,,
2:02.0,M. Teletovic misses 3-pt shot from 25 ft,,25-17,,
2:01.0,,,25-17,,Defensive rebound by L. Fields
1:53.0,,,25-17,,L. Williams misses 2-pt shot from 15 ft
1:52.0,Defensive rebound by M. Teletovic,,25-17,,
1:38.0,M. Teletovic makes 3-pt shot from 25 ft (assist by J. Jack),3,28-17,,
1:21.0,,,28-19,2,P. Patterson makes 2-pt shot from 18 ft (assist by K. Lowry)
1:03.0,J. Johnson makes 2-pt shot from 6 ft,2,30-19,,
0:56.0,,,30-19,,K. Lowry misses 2-pt shot from 3 ft
0:55.0,,,30-19,,Offensive rebound by T. Hansbrough
0:53.0,,,30-19,,T. Hansbrough misses 2-pt shot at rim
0:52.0,Defensive rebound by M. Plumlee,,30-19,,
0:44.0,M. Teletovic misses 2-pt shot from 16 ft,,30-19,,
0:43.0,,,30-19,,Defensive rebound by K. Lowry
0:34.0,,,30-22,3,K. Lowry makes 3-pt shot from 25 ft
0:20.0,J. Jordan enters the game for M. Teletovic,,30-22,,
0:20.0,C. Jefferson enters the game for M. Plumlee,,30-22,,
0:20.0,,,30-22,,G. Vasquez enters the game for K. Lowry
0:20.0,,,30-22,,J. Johnson enters the game for L. Fields
0:10.0,A. Anderson misses 3-pt shot from 26 ft,,30-22,,
0:09.0,,,30-22,,Defensive rebound by Team
0:09.0,Loose ball foul by J. Jordan (drawn by T. Hansbrough),,30-22,,
0:00.0,,,30-22,,L. Williams misses 2-pt shot from 19 ft
0:00.0,,,30-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
