time,Philadelphia,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. N. Noel (E. Kanter gains possession),,,,Jump ball: D. Favors vs. N. Noel (E. Kanter gains possession)
11:45.0,,,0-0,,E. Kanter misses 2-pt shot from 4 ft
11:43.0,Defensive rebound by R. Covington,,0-0,,
11:19.0,M. Carter-Williams misses 2-pt shot from 12 ft,,0-0,,
11:19.0,Offensive rebound by Team,,0-0,,
11:19.0,Turnover by Team (shot clock),,0-0,,
11:05.0,,,0-0,,T. Burke misses 3-pt shot from 24 ft
11:03.0,Defensive rebound by H. Sims,,0-0,,
10:48.0,Turnover by R. Covington (bad pass; steal by T. Burke),,0-0,,
10:27.0,,,0-0,,G. Hayward misses 2-pt shot from 19 ft
10:26.0,Defensive rebound by Team,,0-0,,
10:12.0,Turnover by M. Carter-Williams (bad pass; steal by D. Favors),,0-0,,
9:50.0,,,0-0,,D. Favors misses 2-pt shot from 5 ft
9:50.0,,,0-0,,Offensive rebound by Team
9:50.0,Personal foul by H. Sims (drawn by E. Kanter),,0-0,,
9:43.0,,,0-2,2,D. Favors makes 2-pt shot at rim (assist by T. Burke)
9:18.0,M. Carter-Williams misses 2-pt shot from 5 ft (block by D. Favors),,0-2,,
9:16.0,,,0-2,,Defensive rebound by E. Kanter
9:12.0,,,0-2,,T. Burke misses 2-pt shot at rim (block by R. Covington)
9:12.0,,,0-2,,Offensive rebound by E. Kanter
9:12.0,,,0-2,,Shooting foul by H. Sims (drawn by E. Kanter)
9:12.0,,,0-3,1,E. Kanter makes free throw 1 of 2
9:12.0,,,0-4,1,E. Kanter makes free throw 2 of 2
8:59.0,N. Noel makes 2-pt shot from 4 ft,2,2-4,,
8:59.0,Shooting foul by G. Hayward (drawn by N. Noel),,2-4,,
8:59.0,N. Noel makes free throw 1 of 1,1,3-4,,
8:45.0,,,3-6,2,D. Favors makes 2-pt shot from 1 ft (assist by R. Hood)
