time,Oklahoma City,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. B. Lopez (J. Johnson gains possession),,,,Jump ball: S. Adams vs. B. Lopez (J. Johnson gains possession)
11:46.0,,,0-3,3,D. Williams makes 3-pt shot from 24 ft (assist by J. Johnson)
11:22.0,S. Adams misses 2-pt shot from 14 ft,,0-3,,
11:21.0,Offensive rebound by S. Ibaka,,0-3,,
11:20.0,,,0-3,,Personal foul by B. Lopez (drawn by S. Ibaka)
11:09.0,P. Jones makes 2-pt shot from 12 ft,2,2-3,,
10:48.0,,,2-3,,Shooting foul by R. Jackson (drawn by D. Williams)
10:48.0,,,2-4,1,D. Williams makes free throw 1 of 2
10:48.0,,,2-5,1,D. Williams makes free throw 2 of 2
10:27.0,S. Adams misses 2-pt shot from 17 ft,,2-5,,
10:26.0,,,2-5,,Defensive rebound by K. Garnett
10:20.0,,,2-5,,K. Garnett misses 2-pt shot from 19 ft
10:19.0,Defensive rebound by S. Adams,,2-5,,
10:15.0,Turnover by R. Jackson (bad pass),,2-5,,
9:58.0,,,2-5,,J. Johnson misses 2-pt shot from 19 ft
9:57.0,Defensive rebound by Team,,2-5,,
9:57.0,,,2-5,,Loose ball foul by B. Bogdanovic (drawn by P. Jones)
9:41.0,R. Jackson misses 2-pt shot from 9 ft,,2-5,,
9:40.0,Offensive rebound by S. Adams,,2-5,,
9:26.0,S. Ibaka makes 2-pt shot from 13 ft (assist by A. Roberson),2,4-5,,
9:11.0,,,4-5,,Turnover by B. Lopez (offensive foul)
9:11.0,,,4-5,,Offensive charge foul by B. Lopez
9:11.0,,,4-5,,M. Plumlee enters the game for B. Lopez
8:49.0,S. Adams makes 2-pt shot from 7 ft (assist by R. Jackson),2,6-5,,
8:33.0,,,6-8,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Williams)
8:14.0,R. Jackson misses 2-pt shot from 1 ft,,6-8,,
8:13.0,Offensive rebound by S. Adams,,6-8,,
8:11.0,Shooting foul by M. Plumlee (drawn by S. Adams),,6-8,,
8:11.0,S. Adams misses free throw 1 of 2,,6-8,,
8:11.0,Offensive rebound by Team,,6-8,,
8:11.0,S. Adams misses free throw 2 of 2,,6-8,,
8:10.0,,,6-8,,Defensive rebound by K. Garnett
7:52.0,,,6-10,2,J. Johnson makes 2-pt shot from 18 ft
7:38.0,Offensive foul by S. Adams,,6-10,,
7:38.0,Turnover by S. Adams (offensive foul),,6-10,,
7:25.0,,,6-13,3,J. Johnson makes 3-pt shot from 23 ft (assist by D. Williams)
7:20.0,Oklahoma City full timeout,,6-13,,
7:01.0,R. Jackson makes 2-pt shot from 2 ft,2,8-13,,
6:40.0,,,8-13,,K. Garnett misses 2-pt shot from 20 ft
6:39.0,,,8-13,,Offensive rebound by M. Plumlee
6:38.0,,,8-15,2,M. Plumlee makes 2-pt shot from 1 ft
6:25.0,Turnover by P. Jones (lost ball),,8-15,,
6:25.0,,,8-15,,J. Jordan enters the game for K. Garnett
6:09.0,,,8-15,,B. Bogdanovic misses 3-pt shot from 24 ft
6:08.0,,,8-15,,Offensive rebound by J. Jordan
6:07.0,,,8-15,,J. Jordan misses 2-pt shot from 3 ft
6:06.0,Defensive rebound by S. Ibaka,,8-15,,
5:49.0,P. Jones misses 3-pt shot from 24 ft,,8-15,,
5:48.0,,,8-15,,Defensive rebound by D. Williams
5:36.0,,,8-17,2,B. Bogdanovic makes 2-pt shot at rim (assist by M. Plumlee)
5:16.0,S. Ibaka makes 2-pt shot from 16 ft,2,10-17,,
5:02.0,,,10-19,2,M. Plumlee makes 2-pt shot at rim (assist by J. Johnson)
4:49.0,Turnover by R. Jackson (lost ball; steal by B. Bogdanovic),,10-19,,
4:43.0,,,10-22,3,J. Johnson makes 3-pt shot from 24 ft (assist by D. Williams)
4:35.0,Oklahoma City full timeout,,10-22,,
4:35.0,K. Perkins enters the game for S. Adams,,10-22,,
4:22.0,K. Perkins misses 2-pt shot from 3 ft,,10-22,,
4:21.0,,,10-22,,Defensive rebound by M. Plumlee
4:01.0,,,10-24,2,M. Plumlee makes 2-pt shot from 6 ft
3:51.0,S. Ibaka misses 2-pt shot from 6 ft,,10-24,,
3:50.0,Offensive rebound by A. Roberson,,10-24,,
3:49.0,A. Roberson misses 2-pt shot from 2 ft,,10-24,,
3:48.0,Offensive rebound by K. Perkins,,10-24,,
3:47.0,Shooting foul by J. Jordan (drawn by K. Perkins),,10-24,,
3:47.0,K. Perkins misses free throw 1 of 2,,10-24,,
3:47.0,Offensive rebound by Team,,10-24,,
3:47.0,,,10-24,,J. Jack enters the game for D. Williams
3:47.0,L. Thomas enters the game for P. Jones,,10-24,,
3:47.0,K. Perkins misses free throw 2 of 2,,10-24,,
3:46.0,Offensive rebound by A. Roberson,,10-24,,
3:36.0,R. Jackson misses 2-pt shot from 1 ft,,10-24,,
3:34.0,,,10-24,,Defensive rebound by M. Plumlee
3:17.0,,,10-24,,M. Plumlee misses 2-pt shot from 14 ft
3:15.0,Defensive rebound by S. Ibaka,,10-24,,
3:07.0,R. Jackson misses 3-pt shot from 26 ft,,10-24,,
3:06.0,,,10-24,,Defensive rebound by J. Johnson
3:00.0,,,10-26,2,J. Jack makes 2-pt shot from 19 ft (assist by J. Johnson)
2:45.0,S. Ibaka makes 3-pt shot from 24 ft (assist by R. Jackson),3,13-26,,
2:21.0,,,13-26,,M. Plumlee misses 2-pt shot from 11 ft
2:20.0,Defensive rebound by S. Ibaka,,13-26,,
2:11.0,L. Thomas misses 2-pt shot from 21 ft,,13-26,,
2:10.0,Offensive rebound by K. Perkins,,13-26,,
2:07.0,L. Thomas misses 2-pt shot from 2 ft,,13-26,,
2:06.0,Offensive rebound by L. Thomas,,13-26,,
2:04.0,L. Thomas makes 2-pt shot from 1 ft,2,15-26,,
1:48.0,,,15-29,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Johnson)
1:34.0,S. Ibaka misses 2-pt shot from 20 ft,,15-29,,
1:33.0,,,15-29,,Defensive rebound by M. Plumlee
1:28.0,Personal foul by R. Jackson (drawn by B. Bogdanovic),,15-29,,
1:28.0,,,15-29,,Brooklyn full timeout
1:28.0,N. Collison enters the game for S. Ibaka,,15-29,,
1:28.0,S. Telfair enters the game for R. Jackson,,15-29,,
1:28.0,,,15-29,,M. Teletovic enters the game for M. Plumlee
1:16.0,,,15-29,,B. Bogdanovic misses 3-pt shot from 24 ft
1:15.0,Defensive rebound by A. Roberson,,15-29,,
