time,Golden State,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. Z. Pachulia (D. Lee gains possession),,,,Jump ball: A. Bogut vs. Z. Pachulia (D. Lee gains possession)
11:40.0,D. Lee makes 2-pt shot at rim (assist by S. Curry),2,2-0,,
11:27.0,,,2-0,,Z. Pachulia misses 2-pt shot from 15 ft
11:26.0,Defensive rebound by D. Lee,,2-0,,
11:14.0,H. Barnes makes 3-pt shot from 22 ft (assist by S. Curry),3,5-0,,
10:58.0,,,5-0,,Shooting foul by D. Lee (drawn by E. Ilyasova)
10:58.0,,,5-1,1,E. Ilyasova makes free throw 1 of 2
10:58.0,,,5-2,1,E. Ilyasova makes free throw 2 of 2
10:48.0,K. Thompson makes 2-pt shot from 5 ft (assist by D. Lee),2,7-2,,
10:30.0,,,7-4,2,Z. Pachulia makes 2-pt shot from 13 ft (assist by G. Antetokounmpo)
10:18.0,D. Lee misses 2-pt shot from 13 ft,,7-4,,
10:17.0,,,7-4,,Defensive rebound by Z. Pachulia
10:02.0,,,7-4,,Turnover by K. Middleton (bad pass; steal by H. Barnes)
9:46.0,Shooting foul by M. Carter-Williams (drawn by H. Barnes),,7-4,,
9:46.0,H. Barnes makes free throw 1 of 2,1,8-4,,
9:46.0,H. Barnes makes free throw 2 of 2,1,9-4,,
9:38.0,,,9-4,,M. Carter-Williams misses 2-pt shot from 6 ft
9:37.0,Defensive rebound by D. Lee,,9-4,,
9:29.0,H. Barnes misses 3-pt shot from 23 ft,,9-4,,
9:28.0,Offensive rebound by Team,,9-4,,
9:17.0,K. Thompson misses 3-pt shot from 25 ft,,9-4,,
9:16.0,,,9-4,,Defensive rebound by E. Ilyasova
9:08.0,,,9-4,,Shooting foul by K. Thompson (drawn by K. Middleton)
9:08.0,,,9-5,1,K. Middleton makes free throw 1 of 2
9:08.0,,,9-6,1,K. Middleton makes free throw 2 of 2
9:00.0,S. Curry makes 3-pt shot from 25 ft,3,12-6,,
8:42.0,,,12-6,,Z. Pachulia misses 2-pt shot at rim (block by A. Bogut)
8:39.0,Defensive rebound by K. Thompson,,12-6,,
8:34.0,K. Thompson misses 3-pt shot from 25 ft (block by Z. Pachulia),,12-6,,
8:32.0,Offensive rebound by A. Bogut,,12-6,,
8:25.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,14-6,,
8:11.0,,,14-6,,Shooting foul by K. Thompson (drawn by Z. Pachulia)
8:11.0,,,14-7,1,Z. Pachulia makes free throw 1 of 2
8:11.0,B. Rush enters the game for K. Thompson,,14-7,,
8:11.0,,,14-8,1,Z. Pachulia makes free throw 2 of 2
7:57.0,A. Bogut misses 2-pt shot from 6 ft,,14-8,,
7:55.0,,,14-8,,Defensive rebound by E. Ilyasova
7:47.0,,,14-10,2,M. Carter-Williams makes 2-pt shot at rim
7:30.0,Turnover by A. Bogut (lost ball; steal by K. Middleton),,14-10,,
7:24.0,,,14-12,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
7:03.0,B. Rush misses 3-pt shot from 23 ft,,14-12,,
7:02.0,,,14-12,,Defensive rebound by G. Antetokounmpo
6:54.0,,,14-12,,Turnover by G. Antetokounmpo (bad pass; steal by S. Curry)
6:43.0,Turnover by A. Bogut (bad pass; steal by G. Antetokounmpo),,14-12,,
6:41.0,,,14-13,1,G. Antetokounmpo makes flagrant free throw 1 of 2
6:41.0,,,14-14,1,G. Antetokounmpo makes flagrant free throw 2 of 2
6:19.0,,,14-16,2,Z. Pachulia makes 2-pt shot at rim (assist by K. Middleton)
6:03.0,D. Lee makes 2-pt shot from 10 ft,2,16-16,,
5:51.0,,,16-16,,E. Ilyasova misses 3-pt shot from 26 ft
5:50.0,Defensive rebound by A. Bogut,,16-16,,
5:43.0,Turnover by S. Curry (lost ball; steal by M. Carter-Williams),,16-16,,
5:30.0,,,16-16,,K. Middleton misses 3-pt shot from 26 ft
5:29.0,Defensive rebound by H. Barnes,,16-16,,
5:23.0,Turnover by H. Barnes (lost ball),,16-16,,
5:23.0,,,16-16,,Milwaukee full timeout
5:23.0,J. Holiday enters the game for B. Rush,,16-16,,
5:09.0,,,16-16,,Z. Pachulia misses 2-pt shot from 14 ft
5:08.0,Defensive rebound by H. Barnes,,16-16,,
5:01.0,S. Curry misses 3-pt shot from 25 ft,,16-16,,
5:00.0,,,16-16,,Defensive rebound by E. Ilyasova
4:55.0,,,16-16,,Shooting foul by H. Barnes (drawn by K. Middleton)
4:55.0,,,16-17,1,K. Middleton makes free throw 1 of 2
4:55.0,,,16-18,1,K. Middleton makes free throw 2 of 2
4:47.0,Offensive foul by H. Barnes,,16-18,,
4:47.0,Turnover by H. Barnes (offensive foul),,16-18,,
4:32.0,,,16-18,,K. Middleton misses 2-pt shot from 4 ft (block by A. Bogut)
4:32.0,,,16-18,,Offensive rebound by Team
4:23.0,,,16-18,,E. Ilyasova misses 2-pt shot at rim (block by J. Holiday)
4:21.0,,,16-18,,Offensive rebound by M. Carter-Williams
4:19.0,,,16-18,,M. Carter-Williams misses 2-pt shot at rim
4:15.0,Defensive rebound by J. Holiday,,16-18,,
4:06.0,J. Holiday makes 3-pt shot from 24 ft (assist by S. Curry),3,19-18,,
3:57.0,,,19-18,,Turnover by M. Carter-Williams (lost ball)
3:47.0,Turnover by D. Lee (bad pass),,19-18,,
3:47.0,,,19-18,,J. Bayless enters the game for M. Carter-Williams
3:33.0,,,19-18,,Turnover by Z. Pachulia (bad pass; steal by J. Holiday)
3:27.0,S. Curry misses 3-pt shot from 23 ft,,19-18,,
3:26.0,,,19-18,,Defensive rebound by E. Ilyasova
3:19.0,,,19-18,,G. Antetokounmpo misses 2-pt shot at rim (block by A. Bogut)
3:19.0,,,19-18,,Offensive rebound by Team
3:19.0,,,19-18,,J. Henson enters the game for Z. Pachulia
3:19.0,J. McAdoo enters the game for D. Lee,,19-18,,
3:07.0,,,19-20,2,K. Middleton makes 2-pt shot from 13 ft (assist by J. Bayless)
2:48.0,J. McAdoo misses 2-pt shot from 3 ft (block by J. Henson),,19-20,,
2:47.0,Offensive rebound by Team,,19-20,,
2:47.0,Golden State full timeout,,19-20,,
2:47.0,S. Livingston enters the game for H. Barnes,,19-20,,
2:45.0,J. McAdoo makes 2-pt shot at rim (assist by S. Livingston),2,21-20,,
2:20.0,,,21-20,,J. Henson misses 2-pt shot from 1 ft
2:18.0,,,21-20,,Offensive rebound by E. Ilyasova
2:18.0,,,21-20,,E. Ilyasova misses 2-pt shot from 1 ft
2:17.0,Defensive rebound by A. Bogut,,21-20,,
2:11.0,Turnover by S. Curry (lost ball; steal by J. Henson),,21-20,,
1:57.0,,,21-20,,K. Middleton misses 2-pt shot from 5 ft
1:55.0,,,21-20,,Offensive rebound by K. Middleton
1:50.0,,,21-20,,E. Ilyasova misses 2-pt shot from 16 ft
1:48.0,Defensive rebound by A. Bogut,,21-20,,
1:27.0,J. Holiday misses 3-pt shot from 24 ft,,21-20,,
1:26.0,,,21-20,,Defensive rebound by E. Ilyasova
1:26.0,Personal foul by S. Curry (drawn by E. Ilyasova),,21-20,,
1:26.0,,,21-21,1,E. Ilyasova makes free throw 1 of 2
1:26.0,M. Speights enters the game for A. Bogut,,21-21,,
1:26.0,,,21-21,,O. Mayo enters the game for K. Middleton
1:26.0,,,21-22,1,E. Ilyasova makes free throw 2 of 2
1:05.0,J. Holiday misses 3-pt shot from 25 ft,,21-22,,
