time,Chicago,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. P. Gasol (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. P. Gasol (R. Jackson gains possession)
11:37.0,,,0-0,,A. Drummond misses 2-pt shot from 6 ft
11:35.0,Defensive rebound by M. Dunleavy,,0-0,,
11:12.0,T. Snell misses 2-pt shot from 20 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by R. Jackson
11:06.0,,,0-0,,C. Butler misses 3-pt shot from 27 ft
11:05.0,,,0-0,,Offensive rebound by A. Drummond
11:00.0,,,0-0,,A. Drummond misses 2-pt shot from 3 ft
10:59.0,,,0-0,,Offensive rebound by A. Drummond
10:58.0,,,0-2,2,A. Drummond makes 2-pt shot at rim
10:38.0,P. Gasol misses 2-pt shot from 6 ft,,0-2,,
10:37.0,,,0-2,,Defensive rebound by A. Drummond
10:29.0,,,0-2,,A. Tolliver misses 3-pt shot from 26 ft
10:28.0,Defensive rebound by J. Noah,,0-2,,
10:19.0,T. Snell makes 2-pt shot from 13 ft,2,2-2,,
9:50.0,,,2-5,3,R. Jackson makes 3-pt shot from 25 ft
9:36.0,Turnover by M. Dunleavy (lost ball; steal by A. Drummond),,2-5,,
9:35.0,Personal foul by M. Dunleavy (drawn by R. Jackson),,2-5,,
9:16.0,,,2-5,,C. Butler misses 2-pt shot from 18 ft
9:15.0,,,2-5,,Offensive rebound by A. Tolliver
9:14.0,,,2-7,2,A. Tolliver makes 2-pt shot at rim
9:02.0,T. Snell misses 2-pt shot from 1 ft,,2-7,,
8:59.0,Offensive rebound by J. Noah,,2-7,,
8:57.0,J. Noah misses 2-pt shot at rim,,2-7,,
8:57.0,,,2-7,,Defensive rebound by C. Butler
8:49.0,,,2-7,,C. Butler misses 3-pt shot from 27 ft
8:48.0,Defensive rebound by M. Dunleavy,,2-7,,
8:33.0,A. Brooks misses 2-pt shot from 13 ft,,2-7,,
8:32.0,,,2-7,,Defensive rebound by C. Butler
8:29.0,,,2-9,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
