time,Sacramento,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Thompson (D. Nowitzki gains possession),,,,Jump ball: T. Chandler vs. J. Thompson (D. Nowitzki gains possession)
11:44.0,,,0-0,,C. Parsons misses 2-pt shot from 19 ft
11:43.0,Defensive rebound by B. McLemore,,0-0,,
11:25.0,D. Cousins misses 2-pt shot from 3 ft (block by D. Nowitzki),,0-0,,
11:23.0,Offensive rebound by D. Cousins,,0-0,,
11:22.0,D. Cousins makes 2-pt shot from 2 ft,2,2-0,,
11:12.0,Personal foul by J. Thompson (drawn by D. Nowitzki),,2-0,,
11:03.0,,,2-0,,M. Ellis misses 2-pt shot from 19 ft
11:02.0,,,2-0,,Offensive rebound by T. Chandler
11:02.0,Loose ball foul by D. Cousins (drawn by T. Chandler),,2-0,,
10:47.0,,,2-0,,Offensive charge foul by M. Ellis
10:47.0,,,2-0,,Turnover by M. Ellis (offensive foul)
10:38.0,,,2-0,,Personal foul by T. Chandler (drawn by D. Cousins)
10:38.0,,,2-0,,G. Smith enters the game for T. Chandler
10:27.0,D. Cousins makes 2-pt shot from 5 ft,2,4-0,,
10:16.0,,,4-0,,M. Ellis misses 3-pt shot from 24 ft
10:15.0,Defensive rebound by D. Cousins,,4-0,,
9:51.0,B. McLemore misses 2-pt shot from 6 ft,,4-0,,
9:50.0,Offensive rebound by J. Thompson,,4-0,,
9:50.0,J. Thompson misses 2-pt shot from 3 ft,,4-0,,
9:48.0,Offensive rebound by R. Sessions,,4-0,,
9:41.0,,,4-0,,Personal foul by M. Ellis (drawn by D. Cousins)
9:41.0,,,4-0,,D. Harris enters the game for M. Ellis
9:38.0,,,4-0,,Personal foul by C. Parsons (drawn by D. Cousins)
9:30.0,Offensive foul by J. Thompson,,4-0,,
9:30.0,Turnover by J. Thompson (offensive foul),,4-0,,
9:30.0,C. Landry enters the game for J. Thompson,,4-0,,
9:19.0,,,4-0,,C. Parsons misses 2-pt shot from 6 ft
9:18.0,Defensive rebound by D. Cousins,,4-0,,
9:09.0,C. Landry misses 2-pt shot from 3 ft,,4-0,,
9:08.0,,,4-0,,Defensive rebound by J. Nelson
8:59.0,,,4-0,,J. Nelson misses 3-pt shot from 24 ft
8:57.0,Defensive rebound by R. Gay,,4-0,,
8:47.0,R. Gay makes 2-pt shot from 16 ft,2,6-0,,
8:26.0,,,6-0,,D. Nowitzki misses 2-pt shot from 2 ft
8:25.0,Defensive rebound by R. Gay,,6-0,,
8:21.0,Shooting foul by G. Smith (drawn by R. Gay),,6-0,,
8:21.0,R. Gay makes free throw 1 of 2,1,7-0,,
8:21.0,R. Gay makes free throw 2 of 2,1,8-0,,
