time,Houston,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. D. Howard (D. Motiejunas gains possession),,,,Jump ball: M. Gasol vs. D. Howard (D. Motiejunas gains possession)
11:45.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,2-0,,
11:22.0,,,2-0,,Z. Randolph misses 2-pt shot from 13 ft
11:22.0,Defensive rebound by D. Howard,,2-0,,
11:05.0,D. Motiejunas misses 2-pt shot from 9 ft,,2-0,,
11:02.0,,,2-0,,Defensive rebound by Z. Randolph
10:58.0,,,2-0,,T. Allen misses 2-pt shot from 5 ft (block by D. Motiejunas)
10:56.0,Defensive rebound by P. Beverley,,2-0,,
10:34.0,P. Beverley makes 2-pt shot from 2 ft,2,4-0,,
10:25.0,,,4-2,2,M. Conley makes 2-pt shot from 1 ft
10:00.0,Turnover by D. Howard (lost ball; steal by Z. Randolph),,4-2,,
9:51.0,,,4-4,2,M. Gasol makes 2-pt shot from 7 ft
9:51.0,,,4-4,,Shooting foul by D. Motiejunas (drawn by M. Gasol)
9:51.0,,,4-5,1,M. Gasol makes free throw 1 of 1
9:40.0,Shooting foul by T. Allen (drawn by J. Harden),,4-5,,
9:40.0,J. Harden makes free throw 1 of 2,1,5-5,,
9:40.0,J. Harden makes free throw 2 of 2,1,6-5,,
9:30.0,,,6-7,2,Z. Randolph makes 2-pt shot at rim (assist by M. Conley)
9:12.0,Shooting foul by T. Allen (drawn by D. Howard),,6-7,,
9:12.0,D. Howard makes free throw 1 of 2,1,7-7,,
9:12.0,,,7-7,,Q. Pondexter enters the game for T. Allen
9:12.0,D. Howard misses free throw 2 of 2,,7-7,,
9:11.0,,,7-7,,Defensive rebound by Q. Pondexter
8:49.0,,,7-7,,M. Gasol misses 2-pt shot from 16 ft
8:48.0,Defensive rebound by J. Harden,,7-7,,
8:40.0,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden),3,10-7,,
8:30.0,,,10-7,,Z. Randolph misses 2-pt shot from 19 ft
8:29.0,Defensive rebound by J. Harden,,10-7,,
8:28.0,,,10-7,,Technical foul by T. Allen
8:28.0,J. Harden makes technical free throw,1,11-7,,
8:22.0,Offensive charge foul by T. Ariza,,11-7,,
8:22.0,Turnover by T. Ariza (offensive foul),,11-7,,
8:06.0,,,11-7,,M. Gasol misses 2-pt shot from 7 ft
8:04.0,Defensive rebound by D. Howard,,11-7,,
7:55.0,Turnover by D. Motiejunas (lost ball),,11-7,,
7:42.0,,,11-7,,M. Gasol misses 2-pt shot from 18 ft
7:41.0,Defensive rebound by D. Howard,,11-7,,
7:24.0,T. Ariza misses 3-pt shot from 26 ft,,11-7,,
7:23.0,,,11-7,,Defensive rebound by Team
7:08.0,,,11-9,2,Q. Pondexter makes 2-pt shot at rim (assist by M. Gasol)
6:51.0,D. Howard makes 2-pt shot from 4 ft,2,13-9,,
6:28.0,,,13-11,2,Z. Randolph makes 2-pt shot from 5 ft (assist by Q. Pondexter)
6:22.0,Turnover by T. Ariza (bad pass; steal by C. Lee),,13-11,,
6:17.0,,,13-11,,M. Conley misses 3-pt shot from 26 ft
6:15.0,,,13-11,,Offensive rebound by M. Gasol
6:15.0,,,13-13,2,M. Gasol makes 2-pt shot at rim
6:12.0,Houston full timeout,,13-13,,
6:12.0,J. Terry enters the game for P. Beverley,,13-13,,
5:58.0,T. Ariza misses 2-pt shot from 5 ft,,13-13,,
5:57.0,,,13-13,,Defensive rebound by Z. Randolph
5:40.0,,,13-13,,Turnover by Q. Pondexter (lost ball; steal by J. Harden)
5:36.0,J. Harden makes 2-pt shot at rim (assist by J. Terry),2,15-13,,
5:09.0,,,15-13,,Z. Randolph misses 2-pt shot from 6 ft
5:08.0,Defensive rebound by T. Ariza,,15-13,,
5:02.0,D. Motiejunas misses 2-pt shot from 1 ft,,15-13,,
5:02.0,Offensive rebound by Team,,15-13,,
5:02.0,,,15-13,,Loose ball foul by M. Gasol (drawn by D. Howard)
5:02.0,K. Papanikolaou enters the game for D. Motiejunas,,15-13,,
4:51.0,K. Papanikolaou misses 3-pt shot from 24 ft,,15-13,,
4:51.0,Offensive rebound by J. Harden,,15-13,,
4:51.0,,,15-13,,Loose ball foul by Q. Pondexter (drawn by J. Harden)
4:45.0,Turnover by D. Howard (traveling),,15-13,,
4:30.0,,,15-13,,M. Gasol misses 2-pt shot from 10 ft
4:29.0,,,15-13,,Offensive rebound by Z. Randolph
