time,Dallas,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. R. Lopez (C. Parsons gains possession),,,,Jump ball: T. Chandler vs. R. Lopez (C. Parsons gains possession)
11:40.0,D. Nowitzki misses 2-pt shot from 21 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by D. Lillard
11:25.0,,,0-0,,N. Batum misses 2-pt shot from 17 ft
11:24.0,Defensive rebound by J. Nelson,,0-0,,
11:14.0,C. Parsons makes 2-pt shot from 4 ft (assist by D. Nowitzki),2,2-0,,
10:56.0,,,2-2,2,W. Matthews makes 2-pt shot from 2 ft
10:37.0,M. Ellis makes 2-pt shot from 3 ft,2,4-2,,
10:11.0,,,4-2,,W. Matthews misses 3-pt shot from 23 ft
10:10.0,Defensive rebound by M. Ellis,,4-2,,
10:06.0,Turnover by M. Ellis (lost ball; steal by D. Lillard),,4-2,,
10:03.0,,,4-4,2,D. Lillard makes 2-pt shot at rim
9:43.0,J. Nelson misses 2-pt shot from 8 ft,,4-4,,
9:43.0,,,4-4,,Defensive rebound by N. Batum
9:28.0,,,4-6,2,L. Aldridge makes 2-pt shot from 2 ft (assist by N. Batum)
9:15.0,M. Ellis makes 2-pt shot from 18 ft,2,6-6,,
8:53.0,,,6-6,,L. Aldridge misses 2-pt shot from 3 ft (block by T. Chandler)
8:53.0,Defensive rebound by D. Nowitzki,,6-6,,
8:47.0,D. Nowitzki makes 3-pt shot from 23 ft,3,9-6,,
8:29.0,,,9-6,,Offensive charge foul by L. Aldridge
8:29.0,,,9-6,,Turnover by L. Aldridge (offensive foul)
8:14.0,C. Parsons misses 2-pt shot from 16 ft,,9-6,,
8:13.0,,,9-6,,Defensive rebound by R. Lopez
8:02.0,,,9-6,,R. Lopez misses 2-pt shot from 18 ft
8:02.0,Defensive rebound by J. Nelson,,9-6,,
7:55.0,M. Ellis makes 2-pt shot from 1 ft,2,11-6,,
7:46.0,Personal block foul by M. Ellis (drawn by L. Aldridge),,11-6,,
7:40.0,,,11-6,,D. Lillard misses 2-pt shot from 3 ft (block by T. Chandler)
7:40.0,Defensive rebound by Team,,11-6,,
7:40.0,,,11-6,,Loose ball foul by N. Batum (drawn by C. Parsons)
7:19.0,C. Parsons misses 3-pt shot from 24 ft,,11-6,,
7:18.0,,,11-6,,Defensive rebound by W. Matthews
7:07.0,,,11-6,,D. Lillard misses 3-pt shot from 24 ft
7:06.0,,,11-6,,Offensive rebound by N. Batum
7:04.0,,,11-6,,Turnover by D. Lillard (offensive foul)
7:04.0,,,11-6,,Offensive charge foul by D. Lillard
6:52.0,M. Ellis misses 2-pt shot from 16 ft,,11-6,,
6:51.0,,,11-6,,Defensive rebound by N. Batum
6:41.0,,,11-8,2,L. Aldridge makes 2-pt shot from 17 ft (assist by N. Batum)
6:22.0,J. Nelson misses 2-pt shot from 20 ft,,11-8,,
6:21.0,,,11-8,,Defensive rebound by N. Batum
6:10.0,,,11-8,,L. Aldridge misses 2-pt shot from 13 ft
6:09.0,Defensive rebound by C. Parsons,,11-8,,
5:46.0,D. Nowitzki misses 2-pt shot from 15 ft,,11-8,,
5:45.0,,,11-8,,Defensive rebound by N. Batum
5:29.0,,,11-8,,Turnover by R. Lopez (lost ball)
5:29.0,,,11-8,,Portland full timeout
5:29.0,D. Harris enters the game for D. Nowitzki,,11-8,,
5:14.0,Turnover by C. Parsons (lost ball),,11-8,,
4:58.0,,,11-10,2,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Lillard)
4:42.0,M. Ellis misses 2-pt shot from 18 ft,,11-10,,
4:41.0,,,11-10,,Defensive rebound by W. Matthews
4:26.0,,,11-10,,Turnover by D. Lillard (bad pass; steal by D. Harris)
4:21.0,,,11-10,,Violation by N. Batum (def goaltending)
4:21.0,M. Ellis makes 2-pt shot from 2 ft (assist by D. Harris),2,13-10,,
4:07.0,,,13-10,,W. Matthews misses 3-pt shot from 24 ft
4:05.0,,,13-10,,Offensive rebound by R. Lopez
3:57.0,,,13-12,2,R. Lopez makes 2-pt shot from 16 ft (assist by N. Batum)
3:42.0,Turnover by T. Chandler (offensive goaltending),,13-12,,
3:42.0,,,13-12,,S. Blake enters the game for W. Matthews
3:42.0,,,13-12,,C. Kaman enters the game for R. Lopez
3:25.0,,,13-14,2,L. Aldridge makes 2-pt shot from 15 ft
3:04.0,T. Chandler misses 2-pt shot from 2 ft,,13-14,,
3:02.0,,,13-14,,Defensive rebound by Team
3:02.0,B. Wright enters the game for T. Chandler,,13-14,,
3:02.0,A. Aminu enters the game for J. Nelson,,13-14,,
2:44.0,,,13-14,,D. Lillard misses 3-pt shot from 25 ft
2:43.0,Defensive rebound by B. Wright,,13-14,,
2:26.0,B. Wright makes 2-pt shot from 2 ft (assist by M. Ellis),2,15-14,,
2:17.0,,,15-14,,Turnover by N. Batum (bad pass; steal by A. Aminu)
2:13.0,B. Wright makes 2-pt shot at rim (assist by C. Parsons),2,17-14,,
1:49.0,,,17-16,2,C. Kaman makes 2-pt shot at rim (assist by S. Blake)
1:42.0,Dallas full timeout,,17-16,,
1:42.0,J. Barea enters the game for M. Ellis,,17-16,,
1:42.0,D. Nowitzki enters the game for C. Parsons,,17-16,,
1:42.0,,,17-16,,W. Barton enters the game for D. Lillard
1:42.0,,,17-16,,C. McCollum enters the game for N. Batum
1:33.0,D. Harris makes 2-pt shot from 6 ft,2,19-16,,
1:33.0,Shooting foul by C. McCollum (drawn by D. Harris),,19-16,,
1:33.0,D. Harris makes free throw 1 of 1,1,20-16,,
1:11.0,,,20-18,2,C. Kaman makes 2-pt shot from 2 ft (assist by W. Barton)
1:00.0,J. Barea makes 2-pt shot from 1 ft,2,22-18,,
0:46.0,,,22-20,2,L. Aldridge makes 2-pt shot from 20 ft (assist by W. Barton)
0:33.0,J. Barea misses 2-pt shot from 22 ft,,22-20,,
0:31.0,,,22-20,,Defensive rebound by C. McCollum
0:16.0,,,22-20,,Turnover by W. Barton (bad pass; steal by A. Aminu)
0:00.0,B. Wright makes 2-pt shot from 13 ft (assist by D. Harris),2,24-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,24-20,,S. Blake misses 3-pt shot from 24 ft
11:42.0,Defensive rebound by A. Aminu,,24-20,,
11:27.0,B. Wright misses 2-pt shot from 1 ft (block by C. Kaman),,24-20,,
11:26.0,Offensive rebound by B. Wright,,24-20,,
11:23.0,D. Nowitzki misses 3-pt shot from 24 ft,,24-20,,
11:21.0,,,24-20,,Defensive rebound by S. Blake
11:19.0,Personal foul by D. Nowitzki (drawn by T. Robinson),,24-20,,
11:05.0,,,24-22,2,C. Kaman makes 2-pt shot from 2 ft
11:05.0,,,24-22,,Shooting foul by B. Wright (drawn by C. Kaman)
11:05.0,Violation by D. Harris (lane),,24-22,,
11:05.0,,,24-22,,C. Kaman misses free throw 1 of 1
11:04.0,Defensive rebound by A. Aminu,,24-22,,
10:53.0,,,24-22,,Personal block foul by S. Blake (drawn by D. Nowitzki)
10:43.0,D. Nowitzki misses 2-pt shot from 3 ft,,24-22,,
10:41.0,,,24-22,,Defensive rebound by T. Robinson
10:35.0,,,24-25,3,C. McCollum makes 3-pt shot from 23 ft (assist by S. Blake)
10:21.0,D. Nowitzki misses 3-pt shot from 24 ft,,24-25,,
10:21.0,,,24-25,,Defensive rebound by C. Kaman
10:10.0,,,24-28,3,C. McCollum makes 3-pt shot from 24 ft (assist by S. Blake)
10:09.0,Dallas full timeout,,24-28,,
9:59.0,,,24-28,,Personal foul by T. Robinson (drawn by D. Nowitzki)
9:49.0,D. Nowitzki makes 2-pt shot from 21 ft,2,26-28,,
