time,New York,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. A. Stoudemire (J. Holiday gains possession),,,,Jump ball: A. Davis vs. A. Stoudemire (J. Holiday gains possession)
11:44.0,,,0-0,,J. Holiday misses 2-pt shot from 12 ft
11:41.0,Defensive rebound by A. Stoudemire,,0-0,,
11:20.0,Turnover by J. Calderon (lost ball; steal by J. Holiday),,0-0,,
11:19.0,,,0-0,,Turnover by T. Evans (traveling)
10:57.0,A. Stoudemire misses 2-pt shot from 18 ft,,0-0,,
10:55.0,,,0-0,,Defensive rebound by A. Davis
10:44.0,,,0-3,3,L. Babbitt makes 3-pt shot from 23 ft (assist by T. Evans)
10:31.0,,,0-3,,Personal foul by T. Evans (drawn by I. Shumpert)
10:23.0,I. Shumpert misses 2-pt shot from 14 ft,,0-3,,
10:20.0,Offensive rebound by J. Calderon,,0-3,,
10:16.0,C. Anthony makes 3-pt shot from 25 ft (assist by J. Calderon),3,3-3,,
9:58.0,,,3-6,3,L. Babbitt makes 3-pt shot from 25 ft (assist by T. Evans)
9:42.0,C. Anthony misses 2-pt shot from 11 ft,,3-6,,
9:40.0,,,3-6,,Defensive rebound by O. Asik
9:37.0,,,3-6,,Turnover by T. Evans (lost ball; steal by I. Shumpert)
9:25.0,A. Stoudemire makes 2-pt shot from 7 ft,2,5-6,,
9:18.0,,,5-6,,A. Davis misses 2-pt shot from 5 ft
9:16.0,Defensive rebound by A. Stoudemire,,5-6,,
8:59.0,Turnover by A. Stoudemire (lost ball; steal by J. Holiday),,5-6,,
8:53.0,,,5-8,2,T. Evans makes 2-pt shot from 2 ft (assist by J. Holiday)
8:41.0,A. Stoudemire makes 2-pt shot from 1 ft,2,7-8,,
8:28.0,,,7-8,,A. Davis misses 2-pt shot from 19 ft
8:27.0,Defensive rebound by I. Shumpert,,7-8,,
8:14.0,A. Stoudemire misses 2-pt shot from 2 ft,,7-8,,
8:13.0,,,7-8,,Defensive rebound by L. Babbitt
8:05.0,,,7-10,2,T. Evans makes 2-pt shot from 1 ft
7:52.0,I. Shumpert makes 2-pt shot from 14 ft (assist by Q. Acy),2,9-10,,
7:31.0,,,9-10,,L. Babbitt misses 3-pt shot from 23 ft
7:30.0,Defensive rebound by Team,,9-10,,
7:15.0,A. Stoudemire misses 2-pt shot from 3 ft (block by O. Asik),,9-10,,
7:15.0,Offensive rebound by Team,,9-10,,
7:12.0,I. Shumpert misses 2-pt shot from 14 ft,,9-10,,
7:11.0,,,9-10,,Defensive rebound by O. Asik
7:02.0,,,9-10,,Turnover by T. Evans (bad pass; steal by J. Calderon)
6:57.0,Q. Acy makes 2-pt shot from 2 ft (assist by J. Calderon),2,11-10,,
6:57.0,,,11-10,,New Orleans full timeout
6:34.0,,,11-10,,T. Evans misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by C. Anthony,,11-10,,
6:18.0,A. Stoudemire misses 2-pt shot from 2 ft,,11-10,,
6:17.0,,,11-10,,Defensive rebound by O. Asik
6:05.0,,,11-13,3,T. Evans makes 3-pt shot from 24 ft (assist by J. Holiday)
5:53.0,C. Anthony misses 3-pt shot from 24 ft,,11-13,,
5:52.0,,,11-13,,Defensive rebound by T. Evans
5:39.0,,,11-13,,Shooting foul by J. Calderon (drawn by O. Asik)
5:39.0,,,11-15,2,O. Asik makes 2-pt shot from 1 ft (assist by T. Evans)
5:39.0,C. Aldrich enters the game for A. Stoudemire,,11-15,,
5:39.0,,,11-16,1,O. Asik makes free throw 1 of 1
5:25.0,J. Calderon makes 3-pt shot from 25 ft (assist by I. Shumpert),3,14-16,,
5:03.0,,,14-16,,A. Davis misses 2-pt shot from 14 ft
5:01.0,,,14-16,,Offensive rebound by T. Evans
4:58.0,,,14-18,2,T. Evans makes 2-pt shot from 2 ft
4:43.0,C. Anthony makes 2-pt shot from 21 ft,2,16-18,,
4:21.0,,,16-20,2,J. Holiday makes 2-pt shot from 1 ft
4:06.0,I. Shumpert misses 2-pt shot from 12 ft,,16-20,,
4:05.0,,,16-20,,Defensive rebound by A. Davis
4:05.0,Personal foul by C. Aldrich (drawn by A. Davis),,16-20,,
4:05.0,J. Smith enters the game for Q. Acy,,16-20,,
3:53.0,,,16-20,,A. Davis misses 2-pt shot from 16 ft
3:52.0,Defensive rebound by I. Shumpert,,16-20,,
3:38.0,J. Calderon misses 2-pt shot from 15 ft,,16-20,,
3:37.0,,,16-20,,Defensive rebound by A. Davis
3:27.0,,,16-20,,L. Babbitt misses 3-pt shot from 24 ft
3:26.0,,,16-20,,Offensive rebound by O. Asik
3:23.0,,,16-20,,O. Asik misses 2-pt shot from 1 ft (block by C. Aldrich)
3:21.0,Defensive rebound by I. Shumpert,,16-20,,
3:19.0,,,16-20,,Personal foul by J. Holiday (drawn by I. Shumpert)
3:19.0,J. Smith enters the game for I. Shumpert,,16-20,,
3:19.0,,,16-20,,R. Anderson enters the game for O. Asik
3:19.0,,,16-20,,A. Rivers enters the game for T. Evans
3:00.0,C. Aldrich misses 2-pt shot from 6 ft (block by A. Davis),,16-20,,
2:57.0,Offensive rebound by C. Aldrich,,16-20,,
2:54.0,C. Aldrich makes 2-pt shot from 2 ft,2,18-20,,
2:43.0,,,18-20,,Turnover by A. Rivers (bad pass; steal by J. Calderon)
2:38.0,J. Smith makes 2-pt shot from 1 ft (assist by J. Calderon),2,20-20,,
2:25.0,,,20-22,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
2:05.0,C. Anthony misses 3-pt shot from 25 ft,,20-22,,
2:03.0,Offensive rebound by J. Smith,,20-22,,
2:00.0,J. Smith makes 3-pt shot from 24 ft,3,23-22,,
1:45.0,,,23-22,,Shooting foul by C. Aldrich (drawn by R. Anderson)
1:45.0,New York full timeout,,23-22,,
1:45.0,,,23-22,,D. Cunningham enters the game for L. Babbitt
1:45.0,Q. Acy enters the game for J. Calderon,,23-22,,
1:45.0,P. Prigioni enters the game for C. Aldrich,,23-22,,
1:45.0,,,23-23,1,A. Davis makes free throw 1 of 2
1:45.0,,,23-24,1,A. Davis makes free throw 2 of 2
1:25.0,J. Smith misses 2-pt shot from 5 ft,,23-24,,
1:23.0,,,23-24,,Defensive rebound by R. Anderson
1:23.0,Personal foul by P. Prigioni (drawn by R. Anderson),,23-24,,
1:23.0,,,23-25,1,R. Anderson makes free throw 1 of 2
1:23.0,,,23-25,,G. Mekel enters the game for J. Holiday
1:23.0,,,23-26,1,R. Anderson makes free throw 2 of 2
1:00.0,Q. Acy makes 2-pt shot from 20 ft (assist by P. Prigioni),2,25-26,,
0:45.0,,,25-28,2,A. Rivers makes 2-pt shot from 5 ft (assist by R. Anderson)
0:31.0,J. Smith misses 3-pt shot from 25 ft,,25-28,,
0:29.0,,,25-28,,Defensive rebound by D. Cunningham
0:23.0,,,25-28,,A. Davis misses 2-pt shot from 1 ft
0:21.0,Defensive rebound by P. Prigioni,,25-28,,
0:01.0,J. Smith misses 2-pt shot from 19 ft,,25-28,,
0:00.0,Offensive rebound by J. Smith,,25-28,,
0:00.0,J. Smith makes 2-pt shot from 19 ft,2,27-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,A. Stoudemire makes 2-pt shot at rim (assist by P. Prigioni),2,29-28,,
11:26.0,,,29-28,,R. Anderson misses 2-pt shot from 17 ft
11:24.0,Defensive rebound by J. Smith,,29-28,,
11:14.0,J. Smith makes 2-pt shot from 9 ft,2,31-28,,
11:06.0,,,31-30,2,D. Cunningham makes 2-pt shot from 20 ft (assist by R. Anderson)
10:49.0,A. Stoudemire makes 2-pt shot at rim (assist by J. Smith),2,33-30,,
10:29.0,,,33-32,2,R. Anderson makes 2-pt shot from 21 ft (assist by D. Cunningham)
10:11.0,J. Smith misses 2-pt shot from 1 ft (block by R. Anderson),,33-32,,
10:10.0,,,33-32,,Defensive rebound by A. Ajinca
10:10.0,Loose ball foul by A. Stoudemire (drawn by A. Ajinca),,33-32,,
9:53.0,,,33-34,2,A. Ajinca makes 2-pt shot from 1 ft (assist by G. Mekel)
9:42.0,J. Smith misses 2-pt shot from 19 ft,,33-34,,
9:40.0,,,33-34,,Defensive rebound by Team
9:36.0,,,33-34,,Turnover by D. Cunningham (bad pass; steal by P. Prigioni)
9:19.0,A. Stoudemire makes 2-pt shot from 2 ft (assist by T. Hardaway),2,35-34,,
8:58.0,,,35-34,,G. Mekel misses 2-pt shot from 13 ft
8:58.0,,,35-34,,Offensive rebound by Team
8:58.0,Loose ball foul by J. Smith (drawn by R. Anderson),,35-34,,
8:58.0,Official timeout,,35-34,,
8:48.0,,,35-34,,Turnover by R. Anderson (bad pass; steal by T. Hardaway)
8:32.0,T. Hardaway makes 3-pt shot from 24 ft (assist by J. Smith),3,38-34,,
8:19.0,,,38-34,,Shooting foul by J. Smith (drawn by A. Ajinca)
8:19.0,,,38-35,1,A. Ajinca makes free throw 1 of 2
8:19.0,,,38-36,1,A. Ajinca makes free throw 2 of 2
8:01.0,Turnover by P. Prigioni (bad pass; steal by A. Rivers),,38-36,,
7:56.0,,,38-38,2,A. Rivers makes 2-pt shot from 1 ft
7:39.0,A. Stoudemire makes 2-pt shot from 2 ft,2,40-38,,
7:24.0,,,40-38,,R. Anderson misses 3-pt shot from 24 ft
7:23.0,Defensive rebound by Team,,40-38,,
7:23.0,,,40-38,,Loose ball foul by A. Ajinca (drawn by A. Stoudemire)
7:23.0,,,40-38,,A. Davis enters the game for A. Ajinca
7:07.0,T. Hardaway misses 2-pt shot from 2 ft (block by A. Rivers),,40-38,,
7:05.0,,,40-38,,Defensive rebound by D. Cunningham
7:01.0,,,40-38,,R. Anderson misses 2-pt shot from 2 ft
6:58.0,Defensive rebound by Team,,40-38,,
6:58.0,,,40-38,,T. Evans enters the game for G. Mekel
6:37.0,J. Smith misses 2-pt shot from 23 ft,,40-38,,
6:36.0,,,40-38,,Defensive rebound by A. Davis
6:29.0,,,40-40,2,D. Cunningham makes 2-pt shot from 2 ft (assist by T. Evans)
6:24.0,New York full timeout,,40-40,,
6:24.0,I. Shumpert enters the game for A. Stoudemire,,40-40,,
6:24.0,Q. Acy enters the game for J. Smith,,40-40,,
6:24.0,J. Calderon enters the game for P. Prigioni,,40-40,,
6:24.0,C. Anthony enters the game for T. Hardaway,,40-40,,
6:04.0,J. Smith makes 2-pt shot from 16 ft,2,42-40,,
5:42.0,,,42-42,2,T. Evans makes 2-pt shot from 4 ft
5:29.0,J. Smith makes flagrant free throw 1 of 2,1,43-42,,
5:29.0,J. Smith misses flagrant free throw 2 of 2,,43-42,,
5:29.0,Offensive rebound by Team,,43-42,,
5:15.0,Turnover by C. Anthony (bad pass; steal by T. Evans),,43-42,,
5:11.0,,,43-42,,Shooting foul by I. Shumpert (drawn by D. Cunningham)
5:11.0,,,43-42,,D. Cunningham misses free throw 1 of 2
5:11.0,,,43-42,,Offensive rebound by Team
5:11.0,,,43-43,1,D. Cunningham makes free throw 2 of 2
4:52.0,,,43-43,,Def 3 sec tech foul by A. Rivers
4:52.0,C. Anthony makes technical free throw,1,44-43,,
4:52.0,,,44-43,,J. Holiday enters the game for R. Anderson
4:41.0,J. Smith misses 2-pt shot from 18 ft,,44-43,,
4:39.0,Offensive rebound by C. Anthony,,44-43,,
4:38.0,,,44-43,,L. Babbitt enters the game for A. Rivers
4:27.0,C. Anthony makes 2-pt shot from 1 ft,2,46-43,,
4:16.0,,,46-45,2,T. Evans makes 2-pt shot from 2 ft
4:01.0,Shooting foul by L. Babbitt (drawn by C. Anthony),,46-45,,
4:01.0,C. Anthony makes free throw 1 of 2,1,47-45,,
4:01.0,A. Stoudemire enters the game for Q. Acy,,47-45,,
