time,LA Lakers,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: T. Black vs. D. Jordan (B. Griffin gains possession)
11:43.0,,,0-0,,B. Griffin misses 2-pt shot from 21 ft
11:42.0,Defensive rebound by T. Black,,0-0,,
11:26.0,R. Kelly misses 2-pt shot from 15 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by D. Jordan
11:21.0,,,0-0,,Shooting foul by R. Kelly (drawn by B. Griffin)
11:21.0,,,0-1,1,B. Griffin makes free throw 1 of 2
11:21.0,,,0-2,1,B. Griffin makes free throw 2 of 2
11:10.0,J. Clarkson misses 3-pt shot from 27 ft,,0-2,,
11:09.0,,,0-2,,Defensive rebound by B. Griffin
10:57.0,,,0-4,2,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul)
10:39.0,J. Lin makes 3-pt shot from 26 ft (assist by R. Kelly),3,3-4,,
10:17.0,,,3-4,,M. Barnes misses 3-pt shot from 26 ft
10:16.0,Defensive rebound by T. Black,,3-4,,
10:08.0,J. Lin misses 3-pt shot from 26 ft,,3-4,,
10:06.0,Offensive rebound by W. Johnson,,3-4,,
9:56.0,R. Kelly misses 3-pt shot from 26 ft,,3-4,,
9:55.0,Offensive rebound by T. Black,,3-4,,
9:50.0,J. Clarkson makes 2-pt shot from 2 ft (assist by T. Black),2,5-4,,
9:29.0,,,5-4,,J. Redick misses 2-pt shot from 20 ft
9:28.0,Defensive rebound by J. Clarkson,,5-4,,
9:22.0,J. Lin makes 3-pt shot from 26 ft (assist by J. Clarkson),3,8-4,,
9:08.0,,,8-4,,B. Griffin misses 2-pt shot from 16 ft
9:07.0,Defensive rebound by T. Black,,8-4,,
9:01.0,J. Clarkson misses 2-pt shot from 17 ft,,8-4,,
8:59.0,,,8-4,,Defensive rebound by M. Barnes
8:55.0,,,8-7,3,J. Redick makes 3-pt shot from 26 ft (assist by M. Barnes)
8:30.0,W. Johnson misses 2-pt shot from 3 ft (block by D. Jordan),,8-7,,
8:23.0,,,8-7,,Defensive rebound by C. Paul
8:21.0,,,8-7,,M. Barnes misses 3-pt shot from 23 ft
8:16.0,Defensive rebound by J. Clarkson,,8-7,,
8:12.0,J. Lin misses 2-pt shot from 3 ft (block by D. Jordan),,8-7,,
8:09.0,,,8-7,,Defensive rebound by C. Paul
7:58.0,,,8-9,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
7:35.0,T. Black makes 2-pt shot from 20 ft (assist by R. Kelly),2,10-9,,
7:24.0,,,10-11,2,D. Jordan makes 2-pt shot at rim (assist by J. Redick)
7:07.0,T. Black makes 2-pt shot at rim (assist by J. Lin),2,12-11,,
