time,LA Clippers,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. D. Jordan (J. Terry gains possession),,,,Jump ball: D. Howard vs. D. Jordan (J. Terry gains possession)
11:48.0,,,0-0,,Turnover by J. Smith (bad pass; steal by D. Jordan)
11:38.0,Turnover by M. Barnes (step out of bounds),,0-0,,
11:24.0,,,0-3,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
11:02.0,J. Redick makes 3-pt shot from 23 ft (assist by B. Griffin),3,3-3,,
10:41.0,,,3-5,2,J. Smith makes 2-pt shot at rim (assist by J. Harden)
10:25.0,Turnover by C. Paul (bad pass; steal by D. Howard),,3-5,,
10:18.0,,,3-7,2,J. Smith makes 2-pt shot from 1 ft (assist by D. Howard)
10:11.0,,,3-7,,Personal foul by J. Smith (drawn by M. Barnes)
10:04.0,J. Redick misses 3-pt shot from 25 ft,,3-7,,
10:03.0,,,3-7,,Defensive rebound by J. Harden
9:53.0,,,3-7,,J. Terry misses 3-pt shot from 24 ft
9:52.0,Defensive rebound by Team,,3-7,,
9:44.0,M. Barnes misses 3-pt shot from 23 ft,,3-7,,
9:43.0,Offensive rebound by D. Jordan,,3-7,,
9:40.0,D. Jordan misses 2-pt shot from 4 ft,,3-7,,
9:39.0,,,3-7,,Defensive rebound by J. Harden
9:31.0,,,3-7,,Turnover by J. Harden (bad pass)
9:19.0,B. Griffin makes 2-pt shot from 21 ft (assist by M. Barnes),2,5-7,,
9:07.0,,,5-7,,Offensive charge foul by D. Howard
9:07.0,,,5-7,,Turnover by D. Howard (offensive foul)
8:43.0,C. Paul misses 2-pt shot from 11 ft,,5-7,,
8:42.0,,,5-7,,Defensive rebound by J. Smith
8:36.0,,,5-7,,T. Ariza misses 3-pt shot from 23 ft
8:35.0,Defensive rebound by B. Griffin,,5-7,,
8:27.0,B. Griffin misses 2-pt shot from 20 ft,,5-7,,
8:26.0,,,5-7,,Defensive rebound by D. Howard
8:19.0,,,5-7,,J. Smith misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by J. Redick,,5-7,,
8:10.0,B. Griffin makes 2-pt shot from 2 ft (assist by J. Redick),2,7-7,,
7:54.0,,,7-7,,Shooting foul by B. Griffin (drawn by J. Harden)
7:54.0,,,7-8,1,J. Harden makes free throw 1 of 2
7:54.0,,,7-9,1,J. Harden makes free throw 2 of 2
7:47.0,Turnover by J. Redick (step out of bounds),,7-9,,
7:41.0,,,7-9,,Turnover by J. Harden (bad pass; steal by M. Barnes)
7:35.0,Turnover by J. Redick (bad pass; steal by J. Harden),,7-9,,
7:26.0,,,7-12,3,J. Harden makes 3-pt shot from 26 ft (assist by J. Terry)
7:10.0,Turnover by C. Paul (lost ball; steal by J. Terry),,7-12,,
