time,Boston,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. B. Bass,,,,Jump ball: S. Adams vs. B. Bass
11:59.0,,,0-0,,Violation by Team (jump ball)
11:45.0,Turnover by A. Bradley (lost ball; steal by D. Waiters),,0-0,,
11:40.0,,,0-0,,A. Roberson misses 2-pt shot at rim (block by A. Bradley)
11:39.0,,,0-0,,Offensive rebound by E. Kanter
11:39.0,,,0-2,2,E. Kanter makes 2-pt shot from 1 ft
11:24.0,T. Zeller makes 2-pt shot from 17 ft (assist by E. Turner),2,2-2,,
11:07.0,,,2-4,2,E. Kanter makes 2-pt shot from 1 ft (assist by D. Waiters)
10:44.0,B. Bass misses 2-pt shot from 14 ft,,2-4,,
10:43.0,Offensive rebound by M. Smart,,2-4,,
10:43.0,M. Smart misses 2-pt shot from 3 ft,,2-4,,
10:41.0,,,2-4,,Defensive rebound by E. Kanter
10:35.0,,,2-6,2,D. Waiters makes 2-pt shot from 15 ft (assist by R. Westbrook)
10:29.0,Turnover by T. Zeller (lost ball),,2-6,,
10:15.0,,,2-6,,Turnover by R. Westbrook (bad pass; steal by E. Turner)
10:10.0,E. Turner makes 2-pt shot at rim,2,4-6,,
9:51.0,,,4-8,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
9:35.0,A. Bradley makes 2-pt shot from 18 ft (assist by B. Bass),2,6-8,,
9:19.0,,,6-8,,Turnover by R. Westbrook (traveling)
9:09.0,T. Zeller makes 2-pt shot from 4 ft,2,8-8,,
8:51.0,,,8-8,,R. Westbrook misses 2-pt shot from 4 ft
8:50.0,,,8-8,,Offensive rebound by E. Kanter
8:50.0,,,8-8,,E. Kanter misses 2-pt shot from 2 ft
8:49.0,Defensive rebound by E. Turner,,8-8,,
8:44.0,M. Smart misses 3-pt shot from 24 ft,,8-8,,
8:43.0,,,8-8,,Defensive rebound by A. Roberson
8:37.0,Personal foul by A. Bradley (drawn by R. Westbrook),,8-8,,
8:29.0,,,8-8,,Turnover by R. Westbrook (bad pass; steal by M. Smart)
8:20.0,A. Bradley makes 2-pt shot from 18 ft,2,10-8,,
7:59.0,,,10-10,2,R. Westbrook makes 2-pt shot from 17 ft
7:49.0,,,10-10,,Personal foul by A. Roberson (drawn by E. Turner)
7:38.0,Turnover by A. Bradley (bad pass; steal by S. Adams),,10-10,,
7:33.0,,,10-10,,D. Waiters misses 2-pt shot from 1 ft (block by M. Smart)
7:32.0,Defensive rebound by Team,,10-10,,
7:08.0,T. Zeller makes 2-pt shot at rim,2,12-10,,
6:54.0,,,12-12,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:54.0,,,12-12,,Shooting foul by E. Turner (drawn by S. Adams)
6:54.0,,,12-12,,S. Adams misses free throw 1 of 1
6:53.0,,,12-12,,Offensive rebound by E. Kanter
6:52.0,,,12-14,2,E. Kanter makes 2-pt shot from 1 ft
6:48.0,,,12-14,,Personal foul by A. Roberson (drawn by E. Turner)
6:35.0,T. Zeller makes 2-pt shot from 1 ft (assist by E. Turner),2,14-14,,
6:19.0,,,14-16,2,D. Waiters makes 2-pt shot from 1 ft
6:07.0,B. Bass makes 2-pt shot from 19 ft (assist by E. Turner),2,16-16,,
5:53.0,,,16-16,,R. Westbrook misses 2-pt shot from 15 ft
5:52.0,,,16-16,,Offensive rebound by Team
5:50.0,,,16-16,,Oklahoma City full timeout
5:50.0,J. Crowder enters the game for M. Smart,,16-16,,
5:36.0,,,16-16,,R. Westbrook misses 2-pt shot from 15 ft
5:35.0,Defensive rebound by B. Bass,,16-16,,
5:24.0,Turnover by E. Turner (lost ball; steal by R. Westbrook),,16-16,,
5:21.0,,,16-18,2,E. Kanter makes 2-pt shot at rim
5:02.0,Turnover by E. Turner (lost ball; steal by R. Westbrook),,16-18,,
4:40.0,,,16-18,,D. Waiters misses 3-pt shot from 22 ft
4:39.0,Defensive rebound by B. Bass,,16-18,,
4:26.0,B. Bass makes 2-pt shot at rim (assist by T. Zeller),2,18-18,,
3:59.0,,,18-20,2,D. Waiters makes 2-pt shot from 18 ft (assist by E. Kanter)
3:43.0,A. Bradley misses 2-pt shot from 17 ft,,18-20,,
3:42.0,Offensive rebound by J. Crowder,,18-20,,
3:31.0,E. Turner misses 2-pt shot from 6 ft,,18-20,,
3:30.0,,,18-20,,Defensive rebound by E. Kanter
3:22.0,,,18-20,,R. Westbrook misses 2-pt shot from 17 ft
3:21.0,Defensive rebound by E. Turner,,18-20,,
3:11.0,J. Crowder misses 2-pt shot from 15 ft,,18-20,,
3:10.0,,,18-20,,Defensive rebound by S. Adams
2:48.0,,,18-20,,R. Westbrook misses 3-pt shot from 24 ft
2:47.0,Defensive rebound by J. Crowder,,18-20,,
2:37.0,Turnover by J. Crowder (bad pass),,18-20,,
2:37.0,Boston full timeout,,18-20,,
2:37.0,,,18-20,,A. Morrow enters the game for S. Adams
2:37.0,,,18-20,,N. Collison enters the game for A. Roberson
2:37.0,K. Olynyk enters the game for T. Zeller,,18-20,,
2:37.0,L. Datome enters the game for A. Bradley,,18-20,,
2:16.0,,,18-23,3,A. Morrow makes 3-pt shot from 22 ft (assist by D. Waiters)
1:50.0,E. Turner makes 2-pt shot from 13 ft,2,20-23,,
1:39.0,,,20-23,,Shooting foul by K. Olynyk (drawn by R. Westbrook)
1:39.0,,,20-24,1,R. Westbrook makes free throw 1 of 2
1:39.0,,,20-24,,M. McGary enters the game for E. Kanter
1:39.0,,,20-25,1,R. Westbrook makes free throw 2 of 2
1:26.0,L. Datome misses 3-pt shot from 23 ft,,20-25,,
1:25.0,,,20-25,,Defensive rebound by R. Westbrook
1:17.0,,,20-25,,Turnover by R. Westbrook (lost ball; steal by J. Crowder)
1:14.0,J. Crowder makes 2-pt shot at rim,2,22-25,,
0:58.0,,,22-25,,Shooting foul by K. Olynyk (drawn by A. Morrow)
0:58.0,,,22-26,1,A. Morrow makes free throw 1 of 2
0:58.0,P. Pressey enters the game for B. Bass,,22-26,,
0:58.0,,,22-26,,D. Augustin enters the game for D. Waiters
0:58.0,,,22-27,1,A. Morrow makes free throw 2 of 2
0:36.0,K. Olynyk makes 2-pt shot from 1 ft (assist by E. Turner),2,24-27,,
0:32.0,,,24-27,,R. Westbrook misses 3-pt shot from 24 ft
0:31.0,Defensive rebound by P. Pressey,,24-27,,
0:14.0,P. Pressey misses 2-pt shot from 1 ft,,24-27,,
0:13.0,,,24-27,,Defensive rebound by N. Collison
0:03.0,,,24-27,,Shooting foul by P. Pressey (drawn by R. Westbrook)
0:03.0,,,24-28,1,R. Westbrook makes free throw 1 of 2
0:03.0,,,24-28,,D. Waiters enters the game for M. McGary
0:03.0,,,24-28,,R. Westbrook misses free throw 2 of 2
0:03.0,Defensive rebound by J. Crowder,,24-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,24-28,,Turnover by D. Augustin (bad pass; steal by K. Olynyk)
11:20.0,,,24-28,,Personal foul by M. McGary (drawn by K. Olynyk)
11:20.0,J. Jerebko enters the game for L. Datome,,24-28,,
11:18.0,,,24-28,,Personal foul by N. Collison (drawn by J. Crowder)
11:17.0,Turnover by J. Crowder (bad pass; steal by M. McGary),,24-28,,
11:14.0,,,24-30,2,M. McGary makes 2-pt shot at rim
10:57.0,M. Smart makes 3-pt shot from 24 ft (assist by J. Crowder),3,27-30,,
10:36.0,,,27-32,2,M. McGary makes 2-pt shot from 14 ft (assist by D. Augustin)
10:20.0,,,27-32,,Personal foul by M. McGary (drawn by K. Olynyk)
10:14.0,P. Pressey misses 3-pt shot from 24 ft,,27-32,,
10:13.0,,,27-32,,Defensive rebound by M. McGary
10:01.0,,,27-32,,S. Novak misses 3-pt shot from 22 ft
10:00.0,Defensive rebound by J. Jerebko,,27-32,,
9:50.0,P. Pressey misses 3-pt shot from 24 ft,,27-32,,
9:49.0,,,27-32,,Defensive rebound by N. Collison
9:36.0,,,27-32,,A. Morrow misses 2-pt shot from 2 ft (block by M. Smart)
9:33.0,Defensive rebound by M. Smart,,27-32,,
9:30.0,J. Crowder makes 2-pt shot at rim (assist by M. Smart),2,29-32,,
9:14.0,,,29-32,,N. Collison misses 2-pt shot from 20 ft
9:13.0,Defensive rebound by J. Jerebko,,29-32,,
9:08.0,Turnover by P. Pressey (bad pass),,29-32,,
9:04.0,Personal foul by P. Pressey (drawn by D. Augustin),,29-32,,
8:57.0,,,29-34,2,D. Augustin makes 2-pt shot from 11 ft
8:41.0,K. Olynyk misses 2-pt shot from 2 ft (block by S. Novak),,29-34,,
8:39.0,Offensive rebound by P. Pressey,,29-34,,
8:35.0,Offensive charge foul by P. Pressey,,29-34,,
8:35.0,Turnover by P. Pressey (offensive foul),,29-34,,
8:35.0,Official timeout,,29-34,,
8:19.0,,,29-36,2,D. Augustin makes 2-pt shot from 17 ft
8:03.0,K. Olynyk makes 3-pt shot from 24 ft (assist by J. Crowder),3,32-36,,
7:44.0,,,32-36,,Offensive foul by M. McGary
7:44.0,,,32-36,,Turnover by M. McGary (offensive foul)
7:44.0,A. Bradley enters the game for P. Pressey,,32-36,,
7:44.0,,,32-36,,R. Westbrook enters the game for A. Morrow
7:35.0,K. Olynyk makes 3-pt shot from 24 ft (assist by J. Crowder),3,35-36,,
7:34.0,,,35-36,,Oklahoma City full timeout
7:34.0,,,35-36,,S. Adams enters the game for M. McGary
7:21.0,,,35-38,2,S. Novak makes 2-pt shot from 23 ft (assist by R. Westbrook)
6:56.0,M. Smart misses 3-pt shot from 22 ft,,35-38,,
6:54.0,Offensive rebound by J. Crowder,,35-38,,
6:54.0,J. Crowder misses 2-pt shot from 1 ft,,35-38,,
6:54.0,,,35-38,,Defensive rebound by Team
6:42.0,,,35-38,,S. Novak misses 3-pt shot from 22 ft
6:41.0,Defensive rebound by J. Jerebko,,35-38,,
6:28.0,Offensive charge foul by M. Smart,,35-38,,
6:28.0,Turnover by M. Smart (offensive foul),,35-38,,
6:28.0,,,35-38,,D. Waiters enters the game for S. Novak
6:12.0,,,35-38,,D. Waiters misses 2-pt shot from 2 ft (block by K. Olynyk)
6:10.0,,,35-38,,Offensive rebound by D. Waiters
6:08.0,,,35-38,,D. Waiters misses 2-pt shot from 10 ft
6:07.0,Defensive rebound by M. Smart,,35-38,,
6:06.0,,,35-38,,Loose ball foul by S. Adams (drawn by M. Smart)
6:06.0,,,35-38,,E. Kanter enters the game for N. Collison
5:54.0,Turnover by K. Olynyk (lost ball),,35-38,,
5:46.0,,,35-38,,Offensive foul by R. Westbrook
5:46.0,,,35-38,,Turnover by R. Westbrook (offensive foul)
5:46.0,T. Zeller enters the game for K. Olynyk,,35-38,,
5:33.0,J. Jerebko makes 3-pt shot from 25 ft (assist by T. Zeller),3,38-38,,
5:19.0,,,38-38,,D. Waiters misses 2-pt shot from 1 ft
5:18.0,,,38-38,,Offensive rebound by D. Waiters
5:05.0,,,38-38,,D. Waiters misses 2-pt shot at rim
5:04.0,Defensive rebound by T. Zeller,,38-38,,
4:56.0,T. Zeller makes 2-pt shot from 1 ft (assist by J. Jerebko),2,40-38,,
4:56.0,,,40-38,,Oklahoma City full timeout
4:45.0,,,40-38,,R. Westbrook misses 2-pt shot from 15 ft
4:44.0,Defensive rebound by J. Crowder,,40-38,,
4:29.0,Turnover by J. Jerebko (bad pass; steal by R. Westbrook),,40-38,,
4:25.0,,,40-40,2,R. Westbrook makes 2-pt shot at rim
4:14.0,M. Smart makes 3-pt shot from 23 ft,3,43-40,,
3:53.0,,,43-42,2,D. Augustin makes 2-pt shot from 11 ft
3:38.0,M. Smart makes 3-pt shot from 24 ft (assist by J. Jerebko),3,46-42,,
3:20.0,,,46-42,,D. Waiters misses 2-pt shot from 15 ft
3:18.0,,,46-42,,Offensive rebound by E. Kanter
3:18.0,,,46-44,2,E. Kanter makes 2-pt shot from 1 ft
3:08.0,T. Zeller makes 2-pt shot at rim (assist by M. Smart),2,48-44,,
2:52.0,,,48-44,,E. Kanter misses 2-pt shot from 1 ft
2:48.0,Defensive rebound by M. Smart,,48-44,,
2:44.0,A. Bradley makes 2-pt shot from 2 ft (assist by J. Crowder),2,50-44,,
2:29.0,,,50-46,2,R. Westbrook makes 2-pt shot at rim
2:19.0,Boston full timeout,,50-46,,
2:19.0,E. Turner enters the game for J. Crowder,,50-46,,
2:19.0,,,50-46,,A. Morrow enters the game for D. Augustin
2:13.0,M. Smart makes 2-pt shot from 10 ft,2,52-46,,
1:47.0,,,52-48,2,S. Adams makes 2-pt shot from 10 ft (assist by R. Westbrook)
1:26.0,M. Smart makes 3-pt shot from 24 ft (assist by E. Turner),3,55-48,,
1:09.0,,,55-51,3,A. Morrow makes 3-pt shot from 24 ft (assist by R. Westbrook)
0:50.0,A. Bradley makes 2-pt shot at rim (assist by E. Turner),2,57-51,,
0:42.0,,,57-53,2,R. Westbrook makes 2-pt shot from 2 ft
0:28.0,J. Jerebko misses 2-pt shot from 21 ft,,57-53,,
0:27.0,,,57-53,,Defensive rebound by S. Adams
0:07.0,,,57-53,,Offensive foul by R. Westbrook
0:07.0,,,57-53,,Turnover by R. Westbrook (offensive foul)
0:07.0,K. Olynyk enters the game for E. Turner,,57-53,,
0:07.0,P. Pressey enters the game for T. Zeller,,57-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,57-55,2,E. Kanter makes 2-pt shot from 3 ft (assist by R. Westbrook)
11:32.0,A. Bradley misses 3-pt shot from 24 ft,,57-55,,
11:31.0,,,57-55,,Defensive rebound by S. Adams
11:25.0,,,57-55,,R. Westbrook misses 2-pt shot from 16 ft
11:24.0,Defensive rebound by E. Turner,,57-55,,
11:10.0,T. Zeller misses 2-pt shot from 2 ft,,57-55,,
11:09.0,,,57-55,,Defensive rebound by D. Waiters
10:59.0,,,57-55,,R. Westbrook misses 3-pt shot from 24 ft
10:58.0,,,57-55,,Offensive rebound by E. Kanter
10:57.0,,,57-57,2,E. Kanter makes 2-pt shot from 1 ft
10:36.0,B. Bass makes 2-pt shot from 14 ft (assist by A. Bradley),2,59-57,,
10:12.0,,,59-59,2,A. Roberson makes 2-pt shot from 1 ft
9:54.0,Turnover by A. Bradley (bad pass; steal by S. Adams),,59-59,,
9:50.0,Personal foul by A. Bradley (drawn by D. Waiters),,59-59,,
9:44.0,,,59-59,,Turnover by S. Adams (lost ball; steal by E. Turner)
9:39.0,A. Bradley makes 2-pt shot at rim (assist by E. Turner),2,61-59,,
9:25.0,,,61-59,,D. Waiters misses 2-pt shot from 18 ft
9:24.0,Defensive rebound by A. Bradley,,61-59,,
9:18.0,M. Smart misses 3-pt shot from 24 ft,,61-59,,
9:17.0,,,61-59,,Defensive rebound by A. Roberson
9:11.0,,,61-59,,Shooting foul by E. Turner (drawn by R. Westbrook)
9:11.0,,,61-60,1,R. Westbrook makes free throw 1 of 2
9:11.0,,,61-60,,R. Westbrook misses free throw 2 of 2
9:10.0,Defensive rebound by E. Turner,,61-60,,
8:53.0,T. Zeller misses 2-pt shot from 2 ft (block by E. Kanter),,61-60,,
8:52.0,,,61-60,,Defensive rebound by Team
8:37.0,,,61-62,2,E. Kanter makes 2-pt shot from 5 ft
8:28.0,,,61-62,,Personal foul by S. Adams (drawn by T. Zeller)
8:28.0,K. Olynyk enters the game for T. Zeller,,61-62,,
8:16.0,K. Olynyk misses 2-pt shot from 11 ft,,61-62,,
8:14.0,Offensive rebound by M. Smart,,61-62,,
8:10.0,A. Bradley misses 3-pt shot from 24 ft,,61-62,,
8:09.0,,,61-62,,Defensive rebound by R. Westbrook
8:04.0,,,61-62,,Turnover by R. Westbrook (bad pass; steal by E. Turner)
7:59.0,K. Olynyk makes 2-pt shot at rim (assist by E. Turner),2,63-62,,
7:39.0,,,63-62,,E. Kanter misses 2-pt shot from 14 ft
7:38.0,Defensive rebound by E. Turner,,63-62,,
7:28.0,M. Smart makes 3-pt shot from 24 ft (assist by B. Bass),3,66-62,,
7:27.0,,,66-62,,Oklahoma City full timeout
7:11.0,,,66-62,,Turnover by E. Kanter (bad pass; steal by E. Turner)
