time,Philadelphia,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. N. Noel (T. Black gains possession),,,,Jump ball: J. Hill vs. N. Noel (T. Black gains possession)
11:43.0,,,0-0,,W. Johnson misses 3-pt shot from 24 ft
11:42.0,,,0-0,,Offensive rebound by T. Black
11:27.0,,,0-2,2,J. Hill makes 2-pt shot from 1 ft
11:07.0,Turnover by J. Sampson (bad pass; steal by W. Johnson),,0-2,,
10:59.0,,,0-2,,W. Ellington misses 2-pt shot from 3 ft
10:57.0,,,0-2,,Offensive rebound by T. Black
10:53.0,,,0-2,,W. Ellington misses 3-pt shot from 25 ft
10:51.0,,,0-2,,Offensive rebound by J. Hill
10:48.0,,,0-4,2,J. Hill makes 2-pt shot from 10 ft
10:48.0,Philadelphia full timeout,,0-4,,
10:34.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,0-4,,
10:32.0,,,0-4,,Defensive rebound by T. Black
10:19.0,,,0-4,,J. Clarkson misses 3-pt shot from 24 ft
10:18.0,Defensive rebound by J. Richardson,,0-4,,
10:11.0,N. Noel misses 2-pt shot from 2 ft,,0-4,,
10:06.0,,,0-4,,Defensive rebound by T. Black
10:02.0,,,0-4,,T. Black misses 2-pt shot from 18 ft
10:00.0,Defensive rebound by N. Noel,,0-4,,
9:50.0,J. Richardson misses 3-pt shot from 24 ft,,0-4,,
9:49.0,Offensive rebound by I. Smith,,0-4,,
9:45.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,2-4,,
9:25.0,,,2-4,,W. Johnson misses 2-pt shot from 15 ft
9:23.0,Defensive rebound by J. Richardson,,2-4,,
9:01.0,I. Smith misses 2-pt shot from 2 ft,,2-4,,
9:00.0,,,2-4,,Defensive rebound by J. Hill
8:52.0,,,2-4,,W. Johnson misses 2-pt shot from 20 ft
8:51.0,Defensive rebound by L. Mbah a Moute,,2-4,,
8:36.0,N. Noel misses 2-pt shot from 13 ft,,2-4,,
8:35.0,,,2-4,,Defensive rebound by J. Clarkson
8:23.0,,,2-6,2,T. Black makes 2-pt shot from 1 ft (assist by W. Ellington)
8:10.0,L. Mbah a Moute misses 2-pt shot from 15 ft,,2-6,,
8:08.0,,,2-6,,Defensive rebound by J. Clarkson
8:02.0,,,2-6,,Offensive foul by J. Clarkson
8:02.0,,,2-6,,Turnover by J. Clarkson (offensive foul)
7:47.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,2-6,,
7:46.0,,,2-6,,Defensive rebound by W. Ellington
7:26.0,,,2-6,,T. Black misses 2-pt shot from 2 ft (block by N. Noel)
7:23.0,Defensive rebound by J. Sampson,,2-6,,
7:21.0,J. Sampson misses 2-pt shot from 1 ft (block by T. Black),,2-6,,
7:21.0,Offensive rebound by Team,,2-6,,
7:10.0,I. Smith makes 2-pt shot from 2 ft (assist by J. Richardson),2,4-6,,
6:58.0,,,4-6,,Turnover by W. Johnson (bad pass)
6:40.0,J. Richardson misses 3-pt shot from 25 ft,,4-6,,
6:39.0,,,4-6,,Defensive rebound by Team
6:39.0,Loose ball foul by N. Noel (drawn by J. Hill),,4-6,,
6:30.0,,,4-6,,W. Ellington misses 3-pt shot from 24 ft
6:28.0,,,4-6,,Offensive rebound by W. Johnson
6:25.0,,,4-8,2,W. Johnson makes 2-pt shot from 16 ft
6:05.0,J. Richardson misses 2-pt shot from 1 ft,,4-8,,
6:04.0,,,4-8,,Defensive rebound by J. Hill
5:54.0,,,4-8,,LA Lakers full timeout
5:54.0,,,4-8,,C. Boozer enters the game for J. Hill
5:54.0,,,4-8,,J. Lin enters the game for W. Ellington
5:54.0,J. Grant enters the game for J. Sampson,,4-8,,
5:40.0,,,4-8,,Turnover by Team (shot clock)
5:40.0,R. Covington enters the game for J. Richardson,,4-8,,
5:15.0,I. Smith misses 2-pt shot from 4 ft,,4-8,,
5:14.0,,,4-8,,Defensive rebound by C. Boozer
5:03.0,,,4-10,2,J. Clarkson makes 2-pt shot from 1 ft (assist by C. Boozer)
4:53.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by N. Noel),2,6-10,,
4:39.0,,,6-12,2,C. Boozer makes 2-pt shot from 16 ft (assist by J. Clarkson)
4:15.0,L. Mbah a Moute makes 2-pt shot from 19 ft (assist by I. Smith),2,8-12,,
4:02.0,,,8-12,,Offensive foul by J. Clarkson
4:02.0,,,8-12,,Turnover by J. Clarkson (offensive foul)
4:02.0,I. Canaan enters the game for I. Smith,,8-12,,
4:02.0,,,8-12,,J. Brown enters the game for J. Clarkson
3:49.0,Shooting foul by W. Johnson (drawn by J. Grant),,8-12,,
3:49.0,J. Grant makes free throw 1 of 2,1,9-12,,
3:49.0,J. Grant makes free throw 2 of 2,1,10-12,,
3:29.0,,,10-12,,C. Boozer misses 2-pt shot from 2 ft
3:28.0,Defensive rebound by R. Covington,,10-12,,
3:18.0,R. Covington makes 3-pt shot from 25 ft (assist by L. Mbah a Moute),3,13-12,,
2:54.0,,,13-14,2,J. Brown makes 2-pt shot from 10 ft
2:26.0,R. Covington misses 2-pt shot from 1 ft,,13-14,,
2:22.0,,,13-14,,Defensive rebound by J. Lin
2:16.0,,,13-14,,Turnover by C. Boozer (traveling)
2:16.0,Philadelphia full timeout,,13-14,,
2:16.0,,,13-14,,E. Davis enters the game for T. Black
2:16.0,T. Robinson enters the game for L. Mbah a Moute,,13-14,,
1:53.0,I. Canaan misses 3-pt shot from 25 ft,,13-14,,
1:53.0,,,13-14,,Defensive rebound by Team
1:35.0,,,13-16,2,J. Lin makes 2-pt shot from 2 ft (assist by J. Brown)
1:25.0,Shooting foul by W. Johnson (drawn by R. Covington),,13-16,,
1:25.0,R. Covington makes free throw 1 of 3,1,14-16,,
1:25.0,R. Covington makes free throw 2 of 3,1,15-16,,
1:25.0,F. Aldemir enters the game for N. Noel,,15-16,,
1:25.0,,,15-16,,R. Kelly enters the game for W. Johnson
1:25.0,R. Covington makes free throw 3 of 3,1,16-16,,
1:17.0,,,16-18,2,R. Kelly makes 2-pt shot from 14 ft (assist by E. Davis)
1:04.0,F. Aldemir makes 2-pt shot from 2 ft (assist by J. Grant),2,18-18,,
1:04.0,Shooting foul by E. Davis (drawn by F. Aldemir),,18-18,,
1:04.0,F. Aldemir misses free throw 1 of 1,,18-18,,
1:03.0,,,18-18,,Defensive rebound by E. Davis
0:53.0,,,18-18,,J. Brown misses 2-pt shot from 18 ft (block by J. Grant)
0:51.0,Defensive rebound by T. Robinson,,18-18,,
0:39.0,I. Canaan misses 2-pt shot from 9 ft (block by C. Boozer),,18-18,,
0:39.0,Offensive rebound by T. Robinson,,18-18,,
0:39.0,T. Robinson makes 2-pt shot at rim,2,20-18,,
0:27.0,,,20-18,,Turnover by J. Lin (bad pass; steal by T. Robinson)
0:04.0,I. Canaan misses 3-pt shot from 22 ft,,20-18,,
0:03.0,Offensive rebound by Team,,20-18,,
0:03.0,Turnover by Team (shot clock),,20-18,,
0:02.0,,,20-18,,R. Kelly misses 3-pt shot from 25 ft
0:00.0,,,20-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,R. Covington misses 3-pt shot from 25 ft,,20-18,,
11:47.0,Offensive rebound by T. Robinson,,20-18,,
11:37.0,R. Covington makes 3-pt shot from 24 ft (assist by J. Grant),3,23-18,,
11:18.0,,,23-18,,Offensive foul by J. Lin
11:18.0,,,23-18,,Turnover by J. Lin (offensive foul)
11:05.0,J. Grant makes 3-pt shot from 23 ft (assist by I. Canaan),3,26-18,,
10:51.0,Personal foul by I. Canaan (drawn by J. Lin),,26-18,,
10:41.0,,,26-18,,R. Kelly misses 3-pt shot from 25 ft
10:38.0,,,26-18,,Offensive rebound by E. Davis
10:38.0,,,26-18,,E. Davis misses 2-pt shot from 1 ft
10:36.0,Defensive rebound by J. Grant,,26-18,,
10:26.0,T. Robinson makes 2-pt shot from 5 ft,2,28-18,,
10:18.0,,,28-18,,LA Lakers full timeout
10:09.0,,,28-18,,C. Boozer misses 2-pt shot from 2 ft (block by J. Grant)
10:08.0,,,28-18,,Offensive rebound by E. Davis
10:04.0,,,28-20,2,C. Boozer makes 2-pt shot from 1 ft (assist by R. Kelly)
9:53.0,T. Robinson makes 2-pt shot from 1 ft (assist by I. Canaan),2,30-20,,
9:45.0,,,30-20,,Offensive foul by C. Boozer
9:45.0,,,30-20,,Turnover by C. Boozer (offensive foul)
9:19.0,I. Canaan misses 3-pt shot from 24 ft,,30-20,,
9:18.0,,,30-20,,Defensive rebound by E. Davis
9:11.0,,,30-23,3,J. Lin makes 3-pt shot from 25 ft (assist by J. Brown)
8:58.0,T. Robinson misses 2-pt shot from 18 ft,,30-23,,
8:57.0,,,30-23,,Defensive rebound by E. Davis
8:52.0,Jump ball: I. Canaan vs. J. Lin (J. Brown gains possession),,,,Jump ball: I. Canaan vs. J. Lin (J. Brown gains possession)
8:44.0,,,30-26,3,J. Lin makes 3-pt shot from 24 ft (assist by J. Brown)
8:33.0,Shooting foul by R. Kelly (drawn by J. Grant),,30-26,,
8:33.0,J. Grant misses free throw 1 of 2,,30-26,,
8:33.0,Offensive rebound by Team,,30-26,,
8:33.0,J. Grant makes free throw 2 of 2,1,31-26,,
8:15.0,,,31-28,2,C. Boozer makes 2-pt shot from 1 ft
8:08.0,I. Canaan misses 3-pt shot from 24 ft,,31-28,,
8:07.0,Offensive rebound by F. Aldemir,,31-28,,
8:02.0,T. Robinson makes 2-pt shot from 2 ft (assist by J. Grant),2,33-28,,
7:50.0,,,33-28,,J. Lin misses 2-pt shot from 11 ft
7:48.0,Defensive rebound by T. Robinson,,33-28,,
7:40.0,R. Covington misses 3-pt shot from 25 ft,,33-28,,
7:37.0,Offensive rebound by I. Canaan,,33-28,,
7:36.0,,,33-28,,Personal foul by J. Lin (drawn by I. Canaan)
7:36.0,J. Richardson enters the game for R. Covington,,33-28,,
7:36.0,H. Thompson enters the game for J. Grant,,33-28,,
7:36.0,,,33-28,,T. Black enters the game for C. Boozer
7:36.0,,,33-28,,J. Hill enters the game for E. Davis
7:28.0,T. Robinson makes 2-pt shot from 1 ft (assist by J. Richardson),2,35-28,,
7:06.0,,,35-30,2,J. Hill makes 2-pt shot from 14 ft
6:42.0,F. Aldemir misses 2-pt shot from 19 ft,,35-30,,
6:41.0,,,35-30,,Defensive rebound by J. Lin
6:34.0,,,35-30,,J. Brown misses 3-pt shot from 25 ft
6:33.0,,,35-30,,Offensive rebound by J. Hill
6:30.0,,,35-32,2,J. Hill makes 2-pt shot from 1 ft
6:30.0,,,35-32,,Shooting foul by F. Aldemir (drawn by J. Hill)
6:30.0,,,35-32,,W. Ellington enters the game for J. Brown
6:30.0,,,35-32,,J. Clarkson enters the game for J. Lin
6:30.0,L. Mbah a Moute enters the game for F. Aldemir,,35-32,,
6:30.0,N. Noel enters the game for T. Robinson,,35-32,,
6:30.0,,,35-32,,J. Hill misses free throw 1 of 1
6:28.0,Defensive rebound by N. Noel,,35-32,,
6:17.0,H. Thompson misses 2-pt shot from 3 ft,,35-32,,
6:17.0,,,35-32,,Defensive rebound by Team
6:03.0,,,35-32,,W. Ellington misses 2-pt shot from 6 ft
6:00.0,Defensive rebound by L. Mbah a Moute,,35-32,,
5:51.0,L. Mbah a Moute misses 2-pt shot from 19 ft,,35-32,,
5:49.0,,,35-32,,Defensive rebound by J. Clarkson
5:41.0,,,35-32,,J. Clarkson misses 2-pt shot from 19 ft
5:40.0,Defensive rebound by J. Richardson,,35-32,,
5:33.0,Philadelphia full timeout,,35-32,,
5:33.0,I. Smith enters the game for I. Canaan,,35-32,,
5:21.0,H. Thompson makes 3-pt shot from 24 ft (assist by L. Mbah a Moute),3,38-32,,
4:58.0,,,38-34,2,J. Hill makes 2-pt shot from 9 ft
4:34.0,Turnover by I. Smith (bad pass),,38-34,,
4:22.0,,,38-34,,W. Ellington misses 2-pt shot from 15 ft
4:21.0,Defensive rebound by Team,,38-34,,
4:03.0,H. Thompson makes 2-pt shot from 19 ft (assist by I. Smith),2,40-34,,
3:41.0,,,40-34,,R. Kelly misses 3-pt shot from 24 ft
3:40.0,,,40-34,,Offensive rebound by T. Black
3:37.0,,,40-34,,T. Black misses 2-pt shot from 1 ft
3:36.0,Defensive rebound by N. Noel,,40-34,,
3:19.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,42-34,,
3:07.0,Personal foul by L. Mbah a Moute (drawn by J. Hill),,42-34,,
3:07.0,,,42-34,,W. Johnson enters the game for R. Kelly
2:58.0,,,42-36,2,W. Ellington makes 2-pt shot from 19 ft (assist by J. Hill)
2:45.0,,,42-36,,Personal foul by T. Black (drawn by L. Mbah a Moute)
2:45.0,Official timeout,,42-36,,
2:33.0,L. Mbah a Moute makes 2-pt shot from 22 ft (assist by J. Richardson),2,44-36,,
2:09.0,,,44-39,3,W. Ellington makes 3-pt shot from 24 ft (assist by W. Johnson)
2:00.0,I. Smith misses 2-pt shot from 3 ft,,44-39,,
1:58.0,,,44-39,,Defensive rebound by W. Johnson
1:45.0,,,44-39,,J. Clarkson misses 2-pt shot from 17 ft
1:44.0,Defensive rebound by N. Noel,,44-39,,
1:33.0,L. Mbah a Moute misses 2-pt shot from 18 ft,,44-39,,
1:31.0,,,44-39,,Defensive rebound by W. Johnson
1:26.0,,,44-39,,Turnover by J. Clarkson (bad pass; steal by L. Mbah a Moute)
1:21.0,Shooting foul by W. Ellington (drawn by L. Mbah a Moute),,44-39,,
1:21.0,L. Mbah a Moute makes free throw 1 of 2,1,45-39,,
1:21.0,L. Mbah a Moute misses free throw 2 of 2,,45-39,,
1:20.0,,,45-39,,Defensive rebound by W. Johnson
0:59.0,,,45-39,,J. Clarkson misses 2-pt shot from 19 ft
0:58.0,Defensive rebound by H. Thompson,,45-39,,
0:43.0,N. Noel makes 2-pt shot from 6 ft (assist by I. Smith),2,47-39,,
0:26.0,,,47-41,2,J. Hill makes 2-pt shot from 5 ft
0:04.0,J. Richardson misses 3-pt shot from 26 ft,,47-41,,
0:01.0,,,47-41,,Defensive rebound by J. Hill
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,J. Richardson misses 2-pt shot from 21 ft,,47-41,,
11:44.0,,,47-41,,Defensive rebound by J. Hill
11:21.0,,,47-41,,J. Clarkson misses 2-pt shot from 19 ft
11:20.0,Defensive rebound by J. Richardson,,47-41,,
11:04.0,L. Mbah a Moute misses 2-pt shot from 18 ft,,47-41,,
11:02.0,,,47-41,,Defensive rebound by W. Ellington
10:57.0,,,47-41,,Turnover by W. Johnson (bad pass; steal by L. Mbah a Moute)
10:54.0,,,47-41,,Violation by W. Johnson (kicked ball)
10:48.0,I. Smith misses 2-pt shot from 1 ft,,47-41,,
10:46.0,,,47-41,,Defensive rebound by J. Hill
10:40.0,,,47-41,,Shooting foul by I. Smith (drawn by J. Clarkson)
10:40.0,,,47-42,1,J. Clarkson makes free throw 1 of 2
10:40.0,,,47-43,1,J. Clarkson makes free throw 2 of 2
10:31.0,I. Smith misses 2-pt shot from 2 ft,,47-43,,
10:30.0,,,47-43,,Defensive rebound by J. Hill
10:25.0,,,47-45,2,J. Clarkson makes 2-pt shot from 1 ft
10:12.0,Shooting foul by T. Black (drawn by J. Sampson),,47-45,,
10:12.0,J. Sampson misses free throw 1 of 2,,47-45,,
10:12.0,Offensive rebound by Team,,47-45,,
10:12.0,J. Sampson makes free throw 2 of 2,1,48-45,,
9:48.0,,,48-47,2,W. Johnson makes 2-pt shot from 16 ft
9:23.0,J. Sampson misses 2-pt shot from 4 ft (block by T. Black),,48-47,,
9:22.0,Offensive rebound by Team,,48-47,,
9:22.0,Turnover by Team (shot clock),,48-47,,
9:07.0,,,48-49,2,W. Ellington makes 2-pt shot from 20 ft (assist by J. Clarkson)
8:52.0,Turnover by I. Smith (lost ball; steal by W. Johnson),,48-49,,
8:40.0,,,48-51,2,W. Johnson makes 2-pt shot from 1 ft (assist by J. Hill)
8:40.0,Philadelphia full timeout,,48-51,,
8:21.0,I. Smith misses 2-pt shot from 5 ft,,48-51,,
8:19.0,Offensive rebound by I. Smith,,48-51,,
8:16.0,I. Smith makes 2-pt shot from 1 ft,2,50-51,,
8:02.0,,,50-51,,W. Johnson misses 2-pt shot from 20 ft
8:01.0,Defensive rebound by N. Noel,,50-51,,
7:45.0,I. Smith makes 2-pt shot from 1 ft,2,52-51,,
7:45.0,Shooting foul by J. Clarkson (drawn by I. Smith),,52-51,,
7:45.0,I. Smith makes free throw 1 of 1,1,53-51,,
7:25.0,,,53-54,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Hill)
7:18.0,I. Smith misses 2-pt shot from 2 ft,,53-54,,
7:15.0,,,53-54,,Defensive rebound by W. Ellington
7:10.0,,,53-54,,Shooting foul by L. Mbah a Moute (drawn by J. Clarkson)
7:10.0,,,53-55,1,J. Clarkson makes free throw 1 of 2
7:10.0,,,53-56,1,J. Clarkson makes free throw 2 of 2
6:59.0,J. Richardson makes 3-pt shot from 24 ft (assist by I. Smith),3,56-56,,
6:43.0,,,56-56,,Turnover by J. Clarkson (bad pass; steal by J. Sampson)
6:28.0,J. Richardson makes 2-pt shot from 18 ft,2,58-56,,
6:02.0,,,58-56,,J. Hill misses 2-pt shot from 14 ft
6:00.0,,,58-56,,Offensive rebound by W. Johnson
5:58.0,,,58-58,2,W. Johnson makes 2-pt shot from 1 ft
5:49.0,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by I. Smith),3,61-58,,
5:29.0,,,61-58,,T. Black misses 2-pt shot from 2 ft (block by N. Noel)
5:27.0,,,61-58,,Offensive rebound by T. Black
5:25.0,,,61-58,,Turnover by T. Black (lost ball)
5:25.0,Philadelphia full timeout,,61-58,,
5:25.0,,,61-58,,C. Boozer enters the game for J. Hill
5:25.0,,,61-58,,J. Lin enters the game for W. Ellington
5:25.0,J. Grant enters the game for J. Sampson,,61-58,,
5:25.0,R. Covington enters the game for N. Noel,,61-58,,
5:25.0,F. Aldemir enters the game for J. Richardson,,61-58,,
5:04.0,I. Smith misses 3-pt shot from 25 ft,,61-58,,
5:03.0,,,61-58,,Defensive rebound by W. Johnson
4:50.0,,,61-60,2,J. Lin makes 2-pt shot from 1 ft
4:25.0,I. Smith misses 2-pt shot from 1 ft,,61-60,,
4:24.0,,,61-60,,Defensive rebound by C. Boozer
4:18.0,,,61-62,2,W. Johnson makes 2-pt shot at rim (assist by J. Lin)
3:54.0,,,61-62,,Personal foul by C. Boozer (drawn by I. Smith)
3:54.0,I. Canaan enters the game for I. Smith,,61-62,,
3:42.0,L. Mbah a Moute makes 3-pt shot from 22 ft (assist by J. Grant),3,64-62,,
3:29.0,Personal foul by J. Grant (drawn by J. Clarkson),,64-62,,
3:29.0,T. Robinson enters the game for L. Mbah a Moute,,64-62,,
3:29.0,,,64-62,,E. Davis enters the game for T. Black
3:21.0,Personal foul by I. Canaan (drawn by W. Johnson),,64-62,,
3:13.0,,,64-62,,J. Clarkson misses 2-pt shot from 16 ft
3:11.0,,,64-62,,Offensive rebound by J. Clarkson
3:07.0,,,64-64,2,E. Davis makes 2-pt shot from 1 ft (assist by J. Clarkson)
3:07.0,,,64-64,,Shooting foul by T. Robinson (drawn by E. Davis)
3:07.0,,,64-64,,E. Davis misses free throw 1 of 1
3:06.0,Defensive rebound by F. Aldemir,,64-64,,
2:56.0,,,64-64,,J. Brown enters the game for J. Clarkson
2:47.0,R. Covington misses 2-pt shot from 3 ft (block by W. Johnson),,64-64,,
2:45.0,Offensive rebound by R. Covington,,64-64,,
2:42.0,R. Covington makes 2-pt shot at rim,2,66-64,,
2:32.0,,,66-64,,Shooting foul by F. Aldemir (drawn by J. Lin)
2:32.0,,,66-65,1,J. Lin makes free throw 1 of 2
2:32.0,,,66-66,1,J. Lin makes free throw 2 of 2
2:17.0,Shooting foul by C. Boozer (drawn by J. Grant),,66-66,,
2:17.0,J. Grant makes free throw 1 of 2,1,67-66,,
2:17.0,J. Grant misses free throw 2 of 2,,67-66,,
2:16.0,,,67-66,,Defensive rebound by E. Davis
2:03.0,,,67-66,,E. Davis misses 2-pt shot from 2 ft
2:01.0,Defensive rebound by T. Robinson,,67-66,,
1:55.0,I. Canaan makes 3-pt shot from 25 ft,3,70-66,,
1:41.0,Personal block foul by T. Robinson (drawn by J. Lin),,70-66,,
1:41.0,,,70-66,,J. Lin misses free throw 1 of 2
1:41.0,,,70-66,,Offensive rebound by Team
1:41.0,,,70-67,1,J. Lin makes free throw 2 of 2
1:26.0,T. Robinson makes 2-pt shot from 1 ft,2,72-67,,
1:17.0,Personal foul by J. Grant (drawn by J. Lin),,72-67,,
1:17.0,,,72-68,1,J. Lin makes free throw 1 of 2
1:17.0,,,72-69,1,J. Lin makes free throw 2 of 2
1:03.0,J. Grant misses 2-pt shot from 2 ft (block by J. Brown),,72-69,,
1:01.0,Offensive rebound by J. Grant,,72-69,,
1:00.0,Turnover by J. Grant (bad pass; steal by J. Lin),,72-69,,
