time,Toronto,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. A. Varejao (K. Love gains possession),,,,Jump ball: J. Valanciunas vs. A. Varejao (K. Love gains possession)
11:45.0,,,0-2,2,K. Love makes 2-pt shot at rim (assist by A. Varejao)
11:31.0,T. Ross misses 3-pt shot from 25 ft,,0-2,,
11:30.0,,,0-2,,Defensive rebound by K. Love
11:15.0,,,0-4,2,L. James makes 2-pt shot at rim
10:57.0,J. Valanciunas makes 2-pt shot from 6 ft,2,2-4,,
10:39.0,,,2-4,,A. Varejao misses 2-pt shot from 9 ft
10:36.0,,,2-4,,Offensive rebound by L. James
10:30.0,,,2-4,,K. Love misses 3-pt shot from 29 ft
10:29.0,,,2-4,,Offensive rebound by Team
10:29.0,Personal foul by J. Valanciunas (drawn by A. Varejao),,2-4,,
10:18.0,,,2-6,2,L. James makes 2-pt shot from 1 ft
10:14.0,,,2-6,,Violation by Team (delay of game)
9:59.0,T. Ross makes 2-pt shot from 19 ft (assist by K. Lowry),2,4-6,,
9:42.0,,,4-6,,K. Love misses 2-pt shot from 9 ft
9:39.0,,,4-6,,Offensive rebound by A. Varejao
9:34.0,,,4-6,,K. Love misses 2-pt shot from 19 ft
9:33.0,Defensive rebound by T. Ross,,4-6,,
9:22.0,T. Ross makes 2-pt shot from 18 ft,2,6-6,,
9:09.0,Personal block foul by A. Johnson (drawn by A. Varejao),,6-6,,
8:57.0,,,6-6,,A. Varejao misses 2-pt shot from 14 ft
8:56.0,Defensive rebound by L. Fields,,6-6,,
8:43.0,,,6-6,,Personal foul by A. Varejao (drawn by J. Valanciunas)
8:38.0,Offensive foul by T. Ross,,6-6,,
8:38.0,Turnover by T. Ross (offensive foul),,6-6,,
8:19.0,,,6-6,,L. James misses 2-pt shot from 6 ft
8:16.0,Defensive rebound by J. Valanciunas,,6-6,,
8:12.0,A. Johnson misses 2-pt shot from 2 ft,,6-6,,
8:08.0,,,6-6,,Defensive rebound by K. Love
8:02.0,,,6-8,2,K. Irving makes 2-pt shot from 1 ft (assist by K. Love)
7:40.0,A. Johnson misses 2-pt shot from 18 ft,,6-8,,
7:39.0,,,6-8,,Defensive rebound by A. Varejao
7:28.0,,,6-10,2,K. Love makes 2-pt shot from 1 ft (assist by K. Irving)
7:09.0,T. Ross misses 2-pt shot from 16 ft,,6-10,,
7:08.0,Offensive rebound by J. Valanciunas,,6-10,,
7:03.0,T. Ross makes 2-pt shot from 1 ft (assist by L. Fields),2,8-10,,
6:44.0,Personal foul by A. Johnson (drawn by K. Love),,8-10,,
6:44.0,,,8-11,1,K. Love makes free throw 1 of 2
6:44.0,P. Patterson enters the game for A. Johnson,,8-11,,
6:44.0,,,8-12,1,K. Love makes free throw 2 of 2
6:29.0,T. Ross makes 2-pt shot from 6 ft,2,10-12,,
6:16.0,,,10-14,2,A. Varejao makes 2-pt shot from 6 ft (assist by L. James)
6:03.0,P. Patterson makes 3-pt shot from 23 ft (assist by L. Fields),3,13-14,,
5:51.0,,,13-14,,A. Varejao misses 2-pt shot from 3 ft (block by P. Patterson)
5:51.0,,,13-14,,Offensive rebound by Team
5:51.0,,,13-14,,Cleveland full timeout
5:51.0,,,13-14,,D. Waiters enters the game for S. Marion
5:44.0,,,13-14,,K. Irving misses 2-pt shot from 6 ft
5:43.0,,,13-14,,Offensive rebound by A. Varejao
5:43.0,,,13-14,,A. Varejao misses 2-pt shot from 1 ft
5:43.0,,,13-14,,Offensive rebound by Team
5:38.0,,,13-16,2,A. Varejao makes 2-pt shot from 8 ft (assist by D. Waiters)
5:19.0,K. Lowry makes 3-pt shot from 26 ft (assist by T. Ross),3,16-16,,
5:09.0,,,16-16,,Turnover by K. Irving (bad pass; steal by L. Fields)
5:00.0,J. Valanciunas misses 2-pt shot from 1 ft,,16-16,,
4:58.0,Offensive rebound by J. Valanciunas,,16-16,,
4:57.0,Shooting foul by A. Varejao (drawn by J. Valanciunas),,16-16,,
4:57.0,J. Valanciunas makes free throw 1 of 2,1,17-16,,
4:57.0,,,17-16,,T. Thompson enters the game for A. Varejao
4:57.0,J. Valanciunas makes free throw 2 of 2,1,18-16,,
4:38.0,,,18-18,2,L. James makes 2-pt shot from 15 ft
4:24.0,K. Lowry makes 2-pt shot from 19 ft,2,20-18,,
4:07.0,,,20-18,,D. Waiters misses 2-pt shot from 6 ft
4:06.0,Defensive rebound by J. Valanciunas,,20-18,,
3:58.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,22-18,,
3:44.0,,,22-18,,L. James misses 2-pt shot from 1 ft
3:43.0,,,22-18,,Offensive rebound by T. Thompson
3:42.0,,,22-18,,T. Thompson misses 2-pt shot at rim
3:39.0,Defensive rebound by P. Patterson,,22-18,,
3:35.0,L. Fields makes 2-pt shot at rim (assist by K. Lowry),2,24-18,,
3:31.0,,,24-18,,Cleveland full timeout
3:31.0,L. Williams enters the game for T. Ross,,24-18,,
3:31.0,,,24-18,,M. Dellavedova enters the game for K. Irving
3:21.0,,,24-21,3,D. Waiters makes 3-pt shot from 23 ft (assist by L. James)
3:02.0,L. Williams makes 3-pt shot from 27 ft (assist by P. Patterson),3,27-21,,
2:51.0,,,27-23,2,D. Waiters makes 2-pt shot from 7 ft
2:31.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,29-23,,
2:11.0,,,29-23,,K. Love misses 3-pt shot from 24 ft
2:10.0,Defensive rebound by K. Lowry,,29-23,,
2:04.0,L. Fields makes 2-pt shot at rim (assist by K. Lowry),2,31-23,,
1:45.0,,,31-23,,L. James misses 2-pt shot from 12 ft
1:44.0,Defensive rebound by J. Valanciunas,,31-23,,
1:34.0,L. Williams misses 2-pt shot from 13 ft,,31-23,,
1:30.0,,,31-23,,Defensive rebound by K. Love
1:21.0,,,31-23,,Turnover by L. James (lost ball; steal by K. Lowry)
1:21.0,Toronto full timeout,,31-23,,
1:21.0,,,31-23,,J. Jones enters the game for K. Love
1:21.0,G. Vasquez enters the game for J. Valanciunas,,31-23,,
1:21.0,C. Hayes enters the game for L. Fields,,31-23,,
1:21.0,J. Johnson enters the game for K. Lowry,,31-23,,
1:02.0,,,31-23,,Personal foul by J. Jones (drawn by P. Patterson)
0:58.0,Turnover by G. Vasquez (palming),,31-23,,
0:48.0,,,31-26,3,D. Waiters makes 3-pt shot from 23 ft (assist by L. James)
0:31.0,J. Johnson makes 2-pt shot from 4 ft (assist by G. Vasquez),2,33-26,,
0:11.0,,,33-26,,J. Jones misses 3-pt shot from 24 ft
0:10.0,Defensive rebound by Team,,33-26,,
0:00.0,L. Williams misses 2-pt shot from 8 ft (block by T. Thompson),,33-26,,
0:00.0,Offensive rebound by Team,,33-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,J. Johnson misses 2-pt shot from 1 ft,,33-26,,
11:40.0,Offensive rebound by J. Johnson,,33-26,,
11:40.0,J. Johnson misses 2-pt shot from 1 ft,,33-26,,
11:37.0,,,33-26,,Defensive rebound by M. Dellavedova
11:29.0,,,33-28,2,D. Waiters makes 2-pt shot from 1 ft (assist by K. Irving)
11:07.0,,,33-28,,Personal foul by D. Waiters (drawn by P. Patterson)
10:57.0,J. Johnson makes 2-pt shot from 18 ft,2,35-28,,
10:40.0,,,35-31,3,K. Irving makes 3-pt shot from 25 ft (assist by M. Dellavedova)
10:21.0,G. Vasquez misses 3-pt shot from 25 ft,,35-31,,
10:20.0,,,35-31,,Defensive rebound by T. Thompson
10:09.0,,,35-34,3,M. Dellavedova makes 3-pt shot from 23 ft (assist by J. Jones)
9:55.0,L. Williams makes 2-pt shot from 6 ft,2,37-34,,
9:55.0,Shooting foul by D. Waiters (drawn by L. Williams),,37-34,,
9:55.0,L. Williams makes free throw 1 of 1,1,38-34,,
9:42.0,,,38-34,,D. Waiters misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by C. Hayes,,38-34,,
9:28.0,G. Vasquez makes 3-pt shot from 23 ft (assist by L. Williams),3,41-34,,
