time,Chicago,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. N. Vucevic (J. Noah gains possession),,,,Jump ball: P. Gasol vs. N. Vucevic (J. Noah gains possession)
11:45.0,D. Rose misses 2-pt shot from 17 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by E. Payton
11:38.0,,,0-0,,C. Frye misses 3-pt shot from 25 ft
11:37.0,Defensive rebound by J. Noah,,0-0,,
11:22.0,P. Gasol misses 2-pt shot from 16 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by E. Payton
11:12.0,,,0-0,,Turnover by V. Oladipo (lost ball; steal by J. Noah)
11:07.0,J. Butler makes 2-pt shot at rim (assist by D. Rose),2,2-0,,
10:44.0,,,2-2,2,T. Harris makes 2-pt shot from 13 ft
10:26.0,D. Rose misses 2-pt shot from 18 ft,,2-2,,
10:25.0,Offensive rebound by P. Gasol,,2-2,,
10:14.0,P. Gasol misses 2-pt shot from 21 ft,,2-2,,
10:13.0,,,2-2,,Defensive rebound by E. Payton
10:03.0,,,2-2,,Shooting foul by P. Gasol (drawn by N. Vucevic)
10:03.0,,,2-2,,N. Vucevic misses free throw 1 of 2
10:03.0,,,2-2,,Offensive rebound by Team
10:03.0,,,2-3,1,N. Vucevic makes free throw 2 of 2
9:57.0,T. Snell misses 3-pt shot from 25 ft,,2-3,,
9:55.0,,,2-3,,Defensive rebound by V. Oladipo
9:46.0,,,2-3,,V. Oladipo misses 2-pt shot from 17 ft
9:43.0,Defensive rebound by J. Butler,,2-3,,
9:34.0,J. Noah misses 2-pt shot from 1 ft (block by V. Oladipo),,2-3,,
9:31.0,,,2-3,,Defensive rebound by V. Oladipo
9:24.0,,,2-3,,N. Vucevic misses 2-pt shot from 19 ft
9:23.0,Defensive rebound by T. Snell,,2-3,,
9:14.0,Shooting foul by V. Oladipo (drawn by J. Noah),,2-3,,
9:14.0,J. Noah makes free throw 1 of 2,1,3-3,,
9:14.0,J. Noah makes free throw 2 of 2,1,4-3,,
9:02.0,,,4-3,,C. Frye misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by P. Gasol,,4-3,,
8:46.0,J. Noah makes 2-pt shot from 1 ft (assist by J. Butler),2,6-3,,
8:32.0,,,6-3,,T. Harris misses 3-pt shot from 26 ft
8:31.0,,,6-3,,Offensive rebound by E. Payton
8:28.0,,,6-3,,Turnover by T. Harris (lost ball; steal by D. Rose)
8:23.0,J. Butler makes 2-pt shot at rim (assist by T. Snell),2,8-3,,
8:04.0,,,8-3,,T. Harris misses 2-pt shot at rim
8:02.0,,,8-3,,Offensive rebound by N. Vucevic
8:02.0,,,8-3,,N. Vucevic misses 2-pt shot at rim
8:00.0,Defensive rebound by P. Gasol,,8-3,,
7:49.0,D. Rose misses 3-pt shot from 25 ft,,8-3,,
7:48.0,,,8-3,,Defensive rebound by T. Harris
7:35.0,,,8-3,,C. Frye misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by P. Gasol,,8-3,,
7:28.0,Shooting foul by E. Payton (drawn by D. Rose),,8-3,,
7:28.0,D. Rose makes free throw 1 of 2,1,9-3,,
7:28.0,D. Rose misses free throw 2 of 2,,9-3,,
7:25.0,,,9-3,,Defensive rebound by E. Payton
7:23.0,,,9-5,2,E. Payton makes 2-pt shot from 1 ft
7:05.0,D. Rose misses 2-pt shot from 15 ft,,9-5,,
7:04.0,,,9-5,,Defensive rebound by V. Oladipo
6:51.0,Personal foul by T. Snell (drawn by N. Vucevic),,9-5,,
6:41.0,,,9-5,,V. Oladipo misses 2-pt shot from 22 ft
6:40.0,Defensive rebound by P. Gasol,,9-5,,
6:23.0,T. Snell makes 3-pt shot from 24 ft (assist by D. Rose),3,12-5,,
6:17.0,,,12-5,,Orlando full timeout
6:07.0,,,12-5,,E. Payton misses 2-pt shot from 1 ft
6:06.0,Defensive rebound by J. Noah,,12-5,,
6:06.0,,,12-5,,Personal foul by E. Payton (drawn by J. Noah)
6:06.0,,,12-5,,W. Green enters the game for E. Payton
5:45.0,P. Gasol makes 2-pt shot from 16 ft,2,14-5,,
5:29.0,,,14-5,,T. Harris misses 2-pt shot from 18 ft
5:27.0,Defensive rebound by P. Gasol,,14-5,,
5:15.0,P. Gasol makes 2-pt shot from 2 ft (assist by D. Rose),2,16-5,,
4:58.0,,,16-8,3,C. Frye makes 3-pt shot from 27 ft (assist by V. Oladipo)
4:44.0,J. Butler makes 2-pt shot from 20 ft (assist by J. Noah),2,18-8,,
4:29.0,,,18-8,,V. Oladipo misses 2-pt shot from 11 ft
4:27.0,,,18-8,,Offensive rebound by T. Harris
4:16.0,,,18-11,3,V. Oladipo makes 3-pt shot from 25 ft (assist by C. Frye)
3:51.0,J. Noah makes 2-pt shot at rim (assist by D. Rose),2,20-11,,
3:35.0,,,20-11,,W. Green misses 2-pt shot from 17 ft
3:34.0,Defensive rebound by J. Noah,,20-11,,
3:26.0,P. Gasol makes 2-pt shot at rim (assist by D. Rose),2,22-11,,
3:11.0,,,22-11,,V. Oladipo misses 2-pt shot at rim (block by P. Gasol)
3:09.0,Defensive rebound by P. Gasol,,22-11,,
3:05.0,A. Brooks enters the game for D. Rose,,22-11,,
3:05.0,T. Gibson enters the game for J. Noah,,22-11,,
3:05.0,,,22-11,,A. Gordon enters the game for C. Frye
2:53.0,J. Butler misses 2-pt shot from 16 ft,,22-11,,
2:52.0,,,22-11,,Defensive rebound by A. Gordon
2:34.0,,,22-11,,Turnover by A. Gordon (bad pass; steal by J. Butler)
2:31.0,J. Butler misses 2-pt shot at rim (block by A. Gordon),,22-11,,
2:31.0,Offensive rebound by Team,,22-11,,
2:31.0,Chicago full timeout,,22-11,,
2:23.0,Turnover by P. Gasol (bad pass; steal by V. Oladipo),,22-11,,
2:16.0,,,22-14,3,A. Gordon makes 3-pt shot from 24 ft (assist by V. Oladipo)
1:57.0,P. Gasol makes 2-pt shot from 18 ft (assist by J. Butler),2,24-14,,
1:38.0,,,24-14,,T. Harris misses 2-pt shot from 1 ft
1:36.0,Defensive rebound by P. Gasol,,24-14,,
1:26.0,Turnover by J. Butler (bad pass; steal by V. Oladipo),,24-14,,
1:22.0,,,24-16,2,V. Oladipo makes 2-pt shot at rim (assist by A. Gordon)
1:05.0,T. Gibson makes 2-pt shot at rim (assist by J. Butler),2,26-16,,
0:55.0,,,26-16,,Offensive foul by V. Oladipo
