time,Phoenix,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Plumlee,,,,Jump ball: S. Adams vs. M. Plumlee
12:00.0,,,0-0,,Violation by Team (jump ball)
11:39.0,G. Green misses 3-pt shot from 24 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by S. Ibaka
11:23.0,,,0-0,,K. Durant misses 2-pt shot from 19 ft
11:22.0,,,0-0,,Offensive rebound by S. Ibaka
11:19.0,,,0-2,2,S. Ibaka makes 2-pt shot from 6 ft
11:05.0,M. Plumlee makes 2-pt shot from 6 ft (assist by G. Green),2,2-2,,
10:46.0,,,2-4,2,K. Durant makes 2-pt shot from 17 ft (assist by R. Westbrook)
10:26.0,M. Morris makes 2-pt shot from 14 ft,2,4-4,,
10:12.0,Personal foul by P. Tucker (drawn by K. Durant),,4-4,,
10:06.0,Personal foul by E. Bledsoe (drawn by S. Adams),,4-4,,
9:54.0,,,4-6,2,S. Ibaka makes 2-pt shot from 4 ft (assist by R. Westbrook)
9:27.0,P. Tucker misses 2-pt shot from 16 ft,,4-6,,
9:26.0,,,4-6,,Defensive rebound by K. Durant
9:16.0,,,4-6,,Shooting foul by M. Morris (drawn by R. Westbrook)
9:16.0,,,4-7,1,R. Westbrook makes free throw 1 of 2
9:16.0,,,4-8,1,R. Westbrook makes free throw 2 of 2
9:01.0,Shooting foul by S. Ibaka (drawn by M. Morris),,4-8,,
9:01.0,M. Morris makes free throw 1 of 2,1,5-8,,
9:01.0,M. Morris makes free throw 2 of 2,1,6-8,,
8:53.0,,,6-8,,Shooting foul by M. Morris (drawn by K. Durant)
8:53.0,,,6-9,1,K. Durant makes free throw 1 of 2
8:53.0,A. Tolliver enters the game for M. Morris,,6-9,,
8:53.0,,,6-10,1,K. Durant makes free throw 2 of 2
8:39.0,Turnover by P. Tucker (traveling),,6-10,,
8:31.0,,,6-12,2,S. Ibaka makes 2-pt shot from 15 ft (assist by R. Westbrook)
8:12.0,G. Green misses 2-pt shot from 15 ft,,6-12,,
8:11.0,Offensive rebound by M. Plumlee,,6-12,,
8:01.0,G. Green makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,9-12,,
7:47.0,,,9-14,2,S. Ibaka makes 2-pt shot from 16 ft (assist by R. Westbrook)
7:36.0,Turnover by E. Bledsoe (bad pass; steal by K. Durant),,9-14,,
7:28.0,,,9-16,2,K. Durant makes 2-pt shot from 15 ft
7:22.0,Phoenix full timeout,,9-16,,
7:12.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by A. Tolliver),2,11-16,,
7:12.0,Shooting foul by S. Adams (drawn by E. Bledsoe),,11-16,,
7:12.0,E. Bledsoe makes free throw 1 of 1,1,12-16,,
6:56.0,,,12-16,,Shooting foul by M. Plumlee (drawn by R. Westbrook)
6:56.0,,,12-17,1,R. Westbrook makes free throw 1 of 2
6:56.0,,,12-18,1,R. Westbrook makes free throw 2 of 2
6:36.0,E. Bledsoe misses 2-pt shot from 23 ft,,12-18,,
6:35.0,Offensive rebound by G. Green,,12-18,,
6:33.0,G. Green misses 2-pt shot from 16 ft,,12-18,,
6:32.0,Offensive rebound by M. Plumlee,,12-18,,
6:14.0,A. Tolliver misses 3-pt shot from 24 ft,,12-18,,
6:13.0,,,12-18,,Defensive rebound by S. Adams
6:08.0,,,12-20,2,R. Westbrook makes 2-pt shot from 8 ft
6:08.0,,,12-20,,Shooting foul by E. Bledsoe (drawn by R. Westbrook)
6:08.0,I. Thomas enters the game for E. Bledsoe,,12-20,,
6:08.0,,,12-20,,R. Jackson enters the game for K. Durant
6:08.0,,,12-21,1,R. Westbrook makes free throw 1 of 1
6:01.0,G. Green makes 3-pt shot from 23 ft (assist by I. Thomas),3,15-21,,
5:48.0,,,15-21,,Shooting foul by G. Green (drawn by R. Westbrook)
5:48.0,Technical foul by G. Green (drawn by R. Westbrook),,15-21,,
5:48.0,,,15-22,1,R. Westbrook makes technical free throw
5:48.0,,,15-23,1,R. Westbrook makes free throw 1 of 2
5:48.0,M. Morris enters the game for P. Tucker,,15-23,,
5:48.0,A. Goodwin enters the game for G. Green,,15-23,,
5:48.0,,,15-24,1,R. Westbrook makes free throw 2 of 2
5:38.0,,,15-24,,Personal foul by S. Ibaka (drawn by I. Thomas)
5:38.0,,,15-24,,A. Morrow enters the game for S. Ibaka
5:32.0,A. Tolliver misses 3-pt shot from 24 ft,,15-24,,
5:29.0,,,15-24,,Defensive rebound by R. Jackson
5:19.0,,,15-24,,A. Morrow misses 2-pt shot from 5 ft
5:18.0,Defensive rebound by M. Plumlee,,15-24,,
4:58.0,M. Plumlee makes 2-pt shot at rim (assist by I. Thomas),2,17-24,,
4:43.0,,,17-26,2,R. Westbrook makes 2-pt shot from 16 ft
4:25.0,A. Goodwin misses 2-pt shot from 1 ft (block by S. Adams),,17-26,,
4:25.0,Offensive rebound by Team,,17-26,,
4:25.0,A. Len enters the game for M. Plumlee,,17-26,,
4:25.0,,,17-26,,K. Perkins enters the game for S. Adams
4:23.0,Turnover by A. Tolliver (lost ball; steal by A. Morrow),,17-26,,
4:18.0,,,17-28,2,R. Westbrook makes 2-pt shot from 1 ft (assist by A. Morrow)
4:01.0,A. Len makes 2-pt shot from 16 ft,2,19-28,,
3:46.0,,,19-28,,R. Westbrook misses 2-pt shot from 9 ft
3:45.0,,,19-28,,Offensive rebound by A. Roberson
