time,Phoenix,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Len (M. Morris gains possession),,,,Jump ball: P. Gasol vs. A. Len (M. Morris gains possession)
11:51.0,M. Morris makes 2-pt shot from 1 ft,2,2-0,,
11:39.0,,,2-0,,Shooting foul by M. Morris (drawn by D. Rose)
11:39.0,,,2-1,1,D. Rose makes free throw 1 of 2
11:39.0,,,2-2,1,D. Rose makes free throw 2 of 2
11:20.0,M. Morris misses 2-pt shot from 16 ft,,2-2,,
11:19.0,,,2-2,,Defensive rebound by D. Rose
11:09.0,,,2-4,2,P. Gasol makes 2-pt shot from 18 ft (assist by J. Noah)
11:03.0,Shooting foul by D. Rose (drawn by E. Bledsoe),,2-4,,
11:03.0,E. Bledsoe makes free throw 1 of 2,1,3-4,,
11:03.0,E. Bledsoe makes free throw 2 of 2,1,4-4,,
10:50.0,,,4-4,,Turnover by M. Dunleavy (lost ball; steal by E. Bledsoe)
10:44.0,G. Green makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,6-4,,
10:29.0,,,6-7,3,J. Butler makes 3-pt shot from 25 ft (assist by P. Gasol)
10:02.0,M. Morris misses 2-pt shot from 17 ft,,6-7,,
10:00.0,,,6-7,,Defensive rebound by P. Gasol
9:49.0,,,6-7,,P. Gasol misses 2-pt shot from 18 ft
9:48.0,Defensive rebound by E. Bledsoe,,6-7,,
9:34.0,P. Tucker makes 3-pt shot from 23 ft,3,9-7,,
9:15.0,,,9-7,,J. Butler misses 2-pt shot from 16 ft
9:14.0,Defensive rebound by A. Len,,9-7,,
9:11.0,Offensive charge foul by E. Bledsoe,,9-7,,
9:11.0,Turnover by E. Bledsoe (offensive foul),,9-7,,
8:59.0,,,9-7,,P. Gasol misses 2-pt shot from 9 ft
8:58.0,,,9-7,,Offensive rebound by J. Noah
8:58.0,,,9-7,,J. Noah misses 2-pt shot from 1 ft
8:57.0,Defensive rebound by A. Len,,9-7,,
8:46.0,A. Len makes 2-pt shot at rim (assist by G. Green),2,11-7,,
8:29.0,,,11-7,,D. Rose misses 3-pt shot from 24 ft
8:28.0,Defensive rebound by P. Tucker,,11-7,,
8:21.0,Turnover by E. Bledsoe (bad pass; steal by D. Rose),,11-7,,
8:17.0,,,11-9,2,J. Noah makes 2-pt shot from 2 ft (assist by M. Dunleavy)
8:09.0,P. Tucker makes 2-pt shot from 2 ft,2,13-9,,
7:51.0,,,13-9,,Shooting foul by A. Len (drawn by P. Gasol)
7:51.0,,,13-9,,P. Gasol misses free throw 1 of 2
7:51.0,,,13-9,,Offensive rebound by Team
7:51.0,,,13-10,1,P. Gasol makes free throw 2 of 2
7:41.0,G. Green misses 3-pt shot from 25 ft,,13-10,,
7:39.0,,,13-10,,Defensive rebound by P. Gasol
7:31.0,,,13-12,2,P. Gasol makes 2-pt shot from 1 ft (assist by J. Noah)
7:14.0,G. Green misses 2-pt shot from 22 ft,,13-12,,
7:10.0,Offensive rebound by E. Bledsoe,,13-12,,
7:06.0,G. Green makes 3-pt shot from 24 ft (assist by M. Morris),3,16-12,,
6:54.0,,,16-15,3,M. Dunleavy makes 3-pt shot from 25 ft (assist by J. Noah)
6:41.0,,,16-15,,Personal foul by M. Dunleavy (drawn by P. Tucker)
6:41.0,B. Knight enters the game for G. Green,,16-15,,
6:37.0,Turnover by E. Bledsoe (bad pass; steal by M. Dunleavy),,16-15,,
6:32.0,,,16-15,,M. Dunleavy misses 2-pt shot from 1 ft
6:31.0,,,16-15,,Offensive rebound by M. Dunleavy
6:31.0,,,16-17,2,M. Dunleavy makes 2-pt shot from 1 ft
6:08.0,M. Morris misses 2-pt shot from 17 ft,,16-17,,
6:07.0,Offensive rebound by A. Len,,16-17,,
6:01.0,Turnover by B. Knight (bad pass),,16-17,,
5:54.0,Violation by M. Morris (kicked ball),,16-17,,
5:54.0,,,16-17,,Chicago full timeout
5:54.0,M. Morris enters the game for P. Tucker,,16-17,,
5:43.0,,,16-20,3,D. Rose makes 3-pt shot from 24 ft (assist by J. Butler)
