time,Detroit,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. D. Motiejunas (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. D. Motiejunas (R. Jackson gains possession)
11:37.0,A. Drummond misses 2-pt shot from 8 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by T. Ariza
11:19.0,,,0-2,2,P. Beverley makes 2-pt shot from 7 ft (assist by J. Harden)
10:59.0,G. Monroe makes 2-pt shot from 1 ft (assist by T. Prince),2,2-2,,
10:50.0,,,2-2,,Turnover by P. Beverley (lost ball; steal by G. Monroe)
10:44.0,T. Prince misses 2-pt shot from 21 ft,,2-2,,
10:42.0,Offensive rebound by A. Drummond,,2-2,,
10:41.0,A. Drummond misses 2-pt shot from 1 ft,,2-2,,
10:40.0,,,2-2,,Defensive rebound by T. Jones
10:37.0,,,2-2,,Turnover by J. Harden (bad pass)
10:22.0,G. Monroe misses 2-pt shot from 7 ft,,2-2,,
10:21.0,,,2-2,,Defensive rebound by T. Ariza
10:12.0,,,2-4,2,T. Ariza makes 2-pt shot from 18 ft
9:51.0,G. Monroe misses 2-pt shot from 2 ft (block by T. Jones),,2-4,,
9:49.0,Offensive rebound by G. Monroe,,2-4,,
9:48.0,G. Monroe makes 2-pt shot at rim,2,4-4,,
9:36.0,,,4-4,,Turnover by J. Harden (bad pass)
9:24.0,Turnover by R. Jackson (bad pass; steal by T. Jones),,4-4,,
9:18.0,,,4-6,2,D. Motiejunas makes 2-pt shot at rim (assist by J. Harden)
8:55.0,R. Jackson makes 2-pt shot from 4 ft,2,6-6,,
8:48.0,,,6-8,2,T. Ariza makes 2-pt shot from 1 ft (assist by P. Beverley)
8:33.0,,,6-8,,Personal block foul by D. Motiejunas (drawn by G. Monroe)
8:25.0,G. Monroe misses 2-pt shot from 5 ft,,6-8,,
8:23.0,,,6-8,,Defensive rebound by D. Motiejunas
8:12.0,,,6-10,2,J. Harden makes 2-pt shot from 17 ft
7:52.0,R. Jackson makes 2-pt shot from 2 ft (assist by G. Monroe),2,8-10,,
7:34.0,,,8-13,3,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden)
7:13.0,T. Prince misses 2-pt shot from 17 ft,,8-13,,
7:12.0,,,8-13,,Defensive rebound by D. Motiejunas
7:02.0,,,8-13,,T. Ariza misses 3-pt shot from 26 ft
7:00.0,Defensive rebound by A. Drummond,,8-13,,
6:57.0,Shooting foul by D. Motiejunas (drawn by T. Prince),,8-13,,
6:57.0,T. Prince makes free throw 1 of 2,1,9-13,,
6:57.0,,,9-13,,J. Dorsey enters the game for D. Motiejunas
6:57.0,T. Prince makes free throw 2 of 2,1,10-13,,
6:44.0,,,10-13,,P. Beverley misses 3-pt shot from 24 ft
6:43.0,,,10-13,,Offensive rebound by J. Dorsey
6:32.0,,,10-13,,J. Harden misses 2-pt shot from 16 ft
6:31.0,Defensive rebound by R. Jackson,,10-13,,
6:22.0,G. Monroe makes 2-pt shot from 1 ft (assist by R. Jackson),2,12-13,,
6:06.0,,,12-13,,J. Harden misses 2-pt shot from 2 ft
6:04.0,Defensive rebound by A. Drummond,,12-13,,
5:59.0,R. Jackson makes 2-pt shot at rim,2,14-13,,
5:54.0,,,14-13,,Houston full timeout
5:50.0,,,14-15,2,J. Harden makes 2-pt shot from 2 ft
5:50.0,,,14-15,,Shooting foul by A. Drummond (drawn by J. Harden)
5:50.0,,,14-16,1,J. Harden makes free throw 1 of 1
5:26.0,R. Jackson misses 2-pt shot from 1 ft (block by J. Dorsey),,14-16,,
5:26.0,Offensive rebound by Team,,14-16,,
5:26.0,Turnover by Team (shot clock),,14-16,,
5:14.0,,,14-16,,P. Beverley misses 2-pt shot from 3 ft (block by A. Drummond)
5:13.0,,,14-16,,Offensive rebound by J. Dorsey
5:12.0,,,14-18,2,J. Dorsey makes 2-pt shot at rim
5:06.0,Detroit full timeout,,14-18,,
4:55.0,G. Monroe misses 2-pt shot from 4 ft,,14-18,,
4:54.0,,,14-18,,Defensive rebound by T. Ariza
4:35.0,,,14-18,,T. Jones misses 2-pt shot from 5 ft
4:34.0,,,14-18,,Offensive rebound by J. Harden
4:32.0,,,14-18,,J. Harden misses 2-pt shot from 1 ft
4:31.0,,,14-18,,Offensive rebound by J. Dorsey
4:30.0,Personal foul by R. Jackson (drawn by J. Dorsey),,14-18,,
4:30.0,A. Tolliver enters the game for A. Drummond,,14-18,,
4:30.0,,,14-18,,J. Smith enters the game for T. Jones
4:20.0,,,14-20,2,J. Harden makes 2-pt shot at rim
3:59.0,R. Jackson makes 3-pt shot from 27 ft (assist by K. Caldwell-Pope),3,17-20,,
3:48.0,,,17-20,,J. Harden misses 2-pt shot from 2 ft
3:47.0,,,17-20,,Offensive rebound by J. Smith
3:45.0,,,17-20,,J. Smith misses 2-pt shot from 1 ft
3:44.0,,,17-20,,Offensive rebound by J. Dorsey
3:22.0,,,17-23,3,J. Harden makes 3-pt shot from 24 ft
3:06.0,A. Tolliver misses 3-pt shot from 25 ft,,17-23,,
3:05.0,,,17-23,,Defensive rebound by T. Ariza
2:59.0,,,17-23,,J. Harden misses 2-pt shot from 1 ft
2:58.0,Defensive rebound by G. Monroe,,17-23,,
2:52.0,T. Prince makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,19-23,,
2:40.0,,,19-23,,Turnover by J. Harden (bad pass)
2:40.0,C. Butler enters the game for T. Prince,,19-23,,
2:40.0,,,19-23,,C. Brewer enters the game for T. Ariza
2:31.0,Turnover by R. Jackson (bad pass; steal by J. Dorsey),,19-23,,
2:19.0,,,19-23,,P. Beverley misses 3-pt shot from 25 ft
2:18.0,,,19-23,,Offensive rebound by P. Beverley
2:16.0,,,19-23,,Shooting foul by C. Butler (drawn by J. Smith)
2:16.0,,,19-24,1,J. Smith makes free throw 1 of 2
2:16.0,,,19-24,,J. Terry enters the game for P. Beverley
2:16.0,S. Dinwiddie enters the game for R. Jackson,,19-24,,
2:16.0,,,19-24,,D. Motiejunas enters the game for J. Dorsey
2:16.0,,,19-25,1,J. Smith makes free throw 2 of 2
1:53.0,G. Monroe makes 2-pt shot from 1 ft,2,21-25,,
1:39.0,,,21-25,,J. Smith misses 2-pt shot from 3 ft
1:38.0,,,21-25,,Offensive rebound by Team
