time,Dallas,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Howard (R. Rondo gains possession),,,,Jump ball: T. Chandler vs. D. Howard (R. Rondo gains possession)
11:32.0,Turnover by Team (shot clock),,0-0,,
11:13.0,,,0-0,,D. Howard misses 2-pt shot from 3 ft (block by M. Ellis)
11:12.0,Defensive rebound by M. Ellis,,0-0,,
11:06.0,R. Rondo misses 2-pt shot from 8 ft,,0-0,,
11:05.0,,,0-0,,Defensive rebound by D. Howard
10:57.0,,,0-2,2,J. Harden makes 2-pt shot from 19 ft
10:38.0,,,0-2,,Personal foul by T. Jones (drawn by M. Ellis)
10:24.0,M. Ellis misses 3-pt shot from 26 ft,,0-2,,
10:23.0,,,0-2,,Defensive rebound by J. Terry
10:14.0,,,0-5,3,J. Harden makes 3-pt shot from 26 ft (assist by T. Ariza)
10:02.0,,,0-5,,Personal foul by T. Ariza (drawn by D. Nowitzki)
9:57.0,Turnover by M. Ellis (bad pass),,0-5,,
9:48.0,,,0-5,,T. Jones misses 2-pt shot from 3 ft
9:47.0,Defensive rebound by T. Chandler,,0-5,,
9:41.0,R. Rondo misses 2-pt shot from 4 ft,,0-5,,
9:40.0,,,0-5,,Defensive rebound by T. Jones
9:34.0,,,0-5,,T. Ariza misses 3-pt shot from 23 ft
9:31.0,Defensive rebound by D. Nowitzki,,0-5,,
9:25.0,Turnover by R. Rondo (bad pass; steal by T. Jones),,0-5,,
9:13.0,,,0-7,2,D. Howard makes 2-pt shot from 1 ft (assist by J. Harden)
9:02.0,M. Ellis makes 2-pt shot from 6 ft,2,2-7,,
8:36.0,,,2-7,,D. Howard misses 2-pt shot from 6 ft
8:35.0,Defensive rebound by D. Nowitzki,,2-7,,
8:26.0,R. Rondo makes 2-pt shot from 8 ft,2,4-7,,
8:09.0,,,4-7,,J. Harden misses 2-pt shot from 5 ft
8:08.0,Defensive rebound by D. Nowitzki,,4-7,,
8:01.0,R. Rondo makes 2-pt shot from 1 ft,2,6-7,,
7:43.0,,,6-7,,Shooting foul by R. Jefferson (drawn by T. Jones)
7:43.0,,,6-8,1,T. Jones makes free throw 1 of 2
7:43.0,,,6-8,,T. Jones misses free throw 2 of 2
7:43.0,Defensive rebound by T. Chandler,,6-8,,
7:30.0,,,6-11,3,J. Terry makes 3-pt shot from 26 ft (assist by D. Howard)
7:02.0,R. Jefferson misses 3-pt shot from 26 ft,,6-11,,
7:01.0,,,6-11,,Defensive rebound by D. Howard
6:54.0,,,6-11,,T. Ariza misses 2-pt shot from 2 ft
6:54.0,,,6-11,,Offensive rebound by Team
6:54.0,Loose ball foul by D. Nowitzki (drawn by D. Howard),,6-11,,
6:54.0,J. Barea enters the game for R. Rondo,,6-11,,
6:46.0,,,6-11,,D. Howard misses 2-pt shot from 3 ft
6:45.0,Defensive rebound by D. Nowitzki,,6-11,,
6:41.0,R. Jefferson makes 2-pt shot at rim (assist by M. Ellis),2,8-11,,
6:30.0,,,8-13,2,J. Harden makes 2-pt shot from 5 ft
6:30.0,,,8-13,,Shooting foul by R. Jefferson (drawn by J. Harden)
6:30.0,A. Aminu enters the game for R. Jefferson,,8-13,,
6:30.0,,,8-14,1,J. Harden makes free throw 1 of 1
6:17.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,10-14,,
5:56.0,,,10-14,,T. Jones misses 2-pt shot from 1 ft
5:55.0,Defensive rebound by T. Chandler,,10-14,,
5:49.0,Turnover by J. Barea (bad pass; steal by J. Terry),,10-14,,
5:45.0,,,10-16,2,J. Harden makes 2-pt shot at rim (assist by J. Terry)
5:43.0,Dallas full timeout,,10-16,,
5:43.0,,,10-16,,C. Capela enters the game for D. Howard
5:43.0,,,10-16,,J. Smith enters the game for T. Jones
5:43.0,A. Stoudemire enters the game for T. Chandler,,10-16,,
5:29.0,M. Ellis makes 2-pt shot from 6 ft (assist by D. Nowitzki),2,12-16,,
5:14.0,,,12-16,,J. Smith misses 2-pt shot from 4 ft
5:13.0,Defensive rebound by D. Nowitzki,,12-16,,
5:06.0,,,12-16,,Personal foul by J. Harden (drawn by D. Nowitzki)
4:54.0,A. Aminu misses 2-pt shot from 2 ft (block by C. Capela),,12-16,,
4:52.0,Offensive rebound by A. Aminu,,12-16,,
4:51.0,A. Aminu misses 2-pt shot from 3 ft (block by J. Smith),,12-16,,
4:49.0,,,12-16,,Defensive rebound by J. Harden
4:48.0,,,12-16,,Turnover by J. Harden (bad pass; steal by A. Aminu)
4:36.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea),2,14-16,,
4:16.0,,,14-18,2,J. Smith makes 2-pt shot at rim
3:51.0,D. Nowitzki misses 2-pt shot from 9 ft,,14-18,,
3:50.0,,,14-18,,Defensive rebound by J. Harden
3:43.0,,,14-18,,T. Ariza misses 3-pt shot from 25 ft
3:42.0,Defensive rebound by D. Nowitzki,,14-18,,
3:33.0,M. Ellis misses 2-pt shot from 20 ft,,14-18,,
3:32.0,,,14-18,,Defensive rebound by T. Ariza
3:24.0,,,14-18,,T. Ariza misses 2-pt shot from 2 ft
3:21.0,,,14-18,,Offensive rebound by T. Ariza
3:20.0,,,14-18,,T. Ariza misses 2-pt shot from 2 ft
3:18.0,,,14-18,,Offensive rebound by J. Smith
3:09.0,,,14-18,,T. Ariza misses 2-pt shot from 20 ft
3:08.0,Defensive rebound by D. Nowitzki,,14-18,,
2:56.0,Turnover by A. Stoudemire (traveling),,14-18,,
2:56.0,,,14-18,,Houston full timeout
2:56.0,,,14-18,,P. Prigioni enters the game for T. Ariza
2:56.0,,,14-18,,C. Brewer enters the game for J. Terry
2:56.0,C. Villanueva enters the game for D. Nowitzki,,14-18,,
2:39.0,,,14-20,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
2:21.0,J. Barea misses 2-pt shot from 7 ft,,14-20,,
2:20.0,,,14-20,,Defensive rebound by C. Capela
2:07.0,,,14-20,,J. Harden misses 3-pt shot from 26 ft
2:07.0,Defensive rebound by Team,,14-20,,
1:43.0,M. Ellis makes 3-pt shot from 25 ft (assist by A. Aminu),3,17-20,,
1:29.0,,,17-20,,J. Smith misses 2-pt shot from 1 ft
1:28.0,Defensive rebound by A. Stoudemire,,17-20,,
1:25.0,Shooting foul by J. Harden (drawn by A. Aminu),,17-20,,
1:25.0,A. Aminu makes free throw 1 of 2,1,18-20,,
1:25.0,,,18-20,,D. Howard enters the game for C. Capela
1:25.0,A. Aminu makes free throw 2 of 2,1,19-20,,
1:11.0,,,19-20,,J. Smith misses 2-pt shot from 8 ft
1:10.0,,,19-20,,Offensive rebound by D. Howard
1:10.0,,,19-20,,Shooting foul by A. Aminu (drawn by D. Howard)
1:10.0,,,19-20,,D. Howard misses free throw 1 of 2
1:10.0,,,19-20,,Offensive rebound by Team
1:10.0,,,19-20,,D. Howard misses free throw 2 of 2
1:09.0,Defensive rebound by J. Barea,,19-20,,
1:01.0,M. Ellis misses 2-pt shot from 22 ft,,19-20,,
1:00.0,,,19-20,,Defensive rebound by C. Brewer
0:54.0,,,19-20,,J. Smith misses 3-pt shot from 24 ft
0:53.0,Defensive rebound by J. Barea,,19-20,,
0:47.0,J. Barea misses 2-pt shot from 4 ft (block by D. Howard),,19-20,,
0:47.0,Offensive rebound by Team,,19-20,,
0:38.0,C. Villanueva misses 2-pt shot from 4 ft,,19-20,,
0:36.0,Offensive rebound by A. Aminu,,19-20,,
0:35.0,A. Stoudemire makes 2-pt shot from 2 ft (assist by A. Aminu),2,21-20,,
0:35.0,Shooting foul by J. Smith (drawn by A. Stoudemire),,21-20,,
0:35.0,A. Stoudemire makes free throw 1 of 1,1,22-20,,
0:33.0,Personal take foul by C. Villanueva (drawn by D. Howard),,22-20,,
0:33.0,,,22-21,1,D. Howard makes free throw 1 of 2
0:33.0,,,22-21,,T. Ariza enters the game for J. Harden
0:33.0,,,22-22,1,D. Howard makes free throw 2 of 2
0:21.0,Shooting foul by J. Smith (drawn by J. Barea),,22-22,,
0:21.0,J. Barea makes free throw 1 of 2,1,23-22,,
0:21.0,,,23-22,,J. Harden enters the game for J. Smith
0:21.0,J. Barea makes free throw 2 of 2,1,24-22,,
0:02.0,,,24-22,,Shooting foul by A. Stoudemire (drawn by T. Ariza)
0:02.0,,,24-22,,T. Ariza misses free throw 1 of 2
0:02.0,,,24-22,,Offensive rebound by Team
0:02.0,,,24-23,1,T. Ariza makes free throw 2 of 2
0:00.0,M. Ellis misses 3-pt shot from 49 ft,,24-23,,
0:00.0,Offensive rebound by Team,,24-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,24-23,,D. Howard misses 2-pt shot from 5 ft
11:40.0,Defensive rebound by D. Nowitzki,,24-23,,
11:32.0,R. Felton makes 2-pt shot from 22 ft,2,26-23,,
11:19.0,,,26-25,2,C. Brewer makes 2-pt shot from 8 ft
11:01.0,A. Aminu makes 2-pt shot from 3 ft,2,28-25,,
10:50.0,,,28-25,,Offensive foul by D. Howard
10:50.0,,,28-25,,Turnover by D. Howard (offensive foul)
10:37.0,J. Barea misses 3-pt shot from 23 ft,,28-25,,
10:36.0,,,28-25,,Defensive rebound by Team
10:22.0,,,28-27,2,C. Brewer makes 2-pt shot from 13 ft (assist by P. Prigioni)
9:58.0,D. Nowitzki misses 2-pt shot from 11 ft,,28-27,,
9:57.0,Offensive rebound by A. Stoudemire,,28-27,,
9:42.0,Shooting foul by C. Brewer (drawn by R. Felton),,28-27,,
9:42.0,R. Felton makes free throw 1 of 2,1,29-27,,
9:42.0,T. Chandler enters the game for A. Stoudemire,,29-27,,
9:42.0,R. Felton makes free throw 2 of 2,1,30-27,,
9:23.0,,,30-27,,Shooting foul by T. Chandler (drawn by D. Howard)
9:23.0,Technical foul by T. Chandler (drawn by D. Howard),,30-27,,
9:23.0,,,30-28,1,T. Ariza makes technical free throw
9:23.0,,,30-29,1,D. Howard makes free throw 1 of 2
9:23.0,,,30-30,1,D. Howard makes free throw 2 of 2
9:15.0,R. Felton misses 2-pt shot from 8 ft,,30-30,,
9:14.0,,,30-30,,Defensive rebound by T. Jones
9:02.0,,,30-30,,C. Brewer misses 2-pt shot from 13 ft
9:01.0,Defensive rebound by D. Nowitzki,,30-30,,
8:50.0,A. Aminu makes 2-pt shot from 2 ft,2,32-30,,
8:34.0,,,32-32,2,P. Prigioni makes 2-pt shot from 15 ft
8:21.0,D. Nowitzki misses 3-pt shot from 25 ft,,32-32,,
8:20.0,,,32-32,,Defensive rebound by P. Prigioni
8:01.0,,,32-34,2,C. Brewer makes 2-pt shot from 4 ft (assist by P. Prigioni)
7:56.0,Dallas full timeout,,32-34,,
7:39.0,T. Chandler misses 2-pt shot from 3 ft (block by D. Howard),,32-34,,
7:38.0,,,32-34,,Defensive rebound by T. Jones
7:33.0,,,32-34,,C. Brewer misses 2-pt shot from 2 ft (block by A. Aminu)
7:32.0,Defensive rebound by J. Barea,,32-34,,
7:31.0,,,32-34,,Personal foul by P. Prigioni (drawn by J. Barea)
7:17.0,R. Felton makes 2-pt shot from 3 ft,2,34-34,,
7:05.0,,,34-34,,P. Prigioni misses 3-pt shot from 26 ft
7:04.0,Defensive rebound by D. Nowitzki,,34-34,,
6:58.0,J. Barea makes 2-pt shot from 2 ft,2,36-34,,
6:44.0,,,36-34,,T. Jones misses 2-pt shot from 14 ft
6:43.0,,,36-34,,Offensive rebound by D. Howard
6:43.0,,,36-36,2,D. Howard makes 2-pt shot from 1 ft
6:22.0,D. Nowitzki makes 2-pt shot from 14 ft,2,38-36,,
6:16.0,,,38-36,,Turnover by D. Howard (offensive foul)
6:16.0,,,38-36,,Offensive foul by D. Howard
6:16.0,,,38-36,,J. Terry enters the game for P. Prigioni
6:16.0,,,38-36,,J. Smith enters the game for D. Howard
6:16.0,,,38-36,,J. Harden enters the game for C. Brewer
6:16.0,C. Villanueva enters the game for D. Nowitzki,,38-36,,
6:03.0,Turnover by J. Barea (bad pass; steal by J. Harden),,38-36,,
5:59.0,,,38-38,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
5:41.0,R. Felton misses 3-pt shot from 27 ft,,38-38,,
5:40.0,Offensive rebound by T. Chandler,,38-38,,
5:35.0,C. Villanueva misses 3-pt shot from 23 ft,,38-38,,
5:34.0,,,38-38,,Defensive rebound by J. Smith
5:30.0,,,38-38,,Turnover by J. Smith (offensive foul)
5:30.0,,,38-38,,Offensive charge foul by J. Smith
5:30.0,Official timeout,,38-38,,
5:30.0,,,38-38,,C. Capela enters the game for J. Smith
5:30.0,R. Jefferson enters the game for J. Barea,,38-38,,
5:30.0,M. Ellis enters the game for A. Aminu,,38-38,,
5:30.0,R. Rondo enters the game for R. Felton,,38-38,,
5:12.0,C. Villanueva makes 2-pt shot from 5 ft (assist by R. Rondo),2,40-38,,
4:55.0,,,40-38,,C. Capela misses 2-pt shot from 3 ft
4:51.0,,,40-38,,Offensive rebound by Team
4:44.0,,,40-38,,J. Harden misses 2-pt shot from 3 ft (block by T. Chandler)
4:43.0,Defensive rebound by M. Ellis,,40-38,,
4:38.0,M. Ellis misses 2-pt shot from 4 ft (block by C. Capela),,40-38,,
4:37.0,Offensive rebound by M. Ellis,,40-38,,
4:36.0,M. Ellis makes 2-pt shot from 1 ft,2,42-38,,
4:24.0,,,42-40,2,T. Jones makes 2-pt shot from 1 ft (assist by C. Capela)
4:01.0,R. Jefferson misses 3-pt shot from 25 ft,,42-40,,
4:00.0,,,42-40,,Defensive rebound by J. Harden
3:53.0,,,42-40,,T. Jones misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by R. Rondo,,42-40,,
3:28.0,T. Chandler misses 2-pt shot from 2 ft,,42-40,,
3:27.0,Offensive rebound by T. Chandler,,42-40,,
3:26.0,T. Chandler misses 2-pt shot from 2 ft,,42-40,,
3:25.0,,,42-40,,Defensive rebound by C. Capela
3:22.0,Shooting block foul by C. Villanueva (drawn by J. Harden),,42-40,,
3:22.0,,,42-41,1,J. Harden makes free throw 1 of 2
3:22.0,,,42-41,,C. Brewer enters the game for T. Jones
3:22.0,D. Nowitzki enters the game for C. Villanueva,,42-41,,
3:22.0,,,42-42,1,J. Harden makes free throw 2 of 2
3:03.0,M. Ellis misses 3-pt shot from 25 ft,,42-42,,
3:02.0,,,42-42,,Defensive rebound by Team
2:56.0,,,42-42,,Houston full timeout
2:46.0,,,42-45,3,J. Terry makes 3-pt shot from 26 ft (assist by J. Harden)
2:24.0,R. Jefferson makes 3-pt shot from 24 ft (assist by M. Ellis),3,45-45,,
2:10.0,,,45-45,,C. Capela misses 2-pt shot at rim
2:08.0,Defensive rebound by T. Chandler,,45-45,,
2:04.0,R. Jefferson misses 2-pt shot from 1 ft,,45-45,,
2:02.0,Offensive rebound by R. Rondo,,45-45,,
1:57.0,M. Ellis misses 3-pt shot from 23 ft,,45-45,,
1:56.0,,,45-45,,Defensive rebound by C. Capela
1:44.0,,,45-47,2,C. Capela makes 2-pt shot at rim (assist by J. Terry)
1:27.0,D. Nowitzki misses 2-pt shot from 11 ft,,45-47,,
1:26.0,,,45-47,,Defensive rebound by C. Capela
1:22.0,Personal block foul by R. Rondo (drawn by J. Terry),,45-47,,
1:22.0,,,45-47,,T. Jones enters the game for C. Capela
1:15.0,Personal foul by R. Rondo (drawn by J. Harden),,45-47,,
1:15.0,,,45-48,1,J. Harden makes free throw 1 of 2
1:15.0,J. Barea enters the game for R. Rondo,,45-48,,
1:15.0,,,45-49,1,J. Harden makes free throw 2 of 2
0:59.0,J. Barea makes 2-pt shot from 1 ft,2,47-49,,
0:54.0,,,47-51,2,J. Harden makes 2-pt shot from 2 ft
0:47.0,Shooting foul by J. Terry (drawn by M. Ellis),,47-51,,
0:47.0,M. Ellis makes free throw 1 of 2,1,48-51,,
0:47.0,A. Aminu enters the game for D. Nowitzki,,48-51,,
0:47.0,M. Ellis makes free throw 2 of 2,1,49-51,,
0:29.0,,,49-51,,J. Harden misses 3-pt shot from 24 ft
0:28.0,,,49-51,,Offensive rebound by T. Jones
0:26.0,,,49-51,,Shooting foul by T. Chandler (drawn by T. Jones)
0:26.0,,,49-52,1,T. Jones makes free throw 1 of 2
0:26.0,D. Nowitzki enters the game for A. Aminu,,49-52,,
0:26.0,A. Stoudemire enters the game for T. Chandler,,49-52,,
0:26.0,Dallas full timeout,,49-52,,
0:26.0,,,49-53,1,T. Jones makes free throw 2 of 2
0:08.0,,,49-53,,Personal foul by J. Terry (drawn by D. Nowitzki)
0:08.0,D. Nowitzki makes free throw 1 of 2,1,50-53,,
0:08.0,,,50-53,,Houston full timeout
0:08.0,A. Aminu enters the game for A. Stoudemire,,50-53,,
0:08.0,D. Nowitzki makes free throw 2 of 2,1,51-53,,
0:03.0,,,51-53,,T. Jones misses 2-pt shot from 2 ft
0:02.0,Defensive rebound by J. Barea,,51-53,,
0:00.0,J. Barea misses 3-pt shot from 48 ft,,51-53,,
0:00.0,Offensive rebound by Team,,51-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Personal foul by R. Rondo (drawn by J. Harden),,51-53,,
11:50.0,Technical foul by R. Rondo (drawn by J. Harden),,51-53,,
11:50.0,,,51-54,1,J. Harden makes technical free throw
11:45.0,,,51-54,,Turnover by J. Harden (bad pass; steal by D. Nowitzki)
11:40.0,Shooting foul by T. Ariza (drawn by R. Jefferson),,51-54,,
11:40.0,R. Jefferson makes free throw 1 of 2,1,52-54,,
11:40.0,R. Jefferson makes free throw 2 of 2,1,53-54,,
11:26.0,,,53-54,,Shooting foul by R. Rondo (drawn by J. Harden)
11:26.0,,,53-55,1,J. Harden makes free throw 1 of 3
11:26.0,,,53-56,1,J. Harden makes free throw 2 of 3
11:26.0,J. Barea enters the game for R. Rondo,,53-56,,
11:26.0,,,53-57,1,J. Harden makes free throw 3 of 3
11:11.0,M. Ellis makes 2-pt shot from 6 ft (assist by J. Barea),2,55-57,,
11:01.0,,,55-57,,T. Ariza misses 2-pt shot from 2 ft
