time,New Orleans,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. O. Asik (L. Galloway gains possession),,,,Jump ball: L. Amundson vs. O. Asik (L. Galloway gains possession)
11:37.0,,,0-2,2,J. Smith makes 2-pt shot from 8 ft
11:09.0,E. Gordon makes 3-pt shot from 26 ft,3,3-2,,
10:51.0,,,3-2,,J. Calderon misses 3-pt shot from 25 ft
10:50.0,Defensive rebound by T. Evans,,3-2,,
10:44.0,Turnover by T. Evans (bad pass),,3-2,,
10:27.0,,,3-2,,Turnover by L. Galloway (bad pass)
10:05.0,Shooting foul by L. Galloway (drawn by E. Gordon),,3-2,,
10:05.0,E. Gordon makes free throw 1 of 2,1,4-2,,
10:05.0,E. Gordon makes free throw 2 of 2,1,5-2,,
9:48.0,,,5-2,,Shooting foul by D. Cunningham (drawn by C. Anthony)
9:48.0,,,5-3,1,C. Anthony makes free throw 1 of 2
9:48.0,,,5-4,1,C. Anthony makes free throw 2 of 2
9:33.0,Turnover by E. Gordon (bad pass),,5-4,,
9:15.0,,,5-6,2,C. Anthony makes 2-pt shot from 14 ft
8:57.0,R. Anderson misses 3-pt shot from 22 ft,,5-6,,
8:56.0,Offensive rebound by D. Cunningham,,5-6,,
8:51.0,E. Gordon misses 3-pt shot from 25 ft,,5-6,,
8:50.0,,,5-6,,Defensive rebound by Team
8:35.0,,,5-6,,C. Anthony misses 2-pt shot from 16 ft
8:34.0,Defensive rebound by T. Evans,,5-6,,
8:25.0,T. Evans misses 2-pt shot at rim,,5-6,,
8:24.0,,,5-6,,Defensive rebound by L. Galloway
8:17.0,,,5-6,,J. Calderon misses 3-pt shot from 24 ft
8:16.0,Defensive rebound by D. Cunningham,,5-6,,
7:54.0,R. Anderson misses 2-pt shot from 2 ft,,5-6,,
7:53.0,,,5-6,,Defensive rebound by C. Anthony
7:42.0,,,5-6,,L. Amundson misses 2-pt shot from 7 ft
7:41.0,Defensive rebound by O. Asik,,5-6,,
7:36.0,,,5-6,,Personal block foul by J. Calderon (drawn by T. Evans)
7:31.0,R. Anderson misses 3-pt shot from 25 ft,,5-6,,
7:30.0,,,5-6,,Defensive rebound by J. Calderon
