time,Oklahoma City,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Duncan (T. Parker gains possession),,,,Jump ball: S. Adams vs. T. Duncan (T. Parker gains possession)
11:42.0,,,0-0,,Turnover by T. Duncan (lost ball; steal by R. Westbrook)
11:30.0,E. Kanter makes 2-pt shot from 13 ft (assist by D. Waiters),2,2-0,,
11:06.0,,,2-2,2,D. Green makes 2-pt shot from 14 ft
10:52.0,E. Kanter misses 2-pt shot from 2 ft,,2-2,,
10:51.0,,,2-2,,Defensive rebound by T. Duncan
10:36.0,,,2-4,2,K. Leonard makes 2-pt shot from 13 ft
10:22.0,Turnover by S. Adams (lost ball; steal by D. Green),,2-4,,
10:13.0,,,2-6,2,T. Parker makes 2-pt shot from 17 ft
9:57.0,D. Waiters makes 2-pt shot from 17 ft,2,4-6,,
9:42.0,,,4-6,,Turnover by T. Splitter (lost ball; steal by R. Westbrook)
9:39.0,E. Kanter misses 2-pt shot from 1 ft (block by K. Leonard),,4-6,,
9:38.0,,,4-6,,Defensive rebound by T. Duncan
9:36.0,,,4-6,,Turnover by T. Duncan (bad pass; steal by D. Waiters)
9:32.0,D. Waiters misses 2-pt shot from 4 ft (block by T. Splitter),,4-6,,
9:30.0,,,4-6,,Defensive rebound by T. Parker
9:23.0,,,4-6,,K. Leonard misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by S. Adams,,4-6,,
9:15.0,R. Westbrook makes 2-pt shot from 2 ft,2,6-6,,
9:07.0,,,6-6,,T. Parker misses 2-pt shot from 7 ft
9:06.0,Defensive rebound by E. Kanter,,6-6,,
8:59.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,8-6,,
8:38.0,,,8-6,,T. Duncan misses 2-pt shot from 20 ft
8:37.0,Defensive rebound by E. Kanter,,8-6,,
8:30.0,Turnover by E. Kanter (traveling),,8-6,,
