time,Washington,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Valanciunas (N. Hilario gains possession),,,,Jump ball: M. Gortat vs. J. Valanciunas (N. Hilario gains possession)
11:41.0,N. Hilario misses 2-pt shot from 15 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by J. Valanciunas
11:24.0,,,0-2,2,T. Ross makes 2-pt shot from 17 ft (assist by D. DeRozan)
11:12.0,N. Hilario misses 2-pt shot from 3 ft (block by T. Hansbrough),,0-2,,
11:09.0,,,0-2,,Defensive rebound by J. Valanciunas
11:07.0,Shooting block foul by B. Beal (drawn by T. Hansbrough),,0-2,,
11:07.0,,,0-3,1,T. Hansbrough makes free throw 1 of 2
11:07.0,,,0-4,1,T. Hansbrough makes free throw 2 of 2
10:54.0,P. Pierce misses 3-pt shot from 25 ft,,0-4,,
10:53.0,Offensive rebound by Team,,0-4,,
10:53.0,,,0-4,,Loose ball foul by K. Lowry (drawn by N. Hilario)
10:35.0,Turnover by B. Beal (traveling),,0-4,,
10:10.0,,,0-4,,K. Lowry misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by B. Beal,,0-4,,
10:06.0,Shooting foul by T. Ross (drawn by B. Beal),,0-4,,
10:06.0,B. Beal misses free throw 1 of 2,,0-4,,
10:06.0,Offensive rebound by Team,,0-4,,
10:06.0,B. Beal makes free throw 2 of 2,1,1-4,,
9:55.0,,,1-4,,Shooting foul by P. Pierce (drawn by D. DeRozan)
9:55.0,,,1-5,1,D. DeRozan makes free throw 1 of 2
9:55.0,,,1-5,,D. DeRozan misses free throw 2 of 2
9:54.0,Defensive rebound by N. Hilario,,1-5,,
9:40.0,M. Gortat makes 2-pt shot from 14 ft (assist by J. Wall),2,3-5,,
9:13.0,,,3-5,,T. Ross misses 3-pt shot from 25 ft
9:12.0,Defensive rebound by P. Pierce,,3-5,,
9:10.0,Offensive foul by M. Gortat,,3-5,,
9:10.0,Turnover by M. Gortat (offensive foul),,3-5,,
8:51.0,,,3-5,,J. Valanciunas misses 2-pt shot from 10 ft
8:49.0,Defensive rebound by B. Beal,,3-5,,
8:34.0,B. Beal misses 2-pt shot from 7 ft,,3-5,,
8:33.0,,,3-5,,Defensive rebound by D. DeRozan
8:22.0,,,3-7,2,T. Hansbrough makes 2-pt shot from 3 ft (assist by D. DeRozan)
8:13.0,B. Beal misses 3-pt shot from 23 ft,,3-7,,
8:12.0,,,3-7,,Defensive rebound by J. Valanciunas
8:03.0,,,3-7,,Turnover by K. Lowry (bad pass; steal by N. Hilario)
7:56.0,,,3-7,,Violation by T. Hansbrough (kicked ball)
7:47.0,J. Wall misses 2-pt shot from 19 ft,,3-7,,
7:46.0,Offensive rebound by N. Hilario,,3-7,,
7:42.0,P. Pierce misses 3-pt shot from 25 ft,,3-7,,
7:40.0,,,3-7,,Defensive rebound by K. Lowry
7:37.0,,,3-7,,Turnover by K. Lowry (bad pass)
7:27.0,,,3-7,,Violation by T. Ross (kicked ball)
7:19.0,B. Beal misses 2-pt shot from 18 ft (block by T. Ross),,3-7,,
7:16.0,Offensive rebound by N. Hilario,,3-7,,
7:15.0,N. Hilario misses 2-pt shot from 18 ft,,3-7,,
7:13.0,,,3-7,,Defensive rebound by D. DeRozan
7:06.0,,,3-7,,D. DeRozan misses 2-pt shot from 16 ft
7:04.0,,,3-7,,Offensive rebound by D. DeRozan
7:00.0,,,3-7,,K. Lowry misses 3-pt shot from 25 ft
6:59.0,Defensive rebound by M. Gortat,,3-7,,
6:54.0,Turnover by J. Wall (bad pass; steal by D. DeRozan),,3-7,,
6:48.0,Personal block foul by M. Gortat (drawn by D. DeRozan),,3-7,,
6:48.0,D. Gooden enters the game for M. Gortat,,3-7,,
6:37.0,,,3-7,,J. Valanciunas misses 2-pt shot from 8 ft
6:36.0,Defensive rebound by N. Hilario,,3-7,,
6:31.0,J. Wall makes 2-pt shot from 2 ft (assist by N. Hilario),2,5-7,,
6:11.0,,,5-7,,T. Ross misses 3-pt shot from 23 ft
6:10.0,Defensive rebound by D. Gooden,,5-7,,
5:53.0,J. Wall misses 2-pt shot from 12 ft,,5-7,,
5:52.0,,,5-7,,Defensive rebound by J. Valanciunas
5:43.0,,,5-7,,Shooting foul by N. Hilario (drawn by D. DeRozan)
5:43.0,,,5-7,,Toronto full timeout
5:43.0,,,5-7,,P. Patterson enters the game for T. Hansbrough
5:43.0,,,5-8,1,D. DeRozan makes free throw 1 of 2
5:43.0,,,5-8,,D. DeRozan misses free throw 2 of 2
5:42.0,Defensive rebound by N. Hilario,,5-8,,
5:26.0,N. Hilario misses 2-pt shot from 2 ft,,5-8,,
5:25.0,Offensive rebound by N. Hilario,,5-8,,
5:23.0,N. Hilario makes 2-pt shot from 2 ft,2,7-8,,
5:06.0,,,7-8,,D. DeRozan misses 2-pt shot from 17 ft
5:04.0,Defensive rebound by B. Beal,,7-8,,
4:54.0,J. Wall misses 2-pt shot from 21 ft,,7-8,,
4:53.0,,,7-8,,Defensive rebound by T. Ross
4:40.0,,,7-10,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan)
4:22.0,N. Hilario makes 2-pt shot at rim (assist by B. Beal),2,9-10,,
4:06.0,,,9-12,2,K. Lowry makes 2-pt shot from 17 ft (assist by J. Valanciunas)
3:54.0,N. Hilario misses 2-pt shot from 2 ft,,9-12,,
3:53.0,Offensive rebound by D. Gooden,,9-12,,
3:51.0,D. Gooden misses 2-pt shot from 1 ft,,9-12,,
3:50.0,Offensive rebound by N. Hilario,,9-12,,
3:48.0,N. Hilario makes 2-pt shot from 2 ft,2,11-12,,
3:37.0,,,11-14,2,T. Ross makes 2-pt shot from 15 ft (assist by P. Patterson)
3:17.0,N. Hilario misses 2-pt shot from 20 ft,,11-14,,
3:16.0,,,11-14,,Defensive rebound by K. Lowry
3:01.0,,,11-14,,T. Ross misses 3-pt shot from 23 ft
3:00.0,Defensive rebound by J. Wall,,11-14,,
2:52.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,13-14,,
2:45.0,,,13-14,,Toronto full timeout
2:45.0,Washington full timeout,,13-14,,
2:45.0,K. Seraphin enters the game for N. Hilario,,13-14,,
2:45.0,R. Sessions enters the game for B. Beal,,13-14,,
2:45.0,,,13-14,,G. Vasquez enters the game for T. Ross
2:45.0,,,13-14,,A. Johnson enters the game for J. Valanciunas
2:45.0,,,13-14,,L. Williams enters the game for K. Lowry
2:37.0,,,13-16,2,D. DeRozan makes 2-pt shot from 3 ft
2:22.0,K. Seraphin makes 2-pt shot from 2 ft,2,15-16,,
2:18.0,O. Porter enters the game for P. Pierce,,15-16,,
2:06.0,,,15-19,3,P. Patterson makes 3-pt shot from 24 ft (assist by G. Vasquez)
1:42.0,D. Gooden misses 2-pt shot from 15 ft,,15-19,,
1:41.0,,,15-19,,Defensive rebound by A. Johnson
1:30.0,,,15-19,,P. Patterson misses 3-pt shot from 25 ft
1:29.0,,,15-19,,Offensive rebound by Team
1:29.0,Loose ball foul by K. Seraphin (drawn by A. Johnson),,15-19,,
1:29.0,,,15-20,1,A. Johnson makes free throw 1 of 2
1:29.0,,,15-20,,K. Lowry enters the game for D. DeRozan
1:29.0,,,15-21,1,A. Johnson makes free throw 2 of 2
1:16.0,K. Seraphin misses 2-pt shot from 13 ft,,15-21,,
1:15.0,,,15-21,,Defensive rebound by P. Patterson
1:01.0,,,15-21,,Turnover by G. Vasquez (bad pass; steal by K. Seraphin)
0:58.0,O. Porter makes 2-pt shot from 1 ft (assist by R. Sessions),2,17-21,,
0:44.0,,,17-21,,L. Williams misses 2-pt shot from 16 ft
0:43.0,Defensive rebound by K. Seraphin,,17-21,,
0:37.0,K. Seraphin makes 2-pt shot from 4 ft (assist by D. Gooden),2,19-21,,
0:29.0,,,19-23,2,A. Johnson makes 2-pt shot from 5 ft (assist by K. Lowry)
0:07.0,D. Gooden misses 3-pt shot from 23 ft,,19-23,,
0:06.0,,,19-23,,Defensive rebound by P. Patterson
0:01.0,,,19-23,,K. Lowry misses 2-pt shot from 5 ft (block by J. Wall)
0:00.0,Defensive rebound by R. Sessions,,19-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,19-23,,L. Williams misses 3-pt shot from 23 ft
11:38.0,Defensive rebound by B. Beal,,19-23,,
11:14.0,D. Gooden makes 2-pt shot from 21 ft (assist by B. Beal),2,21-23,,
11:00.0,,,21-23,,Shooting foul by R. Sessions (drawn by K. Lowry)
11:00.0,,,21-24,1,K. Lowry makes free throw 1 of 2
11:00.0,,,21-25,1,K. Lowry makes free throw 2 of 2
10:53.0,Shooting foul by A. Johnson (drawn by R. Sessions),,21-25,,
10:53.0,R. Sessions makes free throw 1 of 2,1,22-25,,
10:53.0,R. Sessions misses free throw 2 of 2,,22-25,,
10:52.0,,,22-25,,Defensive rebound by P. Patterson
10:40.0,,,22-25,,K. Lowry misses 2-pt shot from 2 ft
10:37.0,Defensive rebound by K. Seraphin,,22-25,,
10:27.0,D. Gooden makes 2-pt shot at rim (assist by K. Seraphin),2,24-25,,
10:04.0,,,24-28,3,P. Patterson makes 3-pt shot from 24 ft (assist by L. Williams)
9:38.0,B. Beal misses 2-pt shot from 11 ft,,24-28,,
9:37.0,Offensive rebound by D. Gooden,,24-28,,
9:29.0,B. Beal misses 3-pt shot from 25 ft,,24-28,,
9:28.0,Offensive rebound by O. Porter,,24-28,,
9:25.0,O. Porter misses 2-pt shot from 8 ft,,24-28,,
9:24.0,Offensive rebound by D. Gooden,,24-28,,
9:21.0,Turnover by D. Gooden (bad pass; steal by L. Williams),,24-28,,
9:16.0,,,24-30,2,P. Patterson makes 2-pt shot at rim (assist by L. Williams)
8:58.0,R. Sessions makes 3-pt shot from 25 ft (assist by D. Gooden),3,27-30,,
8:41.0,,,27-30,,Shooting foul by K. Seraphin (drawn by A. Johnson)
8:41.0,,,27-32,2,A. Johnson makes 2-pt shot from 3 ft (assist by G. Vasquez)
8:41.0,Official timeout,,27-32,,
8:41.0,,,27-32,,A. Johnson misses free throw 1 of 1
8:41.0,Defensive rebound by K. Seraphin,,27-32,,
8:25.0,D. Gooden misses 2-pt shot from 22 ft,,27-32,,
8:24.0,,,27-32,,Defensive rebound by A. Johnson
8:09.0,,,27-34,2,P. Patterson makes 2-pt shot from 13 ft
7:43.0,K. Seraphin misses 2-pt shot from 14 ft,,27-34,,
7:42.0,,,27-34,,Defensive rebound by L. Williams
7:33.0,,,27-34,,L. Williams misses 2-pt shot from 8 ft
7:32.0,Defensive rebound by D. Gooden,,27-34,,
7:22.0,K. Seraphin misses 2-pt shot from 9 ft,,27-34,,
7:21.0,,,27-34,,Defensive rebound by K. Lowry
7:14.0,,,27-34,,Offensive foul by G. Vasquez
7:14.0,,,27-34,,Turnover by G. Vasquez (offensive foul)
7:14.0,J. Wall enters the game for D. Gooden,,27-34,,
7:14.0,M. Gortat enters the game for K. Seraphin,,27-34,,
7:14.0,P. Pierce enters the game for R. Sessions,,27-34,,
7:14.0,,,27-34,,D. DeRozan enters the game for K. Lowry
7:01.0,M. Gortat makes 2-pt shot from 2 ft (assist by B. Beal),2,29-34,,
6:37.0,,,29-36,2,A. Johnson makes 2-pt shot from 7 ft (assist by L. Williams)
6:16.0,P. Pierce makes 3-pt shot from 23 ft (assist by B. Beal),3,32-36,,
5:46.0,,,32-36,,P. Patterson misses 3-pt shot from 24 ft
5:45.0,Defensive rebound by Team,,32-36,,
5:44.0,,,32-36,,Toronto full timeout
5:44.0,,,32-36,,T. Hansbrough enters the game for P. Patterson
5:32.0,,,32-36,,Personal foul by G. Vasquez (drawn by P. Pierce)
5:24.0,B. Beal misses 2-pt shot from 2 ft,,32-36,,
5:23.0,Offensive rebound by M. Gortat,,32-36,,
5:23.0,Shooting foul by D. DeRozan (drawn by M. Gortat),,32-36,,
5:23.0,M. Gortat makes free throw 1 of 2,1,33-36,,
5:23.0,M. Gortat makes free throw 2 of 2,1,34-36,,
4:59.0,,,34-38,2,L. Williams makes 2-pt shot from 20 ft
4:42.0,P. Pierce makes 2-pt shot from 15 ft,2,36-38,,
4:26.0,Personal foul by P. Pierce (drawn by D. DeRozan),,36-38,,
4:26.0,,,36-38,,T. Ross enters the game for G. Vasquez
4:20.0,,,36-38,,T. Hansbrough misses 2-pt shot from 2 ft
4:19.0,Defensive rebound by Team,,36-38,,
4:06.0,J. Wall makes 2-pt shot from 2 ft,2,38-38,,
3:52.0,,,38-38,,Turnover by A. Johnson (bad pass; steal by P. Pierce)
3:46.0,B. Beal misses 3-pt shot from 24 ft,,38-38,,
3:45.0,,,38-38,,Defensive rebound by T. Ross
3:25.0,,,38-38,,Offensive foul by T. Hansbrough
3:25.0,,,38-38,,Turnover by T. Hansbrough (offensive foul)
3:25.0,,,38-38,,K. Lowry enters the game for L. Williams
3:04.0,P. Pierce makes 2-pt shot from 11 ft,2,40-38,,
2:46.0,,,40-38,,D. DeRozan misses 2-pt shot from 11 ft
2:44.0,Defensive rebound by M. Gortat,,40-38,,
2:40.0,J. Wall misses 2-pt shot from 3 ft,,40-38,,
2:39.0,Offensive rebound by O. Porter,,40-38,,
2:33.0,P. Pierce makes 3-pt shot from 25 ft (assist by B. Beal),3,43-38,,
2:24.0,,,43-38,,Toronto full timeout
2:24.0,,,43-38,,G. Vasquez enters the game for T. Hansbrough
2:24.0,,,43-38,,J. Valanciunas enters the game for A. Johnson
2:12.0,,,43-38,,T. Ross misses 3-pt shot from 24 ft
2:11.0,Defensive rebound by O. Porter,,43-38,,
2:03.0,O. Porter misses 3-pt shot from 25 ft,,43-38,,
2:02.0,Offensive rebound by B. Beal,,43-38,,
1:57.0,B. Beal misses 3-pt shot from 23 ft,,43-38,,
1:56.0,,,43-38,,Defensive rebound by K. Lowry
1:50.0,,,43-40,2,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry)
1:27.0,,,43-40,,Violation by T. Ross (kicked ball)
1:27.0,R. Sessions enters the game for P. Pierce,,43-40,,
1:19.0,N. Hilario enters the game for M. Gortat,,43-40,,
1:16.0,N. Hilario makes 2-pt shot from 2 ft (assist by J. Wall),2,45-40,,
1:05.0,,,45-40,,D. DeRozan misses 2-pt shot from 4 ft
1:04.0,,,45-40,,Offensive rebound by K. Lowry
1:03.0,,,45-42,2,K. Lowry makes 2-pt shot from 3 ft
0:40.0,R. Sessions misses 3-pt shot from 25 ft,,45-42,,
0:38.0,,,45-42,,Defensive rebound by D. DeRozan
0:30.0,,,45-42,,Turnover by D. DeRozan (lost ball; steal by O. Porter)
0:26.0,Shooting foul by K. Lowry (drawn by O. Porter),,45-42,,
0:26.0,O. Porter misses free throw 1 of 2,,45-42,,
0:26.0,Offensive rebound by Team,,45-42,,
0:26.0,O. Porter makes free throw 2 of 2,1,46-42,,
0:08.0,Personal foul by B. Beal (drawn by D. DeRozan),,46-42,,
0:08.0,R. Butler enters the game for B. Beal,,46-42,,
0:02.0,,,46-42,,D. DeRozan misses 2-pt shot from 13 ft
0:00.0,,,46-42,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,46-42,,K. Lowry misses 2-pt shot from 17 ft
11:44.0,Defensive rebound by M. Gortat,,46-42,,
11:27.0,M. Gortat misses 2-pt shot from 16 ft,,46-42,,
11:26.0,,,46-42,,Defensive rebound by D. DeRozan
11:14.0,,,46-42,,D. DeRozan misses 2-pt shot from 15 ft
11:13.0,Defensive rebound by N. Hilario,,46-42,,
11:07.0,Washington full timeout,,46-42,,
10:54.0,P. Pierce makes 2-pt shot from 16 ft,2,48-42,,
10:38.0,,,48-42,,Turnover by D. DeRozan (bad pass)
10:28.0,N. Hilario makes 2-pt shot from 2 ft (assist by J. Wall),2,50-42,,
