time,Cleveland,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. T. Mozgov (J. Jones gains possession),,,,Jump ball: R. Hibbert vs. T. Mozgov (J. Jones gains possession)
11:47.0,K. Love misses 3-pt shot from 24 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by S. Hill
11:36.0,,,0-0,,Turnover by D. West (lost ball; steal by K. Love)
11:27.0,M. Dellavedova makes 2-pt shot from 3 ft,2,2-0,,
11:09.0,,,2-0,,C. Miles misses 2-pt shot from 9 ft
11:08.0,Defensive rebound by T. Mozgov,,2-0,,
10:59.0,J. Smith makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,5-0,,
10:46.0,,,5-0,,C. Miles misses 2-pt shot from 3 ft (block by K. Love)
10:44.0,Defensive rebound by K. Love,,5-0,,
10:35.0,T. Mozgov makes 2-pt shot from 1 ft (assist by J. Smith),2,7-0,,
10:21.0,,,7-2,2,S. Hill makes 2-pt shot from 19 ft (assist by G. Hill)
9:54.0,,,7-2,,Personal foul by C. Miles (drawn by J. Jones)
9:44.0,J. Jones misses 3-pt shot from 24 ft,,7-2,,
9:41.0,,,7-2,,Defensive rebound by R. Hibbert
9:23.0,,,7-2,,R. Hibbert misses 2-pt shot from 12 ft
9:23.0,Defensive rebound by M. Dellavedova,,7-2,,
9:16.0,M. Dellavedova makes 3-pt shot from 25 ft,3,10-2,,
8:56.0,,,10-4,2,S. Hill makes 2-pt shot from 9 ft (assist by G. Hill)
8:40.0,,,10-4,,Personal block foul by G. Hill (drawn by J. Jones)
8:32.0,K. Love misses 3-pt shot from 26 ft,,10-4,,
8:31.0,,,10-4,,Defensive rebound by S. Hill
8:24.0,,,10-4,,D. West misses 2-pt shot from 13 ft
8:22.0,Defensive rebound by M. Dellavedova,,10-4,,
8:14.0,J. Smith makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,13-4,,
8:02.0,,,13-4,,Indiana full timeout
7:47.0,,,13-4,,G. Hill misses 3-pt shot from 23 ft
7:44.0,Defensive rebound by M. Dellavedova,,13-4,,
7:32.0,,,13-4,,Personal foul by R. Hibbert (drawn by T. Mozgov)
7:24.0,M. Dellavedova makes 2-pt shot from 13 ft,2,15-4,,
7:09.0,,,15-6,2,D. West makes 2-pt shot from 7 ft
6:53.0,K. Love makes 3-pt shot from 25 ft (assist by J. Smith),3,18-6,,
6:40.0,,,18-8,2,G. Hill makes 2-pt shot from 13 ft
6:25.0,M. Dellavedova misses 2-pt shot from 11 ft (block by G. Hill),,18-8,,
6:24.0,Offensive rebound by Team,,18-8,,
6:19.0,K. Love misses 2-pt shot from 1 ft,,18-8,,
6:17.0,Offensive rebound by T. Mozgov,,18-8,,
6:13.0,J. Smith makes 3-pt shot from 27 ft (assist by T. Mozgov),3,21-8,,
5:59.0,,,21-8,,G. Hill misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by K. Love,,21-8,,
5:47.0,M. Dellavedova misses 3-pt shot from 23 ft,,21-8,,
5:45.0,,,21-8,,Defensive rebound by D. West
5:39.0,,,21-8,,G. Hill misses 2-pt shot from 2 ft (block by J. Smith)
5:37.0,,,21-8,,Offensive rebound by G. Hill
5:33.0,,,21-8,,S. Hill misses 2-pt shot from 10 ft
5:31.0,,,21-8,,Offensive rebound by R. Hibbert
5:31.0,,,21-10,2,R. Hibbert makes 2-pt shot at rim
5:22.0,Cleveland full timeout,,21-10,,
5:22.0,,,21-10,,I. Mahinmi enters the game for R. Hibbert
5:22.0,,,21-10,,R. Stuckey enters the game for S. Hill
5:22.0,I. Shumpert enters the game for J. Jones,,21-10,,
5:13.0,J. Smith misses 2-pt shot from 19 ft,,21-10,,
5:12.0,,,21-10,,Defensive rebound by C. Miles
5:01.0,Personal foul by J. Smith (drawn by C. Miles),,21-10,,
5:01.0,T. Thompson enters the game for T. Mozgov,,21-10,,
4:55.0,,,21-12,2,D. West makes 2-pt shot from 17 ft (assist by G. Hill)
4:44.0,,,21-12,,Personal foul by D. West (drawn by K. Love)
4:32.0,Turnover by I. Shumpert (bad pass),,21-12,,
4:23.0,,,21-12,,G. Hill misses 2-pt shot from 8 ft
4:21.0,Defensive rebound by T. Thompson,,21-12,,
4:10.0,T. Thompson makes 2-pt shot from 6 ft (assist by M. Dellavedova),2,23-12,,
3:52.0,,,23-14,2,I. Mahinmi makes 2-pt shot from 3 ft (assist by R. Stuckey)
3:33.0,M. Dellavedova misses 2-pt shot from 8 ft,,23-14,,
3:32.0,Offensive rebound by M. Dellavedova,,23-14,,
3:16.0,K. Love misses 3-pt shot from 25 ft,,23-14,,
3:15.0,,,23-14,,Defensive rebound by I. Mahinmi
3:07.0,,,23-14,,R. Stuckey misses 2-pt shot from 17 ft
3:06.0,Defensive rebound by K. Love,,23-14,,
2:58.0,I. Shumpert misses 3-pt shot from 23 ft,,23-14,,
2:57.0,Offensive rebound by K. Love,,23-14,,
2:55.0,K. Love misses 2-pt shot from 9 ft (block by D. West),,23-14,,
2:55.0,Offensive rebound by Team,,23-14,,
2:55.0,K. Perkins enters the game for K. Love,,23-14,,
2:55.0,,,23-14,,C. Watson enters the game for G. Hill
2:52.0,J. Smith misses 2-pt shot from 21 ft,,23-14,,
2:51.0,,,23-14,,Defensive rebound by C. Miles
2:34.0,,,23-14,,D. West misses 2-pt shot from 16 ft
2:33.0,Defensive rebound by I. Shumpert,,23-14,,
2:29.0,Offensive foul by T. Thompson,,23-14,,
2:29.0,Turnover by T. Thompson (offensive foul),,23-14,,
2:06.0,,,23-14,,Shooting foul by K. Perkins (drawn by I. Mahinmi)
2:06.0,,,23-14,,I. Mahinmi misses free throw 1 of 2
2:06.0,,,23-14,,Offensive rebound by Team
2:06.0,,,23-14,,D. Rudez enters the game for C. Miles
2:06.0,,,23-14,,L. Scola enters the game for D. West
2:06.0,M. Miller enters the game for M. Dellavedova,,23-14,,
2:06.0,,,23-15,1,I. Mahinmi makes free throw 2 of 2
1:58.0,Turnover by I. Shumpert (bad pass; steal by C. Watson),,23-15,,
1:55.0,,,23-17,2,R. Stuckey makes 2-pt shot from 1 ft (assist by C. Watson)
1:39.0,Turnover by I. Shumpert (bad pass; steal by C. Watson),,23-17,,
1:34.0,,,23-19,2,L. Scola makes 2-pt shot at rim (assist by C. Watson)
1:19.0,I. Shumpert makes 2-pt shot from 16 ft,2,25-19,,
1:00.0,,,25-19,,I. Mahinmi misses 2-pt shot from 5 ft
0:59.0,Defensive rebound by I. Shumpert,,25-19,,
0:47.0,Shooting foul by L. Scola (drawn by T. Thompson),,25-19,,
0:47.0,T. Thompson makes free throw 1 of 2,1,26-19,,
0:47.0,T. Thompson misses free throw 2 of 2,,26-19,,
0:47.0,,,26-19,,Defensive rebound by I. Mahinmi
0:34.0,,,26-19,,C. Watson misses 2-pt shot from 18 ft
0:33.0,Defensive rebound by M. Miller,,26-19,,
0:21.0,I. Shumpert misses 2-pt shot from 2 ft (block by C. Watson),,26-19,,
0:21.0,Offensive rebound by Team,,26-19,,
0:20.0,J. Smith makes 2-pt shot from 1 ft (assist by M. Miller),2,28-19,,
0:00.0,,,28-19,,L. Scola misses 2-pt shot from 19 ft
0:00.0,,,28-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,28-22,3,R. Stuckey makes 3-pt shot from 25 ft (assist by D. Rudez)
11:27.0,M. Dellavedova misses 2-pt shot from 6 ft,,28-22,,
11:26.0,,,28-22,,Defensive rebound by L. Scola
11:22.0,,,28-22,,R. Stuckey misses 2-pt shot from 3 ft (block by I. Shumpert)
