time,Sacramento,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. J. Thompson (C. Landry gains possession),,,,Jump ball: R. Gobert vs. J. Thompson (C. Landry gains possession)
11:41.0,C. Landry misses 2-pt shot from 17 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by R. Hood
11:24.0,,,0-2,2,G. Hayward makes 2-pt shot from 20 ft (assist by R. Hood)
11:08.0,O. Casspi misses 2-pt shot from 2 ft,,0-2,,
11:06.0,Offensive rebound by J. Thompson,,0-2,,
11:06.0,J. Thompson makes 2-pt shot from 2 ft,2,2-2,,
10:45.0,,,2-2,,D. Favors misses 2-pt shot from 2 ft (block by J. Thompson)
10:43.0,Defensive rebound by O. Casspi,,2-2,,
10:34.0,C. Landry makes 2-pt shot from 18 ft (assist by B. McLemore),2,4-2,,
10:18.0,,,4-2,,Turnover by D. Exum (bad pass)
10:01.0,B. McLemore misses 2-pt shot from 8 ft,,4-2,,
10:00.0,,,4-2,,Defensive rebound by D. Favors
9:43.0,,,4-4,2,R. Gobert makes 2-pt shot from 3 ft
9:28.0,Shooting foul by R. Hood (drawn by C. Landry),,4-4,,
9:28.0,C. Landry makes free throw 1 of 2,1,5-4,,
9:28.0,C. Landry makes free throw 2 of 2,1,6-4,,
9:15.0,,,6-4,,Turnover by R. Gobert (bad pass)
8:58.0,J. Thompson makes 2-pt shot from 22 ft (assist by O. Casspi),2,8-4,,
8:39.0,,,8-4,,G. Hayward misses 2-pt shot from 19 ft
8:37.0,,,8-4,,Offensive rebound by G. Hayward
8:33.0,,,8-4,,R. Gobert misses 2-pt shot from 3 ft
8:31.0,,,8-4,,Offensive rebound by D. Favors
8:31.0,,,8-6,2,D. Favors makes 2-pt shot at rim
8:17.0,B. McLemore misses 3-pt shot from 23 ft,,8-6,,
8:16.0,,,8-6,,Defensive rebound by D. Favors
8:05.0,,,8-6,,R. Gobert misses 2-pt shot from 3 ft
8:05.0,,,8-6,,Offensive rebound by D. Favors
8:05.0,Personal foul by J. Thompson (drawn by D. Favors),,8-6,,
8:05.0,,,8-6,,J. Cooley enters the game for R. Gobert
7:58.0,,,8-6,,D. Favors misses 2-pt shot from 2 ft
7:57.0,Defensive rebound by J. Thompson,,8-6,,
7:48.0,J. Thompson misses 2-pt shot from 19 ft,,8-6,,
7:47.0,,,8-6,,Defensive rebound by R. Hood
7:32.0,,,8-6,,D. Exum misses 3-pt shot from 24 ft
7:31.0,Defensive rebound by O. Casspi,,8-6,,
7:14.0,Shooting foul by J. Cooley (drawn by O. Casspi),,8-6,,
7:14.0,O. Casspi misses free throw 1 of 2,,8-6,,
7:14.0,Offensive rebound by Team,,8-6,,
7:14.0,O. Casspi makes free throw 2 of 2,1,9-6,,
6:50.0,,,9-6,,R. Hood misses 2-pt shot from 17 ft
6:49.0,,,9-6,,Offensive rebound by D. Favors
6:46.0,,,9-8,2,D. Favors makes 2-pt shot at rim
6:32.0,J. Thompson misses 2-pt shot from 11 ft,,9-8,,
6:30.0,,,9-8,,Defensive rebound by J. Cooley
6:14.0,,,9-8,,J. Cooley misses 2-pt shot from 3 ft
6:13.0,Defensive rebound by J. Thompson,,9-8,,
6:02.0,C. Landry makes 2-pt shot at rim (assist by J. Thompson),2,11-8,,
6:00.0,,,11-8,,Utah full timeout
6:00.0,D. Williams enters the game for O. Casspi,,11-8,,
6:00.0,,,11-8,,R. Gobert enters the game for D. Favors
6:00.0,,,11-8,,T. Booker enters the game for J. Cooley
6:00.0,,,11-8,,T. Burke enters the game for G. Hayward
5:41.0,,,11-10,2,R. Gobert makes 2-pt shot at rim (assist by D. Exum)
5:28.0,,,11-10,,Def 3 sec tech foul by T. Booker
5:28.0,B. McLemore makes technical free throw,1,12-10,,
5:19.0,D. Williams misses 2-pt shot from 16 ft,,12-10,,
5:17.0,,,12-10,,Defensive rebound by D. Exum
5:08.0,,,12-10,,R. Hood misses 2-pt shot from 3 ft
5:07.0,,,12-10,,Offensive rebound by T. Booker
5:07.0,,,12-12,2,T. Booker makes 2-pt shot from 1 ft
4:50.0,B. McLemore makes 2-pt shot from 17 ft (assist by D. Williams),2,14-12,,
4:35.0,,,14-12,,Turnover by R. Hood (bad pass; steal by D. Williams)
4:24.0,B. McLemore misses 3-pt shot from 24 ft,,14-12,,
4:23.0,,,14-12,,Defensive rebound by T. Booker
4:01.0,,,14-12,,T. Booker misses 2-pt shot from 7 ft
4:00.0,Defensive rebound by J. Thompson,,14-12,,
3:47.0,R. McCallum misses 3-pt shot from 25 ft,,14-12,,
3:45.0,Offensive rebound by J. Thompson,,14-12,,
3:45.0,J. Thompson makes 2-pt shot at rim,2,16-12,,
3:23.0,,,16-12,,R. Hood misses 3-pt shot from 24 ft
3:22.0,Defensive rebound by D. Williams,,16-12,,
3:11.0,D. Williams misses 2-pt shot from 7 ft,,16-12,,
3:09.0,,,16-12,,Defensive rebound by R. Gobert
2:58.0,,,16-12,,D. Exum misses 2-pt shot from 8 ft
2:57.0,,,16-12,,Offensive rebound by R. Gobert
2:52.0,,,16-15,3,D. Exum makes 3-pt shot from 23 ft (assist by R. Gobert)
2:39.0,,,16-15,,Violation by T. Booker (kicked ball)
2:39.0,Sacramento full timeout,,16-15,,
2:39.0,A. Miller enters the game for R. McCallum,,16-15,,
2:39.0,R. Evans enters the game for J. Thompson,,16-15,,
2:39.0,,,16-15,,C. Johnson enters the game for D. Exum
2:39.0,,,16-15,,J. Ingles enters the game for R. Hood
2:27.0,B. McLemore misses 2-pt shot from 17 ft,,16-15,,
2:25.0,,,16-15,,Defensive rebound by T. Booker
2:01.0,,,16-18,3,T. Burke makes 3-pt shot from 24 ft (assist by J. Ingles)
1:33.0,R. Evans misses 2-pt shot from 3 ft,,16-18,,
1:32.0,,,16-18,,Defensive rebound by R. Gobert
1:23.0,Def 3 sec tech foul by C. Landry,,16-18,,
1:23.0,,,16-18,,T. Burke misses technical free throw
1:23.0,,,16-18,,Offensive rebound by Team
1:23.0,,,16-18,,J. Evans enters the game for R. Gobert
1:18.0,,,16-18,,T. Burke misses 3-pt shot from 25 ft
1:17.0,Defensive rebound by R. Evans,,16-18,,
1:02.0,C. Landry makes 2-pt shot from 2 ft (assist by R. Evans),2,18-18,,
0:43.0,,,18-18,,C. Johnson misses 3-pt shot from 22 ft
0:41.0,Defensive rebound by A. Miller,,18-18,,
0:34.0,C. Landry makes 2-pt shot from 15 ft (assist by A. Miller),2,20-18,,
0:17.0,Personal foul by A. Miller (drawn by J. Ingles),,20-18,,
0:06.0,,,20-18,,Turnover by T. Burke (lost ball; steal by A. Miller)
0:02.0,Shooting foul by C. Johnson (drawn by B. McLemore),,20-18,,
0:02.0,B. McLemore makes free throw 1 of 2,1,21-18,,
0:02.0,B. McLemore makes free throw 2 of 2,1,22-18,,
0:00.0,,,22-21,3,T. Burke makes 3-pt shot from 55 ft (assist by T. Booker)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,22-23,2,D. Favors makes 2-pt shot from 17 ft (assist by C. Johnson)
11:27.0,Shooting foul by D. Favors (drawn by R. Evans),,22-23,,
11:27.0,R. Evans misses free throw 1 of 2,,22-23,,
11:27.0,Offensive rebound by Team,,22-23,,
11:27.0,,,22-23,,G. Hayward enters the game for C. Johnson
11:27.0,R. Evans misses free throw 2 of 2,,22-23,,
11:25.0,,,22-23,,Defensive rebound by D. Favors
11:14.0,,,22-23,,T. Burke misses 2-pt shot from 17 ft
11:13.0,Defensive rebound by O. Casspi,,22-23,,
10:59.0,Shooting foul by D. Favors (drawn by R. Evans),,22-23,,
10:59.0,R. Evans makes free throw 1 of 2,1,23-23,,
10:59.0,R. Evans makes free throw 2 of 2,1,24-23,,
10:49.0,,,24-23,,D. Favors misses 2-pt shot from 13 ft
10:48.0,Defensive rebound by R. Evans,,24-23,,
10:39.0,A. Miller makes 2-pt shot from 16 ft,2,26-23,,
10:24.0,,,26-23,,T. Burke misses 2-pt shot from 2 ft
10:23.0,Defensive rebound by R. Evans,,26-23,,
10:17.0,O. Casspi makes 2-pt shot at rim (assist by A. Miller),2,28-23,,
10:11.0,,,28-23,,Utah full timeout
10:11.0,R. McCallum enters the game for B. McLemore,,28-23,,
10:11.0,,,28-23,,D. Exum enters the game for T. Burke
10:00.0,,,28-23,,Turnover by D. Favors (lost ball; steal by A. Miller)
9:44.0,Shooting foul by J. Evans (drawn by D. Williams),,28-23,,
9:44.0,D. Williams misses free throw 1 of 2,,28-23,,
9:44.0,Offensive rebound by Team,,28-23,,
9:44.0,,,28-23,,T. Booker enters the game for J. Evans
9:44.0,D. Williams misses free throw 2 of 2,,28-23,,
9:42.0,,,28-23,,Defensive rebound by T. Booker
9:20.0,,,28-25,2,J. Ingles makes 2-pt shot from 21 ft
8:59.0,A. Miller misses 2-pt shot from 2 ft (block by D. Favors),,28-25,,
8:57.0,Offensive rebound by D. Williams,,28-25,,
8:56.0,,,28-25,,Personal foul by T. Booker (drawn by D. Williams)
8:43.0,D. Williams makes 2-pt shot at rim (assist by R. McCallum),2,30-25,,
8:19.0,,,30-27,2,D. Favors makes 2-pt shot at rim (assist by J. Ingles)
8:08.0,Turnover by O. Casspi (bad pass),,30-27,,
8:08.0,,,30-27,,R. Hood enters the game for J. Ingles
7:50.0,,,30-27,,D. Exum misses 3-pt shot from 23 ft
7:49.0,Defensive rebound by R. McCallum,,30-27,,
7:44.0,R. Evans makes 2-pt shot at rim (assist by R. McCallum),2,32-27,,
7:36.0,,,32-27,,Shooting foul by R. Evans (drawn by G. Hayward)
7:36.0,,,32-28,1,G. Hayward makes free throw 1 of 2
7:36.0,,,32-28,,R. Gobert enters the game for D. Favors
7:36.0,,,32-29,1,G. Hayward makes free throw 2 of 2
7:24.0,O. Casspi makes 3-pt shot from 24 ft (assist by R. Evans),3,35-29,,
7:09.0,,,35-29,,T. Booker misses 3-pt shot from 24 ft
7:09.0,Defensive rebound by Team,,35-29,,
7:09.0,J. Thompson enters the game for R. Evans,,35-29,,
6:53.0,O. Casspi misses 2-pt shot from 3 ft (block by R. Gobert),,35-29,,
6:53.0,Offensive rebound by Team,,35-29,,
6:45.0,D. Williams makes 3-pt shot from 24 ft,3,38-29,,
6:29.0,,,38-31,2,T. Booker makes 2-pt shot from 6 ft
6:19.0,D. Williams misses 3-pt shot from 25 ft,,38-31,,
6:18.0,,,38-31,,Defensive rebound by R. Gobert
6:04.0,,,38-31,,Shooting foul by O. Casspi (drawn by R. Hood)
6:04.0,,,38-32,1,R. Hood makes free throw 1 of 2
6:04.0,C. Landry enters the game for D. Williams,,38-32,,
6:04.0,,,38-33,1,R. Hood makes free throw 2 of 2
5:46.0,J. Thompson makes 2-pt shot from 10 ft (assist by O. Casspi),2,40-33,,
5:34.0,,,40-33,,R. Hood misses 3-pt shot from 25 ft
5:31.0,Defensive rebound by J. Thompson,,40-33,,
5:16.0,A. Miller misses 3-pt shot from 25 ft,,40-33,,
5:15.0,,,40-33,,Defensive rebound by G. Hayward
4:59.0,,,40-33,,Shooting foul by J. Thompson (drawn by R. Gobert)
4:59.0,Official timeout,,40-33,,
4:59.0,,,40-33,,T. Burke enters the game for G. Hayward
4:59.0,,,40-34,1,R. Gobert makes free throw 1 of 2
4:59.0,,,40-35,1,R. Gobert makes free throw 2 of 2
4:42.0,C. Landry misses 2-pt shot from 3 ft (block by T. Booker),,40-35,,
4:40.0,Offensive rebound by J. Thompson,,40-35,,
