time,Brooklyn,pts.away,score,pts.home,Miami
7:27.0,M. Plumlee makes free throw 1 of 2,1,5-7,,
7:27.0,M. Plumlee makes free throw 2 of 2,1,6-7,,
7:16.0,,,6-7,,Shooting foul by J. Johnson (drawn by C. Andersen)
7:16.0,,,6-8,1,C. Andersen makes free throw 1 of 2
7:16.0,,,6-9,1,C. Andersen makes free throw 2 of 2
6:57.0,S. Karasev misses 2-pt shot from 1 ft (block by C. Andersen),,6-9,,
6:56.0,,,6-9,,Defensive rebound by L. Deng
6:51.0,,,6-9,,Shooting foul by K. Garnett (drawn by D. Wade)
6:51.0,,,6-10,1,D. Wade makes free throw 1 of 2
6:51.0,,,6-10,,D. Granger enters the game for C. Bosh
6:51.0,,,6-11,1,D. Wade makes free throw 2 of 2
6:40.0,,,6-11,,Personal foul by C. Andersen (drawn by M. Plumlee)
6:40.0,,,6-11,,H. Whiteside enters the game for C. Andersen
6:40.0,M. Teletovic enters the game for K. Garnett,,6-11,,
6:31.0,J. Jack misses 2-pt shot from 10 ft (block by H. Whiteside),,6-11,,
6:30.0,,,6-11,,Defensive rebound by D. Wade
6:29.0,,,6-11,,Shooting foul by S. Karasev (drawn by L. Deng)
6:29.0,,,6-12,1,L. Deng makes free throw 1 of 2
6:29.0,,,6-13,1,L. Deng makes free throw 2 of 2
6:07.0,M. Plumlee makes 2-pt shot at rim (assist by J. Johnson),2,8-13,,
5:52.0,,,8-13,,Turnover by M. Chalmers (bad pass; steal by J. Jack)
5:47.0,S. Karasev makes 2-pt shot from 1 ft (assist by J. Jack),2,10-13,,
5:46.0,,,10-13,,Miami full timeout
5:25.0,,,10-15,2,D. Wade makes 2-pt shot from 1 ft
5:05.0,J. Jack misses 2-pt shot from 1 ft,,10-15,,
5:04.0,,,10-15,,Defensive rebound by H. Whiteside
4:59.0,Shooting block foul by S. Karasev (drawn by D. Granger),,10-15,,
4:59.0,,,10-15,,D. Granger misses free throw 1 of 2
4:59.0,,,10-15,,Offensive rebound by Team
4:59.0,B. Lopez enters the game for S. Karasev,,10-15,,
4:59.0,A. Anderson enters the game for M. Plumlee,,10-15,,
4:59.0,,,10-16,1,D. Granger makes free throw 2 of 2
4:33.0,J. Jack misses 2-pt shot from 11 ft (block by M. Chalmers),,10-16,,
4:32.0,,,10-16,,Defensive rebound by H. Whiteside
4:21.0,,,10-19,3,M. Chalmers makes 3-pt shot from 23 ft (assist by L. Deng)
4:13.0,Brooklyn full timeout,,10-19,,
4:13.0,D. Williams enters the game for J. Jack,,10-19,,
4:03.0,D. Williams makes 2-pt shot from 12 ft,2,12-19,,
3:45.0,,,12-21,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
3:45.0,,,12-21,,Shooting foul by B. Lopez (drawn by H. Whiteside)
3:45.0,,,12-22,1,H. Whiteside makes free throw 1 of 1
3:31.0,D. Williams makes 3-pt shot from 24 ft,3,15-22,,
3:05.0,,,15-22,,D. Wade misses 2-pt shot from 9 ft
3:04.0,Defensive rebound by D. Williams,,15-22,,
2:54.0,Shooting foul by M. Chalmers (drawn by M. Teletovic),,15-22,,
2:54.0,M. Teletovic misses free throw 1 of 2,,15-22,,
2:54.0,Offensive rebound by Team,,15-22,,
2:54.0,,,15-22,,N. Cole enters the game for M. Chalmers
2:54.0,,,15-22,,J. Ennis enters the game for L. Deng
2:54.0,,,15-22,,C. Bosh enters the game for D. Wade
2:54.0,M. Teletovic misses free throw 2 of 2,,15-22,,
2:53.0,,,15-22,,Defensive rebound by D. Granger
2:40.0,,,15-22,,D. Granger misses 2-pt shot from 20 ft
2:39.0,Defensive rebound by J. Johnson,,15-22,,
2:31.0,J. Johnson misses 3-pt shot from 25 ft,,15-22,,
2:30.0,,,15-22,,Defensive rebound by H. Whiteside
2:14.0,,,15-25,3,N. Cole makes 3-pt shot from 24 ft (assist by D. Granger)
2:00.0,J. Johnson makes 2-pt shot from 8 ft (assist by D. Williams),2,17-25,,
1:40.0,,,17-25,,J. Ennis misses 2-pt shot from 21 ft
1:39.0,Defensive rebound by A. Anderson,,17-25,,
1:31.0,D. Williams misses 2-pt shot from 16 ft,,17-25,,
1:30.0,,,17-25,,Defensive rebound by H. Whiteside
1:16.0,,,17-25,,Shooting foul by M. Teletovic (drawn by C. Bosh)
1:16.0,,,17-26,1,C. Bosh makes free throw 1 of 2
1:16.0,,,17-26,,C. Bosh misses free throw 2 of 2
1:15.0,Defensive rebound by B. Lopez,,17-26,,
1:11.0,,,17-26,,Shooting block foul by N. Cole (drawn by D. Williams)
1:11.0,D. Williams makes free throw 1 of 2,1,18-26,,
1:11.0,D. Williams makes free throw 2 of 2,1,19-26,,
0:55.0,,,19-28,2,C. Bosh makes 2-pt shot from 12 ft
0:37.0,M. Teletovic misses 3-pt shot from 24 ft,,19-28,,
0:36.0,Offensive rebound by B. Lopez,,19-28,,
0:34.0,B. Lopez misses 2-pt shot from 3 ft (block by H. Whiteside),,19-28,,
0:33.0,,,19-28,,Defensive rebound by J. Ennis
0:12.0,,,19-30,2,H. Whiteside makes 2-pt shot from 2 ft (assist by D. Granger)
0:02.0,D. Williams makes 2-pt shot from 15 ft,2,21-30,,
0:01.0,,,21-30,,J. Ennis misses 3-pt shot from 54 ft
0:00.0,,,21-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,M. Teletovic makes 3-pt shot from 24 ft (assist by D. Williams),3,24-30,,
11:25.0,,,24-30,,Shooting foul by A. Anderson (drawn by C. Bosh)
11:25.0,,,24-30,,C. Bosh misses free throw 1 of 2
11:25.0,,,24-30,,Offensive rebound by Team
11:25.0,,,24-30,,C. Bosh misses free throw 2 of 2
11:24.0,Defensive rebound by B. Lopez,,24-30,,
11:09.0,M. Teletovic makes 3-pt shot from 24 ft (assist by D. Williams),3,27-30,,
10:53.0,,,27-30,,H. Whiteside misses 2-pt shot from 6 ft
10:52.0,Defensive rebound by B. Bogdanovic,,27-30,,
10:42.0,D. Williams misses 3-pt shot from 24 ft,,27-30,,
10:41.0,,,27-30,,Defensive rebound by H. Whiteside
10:29.0,,,27-30,,Turnover by N. Cole (bad pass; steal by B. Lopez)
10:24.0,M. Teletovic misses 3-pt shot from 25 ft,,27-30,,
10:23.0,Offensive rebound by Team,,27-30,,
10:23.0,,,27-30,,Loose ball foul by C. Bosh (drawn by A. Anderson)
10:17.0,Turnover by M. Teletovic (bad pass; steal by H. Whiteside),,27-30,,
10:14.0,,,27-30,,Turnover by H. Whiteside (bad pass; steal by D. Williams)
10:09.0,Offensive charge foul by A. Anderson,,27-30,,
10:09.0,Turnover by A. Anderson (offensive foul),,27-30,,
10:09.0,S. Karasev enters the game for A. Anderson,,27-30,,
9:51.0,,,27-30,,N. Cole misses 3-pt shot from 24 ft
9:50.0,,,27-30,,Offensive rebound by H. Whiteside
9:47.0,,,27-32,2,H. Whiteside makes 2-pt shot from 6 ft
9:31.0,Turnover by M. Teletovic (bad pass; steal by J. Ennis),,27-32,,
9:26.0,,,27-34,2,D. Granger makes 2-pt shot from 1 ft (assist by N. Cole)
9:26.0,Brooklyn full timeout,,27-34,,
9:12.0,,,27-34,,Personal foul by H. Whiteside (drawn by B. Lopez)
9:03.0,B. Bogdanovic misses 3-pt shot from 24 ft,,27-34,,
9:02.0,,,27-34,,Defensive rebound by J. Ennis
8:50.0,,,27-34,,C. Bosh misses 2-pt shot from 12 ft (block by M. Teletovic)
8:49.0,Defensive rebound by D. Williams,,27-34,,
8:42.0,M. Teletovic misses 2-pt shot from 2 ft (block by H. Whiteside),,27-34,,
8:41.0,Offensive rebound by Team,,27-34,,
8:37.0,D. Williams misses 2-pt shot from 1 ft,,27-34,,
8:36.0,,,27-34,,Defensive rebound by N. Cole
8:17.0,Personal foul by B. Lopez (drawn by H. Whiteside),,27-34,,
8:17.0,,,27-34,,D. Wade enters the game for C. Bosh
8:17.0,,,27-34,,L. Deng enters the game for J. Ennis
8:17.0,J. Johnson enters the game for M. Teletovic,,27-34,,
8:17.0,K. Garnett enters the game for B. Lopez,,27-34,,
8:17.0,M. Plumlee enters the game for B. Bogdanovic,,27-34,,
8:03.0,,,27-34,,Turnover by N. Cole (bad pass; steal by M. Plumlee)
7:59.0,Turnover by M. Plumlee (bad pass; steal by D. Wade),,27-34,,
7:54.0,,,27-36,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
7:28.0,J. Johnson misses 2-pt shot from 7 ft,,27-36,,
7:24.0,Offensive rebound by M. Plumlee,,27-36,,
7:24.0,M. Plumlee misses 2-pt shot at rim,,27-36,,
7:23.0,,,27-36,,Defensive rebound by D. Granger
7:21.0,Personal foul by D. Williams (drawn by D. Wade),,27-36,,
7:21.0,,,27-36,,D. Wade misses free throw 1 of 2
7:21.0,,,27-36,,Offensive rebound by Team
7:21.0,J. Jack enters the game for D. Williams,,27-36,,
7:21.0,,,27-37,1,D. Wade makes free throw 2 of 2
7:05.0,M. Plumlee makes 2-pt shot at rim (assist by J. Johnson),2,29-37,,
6:48.0,,,29-37,,Turnover by D. Wade (bad pass; steal by K. Garnett)
6:32.0,J. Johnson misses 3-pt shot from 25 ft,,29-37,,
6:31.0,,,29-37,,Defensive rebound by Team
6:31.0,Loose ball foul by M. Plumlee (drawn by H. Whiteside),,29-37,,
6:11.0,,,29-37,,D. Wade misses 2-pt shot from 8 ft
6:10.0,Defensive rebound by S. Karasev,,29-37,,
5:55.0,J. Johnson misses 2-pt shot from 8 ft,,29-37,,
5:54.0,Offensive rebound by K. Garnett,,29-37,,
5:44.0,J. Johnson misses 2-pt shot from 19 ft,,29-37,,
5:43.0,Offensive rebound by K. Garnett,,29-37,,
5:41.0,K. Garnett misses 2-pt shot at rim,,29-37,,
5:39.0,,,29-37,,Defensive rebound by H. Whiteside
5:28.0,,,29-37,,D. Granger misses 3-pt shot from 24 ft
5:27.0,Defensive rebound by M. Plumlee,,29-37,,
5:12.0,K. Garnett makes 2-pt shot from 15 ft,2,31-37,,
5:11.0,,,31-37,,Miami full timeout
5:11.0,,,31-37,,C. Andersen enters the game for D. Granger
5:11.0,,,31-37,,C. Bosh enters the game for H. Whiteside
5:11.0,,,31-37,,M. Chalmers enters the game for N. Cole
4:57.0,,,31-37,,D. Wade misses 2-pt shot from 7 ft
4:56.0,Defensive rebound by M. Plumlee,,31-37,,
4:52.0,J. Jack misses 2-pt shot from 15 ft,,31-37,,
4:51.0,Offensive rebound by K. Garnett,,31-37,,
4:50.0,K. Garnett misses 2-pt shot at rim,,31-37,,
4:49.0,,,31-37,,Defensive rebound by C. Andersen
4:41.0,,,31-37,,D. Wade misses 2-pt shot from 4 ft
4:40.0,,,31-37,,Offensive rebound by C. Andersen
4:40.0,,,31-37,,Shooting foul by K. Garnett (drawn by C. Andersen)
4:40.0,,,31-38,1,C. Andersen makes free throw 1 of 2
4:40.0,,,31-39,1,C. Andersen makes free throw 2 of 2
4:26.0,Turnover by J. Jack (bad pass; steal by L. Deng),,31-39,,
4:13.0,,,31-41,2,D. Wade makes 2-pt shot from 15 ft
3:56.0,J. Johnson makes 2-pt shot from 1 ft,2,33-41,,
3:56.0,Violation by Team (jump ball),,33-41,,
3:42.0,,,33-44,3,C. Bosh makes 3-pt shot from 23 ft (assist by D. Wade)
3:21.0,Jump ball: C. Bosh vs. K. Garnett (C. Andersen gains possession),,,,Jump ball: C. Bosh vs. K. Garnett (C. Andersen gains possession)
3:21.0,Turnover by M. Plumlee (lost ball; steal by C. Bosh),,33-44,,
3:06.0,,,33-44,,D. Wade misses 2-pt shot from 2 ft (block by M. Plumlee)
3:05.0,Defensive rebound by S. Karasev,,33-44,,
2:57.0,J. Johnson makes 3-pt shot from 25 ft (assist by S. Karasev),3,36-44,,
2:43.0,Personal foul by S. Karasev (drawn by C. Andersen),,36-44,,
2:43.0,Official timeout,,36-44,,
2:43.0,M. Teletovic enters the game for K. Garnett,,36-44,,
2:43.0,D. Williams enters the game for S. Karasev,,36-44,,
2:43.0,,,36-45,1,C. Andersen makes free throw 1 of 2
2:43.0,,,36-45,,C. Andersen misses free throw 2 of 2
2:42.0,,,36-45,,Offensive rebound by C. Bosh
2:33.0,,,36-45,,L. Deng misses 2-pt shot from 17 ft
2:32.0,Defensive rebound by M. Teletovic,,36-45,,
2:10.0,Turnover by M. Plumlee (bad pass; steal by D. Wade),,36-45,,
2:04.0,,,36-45,,D. Wade misses 2-pt shot from 3 ft (block by J. Jack)
2:03.0,,,36-45,,Offensive rebound by M. Chalmers
1:56.0,,,36-47,2,C. Andersen makes 2-pt shot at rim (assist by D. Wade)
1:33.0,M. Plumlee makes 2-pt shot from 6 ft,2,38-47,,
1:08.0,,,38-49,2,C. Bosh makes 2-pt shot from 12 ft (assist by D. Wade)
0:45.0,D. Williams misses 2-pt shot from 16 ft,,38-49,,
0:44.0,,,38-49,,Defensive rebound by C. Bosh
0:32.0,,,38-49,,Turnover by D. Wade (bad pass; steal by M. Teletovic)
0:27.0,D. Williams makes 2-pt shot from 1 ft (assist by M. Teletovic),2,40-49,,
0:22.0,,,40-49,,Miami full timeout
0:22.0,,,40-49,,H. Whiteside enters the game for C. Andersen
0:22.0,,,40-49,,D. Granger enters the game for C. Bosh
0:02.0,,,40-49,,D. Wade misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by J. Johnson,,40-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,J. Jack misses 2-pt shot from 14 ft,,40-49,,
11:36.0,,,40-49,,Defensive rebound by Team
11:36.0,Loose ball foul by K. Garnett (drawn by D. Wade),,40-49,,
11:20.0,,,40-51,2,L. Deng makes 2-pt shot from 20 ft (assist by D. Wade)
11:04.0,K. Garnett misses 2-pt shot from 10 ft,,40-51,,
11:03.0,Offensive rebound by M. Plumlee,,40-51,,
11:02.0,M. Plumlee makes 2-pt shot from 2 ft,2,42-51,,
11:02.0,Shooting foul by M. Chalmers (drawn by M. Plumlee),,42-51,,
11:02.0,M. Plumlee misses free throw 1 of 1,,42-51,,
11:01.0,,,42-51,,Defensive rebound by C. Andersen
10:39.0,,,42-51,,C. Bosh misses 2-pt shot from 1 ft
10:38.0,,,42-51,,Offensive rebound by Team
10:38.0,,,42-51,,Turnover by Team (shot clock)
10:28.0,Turnover by S. Karasev (traveling),,42-51,,
10:07.0,,,42-53,2,C. Bosh makes 2-pt shot from 18 ft (assist by L. Deng)
9:43.0,J. Johnson makes 3-pt shot from 24 ft (assist by K. Garnett),3,45-53,,
9:31.0,,,45-55,2,D. Wade makes 2-pt shot from 17 ft (assist by L. Deng)
9:18.0,J. Jack makes 2-pt shot from 13 ft,2,47-55,,
9:05.0,,,47-55,,L. Deng misses 2-pt shot from 18 ft
9:04.0,Defensive rebound by J. Jack,,47-55,,
8:51.0,Turnover by J. Jack (lost ball; steal by M. Chalmers),,47-55,,
8:46.0,,,47-55,,M. Chalmers misses 2-pt shot at rim (block by J. Jack)
8:45.0,Defensive rebound by K. Garnett,,47-55,,
8:31.0,J. Johnson misses 2-pt shot from 18 ft,,47-55,,
8:30.0,,,47-55,,Defensive rebound by D. Wade
8:18.0,,,47-55,,Turnover by M. Chalmers (bad pass)
8:18.0,Brooklyn full timeout,,47-55,,
8:05.0,J. Johnson misses 2-pt shot from 5 ft (block by L. Deng),,47-55,,
8:04.0,,,47-55,,Defensive rebound by D. Wade
7:50.0,,,47-57,2,D. Wade makes 2-pt shot from 19 ft
7:31.0,,,47-57,,Personal foul by L. Deng (drawn by J. Johnson)
7:25.0,J. Johnson makes 2-pt shot from 1 ft,2,49-57,,
6:53.0,,,49-57,,C. Bosh misses 2-pt shot from 10 ft
6:52.0,Defensive rebound by K. Garnett,,49-57,,
6:32.0,J. Johnson makes 2-pt shot from 2 ft,2,51-57,,
6:20.0,,,51-57,,M. Chalmers misses 2-pt shot at rim
6:19.0,Defensive rebound by M. Plumlee,,51-57,,
5:59.0,J. Johnson misses 2-pt shot from 9 ft,,51-57,,
5:58.0,,,51-57,,Defensive rebound by C. Andersen
5:45.0,,,51-57,,M. Chalmers misses 3-pt shot from 23 ft
5:44.0,,,51-57,,Offensive rebound by C. Andersen
5:28.0,,,51-59,2,D. Wade makes 2-pt shot from 1 ft (assist by C. Andersen)
5:12.0,K. Garnett misses 2-pt shot from 19 ft,,51-59,,
5:11.0,,,51-59,,Defensive rebound by C. Bosh
5:04.0,,,51-59,,D. Wade misses 2-pt shot from 11 ft
5:03.0,,,51-59,,Offensive rebound by D. Wade
5:02.0,,,51-61,2,D. Wade makes 2-pt shot from 2 ft
4:44.0,,,51-61,,Personal foul by D. Wade (drawn by J. Johnson)
4:44.0,M. Teletovic enters the game for K. Garnett,,51-61,,
4:44.0,B. Lopez enters the game for M. Plumlee,,51-61,,
4:44.0,A. Anderson enters the game for S. Karasev,,51-61,,
4:44.0,,,51-61,,D. Granger enters the game for C. Bosh
4:31.0,J. Johnson misses 3-pt shot from 24 ft,,51-61,,
4:30.0,Offensive rebound by Team,,51-61,,
4:22.0,,,51-61,,Personal foul by L. Deng (drawn by J. Johnson)
4:19.0,,,51-61,,Personal foul by L. Deng (drawn by J. Johnson)
4:19.0,J. Johnson misses free throw 1 of 2,,51-61,,
4:19.0,Offensive rebound by Team,,51-61,,
4:19.0,,,51-61,,J. Ennis enters the game for L. Deng
4:19.0,J. Johnson makes free throw 2 of 2,1,52-61,,
4:15.0,,,52-61,,Miami full timeout
4:15.0,,,52-61,,H. Whiteside enters the game for C. Andersen
3:58.0,,,52-61,,D. Wade misses 2-pt shot from 22 ft
3:57.0,Defensive rebound by J. Jack,,52-61,,
3:48.0,Offensive foul by B. Lopez,,52-61,,
3:48.0,Turnover by B. Lopez (offensive foul),,52-61,,
3:37.0,,,52-61,,Turnover by J. Ennis (bad pass; steal by J. Jack)
3:28.0,M. Teletovic makes 3-pt shot from 24 ft (assist by J. Jack),3,55-61,,
3:10.0,Personal foul by A. Anderson (drawn by D. Wade),,55-61,,
3:10.0,D. Williams enters the game for J. Jack,,55-61,,
3:10.0,,,55-61,,C. Bosh enters the game for D. Wade
3:00.0,,,55-61,,D. Granger misses 3-pt shot from 25 ft
2:59.0,Defensive rebound by M. Teletovic,,55-61,,
2:42.0,M. Teletovic misses 2-pt shot from 1 ft,,55-61,,
2:41.0,Offensive rebound by B. Lopez,,55-61,,
2:40.0,B. Lopez makes 2-pt shot at rim,2,57-61,,
2:14.0,,,57-64,3,C. Bosh makes 3-pt shot from 23 ft (assist by D. Granger)
1:55.0,M. Teletovic misses 3-pt shot from 25 ft,,57-64,,
1:54.0,,,57-64,,Defensive rebound by M. Chalmers
1:39.0,,,57-64,,H. Whiteside misses 2-pt shot at rim (block by B. Lopez)
1:38.0,Defensive rebound by B. Lopez,,57-64,,
1:26.0,B. Lopez misses 2-pt shot from 18 ft,,57-64,,
1:25.0,,,57-64,,Defensive rebound by D. Granger
1:04.0,,,57-64,,D. Granger misses 2-pt shot from 11 ft
1:03.0,Defensive rebound by J. Johnson,,57-64,,
0:55.0,,,57-64,,Personal foul by M. Chalmers (drawn by B. Lopez)
0:55.0,B. Lopez makes free throw 1 of 2,1,58-64,,
0:55.0,,,58-64,,N. Cole enters the game for M. Chalmers
0:55.0,B. Bogdanovic enters the game for J. Johnson,,58-64,,
0:55.0,B. Lopez makes free throw 2 of 2,1,59-64,,
0:35.0,Personal foul by M. Teletovic (drawn by C. Bosh),,59-64,,
0:23.0,,,59-64,,D. Granger misses 2-pt shot from 16 ft
0:22.0,,,59-64,,Offensive rebound by J. Ennis
0:21.0,,,59-64,,Turnover by Team (shot clock)
0:03.0,M. Teletovic misses 3-pt shot from 24 ft,,59-64,,
0:01.0,,,59-64,,Defensive rebound by D. Granger
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,59-66,2,C. Bosh makes 2-pt shot from 18 ft (assist by N. Cole)
11:25.0,B. Lopez misses 2-pt shot from 14 ft (block by H. Whiteside),,59-66,,
11:24.0,,,59-66,,Defensive rebound by N. Cole
11:20.0,,,59-68,2,N. Cole makes 2-pt shot from 1 ft (assist by J. Ennis)
11:18.0,Brooklyn full timeout,,59-68,,
11:02.0,M. Teletovic makes 3-pt shot from 24 ft (assist by D. Williams),3,62-68,,
10:36.0,,,62-68,,J. Ennis misses 2-pt shot from 11 ft
10:35.0,Defensive rebound by M. Teletovic,,62-68,,
10:24.0,B. Lopez makes 2-pt shot from 8 ft (assist by D. Williams),2,64-68,,
9:56.0,,,64-70,2,C. Bosh makes 2-pt shot from 14 ft
9:38.0,,,64-70,,Personal foul by C. Bosh (drawn by D. Williams)
9:29.0,B. Lopez makes 2-pt shot from 2 ft (assist by D. Williams),2,66-70,,
9:08.0,,,66-70,,Shooting foul by D. Williams (drawn by J. Ennis)
9:08.0,,,66-71,1,J. Ennis makes free throw 1 of 2
9:08.0,J. Johnson enters the game for B. Bogdanovic,,66-71,,
9:08.0,,,66-72,1,J. Ennis makes free throw 2 of 2
8:54.0,Official timeout,,66-72,,
8:46.0,M. Teletovic misses 3-pt shot from 24 ft,,66-72,,
8:45.0,,,66-72,,Defensive rebound by H. Whiteside
8:24.0,,,66-74,2,C. Bosh makes 2-pt shot from 16 ft
8:00.0,J. Johnson makes 2-pt shot from 7 ft,2,68-74,,
7:43.0,,,68-76,2,H. Whiteside makes 2-pt shot at rim (assist by J. Ennis)
7:28.0,,,68-76,,Personal foul by D. Granger (drawn by J. Johnson)
7:28.0,,,68-76,,D. Wade enters the game for J. Ennis
7:20.0,D. Williams makes 2-pt shot from 19 ft,2,70-76,,
6:57.0,,,70-76,,C. Bosh misses 2-pt shot from 15 ft
6:56.0,Defensive rebound by D. Williams,,70-76,,
6:43.0,A. Anderson misses 3-pt shot from 24 ft,,70-76,,
6:42.0,,,70-76,,Defensive rebound by H. Whiteside
6:22.0,,,70-76,,D. Granger misses 3-pt shot from 24 ft
6:21.0,Defensive rebound by D. Williams,,70-76,,
6:11.0,,,70-76,,Personal foul by N. Cole (drawn by M. Teletovic)
6:00.0,D. Williams misses 2-pt shot from 7 ft (block by H. Whiteside),,70-76,,
5:59.0,Offensive rebound by Team,,70-76,,
5:59.0,,,70-76,,Miami full timeout
5:55.0,J. Johnson misses 3-pt shot from 24 ft,,70-76,,
5:54.0,,,70-76,,Defensive rebound by C. Bosh
5:31.0,,,70-78,2,D. Wade makes 2-pt shot from 17 ft
5:10.0,B. Lopez makes 2-pt shot from 16 ft (assist by D. Williams),2,72-78,,
4:49.0,,,72-80,2,D. Wade makes 2-pt shot from 11 ft (assist by C. Bosh)
4:49.0,,,72-80,,Shooting foul by A. Anderson (drawn by D. Wade)
4:49.0,,,72-81,1,D. Wade makes free throw 1 of 1
4:34.0,B. Lopez makes 2-pt shot from 19 ft (assist by D. Williams),2,74-81,,
4:10.0,,,74-81,,C. Bosh misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by D. Williams,,74-81,,
3:58.0,B. Lopez misses 2-pt shot from 19 ft,,74-81,,
3:57.0,,,74-81,,Defensive rebound by H. Whiteside
3:44.0,,,74-83,2,D. Wade makes 2-pt shot from 6 ft
3:31.0,,,74-83,,Personal foul by D. Granger (drawn by J. Johnson)
3:25.0,M. Teletovic misses 2-pt shot from 1 ft,,74-83,,
3:24.0,Offensive rebound by B. Lopez,,74-83,,
3:22.0,B. Lopez misses 2-pt shot from 6 ft,,74-83,,
3:19.0,Offensive rebound by M. Teletovic,,74-83,,
3:18.0,M. Teletovic makes 2-pt shot from 1 ft,2,76-83,,
2:58.0,,,76-83,,Turnover by D. Wade (bad pass)
2:58.0,Brooklyn full timeout,,76-83,,
2:58.0,,,76-83,,C. Andersen enters the game for H. Whiteside
2:58.0,,,76-83,,M. Chalmers enters the game for N. Cole
2:40.0,,,76-83,,Personal foul by D. Wade (drawn by B. Lopez)
2:40.0,B. Lopez makes free throw 1 of 2,1,77-83,,
2:40.0,B. Lopez makes free throw 2 of 2,1,78-83,,
2:29.0,,,78-83,,Offensive foul by C. Bosh
2:29.0,,,78-83,,Turnover by C. Bosh (offensive foul)
2:16.0,J. Johnson misses 2-pt shot from 8 ft (block by D. Granger),,78-83,,
2:15.0,Offensive rebound by Team,,78-83,,
2:10.0,B. Lopez makes 2-pt shot from 9 ft (assist by J. Johnson),2,80-83,,
1:53.0,,,80-83,,D. Wade misses 2-pt shot from 17 ft
1:52.0,Defensive rebound by B. Lopez,,80-83,,
1:32.0,J. Johnson misses 2-pt shot from 8 ft,,80-83,,
1:31.0,,,80-83,,Defensive rebound by C. Andersen
1:15.0,,,80-83,,C. Bosh misses 2-pt shot from 11 ft
1:14.0,Defensive rebound by D. Williams,,80-83,,
1:03.0,M. Teletovic misses 3-pt shot from 24 ft,,80-83,,
1:02.0,,,80-83,,Defensive rebound by C. Bosh
0:55.0,Personal foul by J. Johnson (drawn by C. Bosh),,80-83,,
0:42.0,,,80-83,,D. Wade misses 2-pt shot from 6 ft
0:41.0,,,80-83,,Offensive rebound by Team
0:41.0,Loose ball foul by A. Anderson (drawn by D. Wade),,80-83,,
0:41.0,,,80-83,,D. Wade misses free throw 1 of 2
0:41.0,,,80-83,,Offensive rebound by Team
0:41.0,J. Jack enters the game for D. Williams,,80-83,,
0:41.0,,,80-84,1,D. Wade makes free throw 2 of 2
0:41.0,Brooklyn full timeout,,80-84,,
0:32.0,A. Anderson misses 3-pt shot from 25 ft,,80-84,,
