time,Houston,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. D. Howard (D. Rose gains possession),,,,Jump ball: P. Gasol vs. D. Howard (D. Rose gains possession)
11:43.0,,,0-2,2,P. Gasol makes 2-pt shot from 5 ft
11:26.0,D. Motiejunas makes 2-pt shot from 11 ft (assist by T. Ariza),2,2-2,,
11:08.0,Personal foul by D. Motiejunas (drawn by K. Hinrich),,2-2,,
10:55.0,,,2-2,,J. Butler misses 2-pt shot from 21 ft
10:53.0,Defensive rebound by D. Howard,,2-2,,
10:43.0,T. Ariza misses 2-pt shot from 17 ft,,2-2,,
10:42.0,,,2-2,,Defensive rebound by P. Gasol
10:35.0,,,2-2,,D. Rose misses 2-pt shot from 16 ft
10:34.0,Defensive rebound by D. Howard,,2-2,,
10:28.0,D. Motiejunas makes 2-pt shot from 6 ft (assist by T. Ariza),2,4-2,,
10:07.0,,,4-2,,Shooting foul by J. Harden (drawn by J. Butler)
10:07.0,,,4-3,1,J. Butler makes free throw 1 of 2
10:07.0,,,4-4,1,J. Butler makes free throw 2 of 2
9:58.0,P. Beverley makes 2-pt shot from 2 ft,2,6-4,,
9:44.0,,,6-6,2,K. Hinrich makes 2-pt shot from 19 ft (assist by P. Gasol)
9:25.0,D. Howard makes 2-pt shot at rim (assist by D. Motiejunas),2,8-6,,
9:08.0,,,8-8,2,P. Gasol makes 2-pt shot from 21 ft (assist by D. Rose)
8:44.0,D. Motiejunas makes 2-pt shot from 2 ft (assist by P. Beverley),2,10-8,,
8:27.0,,,10-10,2,P. Gasol makes 2-pt shot from 14 ft (assist by J. Noah)
8:12.0,D. Motiejunas misses 2-pt shot from 10 ft (block by J. Noah),,10-10,,
8:10.0,Offensive rebound by D. Motiejunas,,10-10,,
8:07.0,D. Motiejunas misses 2-pt shot from 6 ft,,10-10,,
8:06.0,Offensive rebound by P. Beverley,,10-10,,
8:04.0,D. Howard makes 2-pt shot from 1 ft (assist by P. Beverley),2,12-10,,
