time,Orlando,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. Z. Pachulia (E. Payton gains possession),,,,Jump ball: D. Dedmon vs. Z. Pachulia (E. Payton gains possession)
11:43.0,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton),2,2-0,,
11:28.0,,,2-0,,K. Middleton misses 2-pt shot from 17 ft
11:26.0,,,2-0,,Offensive rebound by Z. Pachulia
11:22.0,,,2-0,,E. Ilyasova misses 2-pt shot from 15 ft
11:21.0,Defensive rebound by V. Oladipo,,2-0,,
11:01.0,E. Payton makes 3-pt shot from 23 ft (assist by T. Harris),3,5-0,,
10:45.0,,,5-2,2,K. Middleton makes 2-pt shot from 17 ft (assist by M. Carter-Williams)
10:27.0,Shooting foul by G. Antetokounmpo (drawn by T. Harris),,5-2,,
10:27.0,T. Harris makes free throw 1 of 2,1,6-2,,
10:27.0,T. Harris misses free throw 2 of 2,,6-2,,
10:26.0,,,6-2,,Defensive rebound by E. Ilyasova
10:14.0,,,6-2,,Z. Pachulia misses 2-pt shot from 15 ft
10:13.0,Defensive rebound by N. Vucevic,,6-2,,
9:53.0,N. Vucevic misses 2-pt shot from 6 ft,,6-2,,
9:52.0,Offensive rebound by D. Dedmon,,6-2,,
9:52.0,D. Dedmon misses 2-pt shot from 1 ft,,6-2,,
9:51.0,,,6-2,,Defensive rebound by E. Ilyasova
9:48.0,,,6-2,,Milwaukee full timeout
9:48.0,,,6-2,,O. Mayo enters the game for G. Antetokounmpo
9:41.0,,,6-5,3,O. Mayo makes 3-pt shot from 26 ft (assist by Z. Pachulia)
9:27.0,T. Harris misses 3-pt shot from 23 ft,,6-5,,
9:26.0,,,6-5,,Defensive rebound by M. Carter-Williams
9:17.0,,,6-5,,M. Carter-Williams misses 2-pt shot from 18 ft
9:16.0,,,6-5,,Offensive rebound by E. Ilyasova
9:15.0,,,6-7,2,E. Ilyasova makes 2-pt shot from 4 ft
9:15.0,,,6-7,,Shooting foul by V. Oladipo (drawn by E. Ilyasova)
9:15.0,,,6-8,1,E. Ilyasova makes free throw 1 of 1
8:58.0,N. Vucevic makes 2-pt shot from 18 ft (assist by V. Oladipo),2,8-8,,
8:44.0,,,8-11,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
8:38.0,Turnover by N. Vucevic (lost ball; steal by Z. Pachulia),,8-11,,
8:32.0,,,8-14,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by Z. Pachulia)
8:32.0,Orlando full timeout,,8-14,,
8:10.0,V. Oladipo misses 3-pt shot from 25 ft,,8-14,,
8:09.0,,,8-14,,Defensive rebound by Z. Pachulia
7:52.0,,,8-14,,K. Middleton misses 2-pt shot from 12 ft
7:51.0,Defensive rebound by T. Harris,,8-14,,
7:37.0,V. Oladipo misses 3-pt shot from 24 ft,,8-14,,
7:36.0,,,8-14,,Defensive rebound by Z. Pachulia
7:23.0,,,8-16,2,O. Mayo makes 2-pt shot at rim (assist by Z. Pachulia)
6:59.0,Turnover by D. Dedmon (lost ball; steal by K. Middleton),,8-16,,
6:54.0,,,8-18,2,K. Middleton makes 2-pt shot at rim (assist by M. Carter-Williams)
6:36.0,E. Payton misses 2-pt shot from 8 ft,,8-18,,
6:36.0,,,8-18,,Defensive rebound by Team
6:19.0,,,8-18,,E. Ilyasova misses 2-pt shot from 17 ft
6:18.0,Defensive rebound by D. Dedmon,,8-18,,
6:08.0,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Payton),2,10-18,,
5:53.0,A. Gordon enters the game for T. Harris,,10-18,,
5:47.0,,,10-18,,E. Ilyasova misses 2-pt shot at rim (block by D. Dedmon)
5:45.0,Defensive rebound by V. Oladipo,,10-18,,
5:28.0,V. Oladipo misses 2-pt shot from 13 ft,,10-18,,
5:26.0,,,10-18,,Defensive rebound by E. Ilyasova
5:15.0,,,10-20,2,O. Mayo makes 2-pt shot at rim (assist by K. Middleton)
4:57.0,N. Vucevic misses 2-pt shot from 17 ft,,10-20,,
4:56.0,,,10-20,,Defensive rebound by M. Carter-Williams
4:42.0,,,10-20,,M. Carter-Williams misses 2-pt shot from 1 ft (block by D. Dedmon)
4:41.0,,,10-20,,Offensive rebound by E. Ilyasova
4:41.0,,,10-22,2,E. Ilyasova makes 2-pt shot from 1 ft
4:41.0,Orlando full timeout,,10-22,,
4:41.0,,,10-22,,J. Henson enters the game for Z. Pachulia
4:41.0,W. Green enters the game for D. Dedmon,,10-22,,
