time,Orlando,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Vucevic (B. Jennings gains possession),,,,Jump ball: A. Drummond vs. N. Vucevic (B. Jennings gains possession)
11:34.0,,,0-0,,A. Drummond misses 2-pt shot from 1 ft
11:32.0,Defensive rebound by V. Oladipo,,0-0,,
11:20.0,Turnover by V. Oladipo (bad pass),,0-0,,
10:59.0,,,0-3,3,B. Jennings makes 3-pt shot from 26 ft (assist by J. Smith)
10:46.0,E. Fournier makes 2-pt shot from 1 ft (assist by C. Frye),2,2-3,,
10:26.0,,,2-5,2,G. Monroe makes 2-pt shot from 1 ft
10:09.0,C. Frye misses 3-pt shot from 25 ft,,2-5,,
10:08.0,,,2-5,,Defensive rebound by A. Drummond
10:02.0,Personal foul by V. Oladipo (drawn by B. Jennings),,2-5,,
9:44.0,,,2-5,,J. Smith misses 3-pt shot from 27 ft
9:43.0,,,2-5,,Offensive rebound by A. Drummond
9:42.0,,,2-5,,Shooting foul by C. Frye (drawn by A. Drummond)
9:42.0,,,2-5,,A. Drummond misses free throw 1 of 2
9:42.0,,,2-5,,Offensive rebound by Team
9:42.0,,,2-5,,A. Drummond misses free throw 2 of 2
9:41.0,Defensive rebound by T. Harris,,2-5,,
9:29.0,N. Vucevic misses 2-pt shot from 17 ft,,2-5,,
9:28.0,,,2-5,,Defensive rebound by B. Jennings
9:19.0,,,2-5,,A. Drummond misses 2-pt shot at rim
9:18.0,,,2-5,,Offensive rebound by A. Drummond
9:16.0,,,2-7,2,A. Drummond makes 2-pt shot at rim
9:00.0,Turnover by E. Fournier (bad pass; steal by J. Smith),,2-7,,
8:52.0,,,2-10,3,B. Jennings makes 3-pt shot from 22 ft (assist by K. Caldwell-Pope)
8:50.0,Orlando full timeout,,2-10,,
8:36.0,T. Harris makes 3-pt shot from 25 ft (assist by E. Fournier),3,5-10,,
8:12.0,,,5-12,2,G. Monroe makes 2-pt shot from 1 ft (assist by B. Jennings)
7:58.0,N. Vucevic misses 2-pt shot from 3 ft (block by J. Smith),,5-12,,
7:56.0,,,5-12,,Defensive rebound by B. Jennings
7:47.0,,,5-12,,K. Caldwell-Pope misses 2-pt shot from 15 ft
7:46.0,Defensive rebound by T. Harris,,5-12,,
7:33.0,Turnover by E. Fournier (traveling),,5-12,,
7:14.0,,,5-12,,B. Jennings misses 2-pt shot from 21 ft
7:14.0,,,5-12,,Offensive rebound by Team
6:59.0,,,5-12,,Turnover by B. Jennings (bad pass; steal by E. Fournier)
6:58.0,Shooting foul by K. Caldwell-Pope (drawn by E. Fournier),,5-12,,
6:58.0,E. Fournier misses free throw 1 of 2,,5-12,,
6:58.0,Offensive rebound by Team,,5-12,,
6:58.0,E. Fournier makes free throw 2 of 2,1,6-12,,
6:36.0,,,6-12,,G. Monroe misses 2-pt shot at rim
6:35.0,Defensive rebound by N. Vucevic,,6-12,,
6:24.0,Shooting foul by J. Smith (drawn by N. Vucevic),,6-12,,
6:24.0,N. Vucevic makes free throw 1 of 2,1,7-12,,
6:24.0,N. Vucevic makes free throw 2 of 2,1,8-12,,
6:00.0,,,8-12,,Turnover by A. Drummond (bad pass; steal by T. Harris)
5:55.0,E. Fournier makes 3-pt shot from 25 ft (assist by T. Harris),3,11-12,,
5:30.0,,,11-14,2,B. Jennings makes 2-pt shot from 5 ft
5:30.0,,,11-14,,Shooting foul by V. Oladipo (drawn by B. Jennings)
5:30.0,,,11-14,,C. Butler enters the game for G. Monroe
5:30.0,E. Payton enters the game for C. Frye,,11-14,,
5:30.0,,,11-14,,B. Jennings misses free throw 1 of 1
5:28.0,Defensive rebound by N. Vucevic,,11-14,,
5:11.0,N. Vucevic misses 2-pt shot from 12 ft,,11-14,,
5:09.0,,,11-14,,Defensive rebound by A. Drummond
4:54.0,,,11-17,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by J. Smith)
4:40.0,E. Fournier misses 3-pt shot from 24 ft,,11-17,,
4:39.0,Offensive rebound by N. Vucevic,,11-17,,
4:38.0,N. Vucevic misses 2-pt shot at rim,,11-17,,
4:37.0,,,11-17,,Defensive rebound by K. Caldwell-Pope
4:31.0,,,11-19,2,J. Smith makes 2-pt shot at rim (assist by B. Jennings)
4:19.0,E. Payton makes 2-pt shot from 19 ft,2,13-19,,
3:59.0,Loose ball foul by T. Harris (drawn by A. Drummond),,13-19,,
3:59.0,M. Harkless enters the game for E. Fournier,,13-19,,
3:42.0,,,13-19,,C. Butler misses 2-pt shot from 16 ft
3:41.0,Defensive rebound by V. Oladipo,,13-19,,
3:37.0,V. Oladipo makes 2-pt shot at rim,2,15-19,,
3:37.0,Shooting foul by K. Caldwell-Pope (drawn by V. Oladipo),,15-19,,
3:37.0,,,15-19,,K. Singler enters the game for K. Caldwell-Pope
3:37.0,V. Oladipo makes free throw 1 of 1,1,16-19,,
3:24.0,,,16-22,3,B. Jennings makes 3-pt shot from 23 ft
3:24.0,,,16-22,,Shooting foul by E. Payton (drawn by B. Jennings)
3:24.0,,,16-23,1,B. Jennings makes free throw 1 of 1
3:07.0,N. Vucevic makes 2-pt shot from 1 ft (assist by M. Harkless),2,18-23,,
3:07.0,Shooting foul by B. Jennings (drawn by N. Vucevic),,18-23,,
3:07.0,W. Green enters the game for V. Oladipo,,18-23,,
3:07.0,N. Vucevic makes free throw 1 of 1,1,19-23,,
2:48.0,,,19-23,,J. Smith misses 2-pt shot from 6 ft
2:46.0,Defensive rebound by N. Vucevic,,19-23,,
2:33.0,,,19-23,,Violation by C. Butler (kicked ball)
2:33.0,,,19-23,,Detroit full timeout
2:33.0,,,19-23,,J. Jerebko enters the game for J. Smith
2:33.0,,,19-23,,G. Monroe enters the game for A. Drummond
2:26.0,N. Vucevic makes 2-pt shot from 19 ft (assist by M. Harkless),2,21-23,,
2:00.0,,,21-23,,B. Jennings misses 2-pt shot from 17 ft
1:59.0,Defensive rebound by M. Harkless,,21-23,,
1:48.0,W. Green makes 3-pt shot from 23 ft (assist by T. Harris),3,24-23,,
1:35.0,,,24-23,,Turnover by B. Jennings (bad pass; steal by T. Harris)
1:33.0,,,24-23,,Personal foul by J. Jerebko (drawn by T. Harris)
1:33.0,T. Harris misses free throw 1 of 2,,24-23,,
1:33.0,Offensive rebound by Team,,24-23,,
1:33.0,C. Frye enters the game for N. Vucevic,,24-23,,
1:33.0,T. Harris makes free throw 2 of 2,1,25-23,,
1:09.0,,,25-23,,Turnover by G. Monroe (lost ball; steal by E. Payton)
0:58.0,M. Harkless misses 3-pt shot from 24 ft,,25-23,,
0:57.0,,,25-23,,Defensive rebound by J. Jerebko
