time,LA Clippers,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Jordan (D. Green gains possession),,,,Jump ball: T. Duncan vs. D. Jordan (D. Green gains possession)
11:42.0,,,0-2,2,D. Green makes 2-pt shot from 17 ft (assist by T. Parker)
11:22.0,C. Paul misses 2-pt shot from 15 ft,,0-2,,
11:21.0,,,0-2,,Defensive rebound by T. Duncan
11:06.0,,,0-2,,Shooting foul by B. Griffin (drawn by T. Splitter)
11:06.0,,,0-3,1,T. Splitter makes free throw 1 of 2
11:06.0,,,0-3,,T. Splitter misses free throw 2 of 2
11:05.0,Defensive rebound by D. Jordan,,0-3,,
10:50.0,B. Griffin makes 2-pt shot from 14 ft (assist by C. Paul),2,2-3,,
10:33.0,,,2-3,,Turnover by K. Leonard (lost ball; steal by M. Barnes)
10:23.0,,,2-3,,Def 3 sec tech foul by T. Duncan
10:23.0,J. Redick makes technical free throw,1,3-3,,
10:16.0,J. Redick makes 2-pt shot from 18 ft,2,5-3,,
10:01.0,,,5-6,3,K. Leonard makes 3-pt shot from 23 ft (assist by D. Green)
9:54.0,M. Barnes makes 2-pt shot from 1 ft (assist by C. Paul),2,7-6,,
9:46.0,,,7-6,,Turnover by T. Parker (lost ball; steal by C. Paul)
9:41.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,9-6,,
9:41.0,,,9-6,,San Antonio full timeout
9:19.0,,,9-6,,T. Splitter misses 2-pt shot from 9 ft (block by D. Jordan)
9:18.0,,,9-6,,Offensive rebound by T. Splitter
9:17.0,,,9-6,,Turnover by Team (shot clock)
9:02.0,,,9-6,,Personal foul by K. Leonard (drawn by J. Redick)
8:53.0,C. Paul misses 2-pt shot from 19 ft,,9-6,,
8:51.0,,,9-6,,Defensive rebound by T. Parker
8:40.0,,,9-6,,D. Green misses 3-pt shot from 23 ft
8:39.0,Defensive rebound by D. Jordan,,9-6,,
8:27.0,B. Griffin misses 2-pt shot from 16 ft,,9-6,,
8:26.0,,,9-6,,Defensive rebound by T. Parker
8:15.0,,,9-6,,K. Leonard misses 2-pt shot from 19 ft
8:14.0,,,9-6,,Offensive rebound by T. Splitter
8:04.0,,,9-6,,T. Parker misses 2-pt shot from 2 ft
8:02.0,,,9-6,,Offensive rebound by T. Splitter
8:02.0,,,9-8,2,T. Splitter makes 2-pt shot from 1 ft
7:45.0,J. Redick makes 2-pt shot from 16 ft,2,11-8,,
7:24.0,,,11-8,,T. Duncan misses 2-pt shot from 8 ft
7:23.0,Defensive rebound by D. Jordan,,11-8,,
7:14.0,C. Paul misses 2-pt shot from 18 ft,,11-8,,
7:13.0,,,11-8,,Defensive rebound by T. Duncan
7:03.0,,,11-10,2,T. Parker makes 2-pt shot from 1 ft
6:55.0,C. Paul misses 3-pt shot from 25 ft,,11-10,,
6:54.0,,,11-10,,Defensive rebound by T. Splitter
6:46.0,,,11-10,,Turnover by T. Duncan (bad pass)
6:46.0,,,11-10,,B. Diaw enters the game for T. Splitter
6:27.0,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul),2,13-10,,
6:12.0,,,13-10,,T. Parker misses 2-pt shot from 16 ft
6:11.0,Defensive rebound by D. Jordan,,13-10,,
6:05.0,B. Griffin makes 2-pt shot from 6 ft (assist by C. Paul),2,15-10,,
5:48.0,,,15-10,,K. Leonard misses 2-pt shot from 9 ft
5:47.0,,,15-10,,Offensive rebound by T. Duncan
5:44.0,,,15-10,,K. Leonard misses 2-pt shot from 2 ft
5:43.0,Defensive rebound by D. Jordan,,15-10,,
5:41.0,Turnover by D. Jordan (bad pass; steal by B. Diaw),,15-10,,
5:36.0,,,15-10,,Turnover by K. Leonard (lost ball; steal by C. Paul)
5:29.0,J. Redick misses 3-pt shot from 25 ft,,15-10,,
5:26.0,Offensive rebound by M. Barnes,,15-10,,
5:15.0,B. Griffin misses 2-pt shot from 18 ft,,15-10,,
5:14.0,,,15-10,,Defensive rebound by T. Parker
5:08.0,,,15-12,2,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker)
5:06.0,LA Clippers full timeout,,15-12,,
5:06.0,,,15-12,,M. Ginobili enters the game for D. Green
5:06.0,G. Davis enters the game for B. Griffin,,15-12,,
5:06.0,,,15-12,,Inbound foul by M. Ginobili
5:06.0,D. Jordan makes free throw 1 of 2,1,16-12,,
5:06.0,D. Jordan makes free throw 2 of 2,1,17-12,,
5:00.0,,,17-12,,Turnover by T. Parker (bad pass; steal by C. Paul)
4:55.0,D. Jordan makes 2-pt shot at rim,2,19-12,,
4:30.0,,,19-12,,B. Diaw misses 2-pt shot from 17 ft
4:29.0,,,19-12,,Offensive rebound by T. Duncan
4:27.0,,,19-14,2,T. Duncan makes 2-pt shot from 2 ft
4:08.0,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul),2,21-14,,
3:53.0,,,21-17,3,M. Ginobili makes 3-pt shot from 24 ft (assist by K. Leonard)
3:36.0,Shooting foul by B. Diaw (drawn by J. Redick),,21-17,,
3:36.0,J. Redick makes free throw 1 of 3,1,22-17,,
3:36.0,J. Redick makes free throw 2 of 3,1,23-17,,
3:36.0,,,23-17,,P. Mills enters the game for T. Parker
