time,San Antonio,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Jordan (C. Paul gains possession),,,,Jump ball: T. Duncan vs. D. Jordan (C. Paul gains possession)
11:46.0,,,0-0,,Shooting foul by T. Splitter (drawn by B. Griffin)
11:46.0,,,0-0,,B. Griffin misses free throw 1 of 2
11:46.0,,,0-0,,Offensive rebound by Team
11:46.0,,,0-1,1,B. Griffin makes free throw 2 of 2
11:24.0,T. Parker misses 2-pt shot from 14 ft,,0-1,,
11:23.0,,,0-1,,Defensive rebound by B. Griffin
11:17.0,,,0-1,,C. Paul misses 3-pt shot from 26 ft
11:16.0,Defensive rebound by T. Duncan,,0-1,,
11:03.0,T. Parker misses 2-pt shot from 19 ft,,0-1,,
11:01.0,,,0-1,,Defensive rebound by B. Griffin
10:57.0,,,0-3,2,B. Griffin makes 2-pt shot from 2 ft
10:43.0,K. Leonard makes 2-pt shot from 14 ft (assist by D. Green),2,2-3,,
10:23.0,,,2-3,,Turnover by J. Redick (traveling)
10:07.0,T. Parker misses 2-pt shot from 20 ft,,2-3,,
10:06.0,,,2-3,,Defensive rebound by D. Jordan
9:51.0,,,2-6,3,M. Barnes makes 3-pt shot from 26 ft (assist by C. Paul)
9:31.0,Shooting foul by D. Jordan (drawn by T. Duncan),,2-6,,
9:31.0,T. Duncan misses free throw 1 of 2,,2-6,,
9:31.0,Offensive rebound by Team,,2-6,,
9:31.0,T. Duncan makes free throw 2 of 2,1,3-6,,
9:18.0,,,3-6,,M. Barnes misses 3-pt shot from 28 ft
9:17.0,Defensive rebound by K. Leonard,,3-6,,
9:14.0,Shooting foul by M. Barnes (drawn by K. Leonard),,3-6,,
9:14.0,K. Leonard makes free throw 1 of 2,1,4-6,,
9:14.0,K. Leonard makes free throw 2 of 2,1,5-6,,
8:49.0,,,5-8,2,B. Griffin makes 2-pt shot from 21 ft
8:39.0,K. Leonard misses 2-pt shot from 10 ft,,5-8,,
8:37.0,Offensive rebound by T. Splitter,,5-8,,
8:33.0,D. Green misses 3-pt shot from 26 ft,,5-8,,
8:32.0,,,5-8,,Defensive rebound by D. Jordan
8:17.0,,,5-10,2,J. Redick makes 2-pt shot from 10 ft (assist by B. Griffin)
8:09.0,,,5-10,,Personal foul by M. Barnes (drawn by T. Splitter)
7:58.0,T. Splitter misses 2-pt shot from 3 ft (block by M. Barnes),,5-10,,
7:57.0,,,5-10,,Defensive rebound by Team
7:45.0,,,5-12,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
7:45.0,San Antonio full timeout,,5-12,,
7:45.0,B. Diaw enters the game for T. Splitter,,5-12,,
7:31.0,Turnover by T. Parker (bad pass; steal by C. Paul),,5-12,,
7:22.0,,,5-12,,D. Jordan misses 2-pt shot from 5 ft
7:19.0,Defensive rebound by B. Diaw,,5-12,,
7:06.0,K. Leonard makes 2-pt shot from 12 ft (assist by D. Green),2,7-12,,
6:48.0,,,7-14,2,B. Griffin makes 2-pt shot from 5 ft (assist by C. Paul)
6:30.0,T. Parker makes 2-pt shot from 6 ft,2,9-14,,
6:09.0,,,9-14,,J. Redick misses 2-pt shot from 12 ft
6:07.0,Defensive rebound by T. Duncan,,9-14,,
5:54.0,D. Green misses 3-pt shot from 26 ft,,9-14,,
5:53.0,,,9-14,,Defensive rebound by B. Griffin
5:45.0,,,9-14,,M. Barnes misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by T. Duncan,,9-14,,
5:30.0,T. Duncan misses 2-pt shot from 4 ft,,9-14,,
5:29.0,,,9-14,,Defensive rebound by D. Jordan
5:26.0,,,9-16,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
5:08.0,D. Green misses 2-pt shot from 7 ft,,9-16,,
5:07.0,,,9-16,,Defensive rebound by B. Griffin
5:01.0,,,9-16,,J. Redick misses 2-pt shot from 11 ft
5:00.0,Defensive rebound by K. Leonard,,9-16,,
4:53.0,T. Duncan misses 2-pt shot from 9 ft,,9-16,,
4:51.0,Offensive rebound by T. Duncan,,9-16,,
4:48.0,T. Duncan makes 2-pt shot from 2 ft,2,11-16,,
4:48.0,,,11-16,,LA Clippers full timeout
4:48.0,,,11-16,,J. Crawford enters the game for M. Barnes
4:48.0,P. Mills enters the game for T. Parker,,11-16,,
4:48.0,M. Ginobili enters the game for D. Green,,11-16,,
4:35.0,Personal foul by P. Mills (drawn by C. Paul),,11-16,,
4:28.0,,,11-16,,C. Paul misses 2-pt shot from 17 ft
4:27.0,Defensive rebound by T. Duncan,,11-16,,
4:09.0,T. Duncan makes 2-pt shot from 12 ft,2,13-16,,
3:55.0,Def 3 sec tech foul by T. Duncan,,13-16,,
3:55.0,,,13-17,1,J. Redick makes technical free throw
3:47.0,,,13-17,,C. Paul misses 2-pt shot from 13 ft
3:46.0,Defensive rebound by B. Diaw,,13-17,,
3:39.0,M. Ginobili misses 3-pt shot from 24 ft,,13-17,,
3:38.0,,,13-17,,Defensive rebound by B. Griffin
3:32.0,,,13-19,2,D. Jordan makes 2-pt shot from 2 ft (assist by B. Griffin)
3:21.0,San Antonio full timeout,,13-19,,
3:21.0,,,13-19,,A. Rivers enters the game for J. Redick
3:14.0,Turnover by P. Mills (bad pass; steal by C. Paul),,13-19,,
