time,Chicago,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Len (E. Bledsoe gains possession),,,,Jump ball: P. Gasol vs. A. Len (E. Bledsoe gains possession)
11:43.0,,,0-0,,M. Morris misses 2-pt shot from 21 ft
11:42.0,Defensive rebound by J. Butler,,0-0,,
11:18.0,J. Butler misses 3-pt shot from 27 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by M. Morris
11:12.0,,,0-0,,P. Tucker misses 2-pt shot from 2 ft
11:11.0,,,0-0,,Offensive rebound by A. Len
11:11.0,,,0-2,2,A. Len makes 2-pt shot from 1 ft
10:56.0,D. Rose misses 3-pt shot from 24 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by A. Len
10:44.0,,,0-4,2,M. Morris makes 2-pt shot from 19 ft (assist by E. Bledsoe)
10:16.0,D. Rose misses 3-pt shot from 25 ft,,0-4,,
10:15.0,Offensive rebound by P. Gasol,,0-4,,
10:11.0,J. Butler makes 3-pt shot from 25 ft (assist by P. Gasol),3,3-4,,
9:53.0,,,3-6,2,G. Dragic makes 2-pt shot from 17 ft
9:30.0,J. Butler misses 2-pt shot from 1 ft,,3-6,,
9:30.0,,,3-6,,Defensive rebound by A. Len
9:22.0,,,3-6,,G. Dragic misses 3-pt shot from 23 ft
9:21.0,,,3-6,,Offensive rebound by M. Morris
9:19.0,,,3-6,,M. Morris misses 2-pt shot at rim (block by P. Gasol)
9:17.0,Defensive rebound by D. Rose,,3-6,,
9:03.0,P. Gasol makes 2-pt shot from 1 ft (assist by J. Noah),2,5-6,,
9:03.0,Shooting foul by M. Morris (drawn by P. Gasol),,5-6,,
9:03.0,P. Gasol misses free throw 1 of 1,,5-6,,
9:03.0,,,5-6,,Defensive rebound by P. Tucker
8:48.0,,,5-6,,Turnover by E. Bledsoe (bad pass; steal by T. Snell)
8:43.0,T. Snell makes 2-pt shot from 1 ft,2,7-6,,
8:26.0,,,7-6,,M. Morris misses 2-pt shot from 11 ft
8:25.0,Defensive rebound by T. Snell,,7-6,,
8:19.0,D. Rose makes 2-pt shot at rim,2,9-6,,
8:12.0,,,9-8,2,G. Dragic makes 2-pt shot from 1 ft
7:55.0,T. Snell misses 2-pt shot from 3 ft,,9-8,,
7:54.0,,,9-8,,Defensive rebound by E. Bledsoe
7:47.0,,,9-8,,G. Dragic misses 2-pt shot at rim
7:46.0,Defensive rebound by D. Rose,,9-8,,
7:34.0,J. Butler misses 2-pt shot from 10 ft,,9-8,,
7:33.0,Offensive rebound by P. Gasol,,9-8,,
7:31.0,P. Gasol makes 2-pt shot from 7 ft,2,11-8,,
7:12.0,,,11-8,,M. Morris misses 2-pt shot from 5 ft
7:10.0,Defensive rebound by P. Gasol,,11-8,,
6:57.0,D. Rose misses 2-pt shot from 8 ft,,11-8,,
6:56.0,Offensive rebound by D. Rose,,11-8,,
6:53.0,Turnover by D. Rose (lost ball; steal by G. Dragic),,11-8,,
6:49.0,,,11-10,2,G. Dragic makes 2-pt shot from 1 ft
6:26.0,P. Gasol misses 2-pt shot from 8 ft,,11-10,,
6:25.0,,,11-10,,Defensive rebound by P. Tucker
6:17.0,,,11-12,2,E. Bledsoe makes 2-pt shot at rim
6:01.0,,,11-12,,Personal foul by A. Len (drawn by P. Gasol)
5:48.0,P. Gasol makes 2-pt shot from 4 ft,2,13-12,,
5:36.0,,,13-12,,E. Bledsoe misses 2-pt shot from 18 ft
5:35.0,Defensive rebound by T. Snell,,13-12,,
5:27.0,D. Rose makes 2-pt shot from 1 ft (assist by T. Snell),2,15-12,,
5:18.0,,,15-12,,Phoenix full timeout
5:14.0,Personal foul by J. Noah (drawn by P. Tucker),,15-12,,
5:07.0,,,15-12,,M. Morris misses 3-pt shot from 24 ft
5:06.0,Defensive rebound by T. Snell,,15-12,,
4:44.0,Shooting foul by G. Dragic (drawn by P. Gasol),,15-12,,
4:44.0,P. Gasol misses free throw 1 of 2,,15-12,,
4:44.0,Offensive rebound by Team,,15-12,,
4:44.0,P. Gasol misses free throw 2 of 2,,15-12,,
4:43.0,,,15-12,,Defensive rebound by A. Len
4:27.0,,,15-12,,A. Len misses 2-pt shot from 1 ft
4:26.0,Defensive rebound by J. Noah,,15-12,,
4:12.0,D. Rose misses 2-pt shot from 1 ft (block by G. Dragic),,15-12,,
4:12.0,Offensive rebound by Team,,15-12,,
4:12.0,,,15-12,,I. Thomas enters the game for G. Dragic
4:12.0,T. Gibson enters the game for J. Noah,,15-12,,
4:02.0,J. Butler misses 2-pt shot from 17 ft,,15-12,,
4:01.0,,,15-12,,Defensive rebound by M. Morris
3:51.0,,,15-12,,Turnover by A. Len (traveling)
3:32.0,P. Gasol misses 2-pt shot from 13 ft,,15-12,,
3:31.0,,,15-12,,Defensive rebound by E. Bledsoe
