time,Denver,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. J. Nurkic (T. Lawson gains possession),,,,Jump ball: D. Jordan vs. J. Nurkic (T. Lawson gains possession)
11:34.0,W. Chandler makes 3-pt shot from 24 ft,3,3-0,,
11:18.0,,,3-0,,J. Redick misses 2-pt shot from 19 ft
11:17.0,Defensive rebound by W. Chandler,,3-0,,
11:03.0,W. Chandler makes 3-pt shot from 25 ft (assist by T. Lawson),3,6-0,,
10:47.0,,,6-0,,J. Redick misses 2-pt shot from 19 ft
10:45.0,,,6-0,,Offensive rebound by D. Jordan
10:40.0,,,6-0,,B. Griffin misses 2-pt shot from 2 ft
10:39.0,,,6-0,,Offensive rebound by B. Griffin
10:34.0,,,6-0,,B. Griffin misses 2-pt shot from 1 ft
10:31.0,Defensive rebound by J. Nurkic,,6-0,,
10:20.0,W. Chandler makes 2-pt shot from 6 ft,2,8-0,,
10:05.0,,,8-2,2,J. Redick makes 2-pt shot from 2 ft (assist by B. Griffin)
9:47.0,W. Chandler misses 3-pt shot from 22 ft (block by M. Barnes),,8-2,,
9:47.0,Offensive rebound by Team,,8-2,,
9:46.0,Turnover by W. Chandler (bad pass; steal by D. Jordan),,8-2,,
9:40.0,,,8-2,,D. Jordan misses 2-pt shot from 1 ft
9:37.0,Defensive rebound by J. Nurkic,,8-2,,
9:33.0,W. Chandler makes 2-pt shot at rim (assist by T. Lawson),2,10-2,,
9:17.0,,,10-5,3,M. Barnes makes 3-pt shot from 23 ft (assist by B. Griffin)
8:51.0,T. Lawson misses 2-pt shot from 2 ft,,10-5,,
8:49.0,,,10-5,,Defensive rebound by M. Barnes
8:45.0,,,10-5,,B. Griffin misses 2-pt shot from 2 ft (block by J. Nurkic)
8:45.0,,,10-5,,Offensive rebound by Team
8:42.0,,,10-5,,J. Redick misses 2-pt shot from 19 ft
8:41.0,Defensive rebound by W. Chandler,,10-5,,
8:15.0,A. Afflalo misses 2-pt shot from 19 ft,,10-5,,
8:14.0,,,10-5,,Defensive rebound by D. Jordan
8:06.0,,,10-5,,B. Griffin misses 2-pt shot from 21 ft
8:05.0,,,10-5,,Offensive rebound by D. Jordan
7:53.0,,,10-7,2,C. Paul makes 2-pt shot from 15 ft
7:30.0,W. Chandler misses 2-pt shot from 5 ft,,10-7,,
7:28.0,Offensive rebound by W. Chandler,,10-7,,
7:26.0,W. Chandler misses 2-pt shot at rim,,10-7,,
7:24.0,,,10-7,,Defensive rebound by B. Griffin
7:14.0,,,10-7,,Turnover by B. Griffin (bad pass; steal by A. Afflalo)
7:08.0,T. Lawson makes 2-pt shot from 1 ft (assist by A. Afflalo),2,12-7,,
6:46.0,,,12-7,,B. Griffin misses 2-pt shot from 16 ft
6:45.0,Defensive rebound by T. Lawson,,12-7,,
6:41.0,Turnover by T. Lawson (lost ball; steal by M. Barnes),,12-7,,
6:19.0,,,12-9,2,J. Redick makes 2-pt shot from 2 ft (assist by C. Paul)
6:08.0,Denver full timeout,,12-9,,
5:58.0,,,12-9,,Personal foul by D. Jordan (drawn by W. Chandler)
5:52.0,W. Chandler misses 2-pt shot from 2 ft (block by D. Jordan),,12-9,,
5:47.0,,,12-9,,Defensive rebound by B. Griffin
5:39.0,,,12-9,,M. Barnes misses 2-pt shot from 3 ft
5:39.0,,,12-9,,Offensive rebound by M. Barnes
5:39.0,,,12-9,,Shooting foul by J. Nurkic (drawn by M. Barnes)
5:39.0,,,12-10,1,M. Barnes makes free throw 1 of 2
5:39.0,,,12-11,1,M. Barnes makes free throw 2 of 2
5:29.0,T. Lawson makes 2-pt shot from 10 ft,2,14-11,,
5:14.0,,,14-11,,Turnover by B. Griffin (bad pass)
5:05.0,T. Lawson misses 2-pt shot from 14 ft,,14-11,,
5:01.0,,,14-11,,Defensive rebound by C. Paul
