time,Miami,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. J. Hill (D. Wade gains possession),,,,Jump ball: C. Bosh vs. J. Hill (D. Wade gains possession)
11:44.0,C. Andersen makes 2-pt shot at rim (assist by M. Chalmers),2,2-0,,
11:21.0,,,2-0,,K. Bryant misses 2-pt shot from 21 ft
11:20.0,Defensive rebound by C. Andersen,,2-0,,
11:06.0,C. Bosh misses 2-pt shot from 13 ft,,2-0,,
11:05.0,,,2-0,,Defensive rebound by W. Johnson
10:46.0,,,2-0,,J. Hill misses 2-pt shot from 2 ft
10:44.0,Defensive rebound by C. Bosh,,2-0,,
10:32.0,C. Andersen misses 2-pt shot from 5 ft,,2-0,,
10:31.0,,,2-0,,Defensive rebound by E. Davis
10:21.0,,,2-0,,W. Johnson misses 3-pt shot from 23 ft
10:19.0,Defensive rebound by L. Deng,,2-0,,
10:11.0,M. Chalmers misses 3-pt shot from 24 ft,,2-0,,
10:10.0,,,2-0,,Defensive rebound by E. Davis
9:59.0,,,2-0,,J. Hill misses 2-pt shot from 14 ft
9:58.0,Defensive rebound by M. Chalmers,,2-0,,
9:41.0,L. Deng makes 2-pt shot from 6 ft (assist by C. Bosh),2,4-0,,
9:27.0,,,4-0,,W. Johnson misses 2-pt shot from 21 ft
9:26.0,Defensive rebound by D. Wade,,4-0,,
9:15.0,C. Bosh makes 2-pt shot from 2 ft (assist by D. Wade),2,6-0,,
8:54.0,,,6-0,,Turnover by E. Davis (bad pass; steal by M. Chalmers)
8:49.0,C. Andersen makes 2-pt shot at rim (assist by M. Chalmers),2,8-0,,
8:32.0,,,8-0,,J. Hill misses 2-pt shot from 3 ft
8:30.0,Defensive rebound by C. Andersen,,8-0,,
8:20.0,C. Bosh misses 2-pt shot from 9 ft,,8-0,,
8:16.0,,,8-0,,Defensive rebound by R. Price
8:10.0,,,8-0,,W. Johnson misses 2-pt shot from 14 ft
8:07.0,Defensive rebound by D. Wade,,8-0,,
8:07.0,Turnover by D. Wade (bad pass),,8-0,,
8:07.0,H. Whiteside enters the game for C. Andersen,,8-0,,
8:00.0,,,8-0,,K. Bryant misses 2-pt shot from 19 ft
7:59.0,Defensive rebound by C. Bosh,,8-0,,
7:48.0,M. Chalmers misses 2-pt shot from 2 ft,,8-0,,
7:47.0,,,8-0,,Defensive rebound by K. Bryant
7:39.0,,,8-0,,R. Price misses 3-pt shot from 25 ft
7:38.0,Defensive rebound by H. Whiteside,,8-0,,
7:14.0,H. Whiteside makes 2-pt shot at rim (assist by M. Chalmers),2,10-0,,
7:03.0,,,10-0,,LA Lakers full timeout
7:03.0,N. Cole enters the game for M. Chalmers,,10-0,,
6:49.0,,,10-0,,Turnover by R. Price (bad pass; steal by C. Bosh)
6:44.0,N. Cole makes 2-pt shot from 1 ft (assist by D. Wade),2,12-0,,
6:25.0,,,12-0,,Shooting foul by H. Whiteside (drawn by J. Hill)
6:25.0,,,12-0,,J. Hill misses free throw 1 of 2
6:25.0,,,12-0,,Offensive rebound by Team
6:25.0,,,12-0,,J. Hill misses free throw 2 of 2
