time,LA Lakers,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. J. Hill (J. Lin gains possession),,,,Jump ball: D. Favors vs. J. Hill (J. Lin gains possession)
11:38.0,Turnover by J. Lin (lost ball; steal by J. Ingles),,0-0,,
11:32.0,,,0-2,2,E. Kanter makes 2-pt shot at rim (assist by T. Burke)
11:10.0,J. Hill misses 2-pt shot from 3 ft (block by D. Favors),,0-2,,
11:07.0,Offensive rebound by J. Hill,,0-2,,
11:07.0,J. Hill misses 2-pt shot from 4 ft,,0-2,,
11:05.0,,,0-2,,Defensive rebound by D. Favors
10:43.0,,,0-2,,D. Favors misses 2-pt shot from 17 ft
10:42.0,Defensive rebound by J. Hill,,0-2,,
10:17.0,J. Hill makes 2-pt shot from 18 ft,2,2-2,,
10:00.0,,,2-4,2,G. Hayward makes 2-pt shot at rim
10:00.0,,,2-4,,Shooting foul by W. Johnson (drawn by G. Hayward)
10:00.0,,,2-5,1,G. Hayward makes free throw 1 of 1
9:45.0,Turnover by J. Lin (bad pass; steal by E. Kanter),,2-5,,
9:41.0,,,2-7,2,G. Hayward makes 2-pt shot at rim (assist by J. Ingles)
9:19.0,W. Johnson misses 2-pt shot from 4 ft (block by D. Favors),,2-7,,
9:18.0,,,2-7,,Defensive rebound by J. Ingles
9:08.0,,,2-7,,Offensive foul by E. Kanter
9:08.0,,,2-7,,Turnover by E. Kanter (offensive foul)
8:51.0,W. Ellington makes 2-pt shot from 21 ft,2,4-7,,
8:34.0,,,4-7,,G. Hayward misses 2-pt shot from 1 ft (block by E. Davis)
8:32.0,,,4-7,,Offensive rebound by E. Kanter
8:32.0,,,4-7,,E. Kanter misses 2-pt shot from 1 ft
8:29.0,Defensive rebound by W. Johnson,,4-7,,
8:19.0,W. Johnson makes 2-pt shot from 3 ft (assist by W. Ellington),2,6-7,,
7:59.0,,,6-10,3,G. Hayward makes 3-pt shot from 24 ft (assist by D. Favors)
7:36.0,J. Hill misses 2-pt shot from 20 ft,,6-10,,
7:35.0,,,6-10,,Defensive rebound by T. Burke
7:20.0,,,6-10,,T. Burke misses 3-pt shot from 25 ft
7:18.0,Defensive rebound by J. Hill,,6-10,,
7:08.0,E. Davis misses 2-pt shot from 6 ft,,6-10,,
7:06.0,,,6-10,,Defensive rebound by D. Favors
6:52.0,,,6-10,,E. Kanter misses 2-pt shot from 11 ft
6:51.0,,,6-10,,Offensive rebound by D. Favors
6:51.0,,,6-10,,D. Favors misses 2-pt shot from 1 ft
6:47.0,Defensive rebound by J. Hill,,6-10,,
6:41.0,E. Davis makes 2-pt shot from 1 ft (assist by J. Lin),2,8-10,,
6:41.0,Shooting foul by J. Ingles (drawn by E. Davis),,8-10,,
6:41.0,E. Davis makes free throw 1 of 1,1,9-10,,
6:33.0,,,9-10,,G. Hayward misses 2-pt shot from 19 ft
6:31.0,Defensive rebound by J. Hill,,9-10,,
6:13.0,J. Hill makes 2-pt shot from 8 ft,2,11-10,,
6:08.0,,,11-10,,Utah full timeout
6:08.0,,,11-10,,R. Gobert enters the game for E. Kanter
5:56.0,,,11-12,2,D. Favors makes 2-pt shot at rim (assist by T. Burke)
5:39.0,Turnover by W. Johnson (bad pass),,11-12,,
5:30.0,,,11-14,2,T. Burke makes 2-pt shot from 22 ft
5:15.0,Turnover by J. Hill (bad pass),,11-14,,
4:56.0,,,11-14,,Turnover by G. Hayward (bad pass; steal by J. Lin)
4:50.0,Turnover by W. Johnson (bad pass; steal by J. Ingles),,11-14,,
4:41.0,,,11-16,2,D. Favors makes 2-pt shot from 1 ft
4:19.0,J. Hill misses 2-pt shot from 5 ft,,11-16,,
4:17.0,,,11-16,,Defensive rebound by T. Burke
4:11.0,,,11-16,,T. Burke misses 2-pt shot from 9 ft
4:10.0,Defensive rebound by W. Ellington,,11-16,,
4:03.0,Turnover by W. Ellington (bad pass; steal by J. Ingles),,11-16,,
4:00.0,,,11-16,,Shooting foul by J. Lin (drawn by T. Burke)
4:00.0,,,11-17,1,T. Burke makes free throw 1 of 2
4:00.0,C. Boozer enters the game for E. Davis,,11-17,,
4:00.0,T. Black enters the game for J. Hill,,11-17,,
4:00.0,N. Young enters the game for W. Ellington,,11-17,,
4:00.0,J. Clarkson enters the game for J. Lin,,11-17,,
4:00.0,,,11-17,,T. Booker enters the game for D. Favors
4:00.0,,,11-18,1,T. Burke makes free throw 2 of 2
3:41.0,C. Boozer misses 2-pt shot from 17 ft,,11-18,,
3:39.0,Offensive rebound by C. Boozer,,11-18,,
3:36.0,C. Boozer makes 2-pt shot from 6 ft,2,13-18,,
3:15.0,,,13-21,3,T. Burke makes 3-pt shot from 23 ft (assist by J. Ingles)
3:00.0,W. Johnson makes 3-pt shot from 24 ft (assist by J. Clarkson),3,16-21,,
2:51.0,,,16-21,,Utah full timeout
2:51.0,LA Lakers full timeout,,16-21,,
2:51.0,,,16-21,,R. Hood enters the game for J. Ingles
2:51.0,,,16-21,,D. Exum enters the game for T. Burke
2:42.0,,,16-24,3,G. Hayward makes 3-pt shot from 25 ft (assist by R. Gobert)
2:21.0,T. Black makes 2-pt shot from 3 ft,2,18-24,,
2:01.0,,,18-24,,R. Gobert misses 2-pt shot from 2 ft
2:00.0,Defensive rebound by C. Boozer,,18-24,,
1:55.0,J. Clarkson misses 2-pt shot from 3 ft,,18-24,,
1:54.0,,,18-24,,Defensive rebound by G. Hayward
1:50.0,,,18-24,,Offensive charge foul by R. Hood
1:50.0,,,18-24,,Turnover by R. Hood (offensive foul)
1:39.0,J. Clarkson misses 2-pt shot from 9 ft,,18-24,,
1:38.0,,,18-24,,Defensive rebound by R. Gobert
1:25.0,,,18-24,,T. Booker misses 2-pt shot from 2 ft
1:24.0,Defensive rebound by W. Johnson,,18-24,,
1:12.0,C. Boozer makes 2-pt shot from 16 ft,2,20-24,,
0:59.0,,,20-26,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
0:45.0,Shooting foul by R. Gobert (drawn by C. Boozer),,20-26,,
0:45.0,C. Boozer misses free throw 1 of 2,,20-26,,
0:45.0,Offensive rebound by Team,,20-26,,
0:45.0,C. Boozer makes free throw 2 of 2,1,21-26,,
