time,Phoenix,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:38.0,P. Tucker misses 2-pt shot from 6 ft,,0-0,,
12:00.0,Jump ball: T. Chandler vs. B. Wright (M. Morris gains possession),,,,Jump ball: T. Chandler vs. B. Wright (M. Morris gains possession)
11:37.0,,,0-0,,Defensive rebound by T. Chandler
11:20.0,,,0-2,2,R. Rondo makes 2-pt shot from 9 ft
10:59.0,P. Tucker misses 2-pt shot from 1 ft,,0-2,,
10:58.0,Offensive rebound by B. Wright,,0-2,,
10:46.0,B. Wright makes 2-pt shot from 14 ft (assist by P. Tucker),2,2-2,,
10:33.0,,,2-4,2,R. Rondo makes 2-pt shot from 1 ft
10:15.0,M. Morris misses 2-pt shot from 8 ft,,2-4,,
10:14.0,,,2-4,,Defensive rebound by T. Chandler
9:59.0,,,2-4,,D. Nowitzki misses 2-pt shot from 20 ft
9:58.0,Defensive rebound by M. Morris,,2-4,,
9:50.0,M. Morris makes 2-pt shot from 18 ft (assist by M. Morris),2,4-4,,
9:32.0,,,4-4,,R. Rondo misses 2-pt shot from 20 ft
9:31.0,Defensive rebound by E. Bledsoe,,4-4,,
9:23.0,P. Tucker misses 2-pt shot from 7 ft,,4-4,,
9:22.0,,,4-4,,Defensive rebound by T. Chandler
9:16.0,,,4-4,,M. Ellis misses 2-pt shot from 1 ft
9:15.0,Defensive rebound by M. Morris,,4-4,,
8:58.0,B. Wright misses 2-pt shot from 5 ft,,4-4,,
8:57.0,Offensive rebound by B. Wright,,4-4,,
8:56.0,B. Wright misses 2-pt shot from 8 ft,,4-4,,
8:55.0,,,4-4,,Defensive rebound by R. Jefferson
8:46.0,,,4-4,,Turnover by R. Jefferson (bad pass; steal by M. Morris)
8:45.0,,,4-4,,Personal foul by R. Jefferson (drawn by M. Morris)
8:37.0,M. Morris makes 2-pt shot at rim (assist by M. Morris),2,6-4,,
8:37.0,Shooting foul by D. Nowitzki (drawn by M. Morris),,6-4,,
8:37.0,M. Morris makes free throw 1 of 1,1,7-4,,
8:26.0,Personal foul by E. Bledsoe (drawn by R. Rondo),,7-4,,
8:12.0,,,7-4,,R. Jefferson misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by M. Morris,,7-4,,
7:52.0,P. Tucker misses 3-pt shot from 24 ft,,7-4,,
7:51.0,,,7-4,,Defensive rebound by T. Chandler
7:38.0,,,7-6,2,M. Ellis makes 2-pt shot at rim (assist by D. Nowitzki)
7:22.0,M. Morris misses 2-pt shot from 1 ft (block by T. Chandler),,7-6,,
7:21.0,,,7-6,,Defensive rebound by T. Chandler
7:15.0,,,7-6,,M. Ellis misses 2-pt shot at rim
7:13.0,Defensive rebound by B. Wright,,7-6,,
7:06.0,E. Bledsoe makes 3-pt shot from 23 ft,3,10-6,,
6:55.0,,,10-6,,Shooting foul by B. Wright (drawn by T. Chandler)
6:55.0,,,10-7,1,T. Chandler makes free throw 1 of 2
6:55.0,,,10-8,1,T. Chandler makes free throw 2 of 2
6:40.0,M. Morris makes 2-pt shot from 11 ft (assist by B. Wright),2,12-8,,
6:20.0,,,12-10,2,R. Jefferson makes 2-pt shot from 1 ft
6:06.0,,,12-10,,A. Aminu enters the game for D. Nowitzki
5:55.0,Shooting foul by A. Aminu (drawn by M. Morris),,12-10,,
5:55.0,,,12-10,,Dallas full timeout
5:55.0,,,12-10,,A. Stoudemire enters the game for T. Chandler
5:55.0,G. Green enters the game for M. Morris,,12-10,,
5:55.0,M. Morris makes free throw 1 of 2,1,13-10,,
5:55.0,M. Morris makes free throw 2 of 2,1,14-10,,
5:44.0,,,14-12,2,R. Rondo makes 2-pt shot at rim (assist by A. Aminu)
5:25.0,M. Morris makes 2-pt shot at rim,2,16-12,,
4:57.0,,,16-12,,M. Ellis misses 3-pt shot from 26 ft
4:56.0,Defensive rebound by M. Morris,,16-12,,
4:47.0,Offensive foul by M. Morris,,16-12,,
4:47.0,Turnover by M. Morris (offensive foul),,16-12,,
4:47.0,T. Warren enters the game for M. Morris,,16-12,,
4:47.0,,,16-12,,D. Harris enters the game for R. Rondo
4:33.0,,,16-12,,Shooting foul by T. Warren (drawn by A. Aminu)
4:33.0,,,16-12,,A. Aminu misses free throw 1 of 2
4:33.0,,,16-12,,Offensive rebound by Team
4:33.0,,,16-13,1,A. Aminu makes free throw 2 of 2
4:17.0,G. Green makes 3-pt shot from 26 ft (assist by T. Warren),3,19-13,,
4:06.0,,,19-13,,R. Jefferson misses 2-pt shot from 8 ft
4:05.0,Defensive rebound by P. Tucker,,19-13,,
3:55.0,G. Green misses 3-pt shot from 22 ft,,19-13,,
3:54.0,,,19-13,,Defensive rebound by A. Stoudemire
3:49.0,,,19-15,2,D. Harris makes 2-pt shot from 1 ft
3:32.0,G. Green makes 2-pt shot from 1 ft,2,21-15,,
3:32.0,Shooting foul by M. Ellis (drawn by G. Green),,21-15,,
3:32.0,G. Green makes free throw 1 of 1,1,22-15,,
3:24.0,Personal block foul by E. Bledsoe (drawn by D. Harris),,22-15,,
3:24.0,A. Goodwin enters the game for E. Bledsoe,,22-15,,
3:18.0,,,22-15,,A. Stoudemire misses 2-pt shot from 17 ft
3:17.0,,,22-15,,Offensive rebound by A. Aminu
3:15.0,,,22-15,,Offensive foul by A. Aminu
3:15.0,,,22-15,,Turnover by A. Aminu (offensive foul)
3:15.0,,,22-15,,J. Barea enters the game for A. Aminu
2:53.0,Turnover by A. Goodwin (lost ball; steal by D. Harris),,22-15,,
2:47.0,,,22-17,2,M. Ellis makes 2-pt shot at rim
2:38.0,Turnover by P. Tucker (offensive foul),,22-17,,
2:38.0,Offensive foul by P. Tucker,,22-17,,
2:38.0,Phoenix full timeout,,22-17,,
2:38.0,,,22-17,,D. Nowitzki enters the game for R. Jefferson
2:23.0,Personal foul by P. Tucker (drawn by A. Stoudemire),,22-17,,
2:23.0,,,22-18,1,A. Stoudemire makes free throw 1 of 2
2:23.0,M. Morris enters the game for P. Tucker,,22-18,,
2:23.0,,,22-19,1,A. Stoudemire makes free throw 2 of 2
2:10.0,G. Green makes 2-pt shot at rim (assist by B. Wright),2,24-19,,
2:01.0,,,24-21,2,D. Harris makes 2-pt shot at rim (assist by J. Barea)
1:45.0,G. Green makes 2-pt shot from 9 ft (assist by M. Morris),2,26-21,,
1:31.0,,,26-23,2,A. Stoudemire makes 2-pt shot from 4 ft (assist by M. Ellis)
1:15.0,T. Warren misses 2-pt shot from 7 ft,,26-23,,
1:14.0,,,26-23,,Defensive rebound by D. Nowitzki
1:04.0,,,26-23,,M. Ellis misses 3-pt shot from 22 ft
1:03.0,Defensive rebound by T. Warren,,26-23,,
0:59.0,G. Green makes 3-pt shot from 24 ft (assist by T. Warren),3,29-23,,
0:38.0,,,29-25,2,D. Nowitzki makes 2-pt shot from 6 ft
0:23.0,,,29-25,,Personal block foul by A. Stoudemire (drawn by T. Warren)
0:23.0,T. Warren misses free throw 1 of 2,,29-25,,
0:23.0,Offensive rebound by Team,,29-25,,
0:23.0,,,29-25,,R. Jefferson enters the game for M. Ellis
0:23.0,M. Morris enters the game for G. Green,,29-25,,
0:23.0,T. Warren makes free throw 2 of 2,1,30-25,,
0:05.0,,,30-27,2,A. Stoudemire makes 2-pt shot at rim (assist by J. Barea)
0:00.0,A. Goodwin misses 3-pt shot from 29 ft,,30-27,,
0:00.0,Offensive rebound by Team,,30-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Shooting block foul by M. Morris (drawn by D. Harris),,30-27,,
11:47.0,,,30-27,,D. Harris misses free throw 1 of 2
11:47.0,,,30-27,,Offensive rebound by Team
11:47.0,,,30-28,1,D. Harris makes free throw 2 of 2
11:32.0,M. Morris misses 2-pt shot from 4 ft,,30-28,,
11:31.0,Offensive rebound by M. Morris,,30-28,,
