time,Toronto,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Thompson vs. J. Valanciunas (B. McLemore gains possession),,,,Jump ball: J. Thompson vs. J. Valanciunas (B. McLemore gains possession)
11:37.0,,,0-0,,D. Collison misses 2-pt shot from 4 ft
11:36.0,Defensive rebound by T. Ross,,0-0,,
11:24.0,G. Vasquez misses 3-pt shot from 25 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by D. Collison
11:19.0,,,0-0,,D. Collison misses 2-pt shot from 1 ft (block by K. Lowry)
11:18.0,Defensive rebound by J. Valanciunas,,0-0,,
11:12.0,K. Lowry makes 2-pt shot from 3 ft,2,2-0,,
10:52.0,,,2-0,,R. Hollins misses 2-pt shot from 13 ft
10:51.0,,,2-0,,Offensive rebound by J. Thompson
10:51.0,,,2-0,,J. Thompson misses 2-pt shot at rim
10:50.0,Defensive rebound by G. Vasquez,,2-0,,
10:40.0,Turnover by K. Lowry (lost ball; steal by D. Collison),,2-0,,
10:32.0,,,2-0,,Turnover by R. Gay (bad pass)
10:16.0,Shooting foul by R. Hollins (drawn by J. Valanciunas),,2-0,,
10:16.0,J. Valanciunas makes free throw 1 of 2,1,3-0,,
10:16.0,J. Valanciunas misses free throw 2 of 2,,3-0,,
10:14.0,,,3-0,,Defensive rebound by R. Hollins
9:53.0,,,3-0,,B. McLemore misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by G. Vasquez,,3-0,,
9:45.0,K. Lowry makes 3-pt shot from 24 ft (assist by G. Vasquez),3,6-0,,
9:21.0,,,6-2,2,R. Hollins makes 2-pt shot from 2 ft (assist by R. Gay)
8:54.0,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry),3,9-2,,
8:44.0,,,9-2,,B. McLemore misses 2-pt shot from 20 ft
8:43.0,Defensive rebound by J. Valanciunas,,9-2,,
8:33.0,Turnover by J. Valanciunas (lost ball; steal by D. Collison),,9-2,,
8:29.0,,,9-2,,Turnover by B. McLemore (step out of bounds)
8:13.0,Shooting foul by J. Thompson (drawn by J. Valanciunas),,9-2,,
8:13.0,J. Valanciunas makes free throw 1 of 2,1,10-2,,
8:13.0,J. Valanciunas makes free throw 2 of 2,1,11-2,,
7:52.0,,,11-2,,B. McLemore misses 2-pt shot from 7 ft
7:52.0,,,11-2,,Offensive rebound by R. Gay
7:52.0,,,11-2,,R. Gay misses 2-pt shot at rim
7:49.0,Defensive rebound by J. Valanciunas,,11-2,,
7:33.0,Turnover by J. Valanciunas (3 sec),,11-2,,
7:23.0,,,11-4,2,J. Thompson makes 2-pt shot from 19 ft (assist by D. Collison)
7:04.0,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry),3,14-4,,
6:50.0,,,14-4,,R. Gay misses 2-pt shot from 7 ft
6:49.0,Defensive rebound by A. Johnson,,14-4,,
6:41.0,K. Lowry makes 2-pt shot from 6 ft,2,16-4,,
6:41.0,,,16-4,,Sacramento full timeout
6:28.0,,,16-6,2,B. McLemore makes 2-pt shot from 18 ft (assist by R. Gay)
6:13.0,T. Ross makes 2-pt shot from 12 ft (assist by G. Vasquez),2,18-6,,
5:59.0,,,18-6,,R. Gay misses 2-pt shot from 14 ft
5:58.0,Defensive rebound by A. Johnson,,18-6,,
5:50.0,K. Lowry misses 3-pt shot from 26 ft,,18-6,,
5:50.0,,,18-6,,Defensive rebound by R. Gay
5:41.0,,,18-6,,Turnover by R. Gay (bad pass; steal by K. Lowry)
5:35.0,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry),3,21-6,,
5:22.0,,,21-6,,Shooting foul by T. Ross (drawn by D. Collison)
5:22.0,,,21-7,1,D. Collison makes free throw 1 of 2
5:22.0,,,21-7,,O. Casspi enters the game for R. Hollins
5:22.0,,,21-8,1,D. Collison makes free throw 2 of 2
5:06.0,T. Ross misses 2-pt shot from 7 ft (block by R. Gay),,21-8,,
5:04.0,,,21-8,,Defensive rebound by J. Thompson
5:03.0,,,21-8,,Shooting foul by G. Vasquez (drawn by O. Casspi)
5:03.0,,,21-9,1,O. Casspi makes free throw 1 of 2
5:03.0,P. Patterson enters the game for J. Valanciunas,,21-9,,
5:03.0,,,21-10,1,O. Casspi makes free throw 2 of 2
4:41.0,T. Ross misses 3-pt shot from 26 ft,,21-10,,
4:40.0,Offensive rebound by P. Patterson,,21-10,,
4:40.0,P. Patterson misses 2-pt shot from 1 ft,,21-10,,
4:40.0,Offensive rebound by Team,,21-10,,
