time,Dallas,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. P. Gasol (D. Nowitzki gains possession),,,,Jump ball: T. Chandler vs. P. Gasol (D. Nowitzki gains possession)
11:47.0,D. Nowitzki misses 2-pt shot from 15 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by P. Gasol
11:22.0,,,0-0,,D. Rose misses 3-pt shot from 25 ft
11:20.0,,,0-0,,Offensive rebound by P. Gasol
11:12.0,,,0-0,,Turnover by D. Rose (bad pass)
11:02.0,C. Parsons makes 2-pt shot from 19 ft,2,2-0,,
10:34.0,,,2-0,,D. Rose misses 2-pt shot from 17 ft
10:33.0,,,2-0,,Offensive rebound by Team
10:23.0,,,2-2,2,J. Butler makes 2-pt shot from 1 ft
10:14.0,M. Ellis misses 2-pt shot from 9 ft (block by J. Noah),,2-2,,
10:13.0,,,2-2,,Defensive rebound by M. Dunleavy
10:05.0,,,2-5,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by J. Butler)
9:44.0,J. Nelson makes 3-pt shot from 24 ft (assist by M. Ellis),3,5-5,,
9:20.0,,,5-5,,J. Noah misses 2-pt shot from 3 ft
9:20.0,,,5-5,,Offensive rebound by Team
9:10.0,,,5-5,,J. Butler misses 2-pt shot from 14 ft
9:09.0,,,5-5,,Offensive rebound by J. Noah
9:06.0,,,5-5,,M. Dunleavy misses 3-pt shot from 24 ft
9:04.0,Defensive rebound by Team,,5-5,,
8:51.0,C. Parsons makes 2-pt shot from 4 ft,2,7-5,,
8:44.0,,,7-5,,D. Rose misses 2-pt shot from 4 ft
8:43.0,,,7-5,,Offensive rebound by J. Noah
8:40.0,,,7-5,,P. Gasol misses 2-pt shot from 19 ft
8:40.0,,,7-5,,Offensive rebound by Team
8:40.0,Loose ball foul by D. Nowitzki (drawn by J. Noah),,7-5,,
8:33.0,,,7-5,,Turnover by J. Butler (lost ball; steal by T. Chandler)
8:28.0,M. Ellis misses 2-pt shot from 2 ft,,7-5,,
8:26.0,Offensive rebound by J. Nelson,,7-5,,
8:26.0,M. Ellis misses 2-pt shot from 2 ft,,7-5,,
8:24.0,Offensive rebound by J. Nelson,,7-5,,
8:17.0,C. Parsons misses 2-pt shot from 6 ft,,7-5,,
8:16.0,,,7-5,,Defensive rebound by J. Noah
8:11.0,,,7-7,2,P. Gasol makes 2-pt shot from 1 ft (assist by J. Noah)
7:55.0,D. Nowitzki misses 2-pt shot from 11 ft,,7-7,,
7:55.0,Offensive rebound by Team,,7-7,,
7:55.0,,,7-7,,Loose ball foul by J. Butler (drawn by D. Nowitzki)
7:50.0,M. Ellis misses 2-pt shot from 18 ft,,7-7,,
7:49.0,,,7-7,,Defensive rebound by D. Rose
7:38.0,,,7-9,2,J. Noah makes 2-pt shot from 20 ft (assist by J. Butler)
7:26.0,C. Parsons makes 3-pt shot from 24 ft (assist by J. Nelson),3,10-9,,
7:10.0,,,10-9,,J. Butler misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by C. Parsons,,10-9,,
7:02.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by C. Parsons),3,13-9,,
6:46.0,,,13-9,,Shooting foul by T. Chandler (drawn by D. Rose)
6:46.0,,,13-10,1,D. Rose makes free throw 1 of 2
6:46.0,,,13-10,,D. Rose misses free throw 2 of 2
6:44.0,Defensive rebound by C. Parsons,,13-10,,
6:34.0,D. Nowitzki misses 2-pt shot from 17 ft (block by J. Noah),,13-10,,
6:32.0,,,13-10,,Defensive rebound by P. Gasol
6:28.0,,,13-12,2,J. Butler makes 2-pt shot from 3 ft (assist by M. Dunleavy)
6:13.0,D. Nowitzki misses 2-pt shot from 20 ft,,13-12,,
6:11.0,Offensive rebound by T. Chandler,,13-12,,
6:00.0,M. Ellis makes 2-pt shot from 17 ft (assist by C. Parsons),2,15-12,,
5:48.0,,,15-12,,M. Dunleavy misses 2-pt shot from 3 ft
5:47.0,Defensive rebound by T. Chandler,,15-12,,
5:39.0,D. Nowitzki misses 3-pt shot from 25 ft,,15-12,,
5:37.0,,,15-12,,Defensive rebound by M. Dunleavy
