time,New York,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Dalembert vs. A. Horford (S. Larkin gains possession),,,,Jump ball: S. Dalembert vs. A. Horford (S. Larkin gains possession)
11:40.0,C. Anthony makes 3-pt shot from 25 ft (assist by I. Shumpert),3,3-0,,
11:17.0,,,3-0,,P. Millsap misses 2-pt shot from 5 ft
11:14.0,Defensive rebound by S. Dalembert,,3-0,,
10:54.0,S. Dalembert misses 2-pt shot from 19 ft,,3-0,,
10:52.0,,,3-0,,Defensive rebound by D. Carroll
10:36.0,,,3-2,2,A. Horford makes 2-pt shot from 13 ft (assist by P. Millsap)
10:20.0,S. Larkin misses 3-pt shot from 23 ft,,3-2,,
10:19.0,,,3-2,,Defensive rebound by K. Korver
10:06.0,,,3-5,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
10:00.0,Offensive charge foul by T. Hardaway,,3-5,,
10:00.0,Turnover by T. Hardaway (offensive foul),,3-5,,
9:47.0,,,3-5,,K. Korver misses 2-pt shot from 18 ft
9:46.0,Defensive rebound by C. Anthony,,3-5,,
9:25.0,C. Anthony misses 2-pt shot from 19 ft,,3-5,,
9:23.0,Offensive rebound by S. Dalembert,,3-5,,
9:16.0,I. Shumpert makes 2-pt shot from 18 ft,2,5-5,,
8:55.0,,,5-5,,D. Carroll misses 3-pt shot from 24 ft
8:53.0,Defensive rebound by C. Anthony,,5-5,,
8:43.0,C. Anthony makes 2-pt shot from 4 ft (assist by T. Hardaway),2,7-5,,
8:23.0,,,7-5,,K. Korver misses 2-pt shot from 16 ft
8:19.0,Defensive rebound by T. Hardaway,,7-5,,
8:00.0,T. Hardaway makes 3-pt shot from 26 ft (assist by I. Shumpert),3,10-5,,
8:00.0,Shooting foul by J. Teague (drawn by T. Hardaway),,10-5,,
8:00.0,T. Hardaway misses free throw 1 of 1,,10-5,,
7:58.0,,,10-5,,Defensive rebound by D. Carroll
7:51.0,,,10-5,,J. Teague misses 2-pt shot from 3 ft
7:50.0,Defensive rebound by S. Dalembert,,10-5,,
7:43.0,Turnover by C. Anthony (bad pass; steal by J. Teague),,10-5,,
7:40.0,,,10-5,,Shooting foul by S. Larkin (drawn by J. Teague)
7:40.0,,,10-6,1,J. Teague makes free throw 1 of 2
7:40.0,,,10-7,1,J. Teague makes free throw 2 of 2
7:19.0,S. Dalembert makes 2-pt shot at rim (assist by I. Shumpert),2,12-7,,
7:01.0,,,12-7,,P. Millsap misses 2-pt shot from 1 ft
6:59.0,Defensive rebound by C. Anthony,,12-7,,
6:48.0,S. Larkin makes 3-pt shot from 26 ft,3,15-7,,
6:40.0,,,15-7,,P. Millsap misses 2-pt shot from 1 ft (block by C. Anthony)
6:38.0,,,15-7,,Offensive rebound by J. Teague
6:34.0,,,15-7,,J. Teague misses 2-pt shot from 4 ft
6:31.0,Defensive rebound by I. Shumpert,,15-7,,
6:19.0,T. Hardaway makes 2-pt shot from 2 ft (assist by S. Dalembert),2,17-7,,
6:18.0,,,17-7,,Atlanta full timeout
6:18.0,,,17-7,,P. Antic enters the game for A. Horford
6:09.0,,,17-7,,Offensive foul by P. Millsap
6:09.0,,,17-7,,Turnover by P. Millsap (offensive foul)
5:58.0,I. Shumpert makes 2-pt shot at rim (assist by C. Anthony),2,19-7,,
5:46.0,,,19-9,2,J. Teague makes 2-pt shot from 5 ft
5:46.0,,,19-9,,Shooting foul by S. Larkin (drawn by J. Teague)
5:46.0,,,19-9,,M. Scott enters the game for P. Millsap
5:46.0,J. Smith enters the game for S. Larkin,,19-9,,
5:46.0,,,19-10,1,J. Teague makes free throw 1 of 1
5:35.0,T. Hardaway misses 2-pt shot from 7 ft (block by K. Korver),,19-10,,
5:33.0,Offensive rebound by C. Anthony,,19-10,,
5:30.0,C. Anthony misses 3-pt shot from 25 ft,,19-10,,
5:29.0,,,19-10,,Defensive rebound by D. Carroll
5:20.0,,,19-10,,Shooting foul by S. Dalembert (drawn by J. Teague)
5:20.0,,,19-10,,J. Teague misses free throw 1 of 2
5:20.0,,,19-10,,Offensive rebound by Team
5:20.0,,,19-10,,J. Teague misses free throw 2 of 2
5:18.0,Defensive rebound by C. Anthony,,19-10,,
5:08.0,,,19-10,,D. Schroder enters the game for J. Teague
4:59.0,C. Anthony makes 2-pt shot at rim,2,21-10,,
4:52.0,Personal foul by T. Hardaway (drawn by K. Korver),,21-10,,
4:43.0,Personal foul by I. Shumpert (drawn by D. Schroder),,21-10,,
4:43.0,,,21-11,1,D. Schroder makes free throw 1 of 2
4:43.0,C. Early enters the game for T. Hardaway,,21-11,,
4:43.0,,,21-11,,T. Sefolosha enters the game for K. Korver
4:43.0,,,21-12,1,D. Schroder makes free throw 2 of 2
4:29.0,Turnover by I. Shumpert (lost ball; steal by D. Schroder),,21-12,,
4:18.0,,,21-12,,P. Antic misses 3-pt shot from 22 ft
4:17.0,,,21-12,,Offensive rebound by Team
4:17.0,Loose ball foul by C. Anthony (drawn by T. Sefolosha),,21-12,,
4:17.0,,,21-13,1,T. Sefolosha makes free throw 1 of 2
4:17.0,J. Smith enters the game for S. Dalembert,,21-13,,
4:17.0,,,21-14,1,T. Sefolosha makes free throw 2 of 2
3:50.0,C. Anthony misses 2-pt shot from 2 ft,,21-14,,
3:49.0,,,21-14,,Defensive rebound by D. Schroder
3:44.0,,,21-14,,T. Sefolosha misses 2-pt shot from 1 ft
3:42.0,,,21-14,,Offensive rebound by M. Scott
3:42.0,,,21-14,,M. Scott misses 2-pt shot at rim
3:41.0,,,21-14,,Offensive rebound by D. Carroll
3:28.0,,,21-16,2,D. Schroder makes 2-pt shot from 1 ft
3:23.0,New York full timeout,,21-16,,
3:16.0,Turnover by I. Shumpert (bad pass; steal by D. Schroder),,21-16,,
3:11.0,,,21-16,,D. Carroll misses 3-pt shot from 25 ft
3:10.0,,,21-16,,Offensive rebound by P. Antic
3:09.0,,,21-16,,P. Antic misses 2-pt shot at rim (block by J. Smith)
3:09.0,,,21-16,,Offensive rebound by Team
3:09.0,A. Stoudemire enters the game for C. Early,,21-16,,
3:00.0,,,21-16,,M. Scott misses 2-pt shot from 13 ft
2:58.0,Defensive rebound by C. Anthony,,21-16,,
2:44.0,J. Smith misses 2-pt shot from 18 ft,,21-16,,
2:43.0,Offensive rebound by C. Anthony,,21-16,,
2:41.0,C. Anthony misses 2-pt shot from 6 ft,,21-16,,
2:39.0,Offensive rebound by A. Stoudemire,,21-16,,
2:37.0,A. Stoudemire makes 2-pt shot at rim,2,23-16,,
2:15.0,,,23-18,2,M. Scott makes 2-pt shot from 19 ft
2:01.0,C. Anthony makes 2-pt shot from 21 ft (assist by A. Stoudemire),2,25-18,,
2:01.0,Shooting foul by T. Sefolosha (drawn by C. Anthony),,25-18,,
2:01.0,C. Anthony makes free throw 1 of 1,1,26-18,,
1:48.0,,,26-20,2,M. Scott makes 2-pt shot from 19 ft
