time,Sacramento,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. M. Gortat (J. Wall gains possession),,,,Jump ball: D. Cousins vs. M. Gortat (J. Wall gains possession)
11:43.0,,,0-0,,Turnover by D. Gooden (bad pass; steal by B. McLemore)
11:40.0,Shooting foul by D. Gooden (drawn by B. McLemore),,0-0,,
11:40.0,B. McLemore makes free throw 1 of 2,1,1-0,,
11:40.0,B. McLemore makes free throw 2 of 2,1,2-0,,
11:25.0,,,2-0,,D. Gooden misses 2-pt shot from 19 ft
11:24.0,Defensive rebound by R. McCallum,,2-0,,
11:17.0,Turnover by O. Casspi (lost ball; steal by D. Gooden),,2-0,,
11:06.0,,,2-2,2,M. Gortat makes 2-pt shot from 6 ft
10:44.0,D. Cousins makes 2-pt shot from 20 ft,2,4-2,,
10:31.0,,,4-2,,B. Beal misses 2-pt shot from 20 ft
10:30.0,Defensive rebound by R. McCallum,,4-2,,
10:19.0,D. Cousins makes 2-pt shot from 21 ft (assist by R. McCallum),2,6-2,,
9:58.0,,,6-2,,P. Pierce misses 3-pt shot from 24 ft
9:57.0,,,6-2,,Offensive rebound by M. Gortat
9:52.0,,,6-4,2,M. Gortat makes 2-pt shot from 9 ft
9:38.0,D. Cousins makes 2-pt shot from 22 ft (assist by R. McCallum),2,8-4,,
9:12.0,,,8-4,,M. Gortat misses 2-pt shot from 10 ft
9:11.0,Defensive rebound by B. McLemore,,8-4,,
9:05.0,B. McLemore misses 3-pt shot from 25 ft,,8-4,,
9:03.0,,,8-4,,Defensive rebound by D. Gooden
8:51.0,Violation by B. McLemore (kicked ball),,8-4,,
8:46.0,,,8-4,,B. Beal misses 2-pt shot from 17 ft
8:45.0,,,8-4,,Offensive rebound by D. Gooden
8:42.0,Personal foul by D. Cousins (drawn by D. Gooden),,8-4,,
8:28.0,,,8-4,,D. Gooden misses 3-pt shot from 25 ft
8:27.0,,,8-4,,Offensive rebound by B. Beal
8:25.0,,,8-6,2,B. Beal makes 2-pt shot at rim
8:07.0,D. Cousins misses 2-pt shot from 18 ft,,8-6,,
8:06.0,,,8-6,,Defensive rebound by J. Wall
8:03.0,,,8-6,,Turnover by J. Wall (bad pass)
7:42.0,C. Landry makes 2-pt shot from 8 ft (assist by D. Cousins),2,10-6,,
7:20.0,,,10-9,3,P. Pierce makes 3-pt shot from 25 ft (assist by B. Beal)
7:02.0,D. Cousins makes 2-pt shot at rim (assist by O. Casspi),2,12-9,,
6:46.0,,,12-9,,J. Wall misses 2-pt shot from 19 ft
6:45.0,,,12-9,,Offensive rebound by D. Gooden
6:40.0,,,12-9,,D. Gooden misses 2-pt shot from 4 ft
6:39.0,Defensive rebound by D. Cousins,,12-9,,
6:30.0,B. McLemore misses 3-pt shot from 24 ft,,12-9,,
6:29.0,,,12-9,,Defensive rebound by Team
6:29.0,Personal foul by C. Landry (drawn by M. Gortat),,12-9,,
6:21.0,,,12-11,2,J. Wall makes 2-pt shot at rim
6:02.0,D. Cousins misses 2-pt shot from 6 ft,,12-11,,
6:01.0,,,12-11,,Defensive rebound by D. Gooden
5:53.0,,,12-11,,P. Pierce misses 3-pt shot from 22 ft
5:52.0,Defensive rebound by B. McLemore,,12-11,,
5:49.0,Turnover by R. McCallum (step out of bounds),,12-11,,
5:49.0,,,12-11,,Washington full timeout
5:32.0,,,12-11,,B. Beal misses 3-pt shot from 26 ft
5:30.0,Defensive rebound by O. Casspi,,12-11,,
5:19.0,,,12-11,,Personal foul by M. Gortat (drawn by D. Cousins)
5:14.0,O. Casspi misses 2-pt shot from 10 ft,,12-11,,
5:13.0,Offensive rebound by C. Landry,,12-11,,
5:11.0,C. Landry misses 2-pt shot from 2 ft,,12-11,,
5:10.0,,,12-11,,Defensive rebound by D. Gooden
4:58.0,,,12-11,,Shooting foul by D. Cousins (drawn by M. Gortat)
4:58.0,,,12-11,,M. Gortat misses free throw 1 of 2
4:58.0,,,12-11,,Offensive rebound by Team
4:58.0,,,12-11,,K. Seraphin enters the game for D. Gooden
4:58.0,J. Thompson enters the game for D. Cousins,,12-11,,
4:58.0,A. Miller enters the game for R. McCallum,,12-11,,
4:58.0,,,12-12,1,M. Gortat makes free throw 2 of 2
4:33.0,Shooting foul by J. Wall (drawn by A. Miller),,12-12,,
4:33.0,A. Miller makes free throw 1 of 2,1,13-12,,
4:33.0,A. Miller makes free throw 2 of 2,1,14-12,,
4:18.0,,,14-12,,Turnover by P. Pierce (traveling)
4:18.0,D. Williams enters the game for O. Casspi,,14-12,,
4:05.0,A. Miller misses 2-pt shot from 15 ft,,14-12,,
4:04.0,,,14-12,,Defensive rebound by P. Pierce
3:55.0,,,14-12,,P. Pierce misses 2-pt shot from 11 ft
3:54.0,Defensive rebound by J. Thompson,,14-12,,
3:49.0,B. McLemore makes 2-pt shot at rim (assist by A. Miller),2,16-12,,
3:30.0,,,16-12,,B. Beal misses 2-pt shot from 21 ft
3:30.0,Defensive rebound by Team,,16-12,,
3:30.0,,,16-12,,R. Butler enters the game for P. Pierce
3:30.0,,,16-12,,O. Porter enters the game for B. Beal
3:10.0,B. McLemore misses 2-pt shot from 10 ft,,16-12,,
3:08.0,,,16-12,,Defensive rebound by M. Gortat
2:59.0,,,16-14,2,J. Wall makes 2-pt shot from 2 ft
2:47.0,B. McLemore misses 2-pt shot from 17 ft,,16-14,,
2:46.0,,,16-14,,Defensive rebound by K. Seraphin
2:38.0,,,16-14,,R. Butler misses 3-pt shot from 25 ft
2:37.0,Defensive rebound by D. Williams,,16-14,,
2:21.0,C. Landry makes 2-pt shot from 1 ft (assist by A. Miller),2,18-14,,
1:59.0,,,18-16,2,R. Butler makes 2-pt shot from 12 ft
1:53.0,C. Landry makes 2-pt shot at rim (assist by A. Miller),2,20-16,,
1:42.0,,,20-16,,Offensive foul by K. Seraphin
1:42.0,,,20-16,,Turnover by K. Seraphin (offensive foul)
