time,Brooklyn,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. M. Plumlee (J. Jack gains possession),,,,Jump ball: P. Gasol vs. M. Plumlee (J. Jack gains possession)
11:54.0,B. Lopez makes 2-pt shot from 10 ft (assist by J. Johnson),2,2-0,,
11:32.0,,,2-0,,P. Gasol misses 2-pt shot from 12 ft
11:31.0,Defensive rebound by B. Lopez,,2-0,,
11:24.0,S. Karasev misses 2-pt shot from 2 ft (block by J. Butler),,2-0,,
11:23.0,,,2-0,,Defensive rebound by D. Rose
11:10.0,,,2-0,,J. Butler misses 3-pt shot from 24 ft
11:09.0,Defensive rebound by Team,,2-0,,
10:48.0,J. Johnson makes 2-pt shot from 11 ft,2,4-0,,
10:24.0,,,4-0,,D. Rose misses 3-pt shot from 24 ft
10:23.0,,,4-0,,Offensive rebound by Team
10:17.0,Loose ball foul by M. Plumlee (drawn by J. Noah),,4-0,,
10:17.0,,,4-2,2,M. Dunleavy makes 2-pt shot from 20 ft (assist by D. Rose)
10:01.0,B. Lopez misses 2-pt shot from 16 ft,,4-2,,
10:00.0,,,4-2,,Defensive rebound by P. Gasol
9:54.0,,,4-4,2,J. Noah makes 2-pt shot from 1 ft (assist by D. Rose)
9:39.0,B. Lopez misses 2-pt shot from 1 ft,,4-4,,
9:38.0,Offensive rebound by M. Plumlee,,4-4,,
9:38.0,M. Plumlee makes 2-pt shot from 1 ft,2,6-4,,
9:19.0,,,6-7,3,M. Dunleavy makes 3-pt shot from 25 ft
9:09.0,Turnover by J. Johnson (lost ball; steal by J. Noah),,6-7,,
9:05.0,,,6-9,2,P. Gasol makes 2-pt shot at rim (assist by D. Rose)
8:53.0,Brooklyn full timeout,,6-9,,
8:44.0,B. Lopez makes 2-pt shot from 1 ft,2,8-9,,
8:32.0,,,8-9,,Turnover by D. Rose (lost ball; steal by M. Plumlee)
8:17.0,S. Karasev misses 2-pt shot from 3 ft,,8-9,,
8:15.0,,,8-9,,Defensive rebound by M. Dunleavy
8:05.0,,,8-9,,M. Dunleavy misses 3-pt shot from 26 ft
8:04.0,Defensive rebound by M. Plumlee,,8-9,,
7:42.0,J. Jack misses 2-pt shot from 11 ft,,8-9,,
7:42.0,,,8-9,,Defensive rebound by J. Noah
7:26.0,,,8-11,2,J. Butler makes 2-pt shot from 16 ft
