time,Detroit,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Duncan (T. Parker gains possession),,,,Jump ball: A. Drummond vs. T. Duncan (T. Parker gains possession)
11:47.0,,,0-3,3,M. Belinelli makes 3-pt shot from 24 ft (assist by T. Parker)
11:32.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,0-3,,
11:31.0,,,0-3,,Defensive rebound by M. Belinelli
11:23.0,,,0-3,,T. Splitter misses 2-pt shot from 1 ft
11:22.0,,,0-3,,Offensive rebound by T. Splitter
11:15.0,,,0-3,,D. Green misses 2-pt shot from 8 ft
11:13.0,,,0-3,,Offensive rebound by T. Splitter
11:13.0,,,0-3,,T. Splitter misses 2-pt shot at rim
11:12.0,,,0-3,,Offensive rebound by D. Green
11:12.0,,,0-5,2,D. Green makes 2-pt shot at rim
10:52.0,G. Monroe makes 2-pt shot from 5 ft (assist by B. Jennings),2,2-5,,
10:28.0,,,2-5,,M. Belinelli misses 3-pt shot from 23 ft
10:27.0,Defensive rebound by G. Monroe,,2-5,,
10:21.0,B. Jennings makes 2-pt shot from 14 ft,2,4-5,,
10:08.0,,,4-5,,Shooting foul by G. Monroe (drawn by T. Duncan)
10:08.0,,,4-5,,T. Duncan misses free throw 1 of 2
10:08.0,,,4-5,,Offensive rebound by Team
10:08.0,,,4-6,1,T. Duncan makes free throw 2 of 2
9:51.0,G. Monroe makes 2-pt shot from 8 ft,2,6-6,,
9:34.0,,,6-8,2,T. Duncan makes 2-pt shot from 6 ft (assist by M. Belinelli)
9:22.0,A. Drummond makes 2-pt shot at rim (assist by B. Jennings),2,8-8,,
9:11.0,,,8-10,2,T. Duncan makes 2-pt shot from 3 ft (assist by T. Splitter)
8:54.0,B. Jennings misses 2-pt shot from 13 ft,,8-10,,
8:53.0,,,8-10,,Defensive rebound by T. Splitter
8:35.0,,,8-10,,T. Splitter misses 2-pt shot from 1 ft
8:34.0,,,8-10,,Offensive rebound by Team
8:32.0,,,8-12,2,D. Green makes 2-pt shot from 1 ft (assist by T. Splitter)
8:16.0,K. Caldwell-Pope misses 2-pt shot from 1 ft (block by T. Duncan),,8-12,,
8:14.0,,,8-12,,Defensive rebound by T. Splitter
7:55.0,,,8-14,2,T. Duncan makes 2-pt shot from 18 ft (assist by D. Green)
7:35.0,G. Monroe makes 2-pt shot at rim,2,10-14,,
7:10.0,,,10-14,,M. Belinelli misses 3-pt shot from 31 ft
7:07.0,Defensive rebound by A. Drummond,,10-14,,
7:01.0,Turnover by B. Jennings (lost ball; steal by T. Splitter),,10-14,,
6:58.0,,,10-14,,Turnover by T. Splitter (lost ball; steal by K. Singler)
6:49.0,B. Jennings misses 3-pt shot from 25 ft,,10-14,,
6:48.0,,,10-14,,Defensive rebound by T. Duncan
6:39.0,,,10-14,,T. Duncan misses 2-pt shot from 2 ft
6:39.0,,,10-14,,Offensive rebound by Team
6:39.0,,,10-14,,P. Mills enters the game for D. Green
6:39.0,,,10-14,,M. Ginobili enters the game for T. Duncan
6:39.0,,,10-14,,B. Diaw enters the game for T. Splitter
6:39.0,,,10-14,,J. Ayres enters the game for M. Belinelli
6:39.0,,,10-14,,C. Joseph enters the game for T. Parker
6:35.0,,,10-14,,J. Ayres misses 2-pt shot from 10 ft
6:34.0,Defensive rebound by A. Drummond,,10-14,,
6:15.0,Turnover by K. Caldwell-Pope (lost ball; steal by M. Ginobili),,10-14,,
6:10.0,,,10-16,2,P. Mills makes 2-pt shot at rim (assist by M. Ginobili)
5:48.0,G. Monroe misses 2-pt shot from 4 ft,,10-16,,
5:47.0,Offensive rebound by G. Monroe,,10-16,,
5:46.0,Shooting foul by C. Joseph (drawn by G. Monroe),,10-16,,
5:46.0,,,10-16,,San Antonio full timeout
5:46.0,G. Monroe makes free throw 1 of 2,1,11-16,,
5:46.0,G. Monroe makes free throw 2 of 2,1,12-16,,
5:31.0,,,12-16,,P. Mills misses 2-pt shot from 16 ft
5:29.0,,,12-16,,Offensive rebound by B. Diaw
5:23.0,,,12-16,,M. Ginobili misses 2-pt shot from 1 ft
5:22.0,,,12-16,,Offensive rebound by J. Ayres
5:22.0,,,12-18,2,J. Ayres makes 2-pt shot from 1 ft
4:55.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,12-18,,
4:53.0,Offensive rebound by G. Monroe,,12-18,,
4:50.0,A. Drummond makes 2-pt shot at rim (assist by G. Monroe),2,14-18,,
4:32.0,,,14-18,,P. Mills misses 2-pt shot from 2 ft (block by B. Jennings)
4:30.0,Defensive rebound by G. Monroe,,14-18,,
4:28.0,,,14-18,,Personal foul by J. Ayres (drawn by G. Monroe)
4:28.0,J. Meeks enters the game for K. Singler,,14-18,,
4:28.0,J. Jerebko enters the game for A. Drummond,,14-18,,
4:28.0,Turnover by B. Jennings (lost ball),,14-18,,
4:21.0,,,14-18,,Shooting foul by J. Jerebko (drawn by J. Ayres)
4:21.0,,,14-19,1,J. Ayres makes free throw 1 of 2
4:21.0,,,14-20,1,J. Ayres makes free throw 2 of 2
4:07.0,B. Jennings misses 2-pt shot from 17 ft,,14-20,,
4:06.0,Offensive rebound by G. Monroe,,14-20,,
4:04.0,Turnover by G. Monroe (lost ball; steal by P. Mills),,14-20,,
3:58.0,,,14-20,,Turnover by C. Joseph (traveling)
3:44.0,G. Monroe makes 2-pt shot from 17 ft (assist by J. Meeks),2,16-20,,
3:27.0,,,16-23,3,M. Ginobili makes 3-pt shot from 24 ft
3:14.0,J. Meeks misses 2-pt shot from 20 ft,,16-23,,
3:13.0,,,16-23,,Defensive rebound by M. Ginobili
3:06.0,Shooting block foul by G. Monroe (drawn by B. Diaw),,16-23,,
3:06.0,,,16-24,1,B. Diaw makes free throw 1 of 2
3:06.0,A. Drummond enters the game for G. Monroe,,16-24,,
3:06.0,,,16-25,1,B. Diaw makes free throw 2 of 2
2:52.0,J. Meeks misses 2-pt shot from 21 ft,,16-25,,
2:51.0,,,16-25,,Defensive rebound by Team
2:50.0,Detroit full timeout,,16-25,,
2:41.0,,,16-27,2,J. Ayres makes 2-pt shot from 2 ft (assist by M. Ginobili)
2:41.0,,,16-27,,Shooting foul by A. Drummond (drawn by J. Ayres)
2:41.0,,,16-28,1,J. Ayres makes free throw 1 of 1
2:25.0,A. Drummond makes 2-pt shot at rim (assist by B. Jennings),2,18-28,,
2:05.0,,,18-30,2,J. Ayres makes 2-pt shot at rim (assist by M. Ginobili)
1:52.0,Shooting foul by P. Mills (drawn by B. Jennings),,18-30,,
1:52.0,B. Jennings makes free throw 1 of 2,1,19-30,,
1:52.0,,,19-30,,T. Parker enters the game for J. Ayres
1:52.0,,,19-30,,M. Belinelli enters the game for B. Diaw
1:52.0,,,19-30,,T. Duncan enters the game for M. Ginobili
1:52.0,,,19-30,,T. Splitter enters the game for C. Joseph
1:52.0,,,19-30,,D. Green enters the game for P. Mills
1:52.0,B. Jennings makes free throw 2 of 2,1,20-30,,
1:34.0,Personal foul by B. Jennings (drawn by T. Parker),,20-30,,
1:34.0,,,20-31,1,T. Parker makes free throw 1 of 2
1:34.0,D. Augustin enters the game for B. Jennings,,20-31,,
1:34.0,,,20-31,,T. Parker misses free throw 2 of 2
1:33.0,,,20-31,,Offensive rebound by T. Duncan
1:33.0,,,20-33,2,T. Duncan makes 2-pt shot at rim
1:15.0,D. Augustin misses 2-pt shot from 6 ft,,20-33,,
1:13.0,,,20-33,,Defensive rebound by M. Belinelli
1:07.0,,,20-33,,T. Parker misses 2-pt shot from 20 ft
1:06.0,,,20-33,,Offensive rebound by Team
0:56.0,,,20-35,2,T. Splitter makes 2-pt shot from 4 ft (assist by T. Parker)
0:43.0,Turnover by A. Drummond (bad pass),,20-35,,
0:22.0,,,20-37,2,T. Splitter makes 2-pt shot from 5 ft (assist by T. Duncan)
0:05.0,Shooting foul by T. Parker (drawn by A. Drummond),,20-37,,
0:05.0,A. Drummond misses free throw 1 of 2,,20-37,,
0:05.0,Offensive rebound by Team,,20-37,,
0:05.0,,,20-37,,M. Bonner enters the game for T. Splitter
0:05.0,A. Drummond misses free throw 2 of 2,,20-37,,
0:04.0,,,20-37,,Defensive rebound by T. Duncan
0:01.0,,,20-37,,T. Duncan misses 3-pt shot from 49 ft
0:00.0,Defensive rebound by J. Jerebko,,20-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,D. Augustin makes 2-pt shot from 2 ft,2,22-37,,
11:49.0,,,22-37,,Shooting block foul by T. Parker (drawn by D. Augustin)
11:49.0,D. Augustin makes free throw 1 of 1,1,23-37,,
11:42.0,Shooting block foul by D. Augustin (drawn by T. Parker),,23-37,,
11:42.0,,,23-38,1,T. Parker makes free throw 1 of 2
11:42.0,,,23-39,1,T. Parker makes free throw 2 of 2
11:26.0,C. Butler misses 3-pt shot from 25 ft,,23-39,,
11:25.0,,,23-39,,Defensive rebound by D. Green
11:21.0,,,23-39,,Turnover by T. Parker (bad pass)
11:05.0,Turnover by D. Augustin (lost ball; steal by D. Green),,23-39,,
10:59.0,,,23-39,,D. Green misses 2-pt shot from 1 ft
10:58.0,Defensive rebound by J. Jerebko,,23-39,,
