time,Orlando,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. N. Vucevic (M. Williams gains possession),,,,Jump ball: A. Jefferson vs. N. Vucevic (M. Williams gains possession)
11:37.0,,,0-0,,L. Stephenson misses 2-pt shot from 17 ft
11:36.0,Defensive rebound by N. Vucevic,,0-0,,
11:25.0,N. Vucevic makes 2-pt shot from 9 ft (assist by V. Oladipo),2,2-0,,
11:17.0,Personal foul by C. Frye (drawn by A. Jefferson),,2-0,,
11:09.0,,,2-3,3,M. Williams makes 3-pt shot from 25 ft (assist by L. Stephenson)
10:44.0,N. Vucevic misses 2-pt shot from 17 ft,,2-3,,
10:43.0,,,2-3,,Defensive rebound by A. Jefferson
10:35.0,,,2-5,2,A. Jefferson makes 2-pt shot at rim (assist by K. Walker)
10:19.0,V. Oladipo misses 2-pt shot from 18 ft,,2-5,,
10:18.0,,,2-5,,Defensive rebound by M. Williams
10:04.0,,,2-7,2,K. Walker makes 2-pt shot from 1 ft
9:51.0,V. Oladipo misses 2-pt shot from 18 ft,,2-7,,
9:50.0,,,2-7,,Defensive rebound by K. Walker
9:41.0,,,2-7,,M. Williams misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by T. Harris,,2-7,,
9:30.0,Turnover by T. Harris (bad pass),,2-7,,
9:30.0,Loose ball foul by C. Frye (drawn by K. Walker),,2-7,,
9:30.0,A. Nicholson enters the game for C. Frye,,2-7,,
9:14.0,,,2-7,,A. Jefferson misses 2-pt shot from 15 ft
9:12.0,Defensive rebound by T. Harris,,2-7,,
9:01.0,Turnover by N. Vucevic (bad pass),,2-7,,
8:47.0,,,2-7,,M. Williams misses 3-pt shot from 24 ft
8:46.0,Defensive rebound by E. Fournier,,2-7,,
8:40.0,E. Fournier makes 2-pt shot from 2 ft,2,4-7,,
8:40.0,Shooting foul by A. Jefferson (drawn by E. Fournier),,4-7,,
8:40.0,E. Fournier makes free throw 1 of 1,1,5-7,,
8:25.0,,,5-9,2,A. Jefferson makes 2-pt shot at rim (assist by K. Walker)
8:18.0,Orlando full timeout,,5-9,,
8:05.0,T. Harris misses 2-pt shot from 7 ft,,5-9,,
8:04.0,Offensive rebound by T. Harris,,5-9,,
7:55.0,V. Oladipo makes 2-pt shot from 7 ft,2,7-9,,
7:34.0,,,7-11,2,A. Jefferson makes 2-pt shot from 6 ft
7:16.0,N. Vucevic makes 2-pt shot from 8 ft,2,9-11,,
7:04.0,,,9-11,,L. Stephenson misses 3-pt shot from 26 ft
7:03.0,Defensive rebound by T. Harris,,9-11,,
6:50.0,N. Vucevic misses 2-pt shot from 7 ft,,9-11,,
6:49.0,,,9-11,,Defensive rebound by A. Jefferson
6:38.0,,,9-14,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
6:20.0,Shooting foul by G. Henderson (drawn by E. Fournier),,9-14,,
6:20.0,E. Fournier makes free throw 1 of 2,1,10-14,,
6:20.0,M. Harkless enters the game for A. Nicholson,,10-14,,
6:20.0,E. Fournier makes free throw 2 of 2,1,11-14,,
6:02.0,,,11-16,2,A. Jefferson makes 2-pt shot from 17 ft (assist by G. Henderson)
5:42.0,E. Fournier misses 3-pt shot from 25 ft,,11-16,,
5:41.0,,,11-16,,Defensive rebound by K. Walker
5:29.0,,,11-16,,G. Henderson misses 2-pt shot from 6 ft
5:28.0,Defensive rebound by T. Harris,,11-16,,
5:20.0,T. Harris makes 2-pt shot from 1 ft,2,13-16,,
5:09.0,,,13-16,,Turnover by K. Walker (lost ball; steal by V. Oladipo)
4:59.0,T. Harris misses 3-pt shot from 24 ft,,13-16,,
4:58.0,,,13-16,,Defensive rebound by L. Stephenson
4:50.0,,,13-16,,L. Stephenson misses 2-pt shot from 20 ft
4:49.0,Defensive rebound by N. Vucevic,,13-16,,
4:39.0,,,13-16,,C. Zeller enters the game for M. Williams
4:23.0,V. Oladipo makes 2-pt shot from 16 ft,2,15-16,,
4:11.0,,,15-16,,K. Walker misses 2-pt shot from 14 ft
4:10.0,Defensive rebound by N. Vucevic,,15-16,,
4:00.0,Shooting foul by A. Jefferson (drawn by V. Oladipo),,15-16,,
4:00.0,V. Oladipo makes free throw 1 of 2,1,16-16,,
4:00.0,,,16-16,,B. Biyombo enters the game for A. Jefferson
4:00.0,,,16-16,,G. Neal enters the game for G. Henderson
4:00.0,E. Payton enters the game for E. Fournier,,16-16,,
4:00.0,V. Oladipo makes free throw 2 of 2,1,17-16,,
3:46.0,,,17-18,2,G. Neal makes 2-pt shot from 15 ft (assist by L. Stephenson)
3:28.0,N. Vucevic makes 2-pt shot from 6 ft (assist by E. Payton),2,19-18,,
3:12.0,,,19-18,,C. Zeller misses 2-pt shot from 17 ft
3:11.0,Defensive rebound by T. Harris,,19-18,,
3:03.0,T. Harris misses 2-pt shot from 4 ft (block by B. Biyombo),,19-18,,
3:01.0,,,19-18,,Defensive rebound by L. Stephenson
2:57.0,,,19-20,2,L. Stephenson makes 2-pt shot from 10 ft
2:38.0,V. Oladipo misses 3-pt shot from 25 ft,,19-20,,
2:37.0,,,19-20,,Defensive rebound by B. Biyombo
2:26.0,,,19-22,2,C. Zeller makes 2-pt shot from 2 ft (assist by L. Stephenson)
2:19.0,Orlando full timeout,,19-22,,
2:19.0,,,19-22,,Charlotte full timeout
2:19.0,C. Frye enters the game for N. Vucevic,,19-22,,
2:19.0,,,19-22,,B. Roberts enters the game for K. Walker
2:11.0,Turnover by V. Oladipo (lost ball; steal by B. Roberts),,19-22,,
1:54.0,,,19-22,,C. Zeller misses 2-pt shot from 19 ft
1:53.0,Defensive rebound by T. Harris,,19-22,,
1:29.0,C. Frye misses 3-pt shot from 25 ft,,19-22,,
1:27.0,Offensive rebound by M. Harkless,,19-22,,
1:10.0,V. Oladipo makes 2-pt shot from 1 ft,2,21-22,,
0:54.0,,,21-24,2,B. Roberts makes 2-pt shot from 20 ft (assist by C. Zeller)
0:44.0,Shooting foul by B. Roberts (drawn by T. Harris),,21-24,,
0:44.0,T. Harris makes free throw 1 of 2,1,22-24,,
0:44.0,L. Ridnour enters the game for V. Oladipo,,22-24,,
0:44.0,T. Harris makes free throw 2 of 2,1,23-24,,
0:34.0,,,23-27,3,L. Stephenson makes 3-pt shot from 25 ft (assist by B. Roberts)
0:18.0,E. Payton makes 2-pt shot from 2 ft,2,25-27,,
0:02.0,,,25-27,,Turnover by L. Stephenson (bad pass)
0:01.0,Shooting foul by B. Biyombo (drawn by E. Payton),,25-27,,
0:01.0,E. Payton makes free throw 1 of 2,1,26-27,,
0:01.0,D. Dedmon enters the game for T. Harris,,26-27,,
0:01.0,E. Payton misses free throw 2 of 2,,26-27,,
0:00.0,,,26-27,,Defensive rebound by B. Biyombo
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Shooting foul by L. Stephenson (drawn by E. Fournier),,26-27,,
11:50.0,E. Fournier misses free throw 1 of 2,,26-27,,
11:50.0,Offensive rebound by Team,,26-27,,
11:50.0,E. Fournier misses free throw 2 of 2,,26-27,,
11:49.0,,,26-27,,Defensive rebound by Team
11:37.0,,,26-27,,Shooting foul by L. Ridnour (drawn by C. Zeller)
11:37.0,,,26-28,1,C. Zeller makes free throw 1 of 2
11:37.0,,,26-28,,C. Zeller misses free throw 2 of 2
11:35.0,Defensive rebound by D. Dedmon,,26-28,,
11:21.0,Turnover by E. Fournier (lost ball),,26-28,,
10:59.0,,,26-30,2,B. Roberts makes 2-pt shot from 19 ft (assist by C. Zeller)
10:53.0,,,26-30,,Personal foul by C. Zeller (drawn by L. Ridnour)
10:53.0,,,26-30,,Charlotte full timeout
10:41.0,E. Fournier misses 2-pt shot from 1 ft (block by B. Biyombo),,26-30,,
10:40.0,,,26-30,,Defensive rebound by C. Zeller
10:34.0,,,26-30,,G. Neal misses 3-pt shot from 27 ft
10:32.0,Defensive rebound by E. Payton,,26-30,,
10:24.0,C. Frye misses 3-pt shot from 26 ft,,26-30,,
10:23.0,,,26-30,,Defensive rebound by C. Zeller
10:13.0,,,26-30,,C. Zeller misses 2-pt shot from 2 ft
10:11.0,,,26-30,,Offensive rebound by C. Zeller
10:08.0,,,26-30,,B. Biyombo misses 2-pt shot from 1 ft
10:07.0,Defensive rebound by L. Ridnour,,26-30,,
9:59.0,L. Ridnour makes 2-pt shot from 18 ft,2,28-30,,
9:37.0,,,28-30,,G. Neal misses 2-pt shot from 18 ft
9:37.0,,,28-30,,Offensive rebound by Team
9:37.0,Loose ball foul by L. Ridnour (drawn by C. Zeller),,28-30,,
9:32.0,,,28-30,,Offensive foul by B. Biyombo
9:32.0,,,28-30,,Turnover by B. Biyombo (offensive foul)
9:20.0,C. Frye misses 2-pt shot from 1 ft (block by B. Biyombo),,28-30,,
9:17.0,,,28-30,,Defensive rebound by C. Zeller
9:11.0,,,28-32,2,L. Stephenson makes 2-pt shot from 1 ft
8:57.0,,,28-32,,Personal foul by L. Stephenson (drawn by E. Fournier)
8:57.0,Official timeout,,28-32,,
8:57.0,,,28-32,,G. Henderson enters the game for L. Stephenson
8:46.0,D. Dedmon misses 2-pt shot from 2 ft (block by C. Zeller),,28-32,,
8:44.0,,,28-32,,Defensive rebound by B. Roberts
8:25.0,,,28-34,2,B. Biyombo makes 2-pt shot from 1 ft (assist by G. Neal)
8:11.0,E. Payton misses 2-pt shot from 10 ft,,28-34,,
8:10.0,Offensive rebound by Team,,28-34,,
8:10.0,V. Oladipo enters the game for E. Payton,,28-34,,
8:10.0,,,28-34,,M. Williams enters the game for C. Zeller
8:10.0,T. Harris enters the game for D. Dedmon,,28-34,,
8:10.0,N. Vucevic enters the game for C. Frye,,28-34,,
8:10.0,,,28-34,,A. Jefferson enters the game for B. Biyombo
8:02.0,E. Fournier makes 2-pt shot from 2 ft,2,30-34,,
7:50.0,,,30-34,,Shooting foul by V. Oladipo (drawn by G. Neal)
7:50.0,,,30-35,1,G. Neal makes free throw 1 of 2
7:50.0,,,30-36,1,G. Neal makes free throw 2 of 2
7:37.0,E. Fournier makes 2-pt shot from 1 ft,2,32-36,,
7:22.0,Personal foul by E. Fournier (drawn by G. Henderson),,32-36,,
7:08.0,,,32-38,2,G. Henderson makes 2-pt shot from 15 ft
6:50.0,N. Vucevic misses 2-pt shot from 17 ft,,32-38,,
6:50.0,,,32-38,,Defensive rebound by Team
6:29.0,,,32-38,,B. Roberts misses 3-pt shot from 23 ft
6:28.0,Defensive rebound by Team,,32-38,,
6:11.0,N. Vucevic misses 2-pt shot from 10 ft,,32-38,,
6:10.0,,,32-38,,Defensive rebound by A. Jefferson
5:51.0,,,32-40,2,A. Jefferson makes 2-pt shot from 9 ft
5:47.0,Orlando full timeout,,32-40,,
5:47.0,M. Harkless enters the game for L. Ridnour,,32-40,,
5:47.0,,,32-40,,K. Walker enters the game for B. Roberts
5:35.0,Turnover by N. Vucevic (offensive foul),,32-40,,
5:35.0,Offensive foul by N. Vucevic,,32-40,,
5:18.0,,,32-40,,A. Jefferson misses 2-pt shot from 17 ft
5:17.0,Defensive rebound by T. Harris,,32-40,,
4:58.0,T. Harris misses 2-pt shot from 14 ft,,32-40,,
4:58.0,,,32-40,,Defensive rebound by Team
4:58.0,Loose ball foul by E. Fournier (drawn by G. Neal),,32-40,,
4:58.0,,,32-41,1,G. Neal makes free throw 1 of 2
4:58.0,,,32-42,1,G. Neal makes free throw 2 of 2
4:41.0,N. Vucevic misses 2-pt shot from 7 ft,,32-42,,
4:38.0,,,32-42,,Defensive rebound by A. Jefferson
4:26.0,,,32-42,,A. Jefferson misses 2-pt shot from 7 ft
4:25.0,Defensive rebound by T. Harris,,32-42,,
4:18.0,T. Harris misses 2-pt shot from 7 ft,,32-42,,
4:17.0,Offensive rebound by Team,,32-42,,
4:17.0,,,32-42,,Loose ball foul by K. Walker (drawn by V. Oladipo)
4:17.0,,,32-42,,L. Stephenson enters the game for G. Neal
3:58.0,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Fournier),2,34-42,,
3:39.0,,,34-44,2,A. Jefferson makes 2-pt shot from 11 ft (assist by K. Walker)
3:23.0,Shooting foul by G. Henderson (drawn by E. Fournier),,34-44,,
3:23.0,E. Fournier makes free throw 1 of 2,1,35-44,,
3:23.0,E. Fournier makes free throw 2 of 2,1,36-44,,
3:05.0,,,36-44,,Turnover by K. Walker (lost ball)
2:42.0,T. Harris misses 2-pt shot from 17 ft,,36-44,,
2:41.0,,,36-44,,Defensive rebound by A. Jefferson
2:32.0,,,36-44,,L. Stephenson misses 2-pt shot from 21 ft
2:29.0,,,36-44,,Offensive rebound by A. Jefferson
2:29.0,,,36-46,2,A. Jefferson makes 2-pt shot from 6 ft
2:06.0,N. Vucevic makes 2-pt shot from 8 ft,2,38-46,,
1:46.0,,,38-46,,L. Stephenson misses 2-pt shot from 8 ft
1:43.0,Defensive rebound by N. Vucevic,,38-46,,
1:41.0,E. Fournier misses 2-pt shot at rim,,38-46,,
1:39.0,,,38-46,,Defensive rebound by K. Walker
1:36.0,,,38-46,,Shooting foul by T. Harris (drawn by G. Henderson)
1:36.0,,,38-46,,Charlotte full timeout
1:36.0,C. Frye enters the game for M. Harkless,,38-46,,
1:36.0,,,38-46,,B. Biyombo enters the game for A. Jefferson
1:36.0,,,38-46,,G. Neal enters the game for L. Stephenson
1:36.0,,,38-46,,G. Henderson misses free throw 1 of 2
1:36.0,,,38-46,,Offensive rebound by Team
1:36.0,,,38-47,1,G. Henderson makes free throw 2 of 2
1:20.0,T. Harris misses 2-pt shot from 7 ft (block by B. Biyombo),,38-47,,
1:18.0,,,38-47,,Defensive rebound by B. Biyombo
1:04.0,,,38-49,2,G. Neal makes 2-pt shot from 17 ft
0:42.0,Turnover by E. Fournier (bad pass; steal by B. Biyombo),,38-49,,
0:32.0,,,38-49,,Shooting foul by N. Vucevic (drawn by B. Biyombo)
0:32.0,,,38-49,,B. Biyombo misses free throw 1 of 2
0:32.0,,,38-49,,Offensive rebound by Team
0:32.0,,,38-49,,B. Biyombo misses free throw 2 of 2
0:31.0,Defensive rebound by T. Harris,,38-49,,
0:23.0,,,38-49,,Personal foul by M. Williams (drawn by C. Frye)
0:23.0,C. Frye makes free throw 1 of 2,1,39-49,,
0:23.0,M. Harkless enters the game for N. Vucevic,,39-49,,
0:23.0,C. Frye makes free throw 2 of 2,1,40-49,,
0:01.0,,,40-51,2,K. Walker makes 2-pt shot from 2 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,N. Vucevic misses 2-pt shot from 5 ft,,40-51,,
11:38.0,,,40-51,,Defensive rebound by A. Jefferson
11:26.0,,,40-51,,M. Williams misses 2-pt shot from 21 ft
11:26.0,,,40-51,,Offensive rebound by A. Jefferson
11:26.0,,,40-53,2,A. Jefferson makes 2-pt shot at rim
11:26.0,,,40-53,,Shooting foul by N. Vucevic (drawn by A. Jefferson)
11:26.0,,,40-53,,A. Jefferson misses free throw 1 of 1
11:24.0,Defensive rebound by N. Vucevic,,40-53,,
11:07.0,T. Harris misses 3-pt shot from 26 ft,,40-53,,
11:06.0,,,40-53,,Defensive rebound by K. Walker
10:57.0,,,40-55,2,L. Stephenson makes 2-pt shot from 17 ft
10:45.0,V. Oladipo misses 2-pt shot from 8 ft,,40-55,,
10:43.0,,,40-55,,Defensive rebound by K. Walker
