time,Brooklyn,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. A. Varejao (J. Johnson gains possession),,,,Jump ball: M. Plumlee vs. A. Varejao (J. Johnson gains possession)
11:36.0,K. Garnett makes 2-pt shot from 11 ft,2,2-0,,
11:18.0,,,2-0,,K. Irving misses 3-pt shot from 24 ft
11:17.0,Defensive rebound by K. Garnett,,2-0,,
11:09.0,D. Williams misses 2-pt shot from 7 ft,,2-0,,
11:08.0,Offensive rebound by M. Plumlee,,2-0,,
11:08.0,M. Plumlee makes 2-pt shot at rim,2,4-0,,
10:54.0,,,4-2,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
10:35.0,S. Karasev makes 3-pt shot from 25 ft (assist by J. Johnson),3,7-2,,
10:10.0,,,7-4,2,A. Varejao makes 2-pt shot at rim (assist by L. James)
9:48.0,J. Johnson makes 2-pt shot from 1 ft (assist by K. Garnett),2,9-4,,
9:37.0,,,9-4,,Turnover by K. Irving (lost ball; steal by S. Karasev)
9:30.0,S. Karasev makes 2-pt shot at rim,2,11-4,,
9:12.0,,,11-4,,K. Love misses 2-pt shot from 19 ft
9:10.0,,,11-4,,Offensive rebound by K. Love
8:59.0,,,11-7,3,M. Miller makes 3-pt shot from 25 ft (assist by L. James)
8:39.0,S. Karasev makes 2-pt shot from 4 ft (assist by D. Williams),2,13-7,,
8:19.0,,,13-7,,L. James misses 2-pt shot at rim (block by M. Plumlee)
8:18.0,Defensive rebound by K. Garnett,,13-7,,
8:16.0,Shooting foul by K. Irving (drawn by D. Williams),,13-7,,
8:16.0,D. Williams misses free throw 1 of 2,,13-7,,
8:16.0,Offensive rebound by Team,,13-7,,
8:16.0,D. Williams makes free throw 2 of 2,1,14-7,,
8:03.0,,,14-7,,Turnover by M. Miller (bad pass; steal by S. Karasev)
7:51.0,J. Johnson misses 3-pt shot from 25 ft,,14-7,,
7:50.0,,,14-7,,Defensive rebound by K. Love
7:48.0,,,14-7,,Turnover by K. Love (bad pass; steal by J. Johnson)
7:40.0,J. Johnson makes 2-pt shot from 3 ft,2,16-7,,
7:34.0,,,16-7,,Cleveland full timeout
7:20.0,,,16-7,,L. James misses 2-pt shot from 18 ft
7:20.0,Defensive rebound by M. Plumlee,,16-7,,
7:02.0,M. Plumlee misses 2-pt shot from 1 ft,,16-7,,
7:00.0,,,16-7,,Defensive rebound by A. Varejao
6:42.0,,,16-10,3,M. Miller makes 3-pt shot from 23 ft (assist by L. James)
6:25.0,K. Garnett makes 2-pt shot from 19 ft (assist by J. Johnson),2,18-10,,
