time,LA Lakers,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Hill (J. Smith gains possession),,,,Jump ball: A. Drummond vs. J. Hill (J. Smith gains possession)
11:46.0,,,0-2,2,A. Drummond makes 2-pt shot at rim (assist by B. Jennings)
11:24.0,K. Bryant misses 2-pt shot from 17 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by A. Drummond
11:12.0,,,0-4,2,J. Smith makes 2-pt shot at rim (assist by B. Jennings)
10:51.0,C. Boozer makes 2-pt shot from 17 ft (assist by J. Lin),2,2-4,,
10:42.0,,,2-4,,K. Caldwell-Pope misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by J. Hill,,2-4,,
10:24.0,C. Boozer makes 2-pt shot at rim (assist by W. Johnson),2,4-4,,
10:09.0,,,4-6,2,K. Singler makes 2-pt shot at rim (assist by J. Smith)
9:50.0,Turnover by W. Johnson (lost ball),,4-6,,
9:36.0,,,4-8,2,K. Caldwell-Pope makes 2-pt shot from 15 ft (assist by K. Singler)
9:20.0,C. Boozer misses 2-pt shot from 7 ft,,4-8,,
9:17.0,Offensive rebound by J. Hill,,4-8,,
9:12.0,W. Johnson misses 2-pt shot from 19 ft,,4-8,,
9:11.0,,,4-8,,Defensive rebound by K. Caldwell-Pope
9:03.0,,,4-8,,Turnover by B. Jennings (bad pass; steal by K. Bryant)
8:59.0,Turnover by K. Bryant (bad pass),,4-8,,
8:49.0,,,4-8,,Turnover by B. Jennings (bad pass; steal by W. Johnson)
8:39.0,Turnover by K. Bryant (bad pass; steal by J. Smith),,4-8,,
8:33.0,,,4-8,,K. Caldwell-Pope misses 2-pt shot from 2 ft (block by W. Johnson)
8:30.0,Defensive rebound by J. Lin,,4-8,,
8:27.0,C. Boozer makes 2-pt shot at rim (assist by K. Bryant),2,6-8,,
8:17.0,,,6-8,,Offensive foul by A. Drummond
8:17.0,,,6-8,,Turnover by A. Drummond (offensive foul)
8:07.0,J. Lin makes 3-pt shot from 26 ft (assist by K. Bryant),3,9-8,,
7:45.0,,,9-8,,A. Drummond misses 2-pt shot at rim
7:44.0,Defensive rebound by J. Hill,,9-8,,
7:29.0,J. Lin misses 3-pt shot from 25 ft,,9-8,,
7:28.0,Offensive rebound by W. Johnson,,9-8,,
7:22.0,J. Hill makes 2-pt shot from 19 ft,2,11-8,,
6:56.0,,,11-8,,B. Jennings misses 2-pt shot from 20 ft
6:55.0,Defensive rebound by W. Johnson,,11-8,,
6:41.0,C. Boozer makes 2-pt shot from 9 ft,2,13-8,,
6:22.0,Personal foul by K. Bryant (drawn by K. Caldwell-Pope),,13-8,,
6:12.0,,,13-10,2,B. Jennings makes 2-pt shot at rim (assist by J. Smith)
5:56.0,C. Boozer misses 2-pt shot from 6 ft (block by A. Drummond),,13-10,,
5:54.0,,,13-10,,Defensive rebound by J. Smith
5:50.0,Personal foul by W. Johnson (drawn by K. Caldwell-Pope),,13-10,,
5:50.0,,,13-10,,Detroit full timeout
5:50.0,E. Davis enters the game for W. Johnson,,13-10,,
5:50.0,N. Young enters the game for C. Boozer,,13-10,,
5:41.0,,,13-10,,B. Jennings misses 2-pt shot from 8 ft
5:39.0,Defensive rebound by E. Davis,,13-10,,
5:23.0,N. Young misses 3-pt shot from 23 ft,,13-10,,
5:22.0,Offensive rebound by J. Hill,,13-10,,
5:18.0,J. Hill misses 2-pt shot from 5 ft (block by J. Smith),,13-10,,
5:16.0,Offensive rebound by J. Lin,,13-10,,
5:13.0,Turnover by K. Bryant (bad pass; steal by J. Smith),,13-10,,
5:07.0,,,13-12,2,B. Jennings makes 2-pt shot at rim (assist by J. Smith)
4:48.0,K. Bryant misses 2-pt shot from 1 ft (block by A. Drummond),,13-12,,
4:47.0,,,13-12,,Defensive rebound by K. Singler
4:41.0,,,13-12,,K. Singler misses 3-pt shot from 26 ft
4:40.0,,,13-12,,Offensive rebound by A. Drummond
4:39.0,,,13-14,2,A. Drummond makes 2-pt shot at rim
4:16.0,N. Young makes 3-pt shot from 25 ft (assist by J. Hill),3,16-14,,
3:52.0,,,16-16,2,J. Smith makes 2-pt shot from 5 ft
3:40.0,J. Hill misses 2-pt shot from 12 ft,,16-16,,
3:39.0,,,16-16,,Defensive rebound by A. Drummond
3:32.0,,,16-16,,Turnover by J. Smith (bad pass; steal by J. Hill)
3:28.0,,,16-16,,G. Monroe enters the game for J. Smith
3:18.0,N. Young misses 2-pt shot from 17 ft,,16-16,,
3:17.0,,,16-16,,Defensive rebound by K. Caldwell-Pope
3:09.0,,,16-16,,Shooting foul by J. Hill (drawn by A. Drummond)
3:09.0,,,16-16,,A. Drummond misses free throw 1 of 2
3:09.0,,,16-16,,Offensive rebound by Team
3:09.0,R. Price enters the game for J. Lin,,16-16,,
3:09.0,R. Sacre enters the game for J. Hill,,16-16,,
3:09.0,,,16-16,,C. Martin enters the game for K. Caldwell-Pope
3:09.0,,,16-17,1,A. Drummond makes free throw 2 of 2
2:53.0,R. Sacre misses 2-pt shot at rim,,16-17,,
2:52.0,,,16-17,,Defensive rebound by A. Drummond
2:36.0,,,16-17,,G. Monroe misses 2-pt shot at rim
2:35.0,Defensive rebound by K. Bryant,,16-17,,
2:28.0,K. Bryant misses 2-pt shot from 6 ft,,16-17,,
2:26.0,,,16-17,,Defensive rebound by G. Monroe
2:21.0,,,16-17,,B. Jennings misses 2-pt shot from 5 ft
2:21.0,,,16-17,,Offensive rebound by Team
2:21.0,Personal foul by K. Bryant (drawn by A. Drummond),,16-17,,
2:21.0,LA Lakers full timeout,,16-17,,
2:21.0,W. Ellington enters the game for K. Bryant,,16-17,,
2:21.0,,,16-17,,C. Butler enters the game for K. Singler
2:09.0,,,16-17,,C. Martin misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by E. Davis,,16-17,,
1:52.0,N. Young misses 2-pt shot from 18 ft,,16-17,,
1:51.0,,,16-17,,Defensive rebound by G. Monroe
1:39.0,,,16-19,2,C. Butler makes 2-pt shot from 19 ft
1:25.0,W. Ellington misses 2-pt shot from 21 ft,,16-19,,
1:24.0,,,16-19,,Defensive rebound by G. Monroe
1:14.0,,,16-19,,G. Monroe misses 2-pt shot at rim
1:13.0,Defensive rebound by E. Davis,,16-19,,
0:59.0,Offensive charge foul by E. Davis,,16-19,,
