time,Charlotte,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. D. Howard (J. Holiday gains possession),,,,Jump ball: R. Lopez vs. D. Howard (J. Holiday gains possession)
11:41.0,,,0-2,2,D. Valentine makes 2-pt shot from 1 ft (assist by R. Lopez)
11:25.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,3-2,,
11:01.0,,,3-4,2,R. Lopez makes 2-pt shot from 20 ft (assist by J. Grant)
10:44.0,M. Williams makes 2-pt shot from 2 ft,2,5-4,,
10:44.0,,,5-4,,Violation by J. Holiday (def goaltending)
10:44.0,,,5-4,,Technical foul by J. Holiday
10:44.0,K. Walker makes technical free throw,1,6-4,,
10:29.0,,,6-6,2,R. Lopez makes 2-pt shot at rim (assist by J. Grant)
10:19.0,D. Howard misses 2-pt shot from 5 ft,,6-6,,
10:16.0,,,6-6,,Defensive rebound by L. Markkanen
10:07.0,,,6-6,,Turnover by R. Lopez (bad pass)
9:54.0,N. Batum makes 2-pt shot from 6 ft,2,8-6,,
9:54.0,Shooting foul by J. Holiday (drawn by N. Batum),,8-6,,
9:54.0,N. Batum makes free throw 1 of 1,1,9-6,,
9:35.0,,,9-6,,J. Holiday misses 2-pt shot from 18 ft
9:28.0,,,9-6,,Offensive rebound by R. Lopez
9:28.0,,,9-6,,R. Lopez misses 2-pt shot at rim
9:26.0,Defensive rebound by M. Williams,,9-6,,
9:16.0,K. Walker makes 2-pt shot from 17 ft,2,11-6,,
8:53.0,,,11-9,3,J. Holiday makes 3-pt shot from 24 ft (assist by D. Valentine)
8:43.0,D. Howard misses 2-pt shot from 15 ft,,11-9,,
8:38.0,,,11-9,,Defensive rebound by L. Markkanen
8:35.0,,,11-12,3,D. Valentine makes 3-pt shot from 25 ft
8:20.0,N. Batum misses 3-pt shot from 26 ft,,11-12,,
8:16.0,,,11-12,,Defensive rebound by J. Grant
8:10.0,,,11-12,,R. Lopez misses 2-pt shot from 14 ft
8:07.0,Defensive rebound by N. Batum,,11-12,,
7:58.0,D. Howard makes 2-pt shot at rim (assist by N. Batum),2,13-12,,
7:51.0,,,13-12,,Offensive charge foul by J. Grant (drawn by K. Walker)
7:51.0,,,13-12,,Turnover by J. Grant (offensive foul)
7:41.0,K. Walker misses 3-pt shot from 25 ft,,13-12,,
7:37.0,,,13-12,,Defensive rebound by J. Holiday
7:33.0,,,13-15,3,L. Markkanen makes 3-pt shot from 25 ft (assist by J. Grant)
7:12.0,Turnover by D. Howard (bad pass; steal by L. Markkanen),,13-15,,
6:54.0,,,13-17,2,J. Holiday makes 2-pt shot from 1 ft (assist by J. Grant)
6:35.0,M. Kidd-Gilchrist misses 2-pt shot from 20 ft,,13-17,,
6:31.0,,,13-17,,Defensive rebound by L. Markkanen
6:28.0,,,13-17,,D. Valentine misses 3-pt shot from 24 ft
6:24.0,Defensive rebound by K. Walker,,13-17,,
6:18.0,K. Walker makes 2-pt shot from 1 ft,2,15-17,,
6:05.0,,,15-17,,R. Lopez misses 2-pt shot from 8 ft
6:03.0,Defensive rebound by D. Howard,,15-17,,
5:54.0,Shooting foul by J. Grant (drawn by M. Kidd-Gilchrist),,15-17,,
5:54.0,,,15-17,,Chicago full timeout
5:54.0,,,15-17,,K. Dunn enters the game for J. Grant
5:54.0,J. Lamb enters the game for N. Batum,,15-17,,
5:54.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,16-17,,
5:54.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,17-17,,
5:38.0,,,17-17,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Holiday)
